P60880	SNAP25
P40227	CCT6A
P20936	RASA1
Q9NQT4	EXOSC5
P84077	ARF1
P17509	HOXB6
Q96J84	KIRREL
Q7L9L4	MOB1B
Q00535	CDK5
P51671	CCL11
Q9HBM1	SPC25
Q06587	RING1
O00716	E2F3
P21675	TAF1
O95251	KAT7
P07711	CTSL
Q13838	DDX39B
Q12834	CDC20
Q00403	GTF2B
NM_000024	ADRB2
Q9Y4J8	DTNA
Q5TD97	FHL5
Q9BTP7	FAAP24
P05386	RPLP1
P05387	RPLP2
P78347	GTF2I
P05388	RPLP0
Q04323	UBXN1
NM_000937	POLR2A
P10275	AR
P10276	RARA
Q9Y2U5	MAP3K2
P16885	PLCG2
P24864	CCNE1
Q15369	TCEB1
Q15365	PCBP1
O00401	WASL
Q969U6	FBXW5
Q969U7	PSMG2
Q13905	RAPGEF1
Q9UMS4	PRPF19
O75436	VPS26A
P43034	PAFAH1B1
P08621	SNRNP70
Q9NVP2	ASF1B
Q96CS3	FAF2
P01031	C5
Q92831	KAT2B
Q92830	KAT2A
P17936	IGFBP3
P17181	IFNAR1
Q92838	EDA
Q9Y6E0	STK24
P01011	SERPINA3
O75385	ULK1
Q13018	PLA2R1
O75381	PEX14
Q9Y4G8	RAPGEF2
P52657	GTF2A2
P60520	GABARAPL2
Q92616	GCN1
P23229	ITGA6
P62487	POLR2G
O60763	USO1
Q14566	MCM6
P62714	PPP2CB
Q15185	PTGES3
Q00005	PPP2R2B
P17844	DDX5
Q9NPF4	OSGEP
Q9NPF5	DMAP1
Q9NPF7	IL23A
Q9UHF4	IL20RA
Q14582	MXD4
O94906	PRPF6
O43242	PSMD3
O43791	SPOP
Q9NRF9	POLE3
Q9H4P4	RNF41
Q9UPN7	PPP6R1
Q9UPN9	TRIM33
P41968	MC3R
Q14103	HNRNPD
P27448	MARK3
Q9NXR8	ING3
Q96HA7	TONSL
Q9ULX6	AKAP8L
O75164	KDM4A
P54760	EPHB4
Q00987	MDM2
Q96G27	WBP1
A5YKK6	CNOT1
P26640	VARS
P26641	EEF1G
Q13233	MAP3K1
O60383	GDF9
P60709	ACTB
O14786	NRP1
P40763	STAT3
Q02790	FKBP4
Q13347	EIF3I
P12644	BMP4
P23582	NPPC
Q9NWA0	MED9
P23588	EIF4B
P49418	AMPH
Q96RU3	FNBP1
Q96MG7	NSMCE3
Q8N3U4	STAG2
Q9Y5Q8	GTF3C5
Q9NWS0	PIH1D1
P50749	RASSF2
Q96L50	LRR1
P16333	NCK1
Q9H9G7	AGO3
Q9ULJ8	PPP1R9A
P49771	FLT3LG
P49770	EIF2B2
P40306	PSMB10
P25205	MCM3
Q16181	SEPT7
P25208	NFYB
Q8NBT2	SPC24
Q12933	TRAF2
Q9NQ66	PLCB1
P33552	CKS2
P60896	SHFM1
P48556	PSMD8
Q16236	NFE2L2
P48552	NRIP1
P01833	PIGR
Q9BUE0	MED18
Q01968	OCRL
P13591	NCAM1
P37231	PPARG
P05067	APP
P54727	RAD23B
Q06609	RAD51
O95249	GOSR1
Q15835	GRK1
Q9Y297	BTRC
Q9UBL3	ASH2L
Q6WCQ1	MPRIP
Q08999	RBL2
P13747	HLA-E
P30281	CCND3
P49795	RGS19
Q9UHD2	TBK1
P56545	CTBP2
Q93009	USP7
Q93008	USP9X
Q00610	CLTC
Q9H7L9	SUDS3
Q00613	HSF1
P78352	DLG4
Q9Y2T4	PPP2R2C
Q9Y2T1	AXIN2
Q9UQ13	SHOC2
Q9Y2T2	AP3M1
Q15172	PPP2R5A
P09496	CLTA
P09497	CLTB
Q9NVC6	MED17
O15245	SLC22A1
Q9UL62	TRPC5
Q15370	TCEB2
Q9P0L1	ZKSCAN7
Q9P0L2	MARK1
Q9Y618	NCOR2
Q9NRD5	PICK1
P35250	RFC2
P02768	ALB
Q8IY18	SMC5
P08637	FCGR3A
P08631	HCK
P17693	HLA-G
P00533	EGFR
Q99615	DNAJC7
P17927	CR1
O43924	PDE6D
P02751	FN1
Q9Y6D9	MAD1L1
P08708	RPS17
P32856	STX2
O43929	ORC4
P43155	CRAT
Q01362	MS4A2
Q13002	GRIK2
O75390	CS
P28908	TNFRSF8
Q5VT25	CDC42BPA
P13984	GTF2F2
P15502	ELN
P55212	CASP6
P68431	HIST1H3A
Q9H7Z6	KAT8
Q9NPB3	CABP2
P41208	CETN2
Q8NHZ8	CDC26
Q09028	RBBP4
O94973	AP2A2
Q06830	PRDX1
P30154	PPP2R1B
P53350	PLK1
P20618	PSMB1
Q13136	PPFIA1
Q13131	PRKAA1
Q14137	BOP1
P52735	VAV2
P46782	RPS5
P46781	RPS9
Q9Y4Z0	LSM4
Q8WV16	DCAF4
P61952	GNG11
P61956	SUMO2
O95402	MED26
P08047	SP1
O43741	PRKAB2
Q96CA5	BIRC7
Q99459	CDC5L
P19447	ERCC3
O75376	NCOR1
P11215	ITGAM
Q16514	TAF12
Q13224	GRIN2B
Q16512	PKN1
Q16513	PKN2
Q8TCU5	GRIN3A
Q8NFJ9	BBS1
P20823	HNF1A
P40938	RFC3
O14936	CASK
O43323	DHH
Q8WUA4	GTF3C2
P31942	HNRNPH3
P04839	CYBB
P31947	SFN
P31946	YWHAB
O15400	STX7
P60604	UBE2G2
Q96RR4	CAMKK2
P40337	VHL
P60953	CDC42
Q8NDV7	TNRC6A
Q9Y5B9	SUPT16H
O15534	PER1
Q9UNE7	STUB1
O95622	ADCY5
Q58WW2	DCAF6
O15151	MDM4
Q96B67	ARRDC3
P09936	UCHL1
Q9BYM8	RBCK1
Q9NS91	RAD18
Q9BPX3	NCAPG
Q9BPX5	ARPC5L
P48549	KCNJ3
Q9HC52	CBX8
P35240	NF2
Q9H6S1	AZI2
P48546	GIPR
O14757	CHEK1
Q13586	STIM1
P21333	FLNA
P16452	EPB42
Q9NZJ0	DTL
Q9NZJ5	EIF2AK3
Q8N2Z9	APITD1
P10586	PTPRF
P51610	HCFC1
P51617	IRAK1
P48436	SOX9
O00268	TAF4
O00267	SUPT5H
Q5FBB7	SGO1
O75170	PPP6R2
Q06124	PTPN11
P15374	UCHL3
Q01826	SATB1
Q9ULG1	INO80
Q13698	CACNA1S
P13010	XRCC5
P78362	SRPK2
P78364	PHC1
Q9NRX1	PNO1
O95347	SMC2
P05129	PRKCG
O00463	TRAF5
P29460	IL12B
Q53G59	KLHL12
P38398	BRCA1
Q13748	TUBA3C
P28482	MAPK1
Q9Y3I1	FBXO7
Q9H765	ASB8
P08603	CFH
P62829	RPL23
P17931	LGALS3
Q6ZW49	PAXIP1
P62826	RAN
Q92835	INPP5D
P48506	GCLC
Q9Y4W2	LAS1L
P01583	IL1A
P01584	IL1B
O95983	MBD3
Q93034	CUL5
Q9BZE9	ASPSCR1
P01033	TIMP1
P01034	CST3
Q8WVB6	CHTF18
O15344	MID1
P01215	CGA
Q9BXC9	BBS2
P47992	XCL1
Q13033	STRN3
Q9BZK7	TBL1XR1
O60706	ABCC9
P15531	NME1
O75563	SKAP2
Q99062	CSF3R
Q8N448	LNX2
Q9H981	ACTR8
P01106	MYC
P01100	FOS
Q01484	ANK2
P62136	PPP1CA
Q9H160	ING2
P00451	F8
Q15836	VAMP3
P42766	RPL35
Q15833	STXBP2
Q15831	STK11
P49450	CENPA
P42768	WAS
P53618	COPB1
P61964	WDR5
P08195	SLC3A2
P61962	DCAF7
O95801	TTC4
Q9UI10	EIF2B4
O75925	PIAS1
P17480	UBTF
Q8TEX9	IPO4
Q8WV22	NSMCE1
P23769	GATA2
O94817	ATG12
Q14653	IRF3
O43683	BUB1
O43684	BUB3
O75182	SIN3B
Q99683	MAP3K5
Q05655	PRKCD
Q8N5D0	WDTC1
P42166	TMPO
P36383	GJC1
P19235	EPOR
P40926	MDH2
O14929	HAT1
Q9GZS3	WDR61
Q9GZS1	POLR1E
O43353	RIPK2
O14920	IKBKB
Q13362	PPP2R5C
P11532	DMD
Q16254	E2F4
Q9NYY1	IL20
P19525	EIF2AK2
Q9UHX1	PUF60
NM_014977	ACIN1
P48051	KCNJ6
P48050	KCNJ4
Q9BX63	BRIP1
Q3SYG4	BBS9
Q8TBC3	SHKBP1
Q8TBC4	UBA3
Q14839	CHD4
Q14831	GRM7
O00300	TNFRSF11B
O14746	TERT
Q9UQL6	HDAC5
P23942	PRPH2
Q5TKA1	LIN9
Q9NW08	POLR3B
Q8NBZ0	INO80E
P84022	SMAD3
P40855	PEX19
Q14209	E2F2
Q9UBN7	HDAC6
O60494	CUBN
Q9NP31	SH2D2A
P18074	ERCC2
P55347	PKNOX1
Q6UXL0	IL20RB
P00338	LDHA
P20700	LMNB1
Q92847	GHSR
O00186	STXBP3
P21796	VDAC1
Q5VWG9	TAF3
Q01831	XPC
Q12888	TP53BP1
Q9UBU9	NXF1
