SUPT3H	TRRAP
PSMB2	PSMC1
NUDT21	ITCH
SKP1	CCNA2
NFYC	ADNP2
USO1	STXBP1
USO1	STXBP1
HDAC2	PHF21A
LDOC1	PLEKHF2
NFE2L2	MAFF
FBXO11	RBX1
PLEKHJ1	KRT33B
MEGF10	SCAPER
PSMB4	PSMD14
GIPC1	SH3BP4
DTX3	UBE2D4
CDK9	ATR
BCKDK	FAM98B
NUDT21	RELB
SRPK1	SRSF6
MAP3K14	RPL11
HMGN1	RPS6KA3
CD82	CANX
MED28	LCK
MAP3K10	RACGAP1
PPP4R1	DISC1
NOXA1	NOX1
TGFBI	COL1A1
POU3F2	POU3F4
POLR1E	SUPT16H
WRAP73	CDK2
TUBB4A	RIPK2
RPTOR	PREX1
GRIK2	CASK
CAB39L	MLH1
RAD9A	BCL2L1
IKBKG	ATRIP
ABTB2	CUL3
HDAC3	CCT5
BRD7	IRF2
ACTN2	NRIP1
ILK	MARS
FRA10AC1	HABP4
DDOST	SAP18
SAP18	DDOST
COL4A3BP	CBS
DOK4	RET
NEDD4	HNRNPU
GNRH1	MEP1A
ERCC3	CCNH
FXYD7	ATP1A1
PTGES3	AIP
CCT3	CCT4
CPNE4	CPNE1
CHMP1B	SSRP1
NELFE	POLR2C
CYBB	CYBA
SKP1	FBXO33
CREBRF	CD2BP2
NELFB	HSPA9
UBE2D3	RFWD3
FHL5	STX11
SRC	YWHAB
CSN2	NEK3
PSMB1	DSTYK
PPP1CA	SF3A2
TNF	LTBR
DNAJB1	STUB1
POLR3D	POLR3F
FBXW11	MDM2
PPP1CC	ATM
PRPF8	SF3A2
VIM	PSMD7
USP14	PSMC3
AP2A1	DEK
RAB1A	GORASP2
UBE2T	PCGF2
C9orf78	FCHSD2
PSMD6	PSMB4
ATXN1	MBP
BBS7	BBS2
LYN	PLCG1
ANXA1	RELA
ITGAV	P2RY2
RUVBL2	DNASE2
EXOSC1	MAST1
CDK15	CDK2
QARS	MARS
LATS1	STK4
GC	PIK3R3
SFN	RHPN2
SLC16A3	BSG
BAD	MCL1
CTLA4	PTPN11
VHL	RPL18A
C4B	EEF1A1
POLR2H	POLR3H
IL7R	LYN
BIRC2	UBE2W
KALRN	PRKD2
GNG13	GNB4
ERP29	HSPA5
TRAF2	MAP3K11
TM9SF2	RAB9A
PSMD6	PSMD2
TBK1	TUBA3C
ATF3	RELA
DYNLT3	CD5
PSMA3	PSMD13
SRRM2	U2AF1
TRIM28	SERTAD2
UBE3C	PSMD2
TAB2	PFKL
MYC	GCN1
MMP2	COL18A1
ANXA2	MLH1
YWHAB	SAMD4B
AHSA1	PHLDA3
SMAD3	PPP2R2D
UBE2Q2	PCGF2
CREB1	POGZ
UBE2N	TRIM5
CORO2A	TBL1X
CSNK2A1	SFN
RTF1	CTR9
MRPS10	MRPS5
CORO1A	THBS1
ENO1	MYOC
PDGFRB	PTPRJ
GAS7	CYFIP1
MSX2	XRCC5
PTPN11	CCKBR
SLC2A4	AKT2
PTPN6	LCP2
ACTC1	DMD
LURAP1	TCEANC
RABAC1	RASD2
RUVBL1	TBK1
HSPA8	C1QBP
CSNK2A1	CSNK2A2
FCGR2B	CRP
GAPDHS	SH3BP4
RPL8	RPL10A
SKP1	FBXW9
MKRN3	UBE2D4
WWC1	FAM219A
SNRPD2	SF3B3
RCN2	GABARAPL2
HNRNPM	PTP4A3
SFN	HNRNPU
TBK1	OPTN
EFNB2	EPHB4
LRP1	ANAPC10
GSTP1	FANCC
LYAR	RPL23A
SF3A2	HNRNPA2B1
APBB1	WBP11
LAMC2	LAMB3
PSMD11	PSMC5
XRCC3	RAD51D
TBL3	URM1
CCL1	CCR1
FBN1	HSPG2
VPS18	UVRAG
PPP1R9B	ADRA1A
CDC42	ARHGDIB
SUPT6H	POLR2C
STYXL1	PSPH
IKBKG	XPO1
HSPA5	NFKB2
RGS16	GDE1
LHX4	IFT172
HDAC1	GCM1
DDX5	SF3A2
RNF114	UBE2D3
CTNNB1	CDH15
NCOR1	NCOR2
PXN	REPS2
IKBKG	PSMD13
FSBP	CD2BP2
EIF2AK1	TGFBR1
FZD4	NDP
NOP2	MAP3K1
EPS15	DNM1
PPP1R3D	PPP1CC
TNFRSF1B	HSPA9
UBE2I	ATF7IP
