HGNC ID	Approved Symbol	Status	Previous Symbols	Entrez Gene ID	RefSeq IDs
HGNC:5	A1BG	Approved	-	1.0	NM_130786
HGNC:37133	A1BG-AS1	Approved	NCRNA00181, A1BGAS, A1BG-AS	503538.0	NR_015380
HGNC:24086	A1CF	Approved	-	29974.0	NM_014576
HGNC:7	A2M	Approved	-	2.0	NM_000014
HGNC:27057	A2M-AS1	Approved	-	144571.0	NR_026971
HGNC:23336	A2ML1	Approved	CPAMD9	144568.0	NM_144670
HGNC:41022	A2ML1-AS1	Approved	-	-	-
HGNC:41523	A2ML1-AS2	Approved	-	-	-
HGNC:8	A2MP1	Approved	A2MP	3.0	NG_001067
HGNC:30005	A3GALT2	Approved	A3GALT2P	127550.0	NM_001080438
HGNC:18149	A4GALT	Approved	-	53947.0	NM_017436
HGNC:17968	A4GNT	Approved	-	51146.0	NM_016161
HGNC:13666	AAAS	Approved	-	8086.0	-
HGNC:21298	AACS	Approved	-	65985.0	NM_023928
HGNC:18226	AACSP1	Approved	AACSL	729522.0	NR_024035
HGNC:17	AADAC	Approved	-	13.0	NM_001086
HGNC:24427	AADACL2	Approved	-	344752.0	NM_207365
HGNC:50301	AADACL2-AS1	Approved	-	101928142.0	-
HGNC:32037	AADACL3	Approved	-	126767.0	NM_001103170
HGNC:32038	AADACL4	Approved	-	343066.0	NM_001013630
HGNC:50305	AADACP1	Approved	-	201651.0	-
HGNC:17929	AADAT	Approved	-	51166.0	NM_016228
HGNC:16881	AAED1	Approved	C9orf21	195827.0	NM_153698
HGNC:25662	AAGAB	Approved	-	79719.0	NM_024666
HGNC:19679	AAK1	Approved	-	22848.0	NM_014911
HGNC:30205	AAMDC	Approved	C11orf67	28971.0	NM_024684
HGNC:18	AAMP	Approved	-	14.0	NM_001087
HGNC:19	AANAT	Approved	-	15.0	NM_001088
HGNC:15886	AAR2	Approved	C20orf4	25980.0	NM_015511
HGNC:33842	AARD	Approved	C8orf85	441376.0	NM_001025357
HGNC:20	AARS	Approved	-	16.0	NM_001605
HGNC:21022	AARS2	Approved	AARSL	57505.0	NM_020745
HGNC:28417	AARSD1	Approved	-	80755.0	NM_001261434
HGNC:49894	AARSP1	Approved	-	-	-
HGNC:23993	AASDH	Approved	-	132949.0	NM_181806
HGNC:14235	AASDHPPT	Approved	-	60496.0	NM_015423
HGNC:17366	AASS	Approved	-	10157.0	NM_005763
HGNC:51526	AATBC	Approved	-	284837.0	NR_026961
HGNC:19235	AATF	Approved	-	26574.0	NM_012138
HGNC:21	AATK	Approved	-	9625.0	NM_004920
HGNC:40053	AATK-AS1	Approved	-	388428.0	-
HGNC:22	AAVS1	Approved	-	17.0	-
HGNC:49667	ABALON	Approved	-	103021294.0	NR_131907
HGNC:23	ABAT	Approved	-	18.0	NM_020686
HGNC:29	ABCA1	Approved	ABC1, HDLDT1	19.0	NM_005502
HGNC:32	ABCA2	Approved	ABC2	20.0	NM_001606
HGNC:33	ABCA3	Approved	ABC3	21.0	NM_001089
HGNC:34	ABCA4	Approved	STGD1, ABCR, RP19, STGD	24.0	NM_000350
HGNC:35	ABCA5	Approved	-	23461.0	NM_018672
HGNC:36	ABCA6	Approved	-	23460.0	NM_080284
HGNC:37	ABCA7	Approved	-	10347.0	NM_019112
HGNC:38	ABCA8	Approved	-	10351.0	NM_007168
HGNC:39	ABCA9	Approved	-	10350.0	NM_172386
HGNC:39983	ABCA9-AS1	Approved	-	-	-
HGNC:30	ABCA10	Approved	-	10349.0	NM_080282
