A8K7B7	P62714
O75486	Q9Y4A5
Q9Y4A5-2	O75486-3
NM_003715	P61764
O60763	P61764
Q92769	Q96BD5
Q9ULX9	XP_005246677
Q16236	Q9ULX9
Q96SB4	Q13247
P05114	P51812
Q15582	P02452
Q09028-4	Q9UK53-5
P27348	J3KPH8
P27348	Q8WUI4-3
P19447	XP_005248684
P19447	P51946
Q15185	O00170
P49368	P50991
P50991	Q59H77
P04839	P13498
P54578	P17980
P17980	B7Z4N8
Q8IWZ6	Q9BXC9
P07948-2	P19174
P07948	P19174
P47897	P56192
Q92934	Q07820
P52434	Q9Y535
Q9P2W3	Q9HAV0
Q15008	Q13200
NP_006827	P01106-2
P01106	Q92616
AAO74612	AAC08953
Q92541	Q6PD62
P09619	Q12913
P29350	Q13094
P29350-3	Q13094
Q9UHD2	Q96CV9
Q9UHD2	NP_001008212
P52799	P54760
O00231	P62195
P22362	P32246
O75376	Q9Y618
O75376-2	XP_005253707
P62993-2	Q8TF74
B0LPF3	Q8TF74
Q9Y265	Q96L91
Q9Y265	Q96L91-2
P49069	O14836
O14818	XP_005271105
O14818	P49721
O00237	P61088
P50148	Q9NQ66-2
P50148	Q9NQ66
Q86Y01	P46531
P30307	P62258
P62258	P30307-3
Q09472	Q13547
P50995	Q9H553
P50995	Q9H553-2
Q8ND76	P61981
P29350	E3NZD8
P43628-2	P29350-3
P27824	NP_005568
Q9UPT5-2	F5GZT1
Q96A65-2	Q9UPT5-2
O00232	P51665
P51665	O00232-2
P32121-5	P28482
P32121-2	P28482
O14763-2	O00220
P52735-3	P84095
P84095	P52735
P25788	P49720
P49720	P25788-2
P25963	Q15418
P40337-3	Q15843
P40337	Q15843
Q9Y4R8	NM_000051
Q9Y4R8	Q13315
D0PNI1	Q99759
O75674	Q00610
O43516	B0LPF3
O43516	P62993-2
Q8NES3-2	P46531
Q8NES3	P46531
Q9UHB7	P50750
Q8IW19	Q13426
Q8IW19	Q13426-2
Q13330	Q16576
Q13616	Q9Y3I1-3
Q13616	Q9Y3I1
P32780	NM_000937
P24928	P32780
F1D8N4	Q12888
P48556	P51665
Q99650	P13725
P07437	Q9UBN7
Q9UMS4	Q99459
O75643	A0MNP2
Q13490	Q13546
Q9Y4L5	P62837
P55884	P60228
Q99728	P33240
P51665	P62195
P04637-8	Q00535
Q00535-2	P04637-7
O75581	O15169-2
P24941	Q5MJ70-1
P24941-2	Q5MJ70-1
O00303	B0QY90
Q9Y262	O00303
P63208	Q8NHM5
XP_005272110	XP_005254014
P33176	D0PNI1
P08311	P02775
Q13547	G4XH65
P49768	Q02410
Q9NTJ3	Q15003
P68133	P51911
P62191	P62195
Q15370	Q93034
Q93034	Q15370-2
