	uidA	uidB
0	uniprotkb:A8K7B7	uniprotkb:P62714
6	uniprotkb:O75486	uniprotkb:Q9Y4A5
7	uniprotkb:Q9Y4A5-2	uniprotkb:O75486-3
11	refseq:NM_003715	uniprotkb:P61764
13	uniprotkb:O60763	uniprotkb:P61764
15	uniprotkb:Q92769	uniprotkb:Q96BD5
21	uniprotkb:Q9ULX9	refseq:XP_005246677
23	uniprotkb:Q16236	uniprotkb:Q9ULX9
25	uniprotkb:Q96SB4	uniprotkb:Q13247
30	uniprotkb:P05114	uniprotkb:P51812
35	uniprotkb:Q15582	uniprotkb:P02452
38	uniprotkb:Q09028-4	uniprotkb:Q9UK53-5
43	uniprotkb:P27348	uniprotkb:J3KPH8
49	uniprotkb:P27348	uniprotkb:Q8WUI4-3
51	uniprotkb:P19447	refseq:XP_005248684
55	uniprotkb:P19447	uniprotkb:P51946
59	uniprotkb:Q15185	uniprotkb:O00170
64	uniprotkb:P49368	uniprotkb:P50991
72	uniprotkb:P50991	uniprotkb:Q59H77
74	uniprotkb:P04839	uniprotkb:P13498
82	uniprotkb:P54578	uniprotkb:P17980
84	uniprotkb:P17980	uniprotkb:B7Z4N8
86	uniprotkb:Q8IWZ6	uniprotkb:Q9BXC9
93	uniprotkb:P07948-2	uniprotkb:P19174
97	uniprotkb:P07948	uniprotkb:P19174
99	uniprotkb:P47897	uniprotkb:P56192
102	uniprotkb:Q92934	uniprotkb:Q07820
107	uniprotkb:P52434	uniprotkb:Q9Y535
111	uniprotkb:Q9P2W3	uniprotkb:Q9HAV0
115	uniprotkb:Q15008	uniprotkb:Q13200
119	refseq:NP_006827	uniprotkb:P01106-2
122	uniprotkb:P01106	uniprotkb:Q92616
123	refseq:AAO74612	refseq:AAC08953
135	uniprotkb:Q92541	uniprotkb:Q6PD62
140	uniprotkb:P09619	uniprotkb:Q12913
148	uniprotkb:P29350	uniprotkb:Q13094
150	uniprotkb:P29350-3	uniprotkb:Q13094
153	uniprotkb:Q9UHD2	uniprotkb:Q96CV9
162	uniprotkb:Q9UHD2	refseq:NP_001008212
170	uniprotkb:P52799	uniprotkb:P54760
174	uniprotkb:O00231	uniprotkb:P62195
179	uniprotkb:P22362	uniprotkb:P32246
182	uniprotkb:O75376	uniprotkb:Q9Y618
183	uniprotkb:O75376-2	refseq:XP_005253707
185	uniprotkb:P62993-2	uniprotkb:Q8TF74
188	uniprotkb:B0LPF3	uniprotkb:Q8TF74
190	uniprotkb:Q9Y265	uniprotkb:Q96L91
192	uniprotkb:Q9Y265	uniprotkb:Q96L91-2
199	uniprotkb:P49069	uniprotkb:O14836
204	uniprotkb:O14818	refseq:XP_005271105
206	uniprotkb:O14818	uniprotkb:P49721
208	uniprotkb:O00237	uniprotkb:P61088
212	uniprotkb:P50148	uniprotkb:Q9NQ66-2
214	uniprotkb:P50148	uniprotkb:Q9NQ66
216	uniprotkb:Q86Y01	uniprotkb:P46531
220	uniprotkb:P30307	uniprotkb:P62258
221	uniprotkb:P62258	uniprotkb:P30307-3
224	uniprotkb:Q09472	uniprotkb:Q13547
232	uniprotkb:P50995	uniprotkb:Q9H553
235	uniprotkb:P50995	uniprotkb:Q9H553-2
239	uniprotkb:Q8ND76	uniprotkb:P61981
244	uniprotkb:P29350	uniprotkb:E3NZD8
257	uniprotkb:P43628-2	uniprotkb:P29350-3
259	uniprotkb:P27824	refseq:NP_005568
266	uniprotkb:Q9UPT5-2	uniprotkb:F5GZT1
269	uniprotkb:Q96A65-2	uniprotkb:Q9UPT5-2
271	uniprotkb:O00232	uniprotkb:P51665
273	uniprotkb:P51665	uniprotkb:O00232-2
276	uniprotkb:P32121-5	uniprotkb:P28482
278	uniprotkb:P32121-2	uniprotkb:P28482
281	uniprotkb:O14763-2	uniprotkb:O00220
285	uniprotkb:P52735-3	uniprotkb:P84095
289	uniprotkb:P84095	uniprotkb:P52735
291	uniprotkb:P25788	uniprotkb:P49720
292	uniprotkb:P49720	uniprotkb:P25788-2
294	uniprotkb:P25963	uniprotkb:Q15418
309	uniprotkb:P40337-3	uniprotkb:Q15843
315	uniprotkb:P40337	uniprotkb:Q15843
316	uniprotkb:Q9Y4R8	refseq:NM_000051
