uidA	uidB
uniprotkb:A8K7B7	uniprotkb:P62714
uniprotkb:O75486	uniprotkb:Q9Y4A5
uniprotkb:Q9Y4A5-2	uniprotkb:O75486-3
refseq:NM_003715	uniprotkb:P61764
uniprotkb:O60763	uniprotkb:P61764
uniprotkb:Q92769	uniprotkb:Q96BD5
uniprotkb:Q9ULX9	refseq:XP_005246677
uniprotkb:Q16236	uniprotkb:Q9ULX9
uniprotkb:Q96SB4	uniprotkb:Q13247
uniprotkb:P05114	uniprotkb:P51812
uniprotkb:Q15582	uniprotkb:P02452
uniprotkb:Q09028-4	uniprotkb:Q9UK53-5
uniprotkb:P27348	uniprotkb:J3KPH8
uniprotkb:P27348	uniprotkb:Q8WUI4-3
uniprotkb:P19447	refseq:XP_005248684
uniprotkb:P19447	uniprotkb:P51946
uniprotkb:Q15185	uniprotkb:O00170
uniprotkb:P49368	uniprotkb:P50991
uniprotkb:P50991	uniprotkb:Q59H77
uniprotkb:P04839	uniprotkb:P13498
uniprotkb:P54578	uniprotkb:P17980
uniprotkb:P17980	uniprotkb:B7Z4N8
uniprotkb:Q8IWZ6	uniprotkb:Q9BXC9
uniprotkb:P07948-2	uniprotkb:P19174
uniprotkb:P07948	uniprotkb:P19174
uniprotkb:P47897	uniprotkb:P56192
uniprotkb:Q92934	uniprotkb:Q07820
uniprotkb:P52434	uniprotkb:Q9Y535
uniprotkb:Q9P2W3	uniprotkb:Q9HAV0
uniprotkb:Q15008	uniprotkb:Q13200
refseq:NP_006827	uniprotkb:P01106-2
uniprotkb:P01106	uniprotkb:Q92616
refseq:AAO74612	refseq:AAC08953
uniprotkb:Q92541	uniprotkb:Q6PD62
uniprotkb:P09619	uniprotkb:Q12913
uniprotkb:P29350	uniprotkb:Q13094
uniprotkb:P29350-3	uniprotkb:Q13094
uniprotkb:Q9UHD2	uniprotkb:Q96CV9
uniprotkb:Q9UHD2	refseq:NP_001008212
uniprotkb:P52799	uniprotkb:P54760
uniprotkb:O00231	uniprotkb:P62195
uniprotkb:P22362	uniprotkb:P32246
uniprotkb:O75376	uniprotkb:Q9Y618
uniprotkb:O75376-2	refseq:XP_005253707
uniprotkb:P62993-2	uniprotkb:Q8TF74
uniprotkb:B0LPF3	uniprotkb:Q8TF74
uniprotkb:Q9Y265	uniprotkb:Q96L91
uniprotkb:Q9Y265	uniprotkb:Q96L91-2
uniprotkb:P49069	uniprotkb:O14836
uniprotkb:O14818	refseq:XP_005271105
uniprotkb:O14818	uniprotkb:P49721
uniprotkb:O00237	uniprotkb:P61088
uniprotkb:P50148	uniprotkb:Q9NQ66-2
uniprotkb:P50148	uniprotkb:Q9NQ66
uniprotkb:Q86Y01	uniprotkb:P46531
uniprotkb:P30307	uniprotkb:P62258
uniprotkb:P62258	uniprotkb:P30307-3
uniprotkb:Q09472	uniprotkb:Q13547
uniprotkb:P50995	uniprotkb:Q9H553
uniprotkb:P50995	uniprotkb:Q9H553-2
uniprotkb:Q8ND76	uniprotkb:P61981
uniprotkb:P29350	uniprotkb:E3NZD8
uniprotkb:P43628-2	uniprotkb:P29350-3
uniprotkb:P27824	refseq:NP_005568
uniprotkb:Q9UPT5-2	uniprotkb:F5GZT1
uniprotkb:Q96A65-2	uniprotkb:Q9UPT5-2
uniprotkb:O00232	uniprotkb:P51665
uniprotkb:P51665	uniprotkb:O00232-2
uniprotkb:P32121-5	uniprotkb:P28482
uniprotkb:P32121-2	uniprotkb:P28482
uniprotkb:O14763-2	uniprotkb:O00220
uniprotkb:P52735-3	uniprotkb:P84095
uniprotkb:P84095	uniprotkb:P52735
uniprotkb:P25788	uniprotkb:P49720
uniprotkb:P49720	uniprotkb:P25788-2
uniprotkb:P25963	uniprotkb:Q15418
uniprotkb:P40337-3	uniprotkb:Q15843
uniprotkb:P40337	uniprotkb:Q15843
uniprotkb:Q9Y4R8	refseq:NM_000051
uniprotkb:Q9Y4R8	uniprotkb:Q13315
uniprotkb:D0PNI1	uniprotkb:Q99759
uniprotkb:O75674	uniprotkb:Q00610
uniprotkb:O43516	uniprotkb:B0LPF3
uniprotkb:O43516	uniprotkb:P62993-2
uniprotkb:Q8NES3-2	uniprotkb:P46531
uniprotkb:Q8NES3	uniprotkb:P46531
uniprotkb:Q9UHB7	uniprotkb:P50750
uniprotkb:Q8IW19	uniprotkb:Q13426
uniprotkb:Q8IW19	uniprotkb:Q13426-2
uniprotkb:Q13330	uniprotkb:Q16576
uniprotkb:Q13616	uniprotkb:Q9Y3I1-3
uniprotkb:Q13616	uniprotkb:Q9Y3I1
uniprotkb:P32780	refseq:NM_000937
uniprotkb:P24928	uniprotkb:P32780
uniprotkb:F1D8N4	uniprotkb:Q12888
uniprotkb:P48556	uniprotkb:P51665
uniprotkb:Q99650	uniprotkb:P13725
uniprotkb:P07437	uniprotkb:Q9UBN7
uniprotkb:Q9UMS4	uniprotkb:Q99459
uniprotkb:O75643	uniprotkb:A0MNP2
uniprotkb:Q13490	uniprotkb:Q13546
uniprotkb:Q9Y4L5	uniprotkb:P62837
uniprotkb:P55884	uniprotkb:P60228
uniprotkb:Q99728	uniprotkb:P33240
uniprotkb:P51665	uniprotkb:P62195
uniprotkb:P04637-8	uniprotkb:Q00535
uniprotkb:Q00535-2	uniprotkb:P04637-7
uniprotkb:O75581	uniprotkb:O15169-2
uniprotkb:P24941	uniprotkb:Q5MJ70-1
uniprotkb:P24941-2	uniprotkb:Q5MJ70-1
uniprotkb:O00303	uniprotkb:B0QY90
uniprotkb:Q9Y262	uniprotkb:O00303
uniprotkb:P63208	uniprotkb:Q8NHM5
refseq:XP_005272110	refseq:XP_005254014
uniprotkb:P33176	uniprotkb:D0PNI1
uniprotkb:P08311	uniprotkb:P02775
uniprotkb:Q13547	uniprotkb:G4XH65
uniprotkb:P49768	uniprotkb:Q02410
uniprotkb:Q9NTJ3	uniprotkb:Q15003
uniprotkb:P68133	uniprotkb:P51911
uniprotkb:P62191	uniprotkb:P62195
uniprotkb:Q15370	uniprotkb:Q93034
uniprotkb:Q93034	uniprotkb:Q15370-2
uniprotkb:P20042	uniprotkb:Q9UI10-3
uniprotkb:P20042	uniprotkb:Q9UI10
uniprotkb:P68431	refseq:XP_005245698
uniprotkb:Q15047-3	uniprotkb:P68431
uniprotkb:Q99613	uniprotkb:P55884
uniprotkb:P36508	uniprotkb:P20226
uniprotkb:Q15545	uniprotkb:Q15542
uniprotkb:Q9UBZ9-2	refseq:XP_005267147
uniprotkb:O60673	refseq:XP_005264026
uniprotkb:Q13043	uniprotkb:Q13188
uniprotkb:O15304	uniprotkb:Q07817
uniprotkb:Q02790	uniprotkb:P07900-2
uniprotkb:Q02790	uniprotkb:K9JA46
uniprotkb:P17844	uniprotkb:Q13547
uniprotkb:P25787	uniprotkb:P43686-2
uniprotkb:P25787	uniprotkb:A8K2M0
uniprotkb:Q13889	refseq:XP_005267745
uniprotkb:P51948	uniprotkb:Q13889
uniprotkb:Q8WXI9	uniprotkb:Q9UBB5-3
uniprotkb:Q14145	uniprotkb:Q13501
uniprotkb:Q3SYG4	uniprotkb:Q9BXC9
uniprotkb:P98170	uniprotkb:P62837
uniprotkb:Q96C24	uniprotkb:A2RU94
uniprotkb:O15379	uniprotkb:H9NIM3
refseq:AAB34430	uniprotkb:P01215
uniprotkb:O14929	uniprotkb:P68431
uniprotkb:Q13094	uniprotkb:O43561
uniprotkb:Q13114-2	uniprotkb:O00463
uniprotkb:A6NHG8	uniprotkb:O00463
uniprotkb:Q13547	uniprotkb:Q05195
uniprotkb:Q00987	uniprotkb:P48729-2
uniprotkb:P48729	uniprotkb:Q00987
uniprotkb:Q00987-11	refseq:XP_005268433
uniprotkb:P62249	uniprotkb:P23396
uniprotkb:P16104	uniprotkb:Q9Y5B9
uniprotkb:F1D8R8	uniprotkb:P48552
uniprotkb:Q05655	uniprotkb:P29353
uniprotkb:Q05655	uniprotkb:P29353-5
uniprotkb:P01106-2	uniprotkb:P28482
uniprotkb:P01106	uniprotkb:P28482
uniprotkb:P35548	uniprotkb:Q9Y5V3
uniprotkb:Q9UNM6	uniprotkb:Q13200
uniprotkb:O00587	uniprotkb:P46531
uniprotkb:Q15393	refseq:XP_005268422
uniprotkb:O14776	uniprotkb:Q15393
uniprotkb:Q16254	uniprotkb:Q5TKA1-2
uniprotkb:Q5TKA1	uniprotkb:Q16254
uniprotkb:Q8TB45	uniprotkb:P42345
uniprotkb:Q9H7Z6-2	uniprotkb:P04637-7
uniprotkb:Q9H7Z6	uniprotkb:K7PPA8
uniprotkb:P61962	uniprotkb:Q13627-4
uniprotkb:Q13627	uniprotkb:P61962
uniprotkb:P61758	uniprotkb:Q9NQP4
uniprotkb:Q9NQP4	refseq:NP_003363
uniprotkb:O14818	uniprotkb:P28070
uniprotkb:Q9Y4K3	uniprotkb:Q13200
uniprotkb:O14776-2	refseq:NM_000937
refseq:XP_005268422	refseq:NM_000937
uniprotkb:P61956-2	uniprotkb:P05412
uniprotkb:P56524	uniprotkb:P63279
uniprotkb:Q9Y3R0	uniprotkb:P42262
refseq:XP_005268815	refseq:NP_001077088
uniprotkb:P35221	refseq:NP_001120983
uniprotkb:P25054	uniprotkb:P35221
uniprotkb:P22681	uniprotkb:Q04912
uniprotkb:O95429	uniprotkb:A8K5I0
refseq:XP_005246432	uniprotkb:Q9NZC7-5
uniprotkb:Q15303	uniprotkb:Q9NZC7
uniprotkb:O60244	uniprotkb:P49336
uniprotkb:Q00610	uniprotkb:Q9UJY5-5
uniprotkb:Q16512	refseq:XP_005257425
uniprotkb:Q16512-3	refseq:XP_005257425
uniprotkb:Q8IYJ3-2	uniprotkb:A2RU94
uniprotkb:Q8IYJ3	uniprotkb:A2RU94
uniprotkb:Q96ST3	uniprotkb:Q9UK53-5
uniprotkb:P15172	uniprotkb:P41134-2
uniprotkb:Q9BPX5	uniprotkb:O15144
uniprotkb:P28072	uniprotkb:P25789
uniprotkb:B2R4W8	uniprotkb:P60866-2
uniprotkb:P60866	uniprotkb:B2R4W8
uniprotkb:Q9Y6D9	uniprotkb:O75182
uniprotkb:Q15466	uniprotkb:G4XH65
uniprotkb:Q8WWR8-3	uniprotkb:Q99750
uniprotkb:B3KR54	uniprotkb:Q99750
uniprotkb:P05154	uniprotkb:P00734
uniprotkb:P33991	uniprotkb:P24941
uniprotkb:P33991	uniprotkb:P24941-2
uniprotkb:P07204	uniprotkb:P04070
uniprotkb:Q99962	uniprotkb:P49418
uniprotkb:Q15582	uniprotkb:P08123
uniprotkb:P34932	uniprotkb:P00533
uniprotkb:P11532	uniprotkb:Q15124
uniprotkb:Q15124	refseq:NP_003998
uniprotkb:Q8IZL8	uniprotkb:Q9H4L4
uniprotkb:I3L3A8	uniprotkb:Q9H4L4
uniprotkb:Q12824	uniprotkb:Q96GM5
uniprotkb:Q96GM5	uniprotkb:Q9H836
uniprotkb:G1UI16	uniprotkb:Q8WVM7
uniprotkb:Q8WVM7	uniprotkb:Q29RF7-3
uniprotkb:Q13257	uniprotkb:Q9UJX6
uniprotkb:O00743-2	uniprotkb:Q5H9R7-5
uniprotkb:Q5H9R7	uniprotkb:O00743
uniprotkb:P42336	uniprotkb:P35568
uniprotkb:Q9Y3D6	refseq:NP_066289
uniprotkb:Q13283	uniprotkb:Q04637-5
uniprotkb:Q04637	uniprotkb:Q13283
uniprotkb:Q16531	uniprotkb:Q5T6F0
uniprotkb:Q8TAQ2	uniprotkb:Q969G3
uniprotkb:Q969G3	refseq:XP_005269162
uniprotkb:P05408	uniprotkb:P16519
uniprotkb:P16519	uniprotkb:P05408-2
uniprotkb:P01106-2	refseq:XP_005248398
uniprotkb:P01106	uniprotkb:Q13309
uniprotkb:Q9Y6E0	uniprotkb:Q13033
uniprotkb:Q5U0E6	refseq:XP_005267626
uniprotkb:P46109	uniprotkb:P11274-2
uniprotkb:Q13616	uniprotkb:P24941
uniprotkb:Q86X55	refseq:XP_005255181
uniprotkb:P54578	uniprotkb:P62195
uniprotkb:B7Z4N8	uniprotkb:P62195
uniprotkb:Q9UKB1	uniprotkb:P35222
uniprotkb:P35222	refseq:XP_005265914
uniprotkb:Q9P0J6	uniprotkb:P38398-4
uniprotkb:Q9P0J6	uniprotkb:P38398
refseq:XP_005272110	refseq:XP_005266087
uniprotkb:P63208-2	uniprotkb:Q8TCJ0-3
uniprotkb:P60953	uniprotkb:P41743
uniprotkb:Q96F07	uniprotkb:Q92558
uniprotkb:Q96F07-2	uniprotkb:Q92558
uniprotkb:Q13144	uniprotkb:Q9UI10-2
uniprotkb:Q13144	uniprotkb:Q9UI10
uniprotkb:Q15466	uniprotkb:Q13547
uniprotkb:Q9HC29	uniprotkb:O43318-4
uniprotkb:O43318	uniprotkb:Q9HC29
uniprotkb:Q9UK73	uniprotkb:Q15369-2
uniprotkb:Q15369	uniprotkb:Q9UK73
uniprotkb:P53618	uniprotkb:O14579
uniprotkb:P53618	uniprotkb:O14579-3
uniprotkb:P52735-3	uniprotkb:P22681
uniprotkb:P22681	uniprotkb:P52735
uniprotkb:P05386	uniprotkb:P05388
uniprotkb:P62258	uniprotkb:P61981
uniprotkb:Q9BX67	uniprotkb:O00254
uniprotkb:O00254	uniprotkb:Q9BX67-2
uniprotkb:Q15648	uniprotkb:Q71SY5
uniprotkb:P42229	uniprotkb:Q969D9
uniprotkb:Q14188	uniprotkb:O00716
uniprotkb:Q14188-5	uniprotkb:O00716
uniprotkb:Q8N5C8	uniprotkb:Q15750-2
uniprotkb:Q8N5C8	refseq:XP_005261361
uniprotkb:O60684	uniprotkb:Q14974
uniprotkb:O75385	uniprotkb:O75143
refseq:NP_003556	uniprotkb:O75143-4
uniprotkb:P08579	uniprotkb:Q16637-4
uniprotkb:P08579	uniprotkb:Q16637
uniprotkb:A8C4L5	uniprotkb:B4DN43
refseq:NP_631938	uniprotkb:A8C4L5
uniprotkb:O00267-2	uniprotkb:O60563
uniprotkb:O00267	uniprotkb:O60563
uniprotkb:P49721	uniprotkb:P28070
uniprotkb:P28070	refseq:XP_005271105
uniprotkb:P62280	uniprotkb:B2R491
uniprotkb:Q8N3U4	uniprotkb:Q29RF7-3
