uidA	uidB
uniprotkb:A8K7B7	uniprotkb:P62714
uniprotkb:O75486	uniprotkb:Q9Y4A5
uniprotkb:Q9Y4A5-2	uniprotkb:O75486-3
uniprotkb:P62191	refseq:XP_005271105
uniprotkb:P49721	uniprotkb:P62191
uniprotkb:O43809	uniprotkb:Q96J02-2
uniprotkb:O43809	uniprotkb:Q96J02
uniprotkb:Q9Y6Q9	uniprotkb:A8K571
uniprotkb:A8K571	uniprotkb:Q9Y6Q9-5
uniprotkb:A4D2P0	refseq:XP_005251065
uniprotkb:Q05397	uniprotkb:A4D2P1
uniprotkb:P63208	uniprotkb:P20248
uniprotkb:P63208-2	refseq:NP_001228
refseq:XP_005270956	uniprotkb:Q6IQ32
uniprotkb:Q13952	uniprotkb:Q6IQ32
refseq:NM_003715	uniprotkb:P61764
uniprotkb:O60763	uniprotkb:P61764
refseq:XP_005255181	uniprotkb:Q9Y2Y9
uniprotkb:Q92769	uniprotkb:Q96BD5
uniprotkb:Q9Y5L4	uniprotkb:A8K8L7
uniprotkb:O95751	uniprotkb:Q9H8W4
uniprotkb:Q9ULX9	refseq:XP_005246677
uniprotkb:Q16236	uniprotkb:Q9ULX9
uniprotkb:Q86XK2	uniprotkb:P62877
uniprotkb:P62877	refseq:XP_005264630
refseq:NP_057852	uniprotkb:P62875
uniprotkb:Q9NW61	uniprotkb:Q14525
uniprotkb:Q96KG7	uniprotkb:Q9BY12
uniprotkb:P28070	uniprotkb:O00487
uniprotkb:O14908	uniprotkb:Q9P0V3
uniprotkb:Q9P0V3	uniprotkb:A8K2I7
uniprotkb:P63279	refseq:AAC27506
uniprotkb:Q5JPT6	uniprotkb:O43597
uniprotkb:O43597	refseq:XP_005274553
uniprotkb:Q8N9I9	uniprotkb:Q9Y2X8
uniprotkb:P50750	uniprotkb:Q13535
uniprotkb:A8MY43	uniprotkb:Q52LJ0
uniprotkb:O14874	uniprotkb:Q52LJ0
uniprotkb:P34932	refseq:NP_057852
uniprotkb:O43809	uniprotkb:Q01201
uniprotkb:Q96SB4	uniprotkb:Q13247
uniprotkb:Q99558	uniprotkb:P62913
uniprotkb:P05114	uniprotkb:P51812
uniprotkb:P14738	uniprotkb:P02751
uniprotkb:P27701	uniprotkb:P27824
uniprotkb:P27701-2	uniprotkb:P27824
uniprotkb:Q9H204	uniprotkb:P06239
uniprotkb:Q02779	uniprotkb:Q9H0H5
uniprotkb:Q8TF05-2	uniprotkb:C4P096
uniprotkb:Q8TF05	uniprotkb:Q9NRI5
uniprotkb:Q86UR1	uniprotkb:Q9Y5S8
uniprotkb:Q86UR1-2	uniprotkb:Q9Y5S8
uniprotkb:Q15582	uniprotkb:P02452
uniprotkb:Q15554-3	uniprotkb:Q80W00
uniprotkb:Q96ST3	uniprotkb:Q9UBB5-3
uniprotkb:P20265	uniprotkb:P49335
uniprotkb:P20265	refseq:NP_000298
uniprotkb:P62917	uniprotkb:A2RUM7
uniprotkb:Q9GZS1-2	uniprotkb:Q9Y5B9
uniprotkb:Q9GZS1	uniprotkb:Q9Y5B9
uniprotkb:Q9P2S5	uniprotkb:P24941
uniprotkb:P04350	uniprotkb:O43353
uniprotkb:Q09028-4	uniprotkb:Q9UK53-5
uniprotkb:P27348	uniprotkb:J3KPH8
uniprotkb:P27348	uniprotkb:Q8WUI4-3
uniprotkb:Q8N122	uniprotkb:Q8TCU6
refseq:NP_065871	uniprotkb:Q8N122-2
uniprotkb:P97318	uniprotkb:P26010
uniprotkb:Q13002-2	uniprotkb:O14936-3
uniprotkb:Q13002	uniprotkb:O14936
refseq:XP_005271086	uniprotkb:Q02363
uniprotkb:Q5T3J3-2	uniprotkb:Q02363
uniprotkb:Q9H9S4	uniprotkb:P40692
refseq:NP_001230153	refseq:XP_005260545
uniprotkb:Q99638	uniprotkb:Q07817
uniprotkb:Q9Y6K9	uniprotkb:Q8WXE1
uniprotkb:Q8WXE1-5	refseq:XP_005274818
uniprotkb:Q8N961	uniprotkb:Q13618
uniprotkb:Q8N961-2	uniprotkb:Q13618
uniprotkb:P19474	uniprotkb:D0PNI1
uniprotkb:O15379	uniprotkb:P48643
uniprotkb:P14316	refseq:XP_005255969
uniprotkb:Q9NPI1	uniprotkb:P14316
uniprotkb:P35609	uniprotkb:P48552
uniprotkb:Q13418	uniprotkb:P56192
uniprotkb:P04839	refseq:NP_579880
uniprotkb:Q70Z53	uniprotkb:Q5JVS0
uniprotkb:Q5JVS0	uniprotkb:Q70Z53-2
uniprotkb:P51991	refseq:XP_005248497
uniprotkb:Q8WXA9	refseq:XP_005246439
refseq:NM_005216	refseq:NM_005870
uniprotkb:O00422	uniprotkb:P39656
uniprotkb:Q9Y5P4	uniprotkb:P35520
uniprotkb:P35520	uniprotkb:Q9Y5P4-3
uniprotkb:Q8TEW6	uniprotkb:P07949
uniprotkb:Q8TEW6	uniprotkb:P07949-2
uniprotkb:P46934-4	uniprotkb:Q96BA7
uniprotkb:P46934	uniprotkb:Q00839
uniprotkb:P01148	uniprotkb:Q16819
refseq:NP_000816	uniprotkb:Q16819
uniprotkb:M1P2Z0	uniprotkb:P00519
uniprotkb:P19447	refseq:XP_005248684
uniprotkb:P19447	uniprotkb:P51946
uniprotkb:D0PNI1	uniprotkb:P56945
uniprotkb:D0PNI1	uniprotkb:P56945-6
uniprotkb:P58549	uniprotkb:P05023
uniprotkb:Q15185	uniprotkb:O00170
uniprotkb:P49368	uniprotkb:P50991
uniprotkb:P50991	uniprotkb:Q59H77
uniprotkb:Q99PE9	uniprotkb:P36897
refseq:AAH01723	uniprotkb:Q96IP4
uniprotkb:Q96A23	uniprotkb:Q99829
uniprotkb:Q7LBR1	uniprotkb:Q08945
uniprotkb:P18615	uniprotkb:P19387
uniprotkb:P62249	uniprotkb:A2RUM7
uniprotkb:P04839	uniprotkb:P13498
uniprotkb:P63208	uniprotkb:Q7Z6M2
uniprotkb:Q8IUR6	uniprotkb:O95400
uniprotkb:Q8IUR6-2	uniprotkb:O95400
uniprotkb:Q8WX92	uniprotkb:P38646
uniprotkb:Q6PCD5	refseq:XP_005263259
uniprotkb:P61077	uniprotkb:Q6PCD5
uniprotkb:G8HBH2	refseq:XP_005274553
uniprotkb:Q5JPT6	uniprotkb:P08393
uniprotkb:Q5TD97	uniprotkb:O75558
uniprotkb:P12931	uniprotkb:P31946
uniprotkb:P05814	uniprotkb:P51956
uniprotkb:P20618	uniprotkb:Q6XUX3-3
uniprotkb:P20618	uniprotkb:Q6XUX3
uniprotkb:P62136	uniprotkb:Q15428
uniprotkb:Q15428	uniprotkb:P62136-3
uniprotkb:P01375	uniprotkb:P36941
uniprotkb:P25685	uniprotkb:Q9UNE7
refseq:AAB24269	refseq:AAB24270
uniprotkb:P05423	uniprotkb:Q9H1D9
uniprotkb:Q9UKB1	uniprotkb:Q00987
uniprotkb:Q00987-11	refseq:XP_005265914
uniprotkb:P60709	refseq:NP_579881
uniprotkb:B9A2Q4	uniprotkb:O14980
uniprotkb:P36873	uniprotkb:Q13315
refseq:NM_000051	uniprotkb:P36873-2
uniprotkb:Q6P2Q9	uniprotkb:Q15428
uniprotkb:P08670	uniprotkb:P51665
uniprotkb:P54578	uniprotkb:P17980
uniprotkb:P17980	uniprotkb:B7Z4N8
uniprotkb:O75159	uniprotkb:P24394-2
uniprotkb:O75159	refseq:XP_005255362
uniprotkb:O95782	uniprotkb:P35659
uniprotkb:O95782-2	uniprotkb:P35659-2
uniprotkb:P62820-3	uniprotkb:Q9H8Y8
uniprotkb:P62820	uniprotkb:Q9H8Y8
uniprotkb:Q9NPD8	uniprotkb:P35227
uniprotkb:P14618-2	uniprotkb:Q969Q1
uniprotkb:Q969Q1	refseq:NP_001193725
uniprotkb:Q9NZ63	uniprotkb:O94868
uniprotkb:B0LPF3	uniprotkb:Q9Y496
uniprotkb:Q9Y496	uniprotkb:P62993-2
uniprotkb:Q8TAI7	uniprotkb:Q8R2X8
uniprotkb:Q9BWJ1	uniprotkb:Q9BUB5
uniprotkb:P27361-2	uniprotkb:Q9BUB5-3
uniprotkb:Q15008	uniprotkb:P28070
uniprotkb:P08195	uniprotkb:Q6FII1
uniprotkb:J3KPF3	uniprotkb:Q9Y2Q3-2
uniprotkb:P54253	uniprotkb:P02686
uniprotkb:P54253	refseq:XP_005266754
uniprotkb:Q8IWZ6	uniprotkb:Q9BXC9
uniprotkb:P07948-2	uniprotkb:P19174
uniprotkb:P07948	uniprotkb:P19174
uniprotkb:P04083	refseq:XP_005274205
uniprotkb:P04083	uniprotkb:Q04206
uniprotkb:P06756	uniprotkb:P41231
refseq:NP_001138471	uniprotkb:P41231
uniprotkb:B2R6Q4	uniprotkb:Q02535
uniprotkb:Q9Y230	uniprotkb:O00115
refseq:AAD03724	refseq:AAC51074
uniprotkb:Q9Y3B2	uniprotkb:Q9Y2H9
refseq:XP_291141	uniprotkb:Q15797
refseq:NP_631897	uniprotkb:P24941
uniprotkb:Q96Q40	uniprotkb:P24941
uniprotkb:D0PNI1	uniprotkb:P30084
uniprotkb:P47897	uniprotkb:P56192
uniprotkb:O95835	uniprotkb:Q13043
uniprotkb:P02774	uniprotkb:Q92569
uniprotkb:Q92569	uniprotkb:P02774-2
uniprotkb:Q06190	refseq:NP_579881
uniprotkb:B3VK56	uniprotkb:P09601
uniprotkb:Q13347	uniprotkb:B7ZKQ2
uniprotkb:Q08G24	uniprotkb:Q13347
uniprotkb:P31947	uniprotkb:Q8IUC4
uniprotkb:Q9Y5T5-5	refseq:XP_005263532
uniprotkb:Q9Y5T5-2	uniprotkb:Q01780-2
uniprotkb:P27824	refseq:AAA52477
uniprotkb:Q13490	uniprotkb:M1P2Z0
uniprotkb:Q13490	uniprotkb:Q7Z434-4
uniprotkb:O15427	uniprotkb:P35613-3
uniprotkb:O15427	uniprotkb:P35613
uniprotkb:P51580	refseq:AAD13152
uniprotkb:Q92934	uniprotkb:Q07820
uniprotkb:Q06124-2	uniprotkb:P16410-5
uniprotkb:P16410	uniprotkb:Q06124
uniprotkb:P40337	uniprotkb:Q02543
uniprotkb:Q02543	uniprotkb:P40337-3
uniprotkb:P02753	refseq:AAB35639
uniprotkb:P0C0L5	uniprotkb:P68104
uniprotkb:P52434	uniprotkb:Q9Y535
refseq:NP_002176	uniprotkb:P07948-2
uniprotkb:P16871	uniprotkb:P07948
uniprotkb:P04637-8	uniprotkb:Q9BTV7
uniprotkb:Q9BTV7	uniprotkb:P04637-7
uniprotkb:Q9HAU4	uniprotkb:P97348
uniprotkb:Q15596	uniprotkb:P27540-3
uniprotkb:Q13490	uniprotkb:Q96B02
uniprotkb:Q13490	uniprotkb:Q96FI0
uniprotkb:O60229	uniprotkb:Q9BZL6
refseq:NP_001073349	uniprotkb:O60229-4
uniprotkb:Q9P2W3	uniprotkb:Q9HAV0
uniprotkb:P30040	uniprotkb:P11021
uniprotkb:P18848	uniprotkb:H9NIL8
uniprotkb:Q12933	uniprotkb:Q16584
uniprotkb:Q99805	uniprotkb:P51151
uniprotkb:Q15008	uniprotkb:Q13200
uniprotkb:Q9ULV3-3	uniprotkb:P38936
uniprotkb:P38936	refseq:NP_001244904
uniprotkb:Q9NR96	uniprotkb:Q9NWF9-1
uniprotkb:Q9NWF9-3	uniprotkb:Q9NR96
uniprotkb:Q9UHD2	uniprotkb:Q13748
uniprotkb:P18847	uniprotkb:Q04206
uniprotkb:P18847-4	refseq:XP_005274205
uniprotkb:P51808	uniprotkb:P06127
uniprotkb:Q8IUC4	uniprotkb:Q9HCE7-2
uniprotkb:P25788-2	uniprotkb:Q9UNM6
uniprotkb:P25788	uniprotkb:Q9UNM6
uniprotkb:Q9NQZ3	refseq:XP_005259588
uniprotkb:Q9NQZ3	uniprotkb:Q96EP5-2
uniprotkb:Q9UKL3	uniprotkb:A8YXX4
uniprotkb:Q9UQ35	refseq:XP_005261230
uniprotkb:Q9UQ35	uniprotkb:Q01081
uniprotkb:Q13263	uniprotkb:Q14140
uniprotkb:Q15386	uniprotkb:Q13200
uniprotkb:Q9NYJ8	uniprotkb:P17858
refseq:NP_006827	uniprotkb:P01106-2
uniprotkb:P01106	uniprotkb:Q92616
uniprotkb:P08253	uniprotkb:P39060
uniprotkb:D3DSM4	uniprotkb:P08253-3
uniprotkb:P40692	refseq:XP_005254384
uniprotkb:P07355	uniprotkb:P40692
uniprotkb:P31946	uniprotkb:Q5PRF9
refseq:XP_118335	refseq:AAD13152
uniprotkb:O95433	uniprotkb:Q9Y5J5
uniprotkb:P84022	uniprotkb:Q66LE6
uniprotkb:Q8WVN8	uniprotkb:P35227
uniprotkb:C9JX13	uniprotkb:P35227
uniprotkb:P16220	uniprotkb:Q7Z3K3
uniprotkb:P16220-3	uniprotkb:Q7Z3K3-4
refseq:AAO74612	refseq:AAC08953
uniprotkb:P61088	uniprotkb:Q9C035
uniprotkb:Q92828	uniprotkb:O60907-2
uniprotkb:Q92828	uniprotkb:O60907
uniprotkb:P68400	uniprotkb:P31947
uniprotkb:P31947	uniprotkb:P68400-2
uniprotkb:Q96ST3	refseq:XP_005274205
uniprotkb:Q04206-4	uniprotkb:Q96ST3
uniprotkb:Q92541	uniprotkb:Q6PD62
uniprotkb:Q13330	uniprotkb:L8B7P7
uniprotkb:P04626	uniprotkb:L7RT18
uniprotkb:L7RT18	uniprotkb:P04626-3
uniprotkb:P82664	uniprotkb:P82675
uniprotkb:P31146	uniprotkb:P07996
uniprotkb:Q6EEV4	uniprotkb:Q8IWZ3
uniprotkb:Q8IWZ3	uniprotkb:P0CAP1-9
uniprotkb:P06733	uniprotkb:Q99972
uniprotkb:Q99972	uniprotkb:P06733-2
uniprotkb:P09619	uniprotkb:Q12913
uniprotkb:O60861	uniprotkb:Q7L576
refseq:XP_005272599	refseq:XP_005256890
uniprotkb:P35548	uniprotkb:P13010
uniprotkb:Q06124-2	uniprotkb:P32239
uniprotkb:Q06124	uniprotkb:P32239
uniprotkb:P14672	uniprotkb:P31751
uniprotkb:Q08999	uniprotkb:C6EMX8
uniprotkb:Q08999	uniprotkb:P33993-3
uniprotkb:P07306	uniprotkb:Q08G24
