SUPT3H	TRRAP
USO1	STXBP1
USO1	STXBP1
HDAC2	PHF21A
NFE2L2	MAFF
SRPK1	SRSF6
HMGN1	RPS6KA3
TGFBI	COL1A1
ERCC3	CCNH
PTGES3	AIP
CCT3	CCT4
CYBB	CYBA
USP14	PSMC3
BBS7	BBS2
LYN	PLCG1
QARS	MARS
BAD	MCL1
POLR2H	POLR3H
GNG13	GNB4
PSMD6	PSMD2
MYC	GCN1
RTF1	CTR9
PDGFRB	PTPRJ
PTPN6	LCP2
TBK1	OPTN
EFNB2	EPHB4
PSMD11	PSMC5
CCL1	CCR1
NCOR1	NCOR2
RUVBL1	EP400
CAMLG	TNFRSF13B
PSMA7	PSMB2
RNF103	UBE2N
GNAQ	PLCB1
DTX1	NOTCH1
CDC25C	YWHAE
EP300	HDAC1
ANXA11	ALG2
CCNY	YWHAG
PSMD12	PSMD7
RHOG	VAV2
PSMA3	PSMB3
NFKBIA	RPS6KA1
VHL	NEDD8
TELO2	ATM
TELO2	ATM
TOM1L1	CLTC
LFNG	NOTCH1
AFF4	CDK9
APLF	XRCC4
MTA1	RBBP7
CUL1	FBXO7
GTF2H1	POLR2A
POLR2A	GTF2H1
PSMD8	PSMD7
OSMR	OSM
TUBB	HDAC6
PRPF19	CDC5L
BIRC2	RIPK1
RNF115	UBE2D2
EIF3B	EIF3E
BARD1	CSTF2
PSMD7	PSMC5
EIF3L	EIF3F
SKP1	KDM2B
CTSG	PPBP
PSEN1	APBA1
SMC4	NCAPH
ACTA1	CNN1
PSMC1	PSMC5
TCEB2	CUL5
EIF2S2	EIF2B4
EIF3C	EIF3B
ZNF76	TBP
TAF7	TAF5
STK4	STK3
SIVA1	BCL2L1
DDX5	HDAC1
MNAT1	GTF2H3
KEAP1	SQSTM1
BBS9	BBS2
XIAP	UBE2D2
HAT1	HIST1H3A
LCP2	LAT
HDAC1	MXD1
CSNK1A1	MDM2
RPS16	RPS3
H2AFX	SUPT16H
PRKCD	SHC1
MYC	MAPK1
MSX2	MAGED1
PSMD13	PSMD2
MFNG	NOTCH1
TCERG1	SF3B3
LIN9	E2F4
DEPTOR	MTOR
DYRK1A	DCAF7
