a_alias	b_alias
CEP44	SPERT
EWSR1	CETP
AP3B1	AP3S2
NEDD4L	SGK1
NUP62	XPO6
DVL2	OTULIN
RAB33B	GOLGA2
TBK1	CDC37
MAPKAPK5	MAPK13
PFDN1	CEP126
FBXO18	RPL13A
CCDC86	DLST
BCCIP	FAM46A
DGCR6L	NECAB2
PLXNA2	FNBP4
PELP1	RB1
IKBKG	NFKBIB
IKZF3	IKZF4
SMAD2	RPS14
ADAM9	SNX9
TAL1	HDAC1
CCDC85B	SMARCD1
TRIP4	RARA
MPC1	GABARAP
COPS5	SMAD4
SLIT2	ROBO1
IL15	IL15RA
ZNF7	RPL7
NBN	MRE11A
TIMM13	TIMM8A
EXOC7	AKTIP
RGS2	CTSB
DSC3	PKP3
ADAM12	IGFBP3
MED31	HSPB1
BMPR1B	PPP3CC
EPHA7	AFDN
ARHGEF1	GNA13
ABHD16A	GPRC5C
AP1M1	MTF1
CD28	NSF
NDUFA4L2	COMMD8
PCNA	CDK2
KAT2A	XRCC5
ASF1B	CHAF1B
APOE	LRP2
CEBPA	CEBPD
VIM	PSME1
SKI	SKIL
CCDC22	BLOC1S6
TAF13	TBP
ZNF165	CCDC85B
FMR1	STAU1
RANBP9	HIPK2
CDC42EP1	PLSCR1
POLD1	CEP126
EIF4E	EIF4A1
SUMO3	SENP2
ERBB4	ABL1
SMAD2	ARL4D
PTN	RIT1
SF3B3	YWHAG
HIP1R	HIP1
STK16	ELK1
ITSN1	DISC1
DYNLT1	SLC25A10
FASLG	PIK3R1
CCL4	CCR1
DCTPP1	WDYHV1
RPS2	MPP3
PGK1	HSPH1
PLOD3	FAM153A
RSF1	SMARCA5
IKBKAP	ELP3
KIT	CLTC
CCDC53	LUC7L2
ERCC4	ERCC1
SMAD1	AP2A2
ATP5J2	NECTIN2
EIF3E	HAP1
PLTP	APOE
FEZ1	NDUFB9
H2AFX	ATM
RB1	CREG1
SMAD4	ZBED5
ERBB2	ANKS1B
SHC1	APP
TDP2	UBE2I
OLFM2	SRSF5
TAF9	GTF2B
EMD	FATE1
HDAC1	TOP2A
NME1	GORASP2
PPM1F	PAK1
MT2A	SPINK7
GRIK2	DLG3
GIPC1	RGS19
FAM46D	RHOXF2
CBX8	HAP1
ARPC3	THNSL2
