a_alias	b_alias
Q9Y6K1-3	Q13547
Q9C0F1	Q8NA61
Q9BX70	K7PPA8
Q01844	P11597
Q12967-2	A8KAH9
E9PC49	Q12778
O00203	P59780
Q96PU5	O00141
P37198	Q96QU8
Q99816	NP_579883
O14604	Q01844-6
O14641	Q96BN8
Q9H082	Q08379
Q9UHD2	Q16543
P42575-3	E9PE50
O75554	XP_005274357
Q8IW41	O15264
XP_005266460	Q14669
O60925	Q9P2H0
B3KWV4	Q14790-9
XP_005271593	XP_005262325
Q8NFZ0	P40429
A8K571	D3DPA4
Q9H6F5	P36957
B2R6F3	Q99590
Q9P287	Q96IP4
O75909-2	Q9NP66
Q9BY27	Q7Z6G3
XP_005274065	Q92878
O75051	Q8N3X1
Q8IZL8	P06400
Q8TAT6	XP_005261333
Q9Y6D9	P61244-4
B1APZ0	Q9HAV0
Q9Y6K9	Q15653
P36406	Q8NFF5-3
Q9UKT9	Q9H2S9
Q92993-2	Q49AJ0
Q15796	P62263
Q13443	Q9Y5X1
P17542	Q13547
P27986-2	P06400
XP_005257673	XP_005274205
Q15834	Q96GM5
Q15650	P10276
Q9Y5U8	O95166
Q92905	Q13485
O94813	Q9Y6N7
Q8TDR0-2	Q9NRI5
P84022-4	Q13950-3
O15105	Q9ULH7-4
A8K147	P21802-8
P40933	Q13261
P17097	P18124
F1D8P8	Q13573
O60934	P49959
Q9Y5L4	O60220
Q9UPT5	Q9H8T0
P62877	XP_005248398
P53816	Q9UMX0-2
P41220	P07858
P00747	P04156
Q14574	Q9Y446
O43184	P17936
Q9Y3C7	P04792
O00238	P48454
P42229	G4XH65
P01344	NP_000867
Q15375	P55196
B3KQY7	Q99759
Q92888	Q14344
O95870	Q9NQ84
Q9BXS5	Q14872
O75791	E9KL35
Q9UEW8	Q16539-4
NP_000820	P05129
P10636-8	P49841
Q16611	P04637-7
XP_005265372	O75081-2
P04264	P01042-3
P10747	P46459
XP_005270199	XP_005269924
Q9NRX3	Q9NX08
P12004	P24941
Q92830	P13010
Q9NVP2	Q13112
Q9Y4X5	P68036-3
P02649	P98164
P49715	P49716
Q13387-4	O14733
P08670	Q06323
P12755	P12757
E2GIM6	Q92985-3
P12956	XP_005260676
O60826	Q9UL45
Q15543	P20226
P49910	Q15834
Q06787	O95793
Q96S59	Q9H2X6
P42224-2	Q13287
Q00587	O15162
P28340	Q9P2H0
A4D0U5	Q9Y490
B4DIG0	B4DT73
P06730	P60842
P55854	Q9HC62
Q16478	B3KNK9
P00533	K7ENL3
NP_001030127	P22681
Q15303	P00519
Q15796	P49703
P21246	Q92963
Q15393	P61981
O75146	O00291
P15498	L7RT18
O75716	P19419
XP_005272234	NP_001230153
Q15811	Q9NRI5
P56134-4	P56556
P63172	Q9UBX3
P48023	P27986
P13236	P32246
P15927	A4D105
P42684-10	P00519
Q9H773	Q96HA8
Q9Y6W6	Q16539-4
Q96H86-2	O15162
P15880	Q13368
B2CIS9	P29466-4
Q96KM6	P21980-2
B4E318	P21246
O43278-2	Q04756
P00558	Q92598
O60568	Q9UHL3
XP_005270629	Q7Z372
Q96T23	O60264
Q9P1Z2-3	A8K031
O95163	Q9H9T3
P10721	Q00610
Q9Y3C0	Q9Y383
NP_001191189	B7Z1I1
Q8TBK4	P49407-2
Q92889	P07992
P02458	C8C060
Q15797	O94973
P56134	Q92692
Q12959-4	P33402
P60880-2	XP_005274254
A8K2I7	P98164
Q14164	K9JA46
P60228	P54257
P55058	P02649
Q99689	Q9Y6M9
P16104	NM_000051
P06400	O75629
Q13485	Q49AG3
P04626	Q7Z6G8
P29353	P05067
O95551	P63279
O95897	Q13243
Q16594	Q00403
Q92993-2	P02545-2
P50402	Q969F0
O95361	Q15047-3
P27986	P16410-5
Q13547	P11388
P15531	Q9H8Y8
P49593	Q13153
O95084	Q6KC79-2
P49023	P02545-2
A4D1C5	P49023
P02795	P58062
P56134-4	P05386
Q13002	Q92796
O14908	P49795
Q8NEK8	Q9BQY4
Q9HC52	P54257
O15145	Q86YJ6
O75554	XP_005261358
Q9Y6D9	Q14134
P63167	Q9UBX3
Q8IXH7	P84101
P06241-3	P54753
P28074-3	P25788-2
Q9UPR0-3	P62136
O76075	P11388
Q13416	Q9Y5N6
P32456	P21673
P10636-8	P23443
P27701	P21860
Q15256-5	Q9BWJ1
Q15560-2	Q96BT3
P15408	P53567
P05109	P05060
P19438	Q13546
P13489	P07998
P55957-2	Q07817
Q6FII3	Q9Y333
F1D8P8	P50613
Q13432-2	Q13332-7
Q9Y2S7	Q13228
Q15796	Q9H093
D9IAI1	O76061
Q08380	P09382
A4D196	Q9Y3C5
Q96FJ2	O60269
P27986	XP_005272234
B4DG79	O95988
P83436	Q9UP83-2
P00533	Q92625
Q96E40	P49903
P37108	Q9UNZ2
P29353-5	Q12929
B4DG79	G4XH65
P01106	P20226
P46109	P43403
Q9UGJ1-2	Q08379
P36957	P55209
Q5SW96	Q00610
P25208	P08047
Q9HAU4	P62826
P11142	NP_004314
NP_001186776	O43541-2
P38398	P52701
P42330	NM_014977
P46527	P30281
Q9NYA1-2	Q12933
Q9UQQ2	P00533
Q16594	Q9Y6J9
P45974-2	Q9Y3C5
P52655	P20749
P30304	P24941
O96006	Q9HCN4
P63241	O14980
P84022-4	O95405-2
Q9NYN1	D3DPA4
Q9BQD3	Q658J6
O75832	Q9BRP4
A4D214	P17275
Q99689	Q05513
Q9Y297	P49427
Q01844-6	Q14576
O95967	O95990
P09619	P21453
P06239	P07900-2
P37275-4	Q14919
P10827	P24385
Q9UBK2	Q16656
P49842	P62487
Q00403	Q04206
P26641	Q96D98
Q9HCE7-2	Q15459
Q6NW29	Q8N5Z5
Q13643	Q00587
XP_005248000	P61604
Q7L5N1	P60903
P19388	P19387
P50570	Q14247
XP_005258434	Q8IVL1-5
Q9NRL3	I4AY87
Q9ULX6	XP_005274205
B3KY17	P26678
P29350	Q96DU3
P50458	P28360
O75528	O00422
Q8IW76	XP_005269173
E5KPM7	NP_002728
P04626	Q8WV28
O14490-2	Q15700-5
NP_001036041	M0R2R2
Q9H4K1	P19012
Q8WV28-2	P21854
P50453	XP_005245698
XP_005267633	P51116
Q8IZP0-3	Q07889
O43504	Q9H063
O95163	P25963
P07858	P01034
A0MNP2	P13686
P23297	P21817
O60941-7	Q9NP66
P49023	P06396
Q99547	Q13432
O95897	A3KME0
O00221	Q04864
Q9Y2I6	Q9BRK4
P10244	P78396-3
P18754	P43487
Q08211	P11388
B0LPE5	Q12778
F1D8T1	Q12778
P05556	P15529
Q9Y3Q8	P21673
B0LPF3	O43609
P11142	Q8IZP0
P63096	O43566
P10244	Q92793
Q12967	P32121
Q15796-2	XP_005254510
Q13129	Q92963
Q13573	XP_005253707
P26641	P39748
O15105	O43541
Q9NYH9	Q9BQY4
P23396	Q04206-4
O75182	NP_001207701
Q96CW1-2	P16410-3
Q96CU9	Q01780-2
P35613	Q9NR12
Q15424	P61978
O60232	Q8N5R6-6
Q05397	P04637-8
Q09472	Q13569
P22607	P12034
Q14194	P51114
XP_005258274	Q13424
P14373-2	Q9GZU1
XP_005251639	O95251-2
P17275	P53539-2
P06400	P03070
Q15669	Q9BVJ6
P10515	P11177-2
Q9ULB1-2	O43166
P54756-2	P52803
Q08211	Q00403
P05160	NP_000120
Q13432	Q02363
Q9Y244	E9KL30
Q9UGJ1-2	Q9H668
Q92831	Q9UBC0
Q96EZ8	Q9Y3C0
Q96KM6	O60784
Q8IUQ4	Q9H422
P15172	Q02535
Q9Y2J2	Q9NS73
NP_001191189	P48552
Q92993-2	Q15013-3
P00533	O43639
Q09472	Q9Y6B2
Q12933	P24278
P49674	O00327-9
P06239	Q86WV1-2
Q15038-2	Q13137
I3L2C9	P84077
O00273	Q9UHD4
Q96SN8	P21246
Q16557	P12757-3
B1AK66	O14641
Q99873	Q07666
O95999	P61088
Q96IP4	Q6UWI1
Q9UBU9-2	P35658
P18847	P05412
Q15029-2	O15145
NP_001239004	Q9GZV5
O75947-2	Q7L5D6
XP_005263086	P58546
F8VYA6	Q13838
P12931	A7KAX9-2
Q14194	O60318
Q00653	Q93008
O14530	Q9P2H0
P13497	P49750
F1D8R5	Q15788
P06493	P14635
P61218	P19387
O95257	XP_005249251
Q6FII3	Q15102
P53671-2	Q9H422
Q8IY31-3	A6NLR5
Q9NX47	O95140
Q14749	P36575
Q96S59	P05107
P84090	Q13432-2
Q96FJ2	O14576-3
B7Z3D6	P24385
O43298	Q8TAU3
Q68DB7	D3DPA4
Q9NR55	Q16520
A2RU94	Q9P2H0
P28074-3	E9KL30
Q9UDY2-4	XP_005274553
P61073	P51681
P35968	P08758
P54274-2	Q9NSC2-2
P57738	Q13485
P62136	Q8NI77
Q99748	P07949
P01137	P61812
L7RXH5	P05412
Q99962	Q96B97-2
Q15139	P05412
Q9Y4Y9	Q9UK45
P19174	P42768
Q9Y5J3-2	Q13571
P05109	Q13432
Q14683	Q13315
Q86YB8	P07237
P06400	P51532-5
P11474-2	NP_001230434
Q9NS28	P08754
P11047	Q14112
Q00536	Q04917
P27694	Q9DH70
P49023	Q8TBK5
P13861	P15311
Q07912	P51690
P09848	P27824
P07948-2	Q13432-2
P68431	Q13111
P46100	Q9UER7
Q96MT8	Q8N6Y0
D0PNI1	P55916
O75381	Q96G25-3
Q14686	P61964
XP_005255181	P51812
P12273	B4DT49
Q15648	Q9NVC6
Q9UHF0	O95163
F1D8P8	Q15596
P09488	Q99683
P15408	P17275
A8K031	Q8N6Y0
P36897-3	Q93034
P42224-2	P15260
Q13114	Q15628
P17509	P21673
Q15013-3	Q9P2H0
P78346	Q99575
Q9NYJ8-2	Q12933
A8K401	Q56A76
G5E962	Q05516
Q15561	Q99990
Q969Q1	Q92995
D2JYI1	P14635
Q9P289-2	Q08379
Q9NZ94-2	P78352-3
Q9UKS6	Q9ULH1
Q9UHI6	P62318
Q96CW1-2	P51116
P38936	P30281
O60674	P07948-2
P61968	Q86U70-2
