a_alias	b_alias
NEDD4L	SGK1
IKBKG	NFKBIB
TAL1	HDAC1
COPS5	SMAD4
IL15	IL15RA
NBN	MRE11A
ARHGEF1	GNA13
PCNA	CDK2
SKI	SKIL
TAF13	TBP
EIF4E	EIF4A1
SUMO3	SENP2
CCL4	CCR1
RSF1	SMARCA5
IKBKAP	ELP3
ERCC4	ERCC1
H2AFX	ATM
SHC1	APP
GIPC1	RGS19
ORC2	ORC6
TNFRSF1A	RIPK1
RNH1	RNASE1
BRCA1	MSH6
CDKN1B	CCND3
CDC25A	CDK2
BTRC	CDC34
POLR2E	POLR2C
DNM2	CTTN
CTSB	CST3
NFKBIE	REL
GNAI1	RGS14
EGFR	NCK2
EP300	EID1
PRMT1	KHDRBS1
ATF3	JUN
CDK1	CCNB1
CXCR4	CCR5
LSM5	LSM7
PLCG1	WAS
PRKAR2A	EZR
HIST1H3J	CHAF1A
ATRX	DAXX
MED1	MED17
FOSL2	JUNB
CDKN1A	CCND3
CAV1	PTGS2
PSMD7	PSMD6
MYOD1	EP300
PDGFRB	NCK2
GRIA1	DLG1
DDB2	DDB1
GRB14	INSR
EIF2B2	EIF2B1
PDGFRA	PDGFC
PDHA1	PDK3
PPP1CC	PPP1R8
RPS6KA4	MAPK14
PEX5	PEX13
RANBP1	RAN
SKP2	CDT1
GIT1	ARHGEF6
SMAD3	SMAD1
FMR1	FXR2
CD28	CD86
RNF123	UBAC1
PSMD7	PSMC1
COL17A1	ITGB4
PSMA3	PSMA2
KNTC1	ZW10
GABARAPL2	ATG4B
PSMC5	TNNT1
SIAH2	UBE2I
TSG101	HGS
ERBB2	EGFR
RUVBL2	DPCD
CBL	SLA2
PSMC6	PSMC5
CDKN1B	UBB
EFNA4	EPHA4
PDE6D	RHEB
RBM8A	MAGOHB
CBX8	RNF2
SMAD4	PIAS1
PSMC2	PSMC1
PTPN6	SYK
NFKB1	NFKBIA
TAF9	TAF6
DUSP1	MAPK1
CD2AP	CBL
PLRG1	CDC5L
ABCD1	PEX19
ITGB7	ITGAE
EP300	CREBBP
ADRB2	SLC9A3R1
IGF1R	IRS1
EGFR	CTNNB1
VPS37A	TSG101
FGFR3	FGF1
NCOR1	HDAC3
CNTFR	CNTF
FLT4	SHC1
E2F1	RB1
NFKBIB	REL
BATF3	JUN
BARD1	CSTF1
EIF4E	EIF4G3
MDFI	ZNF136
CDKN1A	PARP1
LDLR	PCSK9
SMAD2	SMAD4
SKP1	FBXL2
HDAC2	SP3
YWHAE	HDAC5
HDAC4	MEF2D
PRKAR2A	AKAP5
EME1	MUS81
HDAC1	CTNNB1
CUL1	SKP2
TAF12	TBP
EXOSC4	EXOSC10
HNRNPA2B1	HNRNPL
CDC42	PIK3R1
MAPT	SNCA
CDK4	RB1
CYTH1	ITGB2
WAS	BTK
NEDD8	NUB1
TIMP3	MMP2
NUDT21	CPSF6
TRAF6	TNFRSF11A
SMAD2	SMURF2
TBK1	TBKBP1
TRAF2	TNFRSF8
HDAC4	HDAC3
EP300	STAT3
PSMC1	PSMC6
STUB1	BAG1
SMAD4	UBE2I
CSF2RB	PTPN11
CDH3	CTNNB1
WIPF1	NCK1
ERBB4	NRG1
MCM4	MCM6
MAPK14	MEF2A
EIF3C	EIF3K
NCOA4	AR
TFDP1	E2F3
SKP1	FBXL3
PPP4C	PPP4R2
GTF2F2	GTF2F1
YWHAE	YWHAH
AURKB	RACGAP1
MAP2K4	MAPK8
SART1	UBL5
LMO2	LDB1
TNF	TNFRSF1A
EPHB1	EFNB1
HIST1H3J	ASF1A
RBBP8	CTBP1
TNFAIP3	RNF11
COPS8	COPS5
PCNA	RFC5
DBF4	CDC7
CHUK	MAP3K14
PCNA	WRN
CCNB2	CDK1
ILF3	XPO5
PKN2	RHOA
CCK	CCKBR
BIRC2	RIPK2
CBL	MET
SAP30BP	PUF60
FOS	DDIT3
PSMC2	PSMD6
BIRC2	CASP3
ARHGEF7	PAK2
PSMB5	PSMB3
SEPT5	SEPT8
RAD51AP1	RAD51
SMAD1	SMAD6
CDK1	CDKN1A
CDC42	NCF2
ARHGEF11	PLXNB3
CTNND1	CDH2
CXCR2	CXCL6
MAP2K7	MAP3K1
IGBP1	PPP2CB
NFKB2	REL
APPL2	APPL1
VEGFA	NRP1
TNFRSF9	TRAF2
IRAK2	TRAF6
HRAS	BRAF
NTF4	BDNF
MCTS1	DENR
RPA1	RAD52
EGFR	EPS8
AHR	AIP
IL7	IL2RG
SMAD3	SKI
PSMC6	PSMD6
MSH2	BRCA1
MCM6	MCM2
YWHAG	MARK3
MAP2K4	MAP3K2
CAND1	CUL3
GGA1	SYNRG
TRAF2	MAP3K8
CUL7	FBXW8
RFX5	RFXANK
CDKN1B	CDK2
CDKN1A	CCNE2
