interaction_id	a_alias	b_alias	a_id	b_id
617104	P62999	P27986	886780	3503650
617113	D3GC14	Q16594	763487	1611110
617131	P60880-2	Q05193-3	163867	4370876
617167	B2R4R0	Q99759	2973208	5255272
617193	P62330	O60763	1325425	3754565
617195	Q74YH2	P13591	708419	5354181
617209	P26368-2	P46821	2191992	9213367
617223	P01100	Q96L91	3805630	16819156
617302	P68133	Q9UNW1	402740	1914009
617308	Q9Y3S1	P63279	57432	4600608
617309	O96019-2	Q8WUZ0	1960370	4929572
617316	P05783	P55210-2	721123	4835623
617361	Q9UL03-2	Q96HW7	2482188	4360035
617407	P12532	Q14164	411244	3062679
617409	L7RXH5	P23467	3536546	4791881
617411	Q8IYB5-2	Q9Y5J5	1738752	4761161
617452	Q00987-11	NP_000517	1386965	10013349
617458	Q9ULD8	P04578	3934141	5314921
617463	Q03113	Q8N1W1-3	2451498	16583720
617479	Q5W0Q7	P52209	2653705	4027872
617488	O60674	Q12913	3976855	5369859
617523	Q9BY77	Q09161	667443	4570210
617543	Q13093	Q6KNA9	4040115	5346299
617548	P13598	rogid:muUersNfvI2J4c+zfftpgKm7hr89606	505540	3113383
617554	Q9P0W2	Q8CWI1	427442	7722122
617565	Q99593	Q08369	2067318	3324637
617600	Q14164	P30084	3062679	5271742
617602	Q7L5N1	NP_001156981	2309550	3313461
617612	O00182	rogid:leZo2uCBsw2Sp2PsYFRs94zrUn89606	4480897	53623854
617613	Q00987	Q86T65	1386965	5154276
617614	P29372	rogid:I0Ro3HSRiCuSTSbbiEfjCCZAk/o9606	1566579	53623819
617654	NP_066289	Q9BRJ6	2068280	3574528
617659	Q08117	Q81TT4	1795878	5300533
617663	Q12866	Q13873	1500446	5220445
617675	Q96FW1	Q9BUQ8	2527179	4183234
617686	Q9HC29	Q9C000	1378693	4222606
617704	P39687	P12544	4453536	16820638
617718	Q15262	P49023	498439	2178303
617723	Q9H8N7	Q13547	2373565	3908752
617765	D9IAI1	P30480	710983	1469573
617773	Q99741	Q13535	2909998	5280551
