	uidA	uidB
0	uniprotkb:A8K7B7	uniprotkb:P62714
6	uniprotkb:O75486	uniprotkb:Q9Y4A5
7	uniprotkb:Q9Y4A5-2	uniprotkb:O75486-3
11	uniprotkb:P62191	refseq:XP_005271105
12	uniprotkb:P49721	uniprotkb:P62191
13	uniprotkb:O43809	uniprotkb:Q96J02-2
16	uniprotkb:O43809	uniprotkb:Q96J02
17	uniprotkb:Q9Y6Q9	uniprotkb:A8K571
18	uniprotkb:A8K571	uniprotkb:Q9Y6Q9-5
20	uniprotkb:P63208	uniprotkb:P20248
22	uniprotkb:P63208-2	refseq:NP_001228
24	refseq:NM_003715	uniprotkb:P61764
26	uniprotkb:O60763	uniprotkb:P61764
28	uniprotkb:Q92769	uniprotkb:Q96BD5
34	uniprotkb:Q9ULX9	refseq:XP_005246677
36	uniprotkb:Q16236	uniprotkb:Q9ULX9
38	uniprotkb:Q86XK2	uniprotkb:P62877
39	uniprotkb:P62877	refseq:XP_005264630
40	uniprotkb:P28070	uniprotkb:O00487
42	uniprotkb:O43809	uniprotkb:Q01201
44	uniprotkb:Q96SB4	uniprotkb:Q13247
49	uniprotkb:Q99558	uniprotkb:P62913
52	uniprotkb:P05114	uniprotkb:P51812
57	uniprotkb:P27701	uniprotkb:P27824
59	uniprotkb:P27701-2	uniprotkb:P27824
63	uniprotkb:Q9H204	uniprotkb:P06239
70	uniprotkb:Q02779	uniprotkb:Q9H0H5
80	uniprotkb:Q15582	uniprotkb:P02452
83	uniprotkb:P62917	uniprotkb:A2RUM7
86	uniprotkb:P04350	uniprotkb:O43353
91	uniprotkb:Q09028-4	uniprotkb:Q9UK53-5
96	uniprotkb:P27348	uniprotkb:J3KPH8
102	uniprotkb:P27348	uniprotkb:Q8WUI4-3
104	uniprotkb:Q8N122	uniprotkb:Q8TCU6
105	refseq:NP_065871	uniprotkb:Q8N122-2
107	uniprotkb:Q13002-2	uniprotkb:O14936-3
111	uniprotkb:Q13002	uniprotkb:O14936
113	refseq:NP_001230153	refseq:XP_005260545
117	uniprotkb:Q99638	uniprotkb:Q07817
120	uniprotkb:Q8N961	uniprotkb:Q13618
123	uniprotkb:Q8N961-2	uniprotkb:Q13618
125	uniprotkb:O15379	uniprotkb:P48643
129	uniprotkb:P46934-4	uniprotkb:Q96BA7
130	uniprotkb:P46934	uniprotkb:Q00839
132	uniprotkb:P19447	refseq:XP_005248684
136	uniprotkb:P19447	uniprotkb:P51946
140	uniprotkb:D0PNI1	uniprotkb:P56945
144	uniprotkb:D0PNI1	uniprotkb:P56945-6
147	uniprotkb:P58549	uniprotkb:P05023
150	uniprotkb:Q15185	uniprotkb:O00170
155	uniprotkb:P49368	uniprotkb:P50991
163	uniprotkb:P50991	uniprotkb:Q59H77
165	uniprotkb:Q96A23	uniprotkb:Q99829
170	uniprotkb:P62249	uniprotkb:A2RUM7
172	uniprotkb:P04839	uniprotkb:P13498
180	uniprotkb:P63208	uniprotkb:Q7Z6M2
183	uniprotkb:Q6PCD5	refseq:XP_005263259
185	uniprotkb:P61077	uniprotkb:Q6PCD5
187	uniprotkb:P12931	uniprotkb:P31946
191	uniprotkb:P01375	uniprotkb:P36941
194	refseq:AAB24269	refseq:AAB24270
196	uniprotkb:P05423	uniprotkb:Q9H1D9
198	uniprotkb:Q6P2Q9	uniprotkb:Q15428
201	uniprotkb:P54578	uniprotkb:P17980
203	uniprotkb:P17980	uniprotkb:B7Z4N8
205	uniprotkb:O95782	uniprotkb:P35659
207	uniprotkb:O95782-2	uniprotkb:P35659-2
211	uniprotkb:P62820-3	uniprotkb:Q9H8Y8
213	uniprotkb:P62820	uniprotkb:Q9H8Y8
215	uniprotkb:P14618-2	uniprotkb:Q969Q1
217	uniprotkb:Q969Q1	refseq:NP_001193725
219	uniprotkb:Q15008	uniprotkb:P28070
222	uniprotkb:Q8IWZ6	uniprotkb:Q9BXC9
229	uniprotkb:P07948-2	uniprotkb:P19174
233	uniprotkb:P07948	uniprotkb:P19174
235	uniprotkb:P06756	uniprotkb:P41231
237	refseq:NP_001138471	uniprotkb:P41231
241	uniprotkb:D0PNI1	uniprotkb:P30084
243	uniprotkb:P47897	uniprotkb:P56192
