rank	cluster	candidates
1	436	
2	335	
3	158	
4	118	CTSG
5	233	
6	240	
7	154	
8	483	HMG20B
9	293	
10	434	
11	427	
12	119	
13	418	
14	344	FGFBP1
15	377	ARHGEF4
16	101	TICAM2
17	199	
18	294	
19	298	
20	346	
21	376	
22	449	
23	282	
24	296	
25	311	
26	360	
27	382	
28	383	
29	414	
30	448	ERO1A
31	451	
32	473	TNFRSF6B
33	497	APPL1
34	511	
35	243	
36	127	
37	201	NMI
38	149	
39	188	
40	213	
41	196	
42	219	
43	227	
44	242	
45	176	CDK8
46	250	IRF3
47	156	
48	191	BIRC6
49	205	CBFA2T2
50	215	REV1
51	225	
52	244	
53	148	
54	40	EDEM1
55	108	
56	2	RAD17,RFC5,RFC4,XRCC5,XRCC6,GADD45G,RFC3
57	14	MDC1
58	121	
59	137	BCL2L2-PABPN1
60	95	
61	105	
62	143	
63	117	CNTFR
64	57	MXD4
65	123	ZDHHC17,SH3GL3
66	74	
67	112	MAD2L1BP
68	115	
69	116	RALA,RALB
70	23	
71	5	STAM2,HGS,EPS15
72	20	PIK3R3
73	90	
74	88	
75	91	GIPC1,RGS19
76	79	
77	82	
78	65	
79	73	GOLGB1,GOLGA2,GORASP1,GORASP2
80	76	EIF2S3
81	80	CCNT1,CDK9,HEXIM1
82	56	CYTH1,CYTIP
83	62	
84	8	E2F4,SAP30,RBBP7,RBBP4,MORF4L2,SIN3B,SIN3A
85	55	DCP2,SMG1,UPF3A,UPF1
86	33	GTF2H3,GTF2H2,GTF2H4
87	30	
88	44	IL15RA
89	4	PIAS4,HIPK2,SUMO3,SUMO2,TDG,SENP2,PIAS2,RAD51AP1,UBA2,SP100
90	12	EIF3J,EIF3K,EIF3L,EIF3M,EIF3C,EIF3D,EIF3F,EIF3G
91	6	PTPRU,DPCD,RUVBL2,CBY1,CTNNBIP1,PTPRM,PYGO1
92	21	
93	9	CEBPG
94	24	TRIM28,SUV39H1,HIST1H3J,MBD1,CBX5,ZNF10
95	27	SLC25A17
96	3	ARHGEF11,PLXNB3,BIK,FKBP8,PKN2,ROCK1,HRK,BNIP3L,ARHGAP1,BNIP2
97	16	NFKBIB
98	1	FBXO11,FBXO2,FBXO46,FBXO5,SUGT1,SKP1,FBXL3,FBXL2,FBXO3,FBXO31
99	10	TRAF2,TRAF5,TRADD,RIPK1,MAP3K14,NSMAF
100	7	PSMD5,PSMD4,PSMD7,PSMD11,PSMD10,PSMD2,PSMD14,PSMC1,PSMC2,PSMC6
