clusters	score	genes
1305	1.0	CDK5R1:0.272714418721,LMTK2:0.146308793637
1359	0.943715663716	GSTA1:0.122724350242,GSTA2:0.272714418721
340	0.656629364912	AR:0.28,TSPY1:0.272714418721,MAK:0.272714418721,PKLR:0.0,KMT2A:0.0,HHAT:0.0
358	0.650833678608	TMEM173:0.0,STAT6:0.272714418721,IFI16:0.272714418721,ACSL3:0.272714418721,SLC39A14:0.0,TRIM56:0.0
585	0.650833678608	LRRC26:0.0,KCNMA1:0.272714418721,KCNMB2:0.0,TBXA2R:0.272714418721
987	0.650833678608	BIRC2:0.0,BIRC3:0.272714418721
989	0.650833678608	ZBTB17:0.0,MAGEA4:0.272714418721
995	0.650833678608	PIAS1:0.272714418721,SUFU:0.0
1004	0.650833678608	MMP14:0.272714418721,MMP13:0.0
1005	0.650833678608	F12:0.0,MMP12:0.272714418721
1009	0.650833678608	KL:0.0,IGF1R:0.272714418721
1012	0.650833678608	PDP2:0.0,PRKCD:0.272714418721
1014	0.650833678608	PSAT1:0.0,TIMP2:0.272714418721
1031	0.650833678608	DCC:0.272714418721,EIF2B1:0.0
1032	0.650833678608	SMAD4:0.272714418721,ZMIZ1:0.0
1046	0.650833678608	SCYL3:0.0,CD44:0.272714418721
1051	0.650833678608	PYDC1:0.0,PYCARD:0.272714418721
1053	0.650833678608	RHEBL1:0.0,EIF4EBP1:0.272714418721
1061	0.650833678608	TAF1C:0.0,SET:0.272714418721
1082	0.650833678608	A2M:0.272714418721,SPACA3:0.0
1089	0.650833678608	ALOX12:0.272714418721,KRT85:0.0
1103	0.650833678608	PEX7:0.0,ACAT1:0.272714418721
1105	0.650833678608	CD33:0.0,MUC2:0.272714418721
1110	0.650833678608	ADAMTS5:0.0,TIMP3:0.272714418721
1115	0.650833678608	C1orf168:0.0,FDFT1:0.272714418721
1133	0.650833678608	CLEC4M:0.0,CEACAM1:0.272714418721
1136	0.650833678608	CDC25C:0.272714418721,LZTS1:0.0
1140	0.650833678608	BMI1:0.272714418721,FOXS1:0.0
1142	0.650833678608	RCVRN:0.0,TOP1:0.272714418721
1147	0.650833678608	EPHA2:0.272714418721,CLDN4:0.0
1148	0.650833678608	ITIH3:0.0,SPINT2:0.272714418721
1156	0.650833678608	ADAM10:0.272714418721,OR4S2:0.0
1158	0.650833678608	VCAM1:0.0,SPARC:0.272714418721
1179	0.650833678608	CSTB:0.0,CTSH:0.272714418721
1199	0.650833678608	LEF1:0.272714418721,NRARP:0.0
1207	0.650833678608	PAPPA2:0.0,IGFBP5:0.272714418721
1217	0.650833678608	GFI1:0.272714418721,U2AF1L4:0.0
1219	0.650833678608	ALG10:0.0,KCNH2:0.272714418721
1227	0.650833678608	MLNR:0.0,GHRHR:0.272714418721
1249	0.650833678608	TNFRSF11A:0.272714418721,TMPRSS15:0.0
1251	0.650833678608	CXCR4:0.272714418721,CXCL14:0.0
1276	0.650833678608	WIF1:0.272714418721,WNT11:0.0
