rank	biomarkers	candidates	cluster
1	TNFAIP3	-	RNF14,TAGLN
10	RHOA	-	AGER,GMIP
13	AR	KMT2A	PKLR,MAK,HHAT,TSPY1
14	STAT6,ACSL3	-	IFI16,TRIM56,TMEM173,SLC39A14
15	-	DAXX	TGFBR3,ACVR2A,TCTEX1D4
17	BIRC3	-	BIRC2
19	-	SUFU	PIAS1
25	SMAD4	-	ZMIZ1
29	SET	-	TAF1C
37	TOP1	-	RCVRN
43	LEF1	-	NRARP
49	CXCR4	-	CXCL14
50	WIF1	-	WNT11
55	PMS2	-	PSD2
64	-	ELN	EFEMP2,SOD3,FBLN5
65	JAZF1	-	MAP3K7
68	BRD4,PGAM2	-	-
70	-	GPHN	RUNX2,PIN1,PPM1D,SULT4A1
72	NPM1	-	HEMGN,FAM129A,FOXK1,PELP1
76	-	ASXL1	RARB,ZNF423,EBF2
78	MUC1	-	HPX,APOB,ORM1,LGALS9,LGALS8,ITGAL,LGALS3,A1BG
82	-	MYOD1	NUPR1,BHLHA15
83	HEY1	GATA1	ZBTB22
89	-	CBFB	TLR1,DHX36
90	IKBKB	-	ZC3H12A,MLST8
118	-	RNF43	DYNC2LI1,HECW1,SOD1
120	-	MYD88	STAP1,CYTH2,PTK2B
124	-	SDC4	TIAM1,SDC2,CSF2RA
125	ERBB4	-	GRIN1,PLCB4,LRRC1
128	FGFR2	FGFR1OP,FGFR3	CTGF
130	-	FSTL3	GLI2,FST,ADAM8
137	NFE2L2,JUN	-	ITGAX,HHEX,CEBPG,EPHB4,SNRK,SLC4A8,CITED1,RNF187
140	PBX1	CUX1,HOXD11	SOX18,NEUROD6,MAD1L1,HOXB3,HMGB1,PPP2R3A,MNT,ERF,HOXD10,HOXC6,FOXA3,ATOH1,ZFP36,FOXC1,RFX1
144	NDRG1	-	ZNF155
148	ETV4	-	HOXD4,ASB8,HOXB13,TIGD4,ZNF490
149	-	HOOK3	MSR1
155	-	ARID1A	TOP2A
166	CDKN1B,CCND3,CCND2	-	GPS1,ABTB2,CCNF,FBXO7,RBX1,HINT1
167	ATM	CDKN2C	ATMIN,CDC6,PTS,FBXO31,CXXC5
174	RARA	-	WTIP,HACE1,ASXL2,RAB4A
177	-	CACNA1D	ACTN2,LRP12,ANG,FBXL22
186	NOTCH1	-	WDR11,NCKAP1L,RBP3,NUMBL
189	-	MYCN	FSD1,AATK,C1orf61,CDK5
190	-	TRRAP	SPICE1,ZNF606,C2CD5,ESRRA
192	LIFR	MAP2K2	ACPP,GABRR1,MAPK1,PRKG1,WDR83,CMTM3,DUSP22,CD19
194	HLA-A	CDX2	TAP2,MR1,B2M,MEX3B,MEX3C,MEX3A
195	TERT	-	ACD,DDX51,SLC7A11,STEAP4
197	-	CNTRL	TNFRSF1A,NOXO1,NOX1,CARD9,CYBA,RFK,PRKAR2B
198	PDGFRB	PDGFRA,NTRK1	SYNGAP1,SLC9A3R2,PTPRE,GRB7,PDPK1
201	NCOA2,NCOR2	-	PPFIA4,DLX5,KLRC3,SLC30A9,NR5A2,OPN1LW,MSX1,TXNRD2,DLX2
207	-	LASP1,LPP	TJP2,CXCR3,CXCR1,CCL7
208	-	HNF1A	DLEU1,IGFBP1,RYR3,TBCA,ADH6
210	AKT2	MYO5A,FOXO4	AKT3,ARRB2,PLEKHO1
213	-	ARID1B	GLIS3,TEAD1,LONRF3,ZBTB44,ENO1
215	ETV1	-	CNTNAP2,KCNA2
216	COX6C	-	CRBN,FAM208A,GTF2F2,VAV3,TRAM2,IPO8,GPRC5A,MAN1A2
217	PALB2,NBN	-	TMEM248,ZNF121,BARD1,ERCC6L,U2SURP,LRRC41,PDZD8
221	MAP3K1	CYLD	MYOM3,TRIM39,DTX1,ASH2L,USP2,USP5,MKRN1,ADAM19,POLI,POLH,RCHY1,BCL2L12,SPDYA,DENR,MAP3K4,KLF5,GLI1,RGS2,PPP1R9A,PDCD2,ERN1,ESF1,SH3RF3,BRCC3,LEPR,TNIP2,PRKAR1B,NDEL1,HIST1H2BK,MARCH5,ABCG2,PSD,RDH12,UBC,MUL1,ATXN3,AMOT
224	APC	-	DVL1P1,POM121C
234	-	COL1A1	COL8A2,DDR1
235	-	ERCC5	GTF2H2,GADD45A
236	-	PPP6C	AURKA,JTB
238	BRCA1	-	RRAS,RASIP1,NRIP1,ZNF366,LDB2,CTBP1,SSBP3,SSBP2
240	JAK2	-	PTAFR,IL23R
254	-	POT1	CTC1,TPP1
257	PPARG	-	CHD8,RBBP5,MARCH6,CEP350,CCDC88A,HNRNPUL1
264	-	MEN1	FKBPL,CDKN1A,EBF3
267	FOXA1	-	MEF2C,BARHL1,ONECUT1,AHR,HIPK2,TLE1
268	MLH1	NONO	TPRG1L,PLPP2,SLC25A23,CLIC1,ATAD5,SPERT,RAD9A,PSD3,NDFIP2,PTP4A2,RRBP1,HSD17B3,CPVL
278	-	CLIP1	RERE,INCENP,PLK1,BTN1A1,TMF1,GTSE1,PTHLH,KAT7,CDK1,WDCP,RGPD4,EVI5,PSMB2,DNHD1,PAK3
280	-	NIN,AXIN1	DAB2IP,DACT1
286	ZBTB16	-	HBEGF,ATP6AP2,HDX
287	KLF6	-	CDC16,ANAPC15,CDR2,CDC23,ANAPC10,AJAP1,ADAM9,APC2,PLEKHA7,CDC26,CDH1,PTTG1,MYO6,ANAPC1,ANAPC4,ANAPC11
289	-	HOXC11	EXOSC10,DPF2,CHD3,KIF1A,NEPRO,SUB1,TBX21,SP1,ESRRB,DRG1,C11orf58,LUZP1,PHOX2A,MT-ATP6,MYL6B,KLF9,RNF19A
299	-	RUNX1T1	IL19,IL20RB,IL24
300	-	TRIP11	SEC22A,CEP68,USO1
308	-	NSD1	CLIP3,WASH2P,TNFRSF21
310	-	KAT6B	TAF7,TBPL1,TAF4,TAF3,ESCO2,PHF21A,TAF5,TAF1L,TAF13,TAF12,TAF11,PFKL,ERCC1,TAF9B,ING5,HIST3H3,JADE3,TAF8
311	-	TFPT	RUVBL1,PFDN4,TTI1,RUVBL2,INO80B,TELO2,CCDC87,INO80,KRT15,PIH1D1,ACTR8,TTI2,YY1,ACTR5,INO80E,C12orf45,INO80C,ING3
313	-	TAL1,SUZ12,WHSC1,HOXA11,CCDC6,SMARCD1,KDM5A,TBL1XR1	HDAC1,MAD2L2,ZNF217,SMARCC1,TSC22D3,TRERF1,ZFPM2,TRMT61A,HDAC3,PPP4R2,SUDS3,RCOR2,MAGEC2,OVOL1,EID2B,NKX2-2,INSM1,ZNF395,NKX2-5,DNTTIP1,EMSY,SAP30,RAI1,SIX4,DDX53,ESCO1,DNMT1,C16orf87,SIX3,GLI3,RABEP2,KLF1,HDAC2,TMEM54,MKX,ZNF516,MTA1,TLE3,EID3,HELLS,WISP2,ID4,LARP7,MIER2,BAHD1,ELMSAN1,SMYD1,MAGEB1,SATB2,ZNF335,SNAI2,SNAI3,CORO2A,MBD3L1,ING2,ABTB1,KCTD11,PAAF1,MAGEH1,NUP54,HSD11B2,PARP14,ACTN4,ID2,ID3,MTA2,HMG20A,PRDM4,MBD4,ELK1,EID2,NKX3-2,EID1,GATAD2B,HES1,NR2E1,ZNF461,DEC1,PADI4
314	-	MLF1,BCOR,MALT1	TBRG1,ANO6,ADAMTS10,ALOX5AP,CNTNAP5,ZNF721,EHMT2,CEBPD,ZNF510,DNAJC18,DNMT3B,IRGQ,LTBP1,IGSF22,OMA1,ING4,TMBIM6,POU1F1,ACYP2,CYP19A1,TXNDC11,FRAT1,ULBP2,GPD1L,MAP3K11,BFAR
318	RB1	-	GSR,BNC2,HOXB2,RBP2,DYRK1A,DYRK1B,AP1AR,MAPRE3,TROAP
319	-	FZR1	MAML3,CUEDC2,MXI1,TAS2R13,CDC20,RNF34,ANAPC2,NINL
329	IL2	-	NFATC1,DGKA,EGR4,SREK1
331	BRCA2	STAG2	SMC1A,STAG3,SMC3,NIPBL,PDS5B,REC8,CDCA5,SYCP3
333	-	MAML2,NOTCH2	NOTCH4,MAML1,NOTCH3
338	-	IL21R	ERAP2,EVL,BTN3A3,FOXP3,MED23,HLA-G,IL12B,IL12A,KIR3DL1,IFNB1,DPP8,IFNA14,CXCL11,CXCL10,IRF2,IRF1,IRF7,IRF5,IFI6,IFNA2,IL7,OGN
339	FHIT	-	SRC,LCT,TXK,STAP2,PPM1F,ADGRE5,RHOQ,KCNQ5,SH2D2A,PTGER4,ALS2CR12,CENPV,OCLN,LCP2,ZNF658B,FEM1A
341	FAS	RHOH	RBM5,KLHL20,RFC5,CNKSR1,KLK10,HABP4,CRCT1,MRPS12,PAEP,DDIT4,ARID4B,CEP126,CRADD,HSPBP1,AKR1C3,SIK2,NEFL,CETN3,MPHOSPH6,EPPK1,MAP3K3,WDR62,MAD2L1BP,RIF1,HSPB3,MRPS6,SERPINB9,FXR1,ANKRD24,TRDMT1,SUPT5H,ETHE1,PCDHA4,GPC1,CKMT2,SGO2,CCDC106,GSTM4,PQBP1,HLA-DQA1,PLEKHA4,BRMS1,GIT1,PSG9,PPP2R5D,GC,DZIP1,PPP2R5A,NRBP1,TDGF1
342	-	REL	FAM117B,ILDR2,KIAA0930,C1orf106,WDR37,SHROOM1,PDZD11,SFN,NBPF15,CDC42BPG,TPD52L1,SAMD4A,REEP3,FAM53B,REEP4,PACS2
