rank	biomarkers	candidates	cluster
8	F2R	-	F2RL1,PRTN3
57	BIRC5	-	KCNJ6
58	ALOX15B	-	ERAL1
69	-	CRIP2	NR1H4,NME5,UXT,RELA,ALPL
79	-	RRM2	MAGEA3,DNM1L,MAGEA1,PGAM5,SCG3
92	CCNB1	UBE2C	UBE3D
105	JAG1	-	NEURL1,CD46
106	DPP4	-	PYY,GHRH,GCG,GIP,TAC1,FAP,VIP,AVPR1A,ADCYAP1,NPPB
109	SERPINA3	-	CTRC,GZMM,SGCD,KLK4
112	-	CYB5A	CYP4A11,CYP2E1,CYP17A1,CYP3A4,CYP3A5,CYP4F2
130	-	FST	GLI2,FSTL3,ADAM8
133	TGFB2	-	VPS33A,UVRAG,TGFBRAP1
146	TYMS	-	TXNDC17
155	TOP2A	-	ARID1A
177	ANG	CACNA1D	ACTN2,LRP12,FBXL22
199	-	SLC15A2	FARP2,GUCY2C,SSTR5,PDZK1
205	-	TPST1	CCR8,CCR1,GPR1,TPST2,CCL26
221	KLF5	-	MYOM3,TRIM39,DTX1,ASH2L,USP2,USP5,MKRN1,ADAM19,POLI,POLH,RCHY1,BCL2L12,SPDYA,DENR,MAP3K1,MAP3K4,GLI1,RGS2,PPP1R9A,PDCD2,ERN1,ESF1,SH3RF3,BRCC3,LEPR,TNIP2,PRKAR1B,NDEL1,HIST1H2BK,MARCH5,ABCG2,PSD,CYLD,RDH12,UBC,MUL1,ATXN3,AMOT
229	FGF7	-	FGF22,FGFBP1
247	-	MT1A	GPR50,MT2A
262	-	SPAG5	ODF1,ZFYVE26,SSX2IP,NIF3L1,EIF4ENIF1,ADAM15
267	-	TLE1	AHR,BARHL1,ONECUT1,FOXA1,HIPK2,MEF2C
282	LAMC1	-	LMF2,COLGALT1,H6PD,FBXO6,EMILIN2,LAMB1,LAMB2,PTGFRN,ASAH1,ATP6AP1,FOXRED2,P3H4,OST4,B3GALNT2,GAA,GUSB,RHO,NAGLU,ENPP1,EDEM3,NAGA,KIAA1161,LRIG2,ERO1B,PXDN,GNGT1,SGSH,FUCA2
287	-	PTTG1	CDC16,ANAPC15,CDR2,CDC23,ANAPC10,AJAP1,ADAM9,KLF6,PLEKHA7,APC2,CDC26,CDH1,MYO6,ANAPC1,ANAPC4,ANAPC11
296	-	SPARCL1	MMP17,ATP2A2,ERICH2,SCG2,PDIK1L,TNF,SPOCK1,SEC16A,EED,LIN54,NT5DC3,OPRD1
306	-	UPP1	WBP2,UCK2,WDR45B
312	E2F3	-	DRAM1,SERTAD2,BTG3,E2F2,E2F1,LAPTM4B,PRKAG3,PKIB,ATAD2,SETD1A,CHL1,NGRN,PHF8,RNF144A,TEAD3,ZMYND10,UBXN1,MYH7
333	-	NOTCH3	NOTCH4,MAML2,NOTCH2,MAML1
339	-	OCLN	SRC,LCT,TXK,FHIT,CENPV,PPM1F,ADGRE5,RHOQ,KCNQ5,SH2D2A,PTGER4,ALS2CR12,STAP2,LCP2,ZNF658B,FEM1A
341	-	MRPS12	RBM5,KLHL20,RFC5,CETN3,KLK10,HABP4,CRCT1,TDGF1,PAEP,DDIT4,ARID4B,CEP126,CRADD,HSPBP1,AKR1C3,SIK2,FAS,CNKSR1,MPHOSPH6,EPPK1,MAP3K3,WDR62,MAD2L1BP,RIF1,HSPB3,MRPS6,PSG9,SERPINB9,FXR1,ANKRD24,TRDMT1,SUPT5H,ETHE1,PCDHA4,GPC1,CKMT2,SGO2,CCDC106,GSTM4,PQBP1,HLA-DQA1,PLEKHA4,RHOH,BRMS1,GIT1,NEFL,PPP2R5D,GC,DZIP1,PPP2R5A,NRBP1
344	-	SATB1	SNAI1,CLOCK,COPS2,JDP2,GPBP1,MMP23B,CD2,MAP9,HIST1H2AA,SOX4,TP63,SPI1,KLF16,S1PR1,U2AF2,FBXW8,EMB,DUSP2,CTF1,TRIM24,MN1,XPA,CD69,MCM7,HIST1H2BA,TP53BP2,UBR1,EP300,HIST2H2AB,GATA3,TCL1A,ITK,NPY5R,MTF1,IFNA7,TP73,L3MBTL1,BCL3,PPP1R13L,CREBBP
345	-	CD38	UBASH3B,ACTG2,LAT2,KRT79,TCN1,CBL,CDKL2,KRT6C,STS,SPRED2,GAB1
351	-	HERC3	HERPUD1,TRAF3,SLC11A2,AXIN2,CARD11,RNF5,DNAJC2,ID1,NEDD4L,UBA52,CSNK1G1,RBCK1,AMMECR1,NMNAT2,UBXN6,RAPGEF2,HFE,PFKFB3
352	PTN	PTK7,PHC2	CDH10,CDH12,CDH15,CDH17,AHCTF1,CDH18,CLEC4C,CTNNB1,CTNND2,ERMN,SOX1,RPL41,RAB8B,FCER1G,HIC1,SOX17,CDH9,NEURL2,ZBTB33,DOT1L,RBM39,CDH7,CDH6,TCF4,TCF7,FERMT2,BCCIP,USP33,IGFBP2,PRPF38B,TACC3,JRK,RUNX3,L3MBTL3,BCL9,GRIP1,PTPRM,VEZT,FGF20
