"SUID","__mclCluster","MAA","name","score","selected","shared name"
"154","11","0.19569468288333366","GOPC",,"false","GOPC"
"155","11","0.19569468288333366","JUN","0.272714418721","false","JUN"
"99","1","0.3019418429620334","PTPRK","0.12","false","PTPRK"
"244","8","0.4388436552334175","ERBB2","0.153496597004","false","ERBB2"
"360","8","0.4388436552334175","CBL",,"false","CBL"
"842","42","0.6575436042463105","NFE2L2","0.12","false","NFE2L2"
"417","42","0.6575436042463105","RARA","0.272714418721","false","RARA"
"185",,,"SMARCE1",,"false","SMARCE1"
"935","38","0.0","ERCC4",,"false","ERCC4"
"936","38","0.0","FANCG",,"false","FANCG"
"968","1","0.3019418429620334","NTRK1",,"false","NTRK1"
"826","1","0.3019418429620334","PTPRC",,"false","PTPRC"
"1034","1","0.3019418429620334","MPL",,"false","MPL"
"84","1","0.3019418429620334","JAK2","0.12","false","JAK2"
"550","4","0.22831046336388924","EP300","0.272714418721","false","EP300"
"447","14","0.2261415071304353","EGFR","0.143684963523","false","EGFR"
"1174","41","0.913241853455557","STAT5B","0.272714418721","false","STAT5B"
"128","24","0.5963459833308989","CTNNB1","0.202171534977","false","CTNNB1"
"199","1","0.3019418429620334","HSP90AB1","0.12","false","HSP90AB1"
"707","17","0.0","NFKBIE",,"false","NFKBIE"
"1236","37","0.4566209267277785","IKBKB","0.272714418721","false","IKBKB"
"1271","30","0.4566209267277785","CEBPA",,"false","CEBPA"
"1310","27","0.0","KDM6A",,"false","KDM6A"
"108","27","0.0","KMT2C",,"false","KMT2C"
"1372","8","0.4388436552334175","LCK",,"false","LCK"
"280","3","0.2592202138602566","EZR","0.125448700485","false","EZR"
"163","66","0.6849313900916677","PIK3R1","0.272714418721","false","PIK3R1"
"1139","1","0.3019418429620334","SOCS1",,"false","SOCS1"
"1325","68","0.0","ARNT",,"false","ARNT"
"1491","68","0.0","HLF",,"false","HLF"
"512","67","0.0","TRIM27",,"false","TRIM27"
"1545","67","0.0","TAL1",,"false","TAL1"
"146","57","0.0","SUZ12",,"false","SUZ12"
"1265",,,"CTCF",,"false","CTCF"
"262","4","0.22831046336388924","CASP8",,"false","CASP8"
"733","5","0.4169369646220117","IL2","0.122995792115","false","IL2"
"1751","3","0.2592202138602566","MSN",,"false","MSN"
"1765","4","0.22831046336388924","BCL3",,"false","BCL3"
"383","33","0.0","VHL",,"false","VHL"
"1362","63","0.6849313900916677","SET","0.272714418721","false","SET"
"89","36","0.21431969590629885","MDM2","0.128001297944","false","MDM2"
"410","19","0.30514603235800936","NCOA2","0.122724350242","false","NCOA2"
"1832","19","0.30514603235800936","NCOA1","0.120271441872","false","NCOA1"
"1868","1","0.3019418429620334","SRSF2",,"false","SRSF2"
"1227","13","0.13556517439796723","DEK",,"false","DEK"
"1919","66","0.6849313900916677","JAK3",,"false","JAK3"
"731","42","0.6575436042463105","GNAQ",,"false","GNAQ"
"1935","4","0.22831046336388924","TCL1A",,"false","TCL1A"
"699","17","0.0","CLTC",,"false","CLTC"
"709","17","0.0","BCR",,"false","BCR"
"1528","12","0.19569468288333366","ABI1",,"false","ABI1"
"749","12","0.19569468288333366","PLCG1",,"false","PLCG1"
"2047","65","0.6849313900916677","HOXA11",,"false","HOXA11"
"501","65","0.6849313900916677","FOXO1","0.272714418721","false","FOXO1"
"2121","2","0.04647165409603219","CALR","0.120271441872","false","CALR"
"531","2","0.04647165409603219","IL7R",,"false","IL7R"
"2200","35","0.0","MLLT1",,"false","MLLT1"
"2201","35","0.0","ELL",,"false","ELL"
"1305","40","0.2013771677494728","POU2AF1",,"false","POU2AF1"
"1837","40","0.2013771677494728","GATA2",,"false","GATA2"
"1223","7","0.4428760048340634","MSH2","0.272714418721","false","MSH2"
"595","7","0.4428760048340634","NBN","0.12","false","NBN"
"1517","1","0.3019418429620334","ALK",,"false","ALK"
"1513","17","0.0","MYB",,"false","MYB"
"1041","1","0.3019418429620334","MYH9",,"false","MYH9"
"937","62","0.0","XPO1",,"false","XPO1"
"2438","45","0.7129015735963788","EZH2","0.145604919671","false","EZH2"
"2529","4","0.22831046336388924","PAX5",,"false","PAX5"
"2684","13","0.13556517439796723","BTG1",,"false","BTG1"
"597","13","0.13556517439796723","MYOD1",,"false","MYOD1"
"787","1","0.3019418429620334","PPARG","0.272714418721","false","PPARG"
"505","7","0.4428760048340634","BLM",,"false","BLM"
"2872","9","0.24777188844921366","TOP1","0.272714418721","false","TOP1"
"1015","30","0.4566209267277785","SMAD4","0.272714418721","false","SMAD4"
"1105","41","0.913241853455557","PDGFRA",,"false","PDGFRA"
"3063","12","0.19569468288333366","ABL2",,"false","ABL2"
"207","23","0.0","TNFRSF14",,"false","TNFRSF14"
"2769","23","0.0","EIF3E",,"false","EIF3E"
"1074","10","0.17123284752291693","SMAD2",,"false","SMAD2"
"2714","10","0.17123284752291693","EIF4A2",,"false","EIF4A2"
"934","15","0.281291748525945","KMT2D",,"false","KMT2D"
"875","8","0.4388436552334175","WAS",,"false","WAS"
"2938","1","0.3019418429620334","PTPRB",,"false","PTPRB"
"992","3","0.2592202138602566","NCOR1",,"false","NCOR1"
"3283","3","0.2592202138602566","TCF12",,"false","TCF12"
"3074","11","0.19569468288333366","SS18",,"false","SS18"
