rank	biomarkers	candidates	cluster
8	F2R	-	F2RL1,PRTN3
12	TNFRSF11B	THBS1	VEGFA
14	STAT6	-	ACSL3,IFI16,TRIM56,TMEM173,SLC39A14
20	-	F12	MMP12
25	SMAD4	-	ZMIZ1
26	CD44	-	SCYL3
35	CEACAM1	-	CLEC4M
57	BIRC5	-	KCNJ6
58	ALOX15B	-	ERAL1
69	-	CRIP2	NR1H4,NME5,UXT,RELA,ALPL
70	PIN1	-	RUNX2,PPM1D,SULT4A1,GPHN
77	RNASEL	IQGAP1	GSPT1,NPHS2
78	MUC1	-	HPX,APOB,ORM1,LGALS9,LGALS8,ITGAL,LGALS3,A1BG
79	-	RRM2	MAGEA3,DNM1L,MAGEA1,PGAM5,SCG3
92	CCNB1	UBE2C	UBE3D
95	-	PPP3CB	CACNA1H,TBC1D10C
101	-	KPNA2	TXNIP,APOBEC1
102	MMP2	-	SCUBE3,SCUBE1
105	JAG1	-	NEURL1,CD46
106	DPP4	-	PYY,GHRH,GCG,GIP,TAC1,FAP,VIP,AVPR1A,ADCYAP1,NPPB
107	DEGS1	-	MOB1A,FOXP4
109	SERPINA3	-	CTRC,GZMM,SGCD,KLK4
112	CYP17A1,CYP3A4	CYB5A	CYP4F2,CYP3A5,CYP4A11,CYP2E1
114	MMP9	-	CXCL1,HAPLN1,CXCL2,MMP10,MMP26
115	GSTP1	-	PTPRR,RHOU,MAPK14,NOXA1,DUSP26,KIF3A
119	-	S1PR4	GPR17,GNA13,SIVA1
121	-	LTBP2	HSPG2,CLSTN1,VWA1
130	-	FST	GLI2,FSTL3,ADAM8
133	TGFB2	-	VPS33A,UVRAG,TGFBRAP1
139	NRP1	-	PLXNA2,PLXNA1,NRP2,VEGFC,VEGFD
140	HMGB1,PBX1	-	SOX18,NEUROD6,MAD1L1,HOXB3,PPP2R3A,MNT,ERF,HOXD10,HOXC6,CUX1,FOXA3,ATOH1,HOXD11,ZFP36,FOXC1,RFX1
143	-	CD151	MMP7
146	TYMS	-	TXNDC17
148	HOXB13	-	HOXD4,ASB8,ZNF490,ETV4,TIGD4
150	VCAN	-	NAGPA,ADAMTS1,SORCS1,ZP4,MMP28,COL23A1,DSG3,FURIN
155	TOP2A	-	ARID1A
166	-	GPS1	ABTB2,CDKN1B,CCND3,CCND2,CCNF,FBXO7,RBX1,HINT1
169	NKX3-1	-	ZBTB7A,SP5,LMCD1,CHPF,CKAP4,AEN
176	MCM2	-	GINS3,MCM6,MMS22L,ASF1A
177	ANG	CACNA1D	ACTN2,LRP12,FBXL22
192	ACPP	-	GABRR1,MAP2K2,MAPK1,PRKG1,LIFR,WDR83,CMTM3,DUSP22,CD19
199	-	SLC15A2	FARP2,GUCY2C,SSTR5,PDZK1
202	IGFBP3	-	CCL20,CTSL,CTSD,SNAP29,PAPPA,CD7,ATP6V0A1,IGFBP4,PI4K2A,TG,SERPINA4
205	-	TPST1	CCR8,CCR1,GPR1,TPST2,CCL26
207	-	LASP1	TJP2,CXCR3,CXCR1,CCL7,LPP
215	ETV1	-	CNTNAP2,KCNA2
221	KLF5	LEPR	MYOM3,TRIM39,DTX1,ASH2L,USP2,USP5,MKRN1,ADAM19,POLI,POLH,RCHY1,BCL2L12,SPDYA,DENR,MAP3K1,MAP3K4,GLI1,RGS2,PPP1R9A,PDCD2,ERN1,ESF1,SH3RF3,BRCC3,TNIP2,PRKAR1B,NDEL1,HIST1H2BK,MARCH5,ABCG2,PSD,CYLD,RDH12,UBC,MUL1,ATXN3,AMOT
223	XRCC1	-	POLL,CCNO
224	APC	-	DVL1P1,POM121C
229	FGF7	-	FGF22,FGFBP1
234	-	COL1A1	COL8A2,DDR1
238	BRCA1	-	RRAS,RASIP1,NRIP1,ZNF366,LDB2,CTBP1,SSBP3,SSBP2
239	BGLAP	-	CTSB,CTSS,AMBP,SRPX2,PROCR
246	NUCB2	-	ERAP1,ARFGEF2
247	-	MT1A	GPR50,MT2A
258	-	CD22	VPREB1,LGALS1,MAPKAPK3,IGHM,VPREB3,JCHAIN
262	-	SPAG5	ODF1,ZFYVE26,SSX2IP,NIF3L1,EIF4ENIF1,ADAM15
265	MME	-	RAP2B,NPR1,KEL,FAAH,EDN2,FAM83F,PDIA5,ADM,ATP12A,DNAJB12,CMA1,TM9SF1,POTEI,EDN1,KBTBD3,FAM234A,METTL7A,NPPC
267	FOXA1	TLE1	AHR,MEF2C,ONECUT1,BARHL1,HIPK2
268	HSD17B3	-	TPRG1L,PLPP2,SLC25A23,CLIC1,ATAD5,SPERT,RAD9A,MLH1,PSD3,NDFIP2,PTP4A2,RRBP1,NONO,CPVL
270	-	RNF2	E2F6,PCGF2,YY2,PCGF6,RING1,ZFP42,L3MBTL2
278	PLK1	CDK1	RERE,INCENP,BTN1A1,TMF1,GTSE1,PTHLH,KAT7,CLIP1,WDCP,RGPD4,EVI5,PSMB2,DNHD1,PAK3
280	DAB2IP	-	NIN,DACT1,AXIN1
282	LAMC1	-	LMF2,COLGALT1,H6PD,FBXO6,EMILIN2,LAMB1,LAMB2,PTGFRN,ASAH1,ATP6AP1,FOXRED2,P3H4,OST4,B3GALNT2,GAA,GUSB,RHO,NAGLU,ENPP1,EDEM3,NAGA,KIAA1161,LRIG2,ERO1B,PXDN,GNGT1,SGSH,FUCA2
287	-	PTTG1	CDC16,ANAPC15,CDR2,CDC23,ANAPC10,AJAP1,ADAM9,KLF6,PLEKHA7,APC2,CDC26,CDH1,MYO6,ANAPC1,ANAPC4,ANAPC11
296	-	SPARCL1	MMP17,ATP2A2,ERICH2,SCG2,PDIK1L,TNF,SPOCK1,SEC16A,EED,LIN54,NT5DC3,OPRD1
306	-	UPP1	WBP2,UCK2,WDR45B
311	YY1	KRT15	RUVBL1,PFDN4,TTI1,RUVBL2,INO80B,TFPT,CCDC87,INO80,PIH1D1,ACTR8,TTI2,TELO2,ACTR5,INO80E,C12orf45,INO80C,ING3
312	E2F3,E2F1	-	DRAM1,SERTAD2,BTG3,E2F2,ZMYND10,LAPTM4B,PRKAG3,PKIB,ATAD2,SETD1A,CHL1,NGRN,PHF8,RNF144A,TEAD3,UBXN1,MYH7
313	MTA1	SMARCC1	HDAC1,MAGEC2,ZNF217,ZNF335,OVOL1,TRERF1,ZFPM2,TRMT61A,HDAC3,PPP4R2,SUDS3,RCOR2,HDAC2,MKX,HOXA11,SATB2,EID2B,NKX2-2,PADI4,MIER2,NKX2-5,DNTTIP1,EMSY,SAP30,GLI3,SIX4,DDX53,ESCO1,DNMT1,C16orf87,SIX3,RAI1,RABEP2,SUZ12,NKX3-2,ELMSAN1,TMEM54,MAD2L2,ZNF516,HMG20A,TLE3,ID3,HELLS,TAL1,KLF1,MBD4,LARP7,TSC22D3,HSD11B2,DEC1,BAHD1,MAGEB1,CCDC6,SMYD1,SMARCD1,MBD3L1,SNAI2,SNAI3,CORO2A,ING2,TBL1XR1,ABTB1,KCTD11,ZNF461,PAAF1,MAGEH1,NUP54,WHSC1,PARP14,ACTN4,ID2,ID4,MTA2,INSM1,PRDM4,WISP2,ELK1,EID2,EID3,EID1,GATAD2B,HES1,ZNF395,KDM5A,NR2E1
319	-	CDC20	MAML3,CUEDC2,MXI1,FZR1,TAS2R13,RNF34,ANAPC2,NINL
321	KLK3	PZP	SLPI,CDK10,SEMG2
331	BRCA2	-	SMC1A,STAG2,STAG3,SMC3,REC8,PDS5B,NIPBL,CDCA5,SYCP3
333	-	NOTCH3	NOTCH4,MAML2,NOTCH2,MAML1
