clusters	score	genes
1136	1.0	LZTS1:0.122995792115,CDC25C:0.272714418721
690	0.918902810704	SOX9:0.272714418721,SCX:0.0,CREB3L4:0.272714418721
1004	0.746084551112	MMP14:0.272714418721,MMP13:0.12
1227	0.689177108028	MLNR:0.0,GHRHR:0.272714418721
1110	0.655472006732	ADAMTS5:0.272714418721,TIMP3:0.272714418721
1359	0.63574750377	GSTA1:0.122724350242,GSTA2:0.272714418721
721	0.633192369689	TAGLN:0.272714418721,RNF14:0.272714418721,TNFAIP3:0.272714418721
1143	0.520224143077	LYPLA2:0.0,ITGA4:0.0
987	0.501538462287	BIRC2:0.0,BIRC3:0.272714418721
1251	0.49528552717	CXCR4:0.272714418721,CXCL14:0.0
711	0.495042130572	TNFRSF11B:0.272714418721,VEGFA:0.169299814715,THBS1:0.0
911	0.491405347559	CADM1:0.272714418721,CRTAM:0.0,ITGB4:0.272714418721
1305	0.471478507928	CDK5R1:0.272714418721,LMTK2:0.146308793637
568	0.451876475833	DAXX:0.0,TGFBR3:0.272714418721,ACVR2A:0.272714418721,TCTEX1D4:0.0
1005	0.43383352309	F12:0.0,MMP12:0.272714418721
719	0.42647201638	AGER:0.272714418721,RHOA:0.272714418721,GMIP:0.0
1179	0.423781505754	CSTB:0.0,CTSH:0.272714418721
989	0.42103161863	ZBTB17:0.0,MAGEA4:0.272714418721
1105	0.418386863719	CD33:0.0,MUC2:0.272714418721
1364	0.410229499701	SSTR3:0.0,SSTR2:0.272714418721
1312	0.400116058429	CTAG1B:0.272714418721,HLA-DRB4:0.0
1148	0.399475332698	ITIH3:0.0,SPINT2:0.272714418721
354	0.396929366345	PGAM5:0.0,RRM2:0.0,DNM1L:0.0,MAGEA1:0.272714418721,SCG3:0.0,MAGEA3:0.272714418721
1133	0.395114808386	CLEC4M:0.0,CEACAM1:0.272714418721
1089	0.391064640041	ALOX12:0.272714418721,KRT85:0.0
1370	0.388950217193	ERAL1:0.0,ALOX15B:0.272714418721
1007	0.386385344168	TAF9:0.0,EHBP1:0.24
1380	0.385875048925	TRIM69:0.0,RECK:0.272714418721
1219	0.379037952174	ALG10:0.0,KCNH2:0.272714418721
1344	0.376190298668	KPNA5:0.0,SKP2:0.272714418721
1012	0.374823443827	PDP2:0.0,PRKCD:0.272714418721
1082	0.367195969218	A2M:0.272714418721,SPACA3:0.0
340	0.360019359808	AR:0.28,TSPY1:0.272714418721,MAK:0.272714418721,PKLR:0.0,KMT2A:0.0,HHAT:0.0
1330	0.355910446478	ITGAV:0.272714418721,IL32:0.0
1009	0.355830967865	KL:0.0,IGF1R:0.272714418721
1276	0.351631758738	WIF1:0.272714418721,WNT11:0.0
1142	0.350450726989	RCVRN:0.0,TOP1:0.272714418721
895	0.349815460533	GPD2:0.272714418721,FAF2:0.12,LPCAT1:0.0
797	0.348151572734	CNOT2:0.0,CNOT7:0.0,SCARA3:0.272714418721
816	0.345510214757	SHBG:0.12,LRP2:0.122724350242,M6PR:0.12
358	0.340931013411	TMEM173:0.0,STAT6:0.272714418721,IFI16:0.272714418721,ACSL3:0.272714418721,SLC39A14:0.0,TRIM56:0.0
1071	0.340528583267	FBLN2:0.0,ITGB3:0.136346101455
1139	0.336238034942	GSTO1:0.12,GSTT1:0.140365528884
1207	0.33217279072	PAPPA2:0.0,IGFBP5:0.272714418721
1092	0.331593236977	BRD4:0.12,PGAM2:0.12
1140	0.327790230122	BMI1:0.272714418721,FOXS1:0.0
650	0.326877222739	RXFP1:0.0,AKAP5:0.0,RLN1:0.272714418721,GABRB3:0.0
1032	0.326706313813	SMAD4:0.272714418721,ZMIZ1:0.0
862	0.320236186745	TLR5:0.12,PRKD1:0.272714418721,IRAK1:0.0
594	0.318012988425	GSPT1:0.0,RNASEL:0.364343069953,NPHS2:0.0,IQGAP1:0.0
1199	0.317983591584	LEF1:0.272714418721,NRARP:0.0
1156	0.31640775696	ADAM10:0.272714418721,OR4S2:0.0
1311	0.313362921748	CD1B:0.0,PSAP:0.272714418721
1319	0.312457373496	BMP4:0.272714418721,GREM2:0.0
310	0.31148823228	MMP10:0.0,MMP9:0.142880569428,CXCL1:0.0,MMP26:0.272714418721,HAPLN1:0.0,CXCL2:0.0
902	0.310182400809	TXNIP:0.272714418721,APOBEC1:0.0,KPNA2:0.0
1278	0.303252220221	MND1:0.0,PSMC3IP:0.12
1334	0.3021237719	PSD2:0.0,PMS2:0.272714418721
1217	0.301676923862	GFI1:0.272714418721,U2AF1L4:0.0
1061	0.297290953359	TAF1C:0.0,SET:0.272714418721
1014	0.296553356763	PSAT1:0.0,TIMP2:0.272714418721
995	0.292752952833	PIAS1:0.272714418721,SUFU:0.0
723	0.291110728442	HSPD1:0.272714418721,BCL2L13:0.0,SLC25A4:0.0
1046	0.289740862792	SCYL3:0.0,CD44:0.272714418721
717	0.287181176441	ZBTB22:0.0,HEY1:0.272714418721,GATA1:0.0
314	0.28469299242	VEGFD:0.0,VEGFC:0.272714418721,NRP2:0.0,PLXNA2:0.0,PLXNA1:0.0,NRP1:0.120271441872
796	0.284550056948	GKN2:0.0,MUC6:0.272714418721,TFF1:0.0
1051	0.280922995274	PYDC1:0.0,PYCARD:0.272714418721
1147	0.28079067085	EPHA2:0.272714418721,CLDN4:0.0
1158	0.279188459334	VCAM1:0.0,SPARC:0.272714418721
732	0.27819426685	S100A5:0.0,AREG:0.272714418721,S100A2:0.0
1249	0.277807346091	TNFRSF11A:0.272714418721,TMPRSS15:0.0
1031	0.271040748577	DCC:0.272714418721,EIF2B1:0.0
527	0.267983534281	KLK5:0.128173050727,SPINK5:0.12,CAMP:0.0,KLK14:0.0
315	0.265437914365	CRIP2:0.0,UXT:0.122724350242,ALPL:0.272714418721,NME5:0.0,RELA:0.272714418721,NR1H4:0.0
1352	0.264960206126	KCNJ6:0.0,BIRC5:0.272714418721
437	0.264664804005	CTRC:0.0,GZMM:0.0,SGCD:0.0,KLK4:0.272714418721,SERPINA3:0.122367031979
1115	0.264440062152	C1orf168:0.0,FDFT1:0.272714418721
