clusters	score	genes
55	1.0	LEF1:0.272714418721,APC:0.125448700485
46	0.684931390092	PML:0.272714418721,NF1:0.0
51	0.684931390092	PBX1:0.272714418721,TLX1:0.0
59	0.684931390092	CNBP:0.0,NPM1:0.272714418721
65	0.684931390092	HOXA11:0.0,FOXO1:0.272714418721
41	0.626394253882	PDGFRA:0.0,JAK1:0.272714418721,STAT5B:0.272714418721
66	0.491256217425	PIK3R1:0.272714418721,JAK3:0.0
45	0.461998690896	STAT3:0.138246194559,EZH2:0.145604919671
42	0.431991304763	RARA:0.272714418721,GNAQ:0.0,NFE2L2:0.12
63	0.395189059095	SET:0.272714418721,TFE3:0.0
8	0.377934933765	HRAS:0.272714418721,CBL:0.0,ERBB2:0.153496597004,LCK:0.0,CBLB:0.0,FNBP1:0.0,WAS:0.0,PDGFRB:0.272714418721
39	0.365525103356	ZNF521:0.0,HEY1:0.272714418721,GATA1:0.0
53	0.361613340548	FOXO3:0.272714418721,CFH:0.0
24	0.357605331355	WWTR1:0.0,AMER1:0.0,CTNNB1:0.202171534977,NOTCH1:0.0
16	0.35652804698	DAXX:0.0,TNFAIP3:0.272714418721,BCL10:0.0,NCOR2:0.0,BIRC3:0.272714418721
31	0.353312360506	FZR1:0.0,PAX8:0.0,RB1:0.272714418721
5	0.332580233744	CRTC3:0.0,LYL1:0.0,IL2:0.0,MAF:0.0,BRCA1:0.12135720936,CDKN1B:0.123267233987,FANCD2:0.0,CREB1:0.272714418721,HOXD13:0.0,MKL1:0.0,CCND3:0.272714418721
22	0.328146262429	BRD4:0.12,MED12:0.120271441872,PGAM2:0.12,BRD3:0.0
30	0.308348977708	SMAD4:0.272714418721,CEBPA:0.0,CSF3R:0.0
34	0.308146114338	MYO5A:0.0,AKT2:0.272714418721,FOXO4:0.0
7	0.290726398843	PMS2:0.0,MSH2:0.272714418721,RMI2:0.0,ATM:0.128087174336,WRN:0.0,CDKN2C:0.0,NBN:0.12,MSH6:0.0,BLM:0.0
