clusters	score	genes
1092	1.0	PGAM2:1.0,BRD4:1.0
1313	0.917552308935	PTPN13:1.0,PLEKHA2:0.0
626	0.833261254932	FGFR3:1.0,FGFR1OP:1.0,CTGF:0.0,FGFR2:1.0
673	0.700845230518	LGR4:0.0,RSPO2:1.0,RSPO3:1.0,RSPO4:0.0
769	0.673017811905	HIF3A:0.0,ARNT:1.0,HLF:1.0
717	0.669816840314	ZBTB22:0.0,GATA1:1.0,HEY1:1.0
1251	0.667511924656	CXCR4:1.0,CXCL14:0.0
1143	0.665146758387	LYPLA2:0.0,ITGA4:0.0
987	0.662806530448	BIRC3:1.0,BIRC2:0.0
995	0.656265502963	SUFU:1.0,PIAS1:0.0
1022	0.601053388906	TET1:1.0,MBD3:0.0
1028	0.561149118275	TOP2A:0.0,ARID1A:1.0
1245	0.558801953063	MITF:1.0,HOXB4:0.0
1196	0.552875380181	JAZF1:1.0,MAP3K7:0.0
1045	0.533196869744	HMGA2:1.0,BCL2A1:0.0
767	0.533144711893	GATA2:1.0,POU2AF1:1.0,NAB1:0.0
1200	0.519852752435	KLK1:0.0,CFH:1.0
993	0.510775341591	MVP:0.0,BLM:1.0
596	0.506164855203	DACT1:0.0,AXIN1:1.0,DAB2IP:0.0,NIN:1.0
1379	0.500359991754	RABEP1:1.0,KCNH1:0.0
1255	0.499369402476	ADRB1:0.0,MAGI1:1.0
1142	0.491832042474	RCVRN:0.0,TOP1:1.0
141	0.481181744728	PTPRG:0.0,PTPRK:1.0,PTPRC:1.0,TEK:0.0,PTPRJ:0.0,PTPRB:1.0,PTPRO:0.0,PTPN22:0.0,KIT:1.0,PTPRZ1:0.0
1276	0.463783354615	WNT11:0.0,WIF1:1.0
1279	0.451592914478	HMGA1:1.0,PPP1R8:0.0
430	0.442474934736	NOTCH4:0.0,MAML2:1.0,NOTCH2:1.0,NOTCH3:0.0,MAML1:0.0
1039	0.440895533722	SOCS1:1.0,CYTIP:0.0
335	0.438056621739	AKT3:0.0,FOXO4:1.0,ARRB2:0.0,AKT2:1.0,PLEKHO1:0.0,MYO5A:1.0
268	0.428681114309	HOXD9:0.0,PBX2:0.0,TLX3:1.0,HOXC13:1.0,HOXA13:1.0,HOXB8:0.0,MEIS1:0.0
986	0.426155048835	SRSF2:1.0,SDCCAG8:0.0
1307	0.421620726506	HOOK3:1.0,MSR1:0.0
851	0.418662877879	MAP2K7:0.0,TRIB1:0.0,MAP3K13:1.0
1321	0.416495691958	CSNK1G2:0.0,PER1:1.0
1199	0.411974713327	NRARP:0.0,LEF1:1.0
686	0.409647384545	CCNT1:0.0,TCEA1:1.0,HEXIM1:0.0
645	0.404510503424	FSTL3:1.0,GLI2:0.0,FST:0.0,ADAM8:0.0
500	0.40188589388	HMGXB4:0.0,BCL7C:0.0,ARID2:1.0,SMARCE1:1.0
1146	0.401467333966	FLT3:1.0,FIZ1:0.0
1032	0.393198195331	ZMIZ1:0.0,SMAD4:1.0
790	0.390662299767	MYH1:0.0,EXT1:1.0,ACTR3B:0.0
971	0.387119996747	GOPC:1.0,NLGN1:0.0
1061	0.386847064628	TAF1C:0.0,SET:1.0
1334	0.381645754746	PSD2:0.0,PMS2:1.0
1096	0.380806209678	NR2C2:0.0,CBLB:1.0
562	0.379956018792	CD79A:1.0,TNFAIP6:0.0,COL8A1:0.0,FN1:0.0
860	0.379915596615	CD79B:1.0,STAM:0.0,TBCK:0.0
842	0.374774100807	ERCC5:1.0,GADD45A:0.0,GTF2H2:0.0
967	0.369963159875	HIST2H3D:0.0,PHF2:0.0
779	0.368573721636	SEPT7:0.0,SEPT6:1.0,SEPT12:0.0
1153	0.36747293102	TTC14:0.0,SS18:1.0
898	0.364946444229	RHOV:0.0,NCK2:0.0,CHN1:1.0
1395	0.364077130739	TPM3:1.0,CDC123:0.0
754	0.363382260042	NUTM2B:1.0,SETD6:0.0,ATXN1:0.0
963	0.360689457971	CTC1:0.0,POT1:1.0,TPP1:0.0
