rank	biomarkers	candidates	cluster
6	TNFAIP3	-	RNF14,TAGLN
11	BIRC3	-	BIRC2
12	CXCR4	-	CXCL14
17	-	DAXX	TGFBR3,ACVR2A,TCTEX1D4
18	RHOA	-	AGER,GMIP
24	-	ELN	EFEMP2,SOD3,FBLN5
37	AR	KMT2A	PKLR,MAK,HHAT,TSPY1
39	TOP1	-	RCVRN
44	WIF1	-	WNT11
46	SMAD4	-	ZMIZ1
48	STAT6,ACSL3	-	IFI16,TRIM56,TMEM173,SLC39A14
49	BRD4,PGAM2	-	-
57	-	ASXL1	RARB,ZNF423,EBF2
59	LEF1	-	NRARP
65	PMS2	-	PSD2
67	-	GPHN	RUNX2,PIN1,PPM1D,SULT4A1
68	JAZF1	-	MAP3K7
71	SET	-	TAF1C
72	-	SUFU	PIAS1
74	HEY1	GATA1	ZBTB22
76	MUC1	-	HPX,APOB,ORM1,LGALS9,LGALS8,ITGAL,LGALS3,A1BG
95	-	SDC4	TIAM1,SDC2,CSF2RA
102	NPM1	-	HEMGN,FAM129A,FOXK1,PELP1
116	NFE2L2,JUN	-	ITGAX,HHEX,CEBPG,EPHB4,SNRK,SLC4A8,CITED1,RNF187
117	-	CBFB	TLR1,DHX36
118	-	MYOD1	NUPR1,BHLHA15
126	IKBKB	-	ZC3H12A,MLST8
129	-	FSTL3	GLI2,FST,ADAM8
142	-	HOOK3	MSR1
144	-	CNTRL	TNFRSF1A,NOXO1,NOX1,CARD9,CYBA,RFK,PRKAR2B
145	FGFR2	FGFR1OP,FGFR3	CTGF
146	-	LASP1,LPP	TJP2,CXCR3,CXCR1,CCL7
148	LIFR	MAP2K2	ACPP,GABRR1,MAPK1,PRKG1,WDR83,CMTM3,DUSP22,CD19
153	APC	-	DVL1P1,POM121C
167	PDGFRB	PDGFRA,NTRK1	SYNGAP1,SLC9A3R2,PTPRE,GRB7,PDPK1
168	NOTCH1	-	WDR11,NCKAP1L,RBP3,NUMBL
171	-	MYD88	STAP1,CYTH2,PTK2B
