rank	test biomarkers	test candidates	remaining biomarkers	remaining candidates
25	F2R	-	F2RL1	PRTN3
28	-	RRM2	MAGEA3,MAGEA1	DNM1L,PGAM5,SCG3
31	ALOX15B	-	-	ERAL1
55	DPP4	-	VIP,GHRH,ADCYAP1	PYY,AVPR1A,GCG,GIP,TAC1,FAP,NPPB
79	BIRC5	-	-	KCNJ6
88	SERPINA3	-	KLK4	CTRC,GZMM,SGCD
91	-	CRIP2	UXT,RELA,ALPL	NR1H4,NME5
92	CCNB1	UBE2C	-	UBE3D
114	JAG1	-	-	NEURL1,CD46
120	-	CYB5A	CYP17A1,CYP3A4,CYP3A5,CYP2E1	CYP4F2,CYP4A11
129	-	FST	GLI2	FSTL3,ADAM8
154	-	TPST1	CCR1	CCR8,GPR1,TPST2,CCL26
158	TGFB2	-	-	VPS33A,UVRAG,TGFBRAP1
189	TOP2A	-	-	ARID1A
210	-	CD38	STS	UBASH3B,ACTG2,LAT2,KRT79,TCN1,CBL,CDKL2,KRT6C,SPRED2,GAB1
214	TYMS	-	-	TXNDC17
216	-	OCLN	SRC,FHIT	PPM1F,LCT,TXK,STAP2,ADGRE5,RHOQ,KCNQ5,ALS2CR12,PTGER4,SH2D2A,LCP2,CENPV,ZNF658B,FEM1A
218	ANG	CACNA1D	-	ACTN2,LRP12,FBXL22
221	AZGP1	-	-	MT-CO2,APOO,RRAS2,CKS1B,DHRS1,SEMG1,CCNG1,CDK2,KPRP,FBXW4,CCNJ,ATP5D
239	-	ASNS	-	GTF2B,TAF6,TBP
245	KLF5	-	RCHY1,GLI1,ABCG2,MAP3K1,USP2	MYOM3,TRIM39,DTX1,ASH2L,USP5,MKRN1,ADAM19,POLI,POLH,BCL2L12,SPDYA,DENR,MAP3K4,RGS2,PPP1R9A,PDCD2,ERN1,ESF1,SH3RF3,BRCC3,LEPR,TNIP2,PRKAR1B,NDEL1,HIST1H2BK,MARCH5,PSD,CYLD,RDH12,UBC,MUL1,ATXN3,AMOT
247	-	HERC3	HERPUD1,ID1	TRAF3,SLC11A2,AXIN2,UBXN6,CARD11,DNAJC2,NEDD4L,UBA52,CSNK1G1,RBCK1,AMMECR1,NMNAT2,RAPGEF2,RNF5,HFE,PFKFB3
272	-	SPAG5	ADAM15	NIF3L1,EIF4ENIF1,ODF1,ZFYVE26,SSX2IP
275	-	TLE1	AHR,FOXA1	MEF2C,HIPK2,ONECUT1,BARHL1
279	-	PTTG1	CDH1,KLF6,MYO6,ADAM9	CDC16,ANAPC15,CDR2,CDC23,ANAPC10,AJAP1,ANAPC1,PLEKHA7,CDC26,APC2,ANAPC4,ANAPC11
285	-	SLC15A2	FARP2,PDZK1	GUCY2C,SSTR5
298	-	SATB1	MCM7,EP300,CREBBP,TP73	CLOCK,COPS2,IFNA7,GPBP1,MMP23B,CD2,MAP9,HIST1H2AA,SOX4,TP63,SPI1,KLF16,S1PR1,U2AF2,FBXW8,EMB,DUSP2,CTF1,TRIM24,MN1,XPA,CD69,HIST1H2BA,TP53BP2,UBR1,SNAI1,HIST2H2AB,GATA3,TCL1A,ITK,NPY5R,MTF1,JDP2,L3MBTL1,PPP1R13L,BCL3
315	FGF7	-	-	FGF22,FGFBP1
324	-	NOTCH3	NOTCH4	MAML2,NOTCH2,MAML1
328	-	CUL7,PLCG1,DLGAP1,MYLK	MKI67,ABCG5,OXT,DNASE1L2,FYN,SHROOM2,ABR,PIK3R1,SLC22A3,BAZ2A,DAB2	ASB16,TGDS,RAPGEF1,EPX,ADAMTS2,SEMA7A,CACNA1F,FAM110A,DLGAP3,PYGB,DLGAP4,WDR61,PRX,ARHGEF11,WNK2,TDRD1,EXTL3,LRRC3,KIFC2,OSBPL5,AKAP6,HCN2,NFS1,CDON,DKKL1,SNX3,ISG20L2,DOCK3,GAB3,POLR1B,GABBR1,NCKAP5,CCKBR,LRRK1,GSX2,TULP1,AFF2,TULP4,PRKG2,DLX4,CSDC2,EFS,GTF2IRD1,NFASC,PAX3,DTNBP1,GLMN,GCFC2,LRBA,CDC27,TMEM74B,SEPN1,NXPH3,MYO1C,CSMD2,CD300LB,SOS2,ABL1,ABL2,GABRA3,SNX17,DLGAP2,SNX12,CDKL5,NPVF,CAST,FANCA,C6,RIMS2,PHACTR2,CELSR3,IL3RA,SH2B3,PCDHA7,TPSB2,SCARF2,GSTZ1,SLC23A1,CHRD,PREP,ASAP2,MAP4K1,MAP4K5,MSH5,CNTNAP1,P2RX7,EPS15,MEPE,PPFIA3,UHMK1,BRPF3,APOL5,VPS13A,SUV39H2,GLTSCR1,SLC24A1,PRICKLE3,DUSP15,GPR45,SHANK3,ZC4H2,NCK1,KIF13A,ARHGAP33,CKAP5
355	E2F3	-	E2F1	DRAM1,SERTAD2,BTG3,E2F2,ZMYND10,LAPTM4B,PRKAG3,PKIB,ATAD2,SETD1A,TEAD3,NGRN,PHF8,RNF144A,CHL1,UBXN1,MYH7
367	-	MT1A	MT2A	GPR50
373	-	SPARCL1	TNF,SPOCK1	MMP17,ATP2A2,ERICH2,SCG2,PDIK1L,OPRD1,EED,SEC16A,LIN54,NT5DC3
388	LAMC1	-	LAMB1,NAGLU,LAMB2,ASAH1	LMF2,COLGALT1,H6PD,FBXO6,EMILIN2,PTGFRN,ATP6AP1,FOXRED2,P3H4,OST4,KIAA1161,GAA,GUSB,GNGT1,ENPP1,EDEM3,NAGA,LRIG2,B3GALNT2,ERO1B,PXDN,RHO,SGSH,FUCA2
395	ERG	COPS5	EPHX1,BAG1,IGSF8,RPL12,PTRH2,EIF3A,DCD,RPL19,SURF4,PRPF8,TNFSF10,RPL10,AIFM1,ICAM1,FASN,HNRNPH1,QARS,PA2G4,TRPM8	TAP1,ZCCHC11,STK10,CCDC146,SRSF10,KCTD6,UBQLN2,TKT,FAM114A1,ZC3H10,METTL18,FAM114A2,MEI1,ZC3H18,ZMYM2,ARHGEF12,OSGEP,SF3A2,PPP2R2D,CTNNBL1,STK4,RAB40B,STRBP,HNRNPDL,TUBB4B,AKAP8,EIF2A,POP1,ENC1,EIF5A2,NYAP1,STK38L,TUBE1,YBX2,CAPZB,RPS27L,RRP1B,RIT1,UROS,GTF3C1,GPRASP2,IFIT2,IFIT1,CCT8,RPL7A,XPO5,PANK4,CCT2,CCT4,CCT5,BCDIN3D,TIMM13,FBXL17,ARIH2OS,GAR1,HNRNPCL1,NACA2,FAM199X,PYM1,GARS,MCCC1,RPS6KA1,SNRPB2,PSMD13,KRT16,FBXO30,KRT10,GFPT2,EIF4A3,DYNC1LI1,KLHL26,KLHL21,KLHL22,MTFR2,KLHL28,AKAP11,RBM3,CCDC184,NEDD8,STRIP1,RPS4Y1,PHAX,PRAME,HIST1H2BH,ARF4,S100A9,PBK,DDB2,RBM19,S100A6,DNAH2,POLRMT,CPOX,PRND,MOB2,RNF20,MOB4,RIOK2,BDKRB2,SPIN2A,ATP1A4,CUL2,MARS,CMTR1,RBM7,PSMD9,PSMD8,RPL23A,EEF1A1,ARL15,TTC7B,EIF2S3,CAD,DYNC1I2,DDX18,POTEJ,ILVBL,ATP6V1B2,DYNLRB1,TRA2A,RNMT,CBWD2,HEATR1,ATG4C,DCAF4L1,SFSWAP,LRRC2,COPS7A,RPL14,HAP1,BTBD1,AKAP8L,FN3KRP,RBMX,NAP1L2,EEF2,SLC1A3,TRMT112,ORAOV1,PCK1,RPGR,ZNF326,MAN1B1,LRRC42,RCBTB1,KRT71,USP25,PRPF6,GNL3,LBP,EIF3K,ASB4,EIF3B,EIF3D,EIF3E,DYNLT3,STRAP,RARS,MTMR9,CIRBP,KNDC1,RAB5B,FAM69B,REV3L,TPR,SEC24C,NTPCR,ZNF846,EFL1,UQCRC2,DBT,ZNF699,RPL37A,COPS3,RPL27A,HNRNPH2,COPS6,TEFM,PINK1,MNX1,LAMB4,APPBP2,DDX50,FTSJ3,DDX55,STK25,CDC42BPB,SF3A3,C10orf55,BUB3,FIGN,NUDT7,DLAT,BOP1,EIF4H,AGMAT,CCDC9,EIF4B,LARS,FAM103A1,RPL7L1,SNX22,DMWD,SPATA5L1,KRT75,NUDCD3,KRT76,TRNAU1AP,TMC1,RPLP2,RPLP1,RPLP0,KRT78,RFC3,STXBP1,OXSR1,ZBTB10,CDT1,SNRPA1,RPS6KB2,CYB5D1,PLOD2,ZNF346,FBXW2,KLHL12,DPAGT1,KLHL15,KLHL17,KLHL18,HNRNPA3,HNRNPA0,SND1,IGF2BP2,CNNM4,RTCB,GDPD3,RPL10A,RAD52,LPAR2,CDK9,XAB2,POLA1,SF3B5,PRDX6,SF3B3,SF3B2,MRPS15,H1F0,C20orf196,NOP58,SCARA5,IFIT3,KRT3,NOP56,ARHGDIB,FEM1B,FEM1C,OGFR,SRSF5,VASN,ATAD3B,CASC3,KBTBD13,PM20D2,DDX23,TOE1,DDX21,DDX24,SSR1,BCKDHB,NCDN,DEFB127,DCAF8,NDUFB9,ZFR,FBXO17,RBM4B,NARS,UQCRH,NAALADL2,SNRNP200,MAP3K8,ZRANB3,PPP1R3A,TFB2M,ZNF570,FAM110B,CUL5,TAGLN2,KLHDC10,CUL1,LUC7L3,CUL3,IARS,VRK1,SLC25A5,SLC25A22,RPL15,RPL11,RPL18,GPATCH1,DNAJA2,RBM42,DNAJA1,SNRPD3,SNRPD1,KPNA6,KPNA4,KPNA3,KPNA1,KIF1BP,KDELC1,ENAH,ACSBG2,NOP16,EIF5B,PPM1G,DCAF12L2,SRSF6,HSPH1,USP45,USP44,SRSF9,USP43,PDPR,RPS3A,PJA2,LIN28B,ATG10,RPP25L,RSL1D1,RPL10L,C19orf70,ABCA10,RWDD4,UBE2M,GALK1,GINS4,MRPS26,MRPS23,MRPS21,STRN,ASPRV1,PHF5A,MSMO1,FARS2,KCTD2,RPL18A,RPS7,KRT2,C12orf10,RPS3,RPS2,KRT5,HP1BP3,TP53RK,RPS9,RPS8,FLG2,CD81,DHX57,KRT84,MCCC2,PSMA2,ATP6V0A2,KRT6B,SF3B4,UGGT1,RPS26,RPS27,RPS25,RPS23,THRAP3,RPS21,RGSL1,WBP11,QPCT,PRKAA1,NT5DC4,STOX2,NUP50,RPSA,DHX30,PBDC1,DCAF11,MAGOH,PPP1R15A,FARSB,TMTC2,PPIH,PPIE,CALR3,PPIA,MYO10,CLCC1,CEMIP,UFM1,SPATA21,USP9Y,HIST1H2AD,MICU2,PDCD2L,YAE1D1,RPL29,RPL24,RPL27,RPL26,RPL21,RPL23,RPL22,ZCCHC8,TTC37,RANGAP1,SUCLG2,IK,GTPBP1,RHOBTB1,SAMHD1,UTP14A,SRRM2,PON2,EPB41L1,PRPF19,PRUNE2,RRP15,SNU13,ASB13,TMOD3,TMOD2,DARS,CPNE7,ATP9A,ZNF76,BORA,NOSIP,C19orf43,GRK2,GRK3,CSNK1E,FLII,CWC15,APEH,SEPT10,EIF3CL,VWA7,COL19A1,KRT24,SERPINB3,KLHL8,KLHL9,KCTD13,KCTD12,KCTD10,BRSK1,EEF1G,FBXL3,KCTD18,RPS5,SRPX,RHOT2,ADAMTS17,RPL8,SLC7A9,RPL6,RPL7,CCDC39,CCDC68,KLHDC2,KLHDC3,KRT8,KBTBD2,TUBA1C,NKAPL,KBTBD8,PDHA2,LANCL1,SRP14,UBXN7,TTC5,DCHS2,FAF1,DCUN1D1,DCUN1D2,DCUN1D3,IFIT1B,HIST1H2BM,SART1,TPRKB,HIST1H2BJ,SLC25A43,LRIG3,LRRC14,TNFAIP1,CLTCL1,RBM25,RBM22,BTBD8,NUP155,IPO9,BUD31,AGO4,ACTR3,BTBD2,NUP88,POF1B,HIST1H2BN,RPL35A,STOM,PDXK,ATP5O,EFCC1,TENM4,SHKBP1,SNRPA,RPL13A,MRPS34,RPL9,PCBP1,TRMT6,POLD1,DCUN1D5,HNRNPL,HNRNPM,PPP1R12B,SNRNP70,RPL4,NIFK,NDUFA5,KRT6A,EEF1B2,COPS4,HIST1H1D,NAP1L4,C7orf50,HNRNPUL2,YTHDC2,PRPF39,SMU1,TSR1,FBL,RPS13,RPS12,RPS11,RPS10,RPS17,RPS16,RPS15,RPS14,AAR2,RPS18,DCAF12,RPL3L,FBXO46,HIST1H2AJ,FAM83B,CLPB,CAND1,HADHB,PLOD3,LSM12,CRY2,ZNF554,GNA15,TRMT10C,LDHD,DCAF7,KCTD20,KCTD21,PABPN1,DPY19L4,PRPS1L1,TMEM165,SNRPC,RPS29,SNRPG,SNRPE,PTCH1,RPL26L1,CFAP58,RPL38,RPL36,RPL35,RPL32,RPL30,PURB,EMG1
