"SUID","__mclCluster","name","PRWP","PRWP_single","score","selected","shared name"
"154","11","GOPC","0.3439353168016786","0.06227580201760721",,"false","GOPC"
"155","11","JUN","0.3439353168016786","0.5286463366167516","0.272714418721","false","JUN"
"99","1","PTPRK","0.4292710741963075","0.15957303057272018","0.12","false","PTPRK"
"244","8","ERBB2","0.543645578845902","0.2134120491410394","0.153496597004","false","ERBB2"
"360","8","CBL","0.543645578845902","0.24814079335111142",,"false","CBL"
"842","42","NFE2L2","0.6398597165547011","0.1119052883952744","0.12","false","NFE2L2"
"417","42","RARA","0.6398597165547011","0.40270997484959337","0.272714418721","false","RARA"
"185",,"SMARCE1",,"0.15138416778384228",,"false","SMARCE1"
"935","38","ERCC4","0.09783054500413295","0.05125272358455192",,"false","ERCC4"
"936","38","FANCG","0.09783054500413295","0.026369514879519836",,"false","FANCG"
"968","1","NTRK1","0.4292710741963075","0.0482964537142965",,"false","NTRK1"
"826","1","PTPRC","0.4292710741963075","0.12357454783906445",,"false","PTPRC"
"1034","1","MPL","0.4292710741963075","0.024927024285474247",,"false","MPL"
"84","1","JAK2","0.4292710741963075","0.17805017239734588","0.12","false","JAK2"
"550","4","EP300","0.41001010026011536","0.8110305509523973","0.272714418721","false","EP300"
"447","14","EGFR","0.31856114089902826","0.3331574245259511","0.143684963523","false","EGFR"
"1174","41","STAT5B","0.6598031222003302","0.3641148874698146","0.272714418721","false","STAT5B"
"128","24","CTNNB1","0.753976953355582","0.48015183452028065","0.202171534977","false","CTNNB1"
"199","1","HSP90AB1","0.4292710741963075","1.0",,"false","HSP90AB1"
"707","17","NFKBIE","0.08924594758573667","0.09689676801000938",,"false","NFKBIE"
"1236","37","IKBKB","0.44811344541334247","0.33950369184731155","0.272714418721","false","IKBKB"
"1271","30","CEBPA","0.45385582581954936","0.17102400340015814",,"false","CEBPA"
"1310","27","KDM6A","0.09771346315596637","0.06990156377472302",,"false","KDM6A"
"108","27","KMT2C","0.09771346315596637","0.0097862178625325",,"false","KMT2C"
"1372","8","LCK","0.543645578845902","0.14291947785984588",,"false","LCK"
"280","3","EZR","0.36912953124556575","0.19187326408975136","0.125448700485","false","EZR"
"163","66","PIK3R1","0.7110906388186112","0.3759124444455664","0.272714418721","false","PIK3R1"
"1139","1","SOCS1","0.4292710741963075","0.12078496949412205",,"false","SOCS1"
"1325","68","ARNT","0.0","0.0",,"false","ARNT"
"1491","68","HLF","0.0","0.0",,"false","HLF"
"512","67","TRIM27","0.15458334046023545","0.014054453566858341",,"false","TRIM27"
"1545","67","TAL1","0.15458334046023545","0.08031118299465874",,"false","TAL1"
"146","57","SUZ12","0.1674762989003296","0.08968084909501108",,"false","SUZ12"
"1265",,"CTCF",,"0.1555497562866668",,"false","CTCF"
"262","4","CASP8","0.41001010026011536","0.06382891134330743",,"false","CASP8"
"733","5","IL2","0.49593361758307164","0.11058951582891714",,"false","IL2"
"1751","3","MSN","0.36912953124556575","0.10396462994507168",,"false","MSN"
"1765","4","BCL3","0.41001010026011536","0.054797802385680806",,"false","BCL3"
"383","33","VHL","0.24571168126350043","0.14509824173553784",,"false","VHL"
"1362","63","SET","0.5850159310389237","0.2889041633316932","0.272714418721","false","SET"
"89","36","MDM2","0.3629568942281653","0.17989068445733883","0.128001297944","false","MDM2"
"410","19","NCOA2","0.3358951020769143","0.19922350196299451","0.122724350242","false","NCOA2"
