rank	biomarkers	candidates	cluster
13	TNFRSF11B	THBS1	VEGFA
19		F12	MMP12
25	F2R		F2RL1,PRTN3
28		RRM2	MAGEA3,DNM1L,MAGEA1,PGAM5,SCG3
29	CEACAM1		CLEC4M
31	ALOX15B		ERAL1
46	SMAD4		ZMIZ1
48	STAT6		ACSL3,IFI16,TRIM56,TMEM173,SLC39A14
53	RNASEL	IQGAP1	GSPT1,NPHS2
55	DPP4		PYY,GHRH,GCG,GIP,TAC1,FAP,VIP,AVPR1A,ADCYAP1,NPPB
58	MMP9		CXCL1,HAPLN1,CXCL2,MMP10,MMP26
60		KPNA2	TXNIP,APOBEC1
67	PIN1		RUNX2,PPM1D,SULT4A1,GPHN
73	CD44		SCYL3
76	MUC1		HPX,APOB,ORM1,LGALS9,LGALS8,ITGAL,LGALS3,A1BG
78	NRP1		PLXNA2,PLXNA1,NRP2,VEGFC,VEGFD
79	BIRC5		KCNJ6
88	SERPINA3		CTRC,GZMM,SGCD,KLK4
91		CRIP2	NR1H4,NME5,UXT,RELA,ALPL
92	CCNB1	UBE2C	UBE3D
101		LTBP2	HSPG2,CLSTN1,VWA1
106		PPP3CB	CACNA1H,TBC1D10C
111		CD151	MMP7
114	JAG1		NEURL1,CD46
120	CYP17A1,CYP3A4	CYB5A	CYP4F2,CYP3A5,CYP4A11,CYP2E1
127	DEGS1		MOB1A,FOXP4
129		FST	GLI2,FSTL3,ADAM8
133	VCAN		NAGPA,ADAMTS1,SORCS1,ZP4,MMP28,COL23A1,DSG3,FURIN
134	MMP2		SCUBE3,SCUBE1
146		LASP1	TJP2,CXCR3,CXCR1,CCL7,LPP
148	ACPP		GABRR1,MAP2K2,MAPK1,PRKG1,LIFR,WDR83,CMTM3,DUSP22,CD19
153	APC		DVL1P1,POM121C
154		TPST1	CCR8,CCR1,GPR1,TPST2,CCL26
158	TGFB2		VPS33A,UVRAG,TGFBRAP1
164	MCM2		GINS3,MMS22L,ASF1A,MCM6
165	BGLAP		CTSB,CTSS,AMBP,SRPX2,PROCR
174	HMGB1,PBX1		SOX18,NEUROD6,FOXA3,MAD1L1,HOXB3,PPP2R3A,MNT,ERF,HOXD10,HOXC6,CUX1,ZFP36,ATOH1,HOXD11,FOXC1,RFX1
178	GSTP1		PTPRR,RHOU,MAPK14,NOXA1,DUSP26,KIF3A
181		S1PR4	GPR17,GNA13,SIVA1
185	IGFBP3		CTSL,CTSD,SNAP29,PAPPA,TG,CD7,ATP6V0A1,IGFBP4,PI4K2A,CCL20,SERPINA4
187		GPS1	ABTB2,CDKN1B,CCND3,CCND2,CCNF,FBXO7,RBX1,HINT1
189	TOP2A		ARID1A
197	HOXB13		HOXD4,ASB8,ZNF490,ETV4,TIGD4
207	XRCC1		POLL,CCNO
210		CD38	UBASH3B,ACTG2,LAT2,KRT79,TCN1,CBL,CDKL2,KRT6C,STS,SPRED2,GAB1
214	TYMS		TXNDC17
216		OCLN	SRC,LCT,TXK,FHIT,PPM1F,ADGRE5,RHOQ,KCNQ5,ALS2CR12,PTGER4,SH2D2A,LCP2,STAP2,CENPV,ZNF658B,FEM1A
218	ANG	CACNA1D	ACTN2,LRP12,FBXL22
221	AZGP1		MT-CO2,APOO,RRAS2,CKS1B,DHRS1,SEMG1,CCNG1,CDK2,KPRP,FBXW4,CCNJ,ATP5D
225	NKX3-1		ZBTB7A,SP5,LMCD1,CHPF,CKAP4,AEN
232		COL1A1	COL8A2,DDR1
239		ASNS	GTF2B,TAF6,TBP
242		CDC20	MAML3,CUEDC2,MXI1,FZR1,TAS2R13,RNF34,ANAPC2,NINL
245	KLF5	LEPR	MYOM3,TRIM39,DTX1,ASH2L,USP2,USP5,MKRN1,ADAM19,POLI,POLH,RCHY1,BCL2L12,SPDYA,DENR,MAP3K1,MAP3K4,GLI1,RGS2,PPP1R9A,PDCD2,ERN1,ESF1,SH3RF3,BRCC3,TNIP2,PRKAR1B,NDEL1,HIST1H2BK,MARCH5,ABCG2,PSD,CYLD,RDH12,UBC,MUL1,ATXN3,AMOT
247		HERC3	HERPUD1,TRAF3,SLC11A2,AXIN2,UBXN6,CARD11,DNAJC2,ID1,NEDD4L,UBA52,CSNK1G1,RBCK1,AMMECR1,NMNAT2,RAPGEF2,RNF5,HFE,PFKFB3
254		ALDH1A1	KRT81,NOS2,SLC7A5
261		FSTL1	DIP2A,CD14
264	BRCA1		LDB2,RASIP1,NRIP1,ZNF366,RRAS,CTBP1,SSBP3,SSBP2
272		SPAG5	ODF1,ZFYVE26,SSX2IP,NIF3L1,EIF4ENIF1,ADAM15
275	FOXA1	TLE1	MEF2C,AHR,ONECUT1,BARHL1,HIPK2
279		PTTG1	CDC16,ANAPC15,CDR2,CDC23,ANAPC10,AJAP1,ADAM9,KLF6,PLEKHA7,MYO6,CDC26,CDH1,APC2,ANAPC1,ANAPC4,ANAPC11
283	MTA1	SMARCC1	HDAC1,MAGEC2,ZNF217,HDAC2,OVOL1,TRERF1,ZFPM2,TRMT61A,HDAC3,PPP4R2,SUDS3,RCOR2,ZNF335,MKX,HOXA11,SATB2,EID2B,NKX2-2,PADI4,MIER2,NKX2-5,DNTTIP1,EMSY,SAP30,GLI3,SIX4,DDX53,ESCO1,DNMT1,C16orf87,SIX3,RAI1,RABEP2,KLF1,NKX3-2,ELMSAN1,TMEM54,MAD2L2,ZNF516,HMG20A,TLE3,ID3,HELLS,TAL1,SUZ12,MBD4,LARP7,TSC22D3,HSD11B2,DEC1,BAHD1,MAGEB1,CCDC6,SMYD1,SMARCD1,HES1,SNAI2,SNAI3,CORO2A,ING2,TBL1XR1,ABTB1,KCTD11,ZNF461,PAAF1,MAGEH1,NUP54,WHSC1,PARP14,ACTN4,ID2,ID4,MTA2,INSM1,PRDM4,WISP2,ELK1,EID2,EID3,EID1,GATAD2B,MBD3L1,ZNF395,KDM5A,NR2E1
