"SUID","__APCluster","name","PRWP","score","selected","shared name"
"72","64","SUPT3H","3.9589078998763505E223","0.12","false","SUPT3H"
"73","64","TRRAP","3.9589078998763505E223","0.12","false","TRRAP"
"75","211","PSMB2","6.341416728947067E223","0.12","false","PSMB2"
"76","11","PSMC1","3.808875722041067E224",,"false","PSMC1"
"78","721","NUDT21","0.0",,"false","NUDT21"
"79","720","ITCH","2.37534473992581E223","0.36","false","ITCH"
"81","19","SKP1","3.1187822713947527E224",,"false","SKP1"
"82","33","CCNA2","7.928561933470062E223","0.12","false","CCNA2"
"84","159","NFYC","1.5961003159541254E223",,"false","NFYC"
"85","159","ADNP2","1.5961003159541254E223",,"false","ADNP2"
"87","3","USO1","8.348944492574958E224","0.12","false","USO1"
"88","3","STXBP1","8.348944492574958E224","0.36","false","STXBP1"
"91","719","HDAC2","7.917815799752702E222","0.12","false","HDAC2"
"92","1","PHF21A","2.0929171549380665E226","0.120542883744161","false","PHF21A"
"94","138","LDOC1","2.3753447399258106E223",,"false","LDOC1"
"95","138","PLEKHF2","2.3753447399258106E223","0.12","false","PLEKHF2"
"97","322","NFE2L2","2.9223992738140255E223","0.2","false","NFE2L2"
"98","322","MAFF","2.9223992738140255E223","0.12","false","MAFF"
"100","1","FBXO11","2.0929171549380665E226",,"false","FBXO11"
"101","1","RBX1","2.0929171549380665E226","0.12","false","RBX1"
"103","1","PLEKHJ1","2.0929171549380665E226",,"false","PLEKHJ1"
"104","5","KRT33B","3.83226726028144E224",,"false","KRT33B"
"106","87","MEGF10","7.164935612163957E223","0.24","false","MEGF10"
"107","87","SCAPER","7.164935612163957E223","0.12","false","SCAPER"
"109","42","PSMB4","8.794851982200772E223","0.12","false","PSMB4"
"110","297","PSMD14","0.0",,"false","PSMD14"
"112","6","GIPC1","5.247956312374522E224",,"false","GIPC1"
"113","37","SH3BP4","8.251379492885012E223",,"false","SH3BP4"
"115","18","DTX3","3.4581594875866554E224","0.12","false","DTX3"
"116","718","UBE2D4","0.0",,"false","UBE2D4"
"118","22","CDK9","2.887292878139913E224",,"false","CDK9"
"119","3","ATR","8.348944492574958E224","0.36","false","ATR"
"121","1","BCKDK","2.0929171549380665E226","0.44","false","BCKDK"
"122","1","FAM98B","2.0929171549380665E226","0.12","false","FAM98B"
"124","717","RELB","7.917815799752702E222","0.12","false","RELB"
"126","3","SRPK1","8.348944492574958E224",,"false","SRPK1"
"127","20","SRSF6","2.0522470504721107E224",,"false","SRSF6"
"129","32","MAP3K14","6.33783468437461E223",,"false","MAP3K14"
"130","19","RPL11","3.1187822713947527E224","0.36","false","RPL11"
"132","8","HMGN1","5.224046475532716E224","0.12","false","HMGN1"
"133","1","RPS6KA3","2.0929171549380665E226","0.120814325616241","false","RPS6KA3"
"135","139","CD82","3.2461934203588765E223","0.13198316845819","false","CD82"
"136","4","CANX","4.451498415465275E224","0.12","false","CANX"
"138","1","MED28","2.0929171549380665E226","0.122724350242467","false","MED28"
"139","1","LCK","2.0929171549380665E226","0.24","false","LCK"
"141","1","MAP3K10","2.0929171549380665E226",,"false","MAP3K10"
"142","13","RACGAP1","4.514873988401246E224","0.12","false","RACGAP1"
"144","1","PPP4R1","2.0929171549380665E226","0.12","false","PPP4R1"
"145","716","DISC1","7.917815799752702E222","0.12","false","DISC1"
"147","9","NOXA1","4.446621659367116E224",,"false","NOXA1"
"148","1","NOX1","2.0929171549380665E226","0.12","false","NOX1"
"150","1","TGFBI","2.0929171549380665E226","0.360542883744161","false","TGFBI"
"151","1","COL1A1","2.0929171549380665E226","0.12","false","COL1A1"
"153","399","POU3F2","4.4867622865265315E223",,"false","POU3F2"
"154","399","POU3F4","4.4867622865265315E223","0.56","false","POU3F4"
"156","1","POLR1E","2.0929171549380665E226",,"false","POLR1E"
"157","176","SUPT16H","2.3753447399258106E223",,"false","SUPT16H"
"159","185","WRAP73","3.1689173421873056E223",,"false","WRAP73"
"160","715","CDK2","8.975829547945495E222","0.136034933496066","false","CDK2"
"162","17","TUBB4A","5.289561091087507E224","0.36","false","TUBB4A"
"163","1","RIPK2","2.0929171549380665E226","0.122638473850682","false","RIPK2"
"165","126","RPTOR","4.781925685182778E223","0.12","false","RPTOR"
"166","1","PREX1","2.0929171549380665E226",,"false","PREX1"
"168","1","GRIK2","2.0929171549380665E226","0.24","false","GRIK2"
"169","68","CASK","8.714970446586653E223","0.48","false","CASK"
"171","1","CAB39L","2.0929171549380665E226",,"false","CAB39L"
"172","714","MLH1","7.917815799752702E222","0.12","false","MLH1"
"174","67","RAD9A","4.759644591282751E223","0.12027144187208","false","RAD9A"
"175","67","BCL2L1","4.759644591282751E223","0.12","false","BCL2L1"
"177","3","IKBKG","8.348944492574958E224","0.333300651731935","false","IKBKG"
"178","3","ATRIP","8.348944492574958E224","0.12027144187208","false","ATRIP"
"180","1","ABTB2","2.0929171549380665E226",,"false","ABTB2"
"181","202","CUL3","6.881307173690376E223","0.36","false","CUL3"
"183","713","HDAC3","7.917815799752702E222","0.12","false","HDAC3"
"184","17","CCT5","5.289561091087507E224","0.48","false","CCT5"
"186","90","BRD7","7.244634870464127E223",,"false","BRD7"
"187","24","IRF2","2.91576249456596E224","0.120814325616241","false","IRF2"
"189","1","ACTN2","2.0929171549380665E226","0.36","false","ACTN2"
"190","1","NRIP1","2.0929171549380665E226","0.122724350242467","false","NRIP1"
"192","712","ILK","7.917815799752702E222","0.12","false","ILK"
"193","14","MARS","3.3912488706651116E224","0.36","false","MARS"
"195","1","FRA10AC1","2.0929171549380665E226",,"false","FRA10AC1"
"196","1","HABP4","2.0929171549380665E226",,"false","HABP4"
"198","120","DDOST","9.50137895970324E223","0.36","false","DDOST"
"199","85","SAP18","3.9589078998763505E223",,"false","SAP18"
"202","1","COL4A3BP","2.0929171549380665E226","0.12","false","COL4A3BP"
"203","1","CBS","2.0929171549380665E226","0.12","false","CBS"
"205","1","DOK4","2.0929171549380665E226",,"false","DOK4"
"206","3","RET","8.348944492574958E224","0.2","false","RET"
"208","711","NEDD4","7.917815799752702E222","0.12","false","NEDD4"
"209","22","HNRNPU","2.887292878139913E224",,"false","HNRNPU"
"211","573","GNRH1","1.5835631599505404E223","0.12","false","GNRH1"
"212","573","MEP1A","1.5835631599505404E223","0.12","false","MEP1A"
"214","40","ERCC3","9.557188379131114E223","0.12","false","ERCC3"
"215","1","CCNH","2.0929171549380665E226","0.2","false","CCNH"
"217","1","FXYD7","2.0929171549380665E226",,"false","FXYD7"
"218","23","ATP1A1","2.6167693531570435E224","0.12","false","ATP1A1"
"220","1","PTGES3","2.0929171549380665E226",,"false","PTGES3"
"221","1","AIP","2.0929171549380665E226","0.125428837441606","false","AIP"
"223","2","CCT3","9.072601897712698E224","0.12","false","CCT3"
"224","14","CCT4","3.3912488706651116E224",,"false","CCT4"
"226","1","CPNE4","2.0929171549380665E226","0.12","false","CPNE4"
"227","1","CPNE1","2.0929171549380665E226",,"false","CPNE1"
"229","164","CHMP1B","6.339625706660841E223",,"false","CHMP1B"
"230","1","SSRP1","2.0929171549380665E226",,"false","SSRP1"
