name	__APCluster	PRWP
SUPT3H	64	3.95890789988e+223
TRRAP	64	3.95890789988e+223
PSMB2	211	6.34141672895e+223
PSMC1	11	3.80887572204e+224
NUDT21	721	0.0
ITCH	720	2.37534473993e+223
SKP1	19	3.11878227139e+224
CCNA2	33	7.92856193347e+223
NFYC	159	1.59610031595e+223
ADNP2	159	1.59610031595e+223
USO1	3	8.34894449257e+224
STXBP1	3	8.34894449257e+224
HDAC2	719	7.91781579975e+222
PHF21A	1	2.09291715494e+226
LDOC1	138	2.37534473993e+223
PLEKHF2	138	2.37534473993e+223
NFE2L2	322	2.92239927381e+223
MAFF	322	2.92239927381e+223
FBXO11	1	2.09291715494e+226
RBX1	1	2.09291715494e+226
PLEKHJ1	1	2.09291715494e+226
KRT33B	5	3.83226726028e+224
MEGF10	87	7.16493561216e+223
SCAPER	87	7.16493561216e+223
PSMB4	42	8.7948519822e+223
PSMD14	297	0.0
GIPC1	6	5.24795631237e+224
SH3BP4	37	8.25137949289e+223
DTX3	18	3.45815948759e+224
UBE2D4	718	0.0
CDK9	22	2.88729287814e+224
ATR	3	8.34894449257e+224
BCKDK	1	2.09291715494e+226
FAM98B	1	2.09291715494e+226
RELB	717	7.91781579975e+222
SRPK1	3	8.34894449257e+224
SRSF6	20	2.05224705047e+224
MAP3K14	32	6.33783468437e+223
RPL11	19	3.11878227139e+224
HMGN1	8	5.22404647553e+224
RPS6KA3	1	2.09291715494e+226
CD82	139	3.24619342036e+223
CANX	4	4.45149841547e+224
MED28	1	2.09291715494e+226
LCK	1	2.09291715494e+226
MAP3K10	1	2.09291715494e+226
RACGAP1	13	4.5148739884e+224
PPP4R1	1	2.09291715494e+226
DISC1	716	7.91781579975e+222
NOXA1	9	4.44662165937e+224
NOX1	1	2.09291715494e+226
TGFBI	1	2.09291715494e+226
COL1A1	1	2.09291715494e+226
POU3F2	399	4.48676228653e+223
POU3F4	399	4.48676228653e+223
POLR1E	1	2.09291715494e+226
SUPT16H	176	2.37534473993e+223
WRAP73	185	3.16891734219e+223
CDK2	715	8.97582954795e+222
TUBB4A	17	5.28956109109e+224
RIPK2	1	2.09291715494e+226
RPTOR	126	4.78192568518e+223
PREX1	1	2.09291715494e+226
GRIK2	1	2.09291715494e+226
CASK	68	8.71497044659e+223
CAB39L	1	2.09291715494e+226
MLH1	714	7.91781579975e+222
RAD9A	67	4.75964459128e+223
BCL2L1	67	4.75964459128e+223
IKBKG	3	8.34894449257e+224
ATRIP	3	8.34894449257e+224
ABTB2	1	2.09291715494e+226
CUL3	202	6.88130717369e+223
HDAC3	713	7.91781579975e+222
CCT5	17	5.28956109109e+224
BRD7	90	7.24463487046e+223
IRF2	24	2.91576249457e+224
ACTN2	1	2.09291715494e+226
NRIP1	1	2.09291715494e+226
ILK	712	7.91781579975e+222
MARS	14	3.39124887067e+224
FRA10AC1	1	2.09291715494e+226
HABP4	1	2.09291715494e+226
DDOST	120	9.5013789597e+223
SAP18	85	3.95890789988e+223
COL4A3BP	1	2.09291715494e+226
CBS	1	2.09291715494e+226
DOK4	1	2.09291715494e+226
RET	3	8.34894449257e+224
NEDD4	711	7.91781579975e+222
HNRNPU	22	2.88729287814e+224
GNRH1	573	1.58356315995e+223
MEP1A	573	1.58356315995e+223
ERCC3	40	9.55718837913e+223
CCNH	1	2.09291715494e+226
FXYD7	1	2.09291715494e+226
ATP1A1	23	2.61676935316e+224
PTGES3	1	2.09291715494e+226
AIP	1	2.09291715494e+226
CCT3	2	9.07260189771e+224
CCT4	14	3.39124887067e+224
CPNE4	1	2.09291715494e+226
CPNE1	1	2.09291715494e+226
CHMP1B	164	6.33962570666e+223
SSRP1	1	2.09291715494e+226
NELFE	40	9.55718837913e+223
POLR2C	40	9.55718837913e+223
CYBB	1	2.09291715494e+226
CYBA	35	6.33604366209e+223
FBXO33	1	2.09291715494e+226
CREBRF	1	2.09291715494e+226
CD2BP2	4	4.45149841547e+224
NELFB	2	9.07260189771e+224
HSPA9	17	5.28956109109e+224
UBE2D3	178	2.44724775124e+223
RFWD3	18	3.45815948759e+224
FHL5	97	5.77472937894e+223
STX11	11	3.80887572204e+224
SRC	710	9.44542714032e+222
YWHAB	709	0.0
CSN2	1	2.09291715494e+226
NEK3	93	8.18174299308e+223
PSMB1	368	2.37534473993e+223
DSTYK	1	2.09291715494e+226
PPP1CA	708	0.0
SF3A2	20	2.05224705047e+224
TNF	3	8.34894449257e+224
LTBR	148	4.77224727725e+223
DNAJB1	14	3.39124887067e+224
STUB1	14	3.39124887067e+224
POLR3D	1	2.09291715494e+226
POLR3F	1	2.09291715494e+226
FBXW11	24	2.91576249457e+224
MDM2	24	2.91576249457e+224
PPP1CC	707	7.91781579975e+222
ATM	184	6.10793691449e+223
PRPF8	22	2.88729287814e+224
VIM	706	7.91781579975e+222
PSMD7	1	2.09291715494e+226
USP14	28	7.17810492601e+223
PSMC3	705	7.93572602261e+222
AP2A1	22	2.88729287814e+224
DEK	4	4.45149841547e+224
RAB1A	3	8.34894449257e+224
GORASP2	1	2.09291715494e+226
UBE2T	1	2.09291715494e+226
PCGF2	209	7.91781579975e+222
C9orf78	155	3.16891734219e+223
FCHSD2	155	3.16891734219e+223
PSMD6	211	6.34141672895e+223
ATXN1	10	4.13544723756e+224
MBP	10	4.13544723756e+224
BBS7	1	2.09291715494e+226
BBS2	151	9.00476077838e+223
LYN	83	8.74083358506e+223
PLCG1	91	1.35099343857e+224
ANXA1	18	3.45815948759e+224
RELA	25	2.91983828903e+224
ITGAV	99	8.97710661763e+223
P2RY2	99	8.97710661763e+223
RUVBL2	704	0.0
DNASE2	1	2.09291715494e+226
EXOSC1	1	2.09291715494e+226
MAST1	703	0.0
CDK15	1	2.09291715494e+226
QARS	7	5.0358296188e+224
LATS1	51	3.95890789988e+223
STK4	51	3.95890789988e+223
GC	190	7.65567962871e+223
PIK3R3	702	0.0
SFN	13	4.5148739884e+224
RHPN2	13	4.5148739884e+224
SLC16A3	74	6.86748009331e+223
BSG	74	6.86748009331e+223
BAD	26	1.45823289874e+224
MCL1	53	6.33783468437e+223
CTLA4	1	2.09291715494e+226
PTPN11	158	3.18145449819e+223
VHL	701	3.69498070655e+223
RPL18A	1	2.09291715494e+226
C4B	1	2.09291715494e+226
EEF1A1	700	7.91781579975e+222
POLR2H	133	3.97452600254e+223
POLR3H	1	2.09291715494e+226
IL7R	83	8.74083358506e+223
BIRC2	17	5.28956109109e+224
UBE2W	699	0.0
KALRN	9	4.44662165937e+224
PRKD2	1	2.09291715494e+226
GNG13	50	7.92352489885e+223
GNB4	17	5.28956109109e+224
ERP29	1	2.09291715494e+226
HSPA5	698	8.61195881194e+222
TRAF2	697	0.0
MAP3K11	15	3.67732043963e+224
TM9SF2	1	2.09291715494e+226
RAB9A	1	2.09291715494e+226
PSMD2	15	3.67732043963e+224
TBK1	696	7.95363624548e+222
TUBA3C	17	5.28956109109e+224
ATF3	11	3.80887572204e+224
DYNLT3	1	2.09291715494e+226
CD5	66	1.25844523619e+224
PSMA3	24	2.91576249457e+224
PSMD13	3	8.34894449257e+224
SRRM2	22	2.88729287814e+224
U2AF1	11	3.80887572204e+224
TRIM28	149	0.0
SERTAD2	149	0.0
UBE3C	240	2.37534473993e+223
TAB2	695	7.91781579975e+222
PFKL	14	3.39124887067e+224
MYC	19	3.11878227139e+224
GCN1	23	2.61676935316e+224
MMP2	261	3.17608143133e+223
COL18A1	261	3.17608143133e+223
ANXA2	1	2.09291715494e+226
SAMD4B	1	2.09291715494e+226
AHSA1	1	2.09291715494e+226
PHLDA3	236	3.96786301131e+223
SMAD3	694	7.91781579975e+222
PPP2R2D	1	2.09291715494e+226
UBE2Q2	209	7.91781579975e+222
CREB1	693	7.97154646834e+222
POGZ	1	2.09291715494e+226
UBE2N	692	7.91781579975e+222
TRIM5	18	3.45815948759e+224
CORO2A	1	2.09291715494e+226
TBL1X	116	5.28212591107e+223
CSNK2A1	4	4.45149841547e+224
RTF1	1	2.09291715494e+226
CTR9	1	2.09291715494e+226
MRPS10	1	2.09291715494e+226
MRPS5	86	0.0
CORO1A	1	2.09291715494e+226
THBS1	235	6.86210702645e+223
ENO1	1	2.09291715494e+226
MYOC	150	6.38519009028e+223
PDGFRB	1	2.09291715494e+226
PTPRJ	91	1.35099343857e+224
GAS7	144	3.96428096674e+223
CYFIP1	50	7.92352489885e+223
MSX2	10	4.13544723756e+224
XRCC5	4	4.45149841547e+224
CCKBR	1	2.09291715494e+226
SLC2A4	74	6.86748009331e+223
AKT2	1	2.09291715494e+226
PTPN6	350	2.39096284259e+223
LCP2	36	4.82447465211e+223
ACTC1	1	2.09291715494e+226
DMD	1	2.09291715494e+226
LURAP1	1	2.09291715494e+226
TCEANC	10	4.13544723756e+224
RABAC1	152	3.96428096674e+223
RASD2	152	3.96428096674e+223
RUVBL1	691	0.0
HSPA8	690	7.93572602261e+222
C1QBP	17	5.28956109109e+224
CSNK2A2	65	1.48193253165e+224
FCGR2B	1	2.09291715494e+226
CRP	1	2.09291715494e+226
GAPDHS	37	8.25137949289e+223
RPL8	1	2.09291715494e+226
RPL10A	27	1.18785147219e+224
FBXW9	1	2.09291715494e+226
MKRN3	18	3.45815948759e+224
WWC1	2	9.07260189771e+224
FAM219A	237	2.38250882907e+223
SNRPD2	20	2.05224705047e+224
SF3B3	689	0.0
RCN2	15	3.67732043963e+224
GABARAPL2	71	7.91781579975e+222
HNRNPM	27	1.18785147219e+224
PTP4A3	63	5.54784412669e+223
OPTN	1	2.09291715494e+226
EFNB2	292	2.39275386488e+223
EPHB4	292	2.39275386488e+223
LRP1	688	7.91781579975e+222
ANAPC10	73	3.16891734219e+223
GSTP1	1	2.09291715494e+226
FANCC	1	2.09291715494e+226
LYAR	208	1.58356315995e+223
RPL23A	687	7.91781579975e+222
HNRNPA2B1	20	2.05224705047e+224
APBB1	686	0.0
WBP11	20	2.05224705047e+224
LAMC2	43	1.33904310602e+224
LAMB3	43	1.33904310602e+224
PSMD11	1	2.09291715494e+226
PSMC5	685	7.91781579975e+222
XRCC3	41	1.28989381385e+224
RAD51D	41	1.28989381385e+224
TBL3	1	2.09291715494e+226
URM1	1	2.09291715494e+226
CCL1	572	1.62309671018e+223
CCR1	572	1.62309671018e+223
FBN1	1	2.09291715494e+226
HSPG2	9	4.44662165937e+224
VPS18	8	5.22404647553e+224
UVRAG	111	7.91781579975e+222
PPP1R9B	17	5.28956109109e+224
ADRA1A	129	1.03218168963e+224
CDC42	684	7.91781579975e+222
ARHGDIB	1	2.09291715494e+226
SUPT6H	4	4.45149841547e+224
STYXL1	1	2.09291715494e+226
PSPH	10	4.13544723756e+224
XPO1	132	6.34141672895e+223
NFKB2	683	1.58356315995e+223
RGS16	29	1.66804889806e+224
GDE1	46	6.35345278704e+223
LHX4	365	4.75068947985e+223
IFT172	365	4.75068947985e+223
HDAC1	682	7.91781579975e+222
GCM1	1	2.09291715494e+226
DDX5	17	5.28956109109e+224
RNF114	18	3.45815948759e+224
CTNNB1	681	2.37534473993e+223
CDH15	1	2.09291715494e+226
NCOR1	1	2.09291715494e+226
NCOR2	11	3.80887572204e+224
PXN	75	1.11435447572e+224
REPS2	36	4.82447465211e+223
FSBP	1	2.09291715494e+226
EIF2AK1	1	2.09291715494e+226
TGFBR1	680	7.91781579975e+222
FZD4	1	2.09291715494e+226
NDP	1	2.09291715494e+226
NOP2	27	1.18785147219e+224
MAP3K1	27	1.18785147219e+224
EPS15	131	4.01342739493e+223
DNM1	81	7.91960682204e+223
PPP1R3D	13	4.5148739884e+224
TNFRSF1B	23	2.61676935316e+224
UBE2I	679	7.91781579975e+222
ATF7IP	157	3.96428096674e+223
FGF3	1	2.09291715494e+226
FGFR2	91	1.35099343857e+224
EP400	19	3.11878227139e+224
SEC24D	1	2.09291715494e+226
SEC23A	101	9.50675202656e+223
CTSS	91	1.35099343857e+224
KDELR1	166	2.37534473993e+223
TCEAL9	1	2.09291715494e+226
APTX	10	4.13544723756e+224
PAAF1	7	5.0358296188e+224
RPL3	678	7.91781579975e+222
PABPC1	92	5.38111645527e+223
NDUFS3	171	2.37534473993e+223
NDUFS2	171	2.37534473993e+223
HEATR6	23	2.61676935316e+224
FASLG	677	7.91781579975e+222
SH3PXD2A	1	2.09291715494e+226
CAMLG	1	2.09291715494e+226
TNFRSF13B	15	3.67732043963e+224
FMR1	199	4.11332899629e+223
NCL	199	4.11332899629e+223
PSMA7	326	1.58535418224e+223
PRPF40A	676	0.0
RPLP0	4	4.45149841547e+224
AR	186	3.18145449819e+223
HIPK3	1	2.09291715494e+226
ACTG1	2	9.07260189771e+224
ANXA5	80	1.04579178106e+224
C8G	36	4.82447465211e+223
SH3GL2	36	4.82447465211e+223
BIRC8	18	3.45815948759e+224
UBE2D2	39	8.09539795519e+223
HDAC5	11	3.80887572204e+224
CBX5	1	2.09291715494e+226
CD4	66	1.25844523619e+224
APP	675	9.31481318301e+222
AP1M2	1	2.09291715494e+226
RNF103	18	3.45815948759e+224
COPS5	28	7.17810492601e+223
MEF2C	28	7.17810492601e+223
TRIP13	23	2.61676935316e+224
RPS11	27	1.18785147219e+224
RPL35	26	1.45823289874e+224
BRF2	193	3.17429040905e+223
TNPO3	106	1.19299532703e+224
EPHA4	1	2.09291715494e+226
ARHGEF15	1	2.09291715494e+226
CREBBP	674	7.91781579975e+222
WT1	24	2.91576249457e+224
HACD3	23	2.61676935316e+224
NEK6	22	2.88729287814e+224
ARHGEF7	1	2.09291715494e+226
SMAD4	673	7.91781579975e+222
ARMT1	85	3.95890789988e+223
SDHB	1	2.09291715494e+226
UQCRFS1	1	2.09291715494e+226
MAP3K7	672	7.91781579975e+222
GNAQ	29	1.66804889806e+224
PLCB1	29	1.66804889806e+224
YWHAE	21	2.77579225818e+224
CASP3	671	7.91781579975e+222
IKBKE	670	0.0
MAP3K5	26	1.45823289874e+224
FAS	1	2.09291715494e+226
MYBBP1A	56	3.97452600254e+223
NME2	130	8.18353401536e+223
ACLY	6	5.24795631237e+224
SOCS1	1	2.09291715494e+226
PRKAR2B	224	1.58356315995e+223
AKAP5	224	1.58356315995e+223
POMP	211	6.34141672895e+223
RIBC2	387	3.1671263199e+223
SARAF	387	3.1671263199e+223
WWP2	1	2.09291715494e+226
TNC	1	2.09291715494e+226
PTPRB	1	2.09291715494e+226
DTX1	18	3.45815948759e+224
NOTCH1	47	1.35642316821e+224
MIB1	18	3.45815948759e+224
UBE2U	669	0.0
SARS	72	7.33318378895e+223
ATP6V1C1	128	2.37534473993e+223
CDC25C	22	2.88729287814e+224
NME1	1	2.09291715494e+226
NIF3L1	1	2.09291715494e+226
EP300	8	5.22404647553e+224
SNRNP70	6	5.24795631237e+224
GSK3B	6	5.24795631237e+224
PIAS4	1	2.09291715494e+226
SATB1	1	2.09291715494e+226
PLEKHG2	1	2.09291715494e+226
ANXA11	400	1.62196345443e+223
ALG2	400	1.62196345443e+223
CKB	1	2.09291715494e+226
CKM	1	2.09291715494e+226
NCK2	1	2.09291715494e+226
EIF6	82	3.17070836447e+223
ARF6	108	7.91781579975e+223
ARRB1	668	0.0
PPM1B	1	2.09291715494e+226
RAB7A	3	8.34894449257e+224
PPP2R1B	14	3.39124887067e+224
RLIM	18	3.45815948759e+224
ITGA4	44	1.27001199053e+224
PIAS1	10	4.13544723756e+224
CNOT4	8	5.22404647553e+224
CCNY	1	2.09291715494e+226
YWHAG	667	0.0
RPS5	3	8.34894449257e+224
S100A11	199	4.11332899629e+223
CLIC3	472	7.91781579975e+222
GTF2F1	19	3.11878227139e+224
CTDSP1	1	2.09291715494e+226
RMND5B	39	8.09539795519e+223
CCDC88A	1	2.09291715494e+226
PRKACA	6	5.24795631237e+224
SUMO1	666	1.58356315995e+223
MPP2	1	2.09291715494e+226
ERBIN	31	1.27169939413e+224
HIST2H2BE	1	2.09291715494e+226
HSPD1	2	9.07260189771e+224
STK24	1	2.09291715494e+226
HNRNPH3	2	9.07260189771e+224
PDGFB	235	6.86210702645e+223
MPP6	1	2.09291715494e+226
SNX9	1	2.09291715494e+226
FPR1	195	6.07390749105e+223
OSBPL3	13	4.5148739884e+224
MPG	8	5.22404647553e+224
GIT1	1	2.09291715494e+226
KIF1A	1	2.09291715494e+226
STAMBP	164	6.33962570666e+223
AMN	1	2.09291715494e+226
PPP1CB	1	2.09291715494e+226
BCL2	1	2.09291715494e+226
GADD45G	1	2.09291715494e+226
PPARG	1	2.09291715494e+226
CCND1	665	8.25811003414e+222
FLNA	162	7.06080258211e+223
GRM8	162	7.06080258211e+223
SAE1	1	2.09291715494e+226
FKBP4	37	8.25137949289e+223
URI1	14	3.39124887067e+224
GTF2F2	64	3.95890789988e+223
CREB5	107	5.54426208211e+223
CREB3	1	2.09291715494e+226
TRIP6	30	1.21616420625e+224
SON	30	1.21616420625e+224
FBXW7	1	2.09291715494e+226
NOTCH4	1	2.09291715494e+226
RNF111	18	3.45815948759e+224
AXIN1	19	3.11878227139e+224
TAC4	256	3.69856275112e+223
TACR1	256	3.69856275112e+223
OS9	59	7.94905200508e+223
NEK2	1	2.09291715494e+226
CDC27	98	3.17070836447e+223
EIF2AK4	1	2.09291715494e+226
KIF3C	1	2.09291715494e+226
CDC5L	5	3.83226726028e+224
ITGB1	664	8.09757332803e+222
ACTN4	17	5.28956109109e+224
SLC25A1	23	2.61676935316e+224
BAIAP2	5	3.83226726028e+224
SHANK2	1	2.09291715494e+226
VCL	109	1.03056976957e+224
DIS3L2	109	1.03056976957e+224
NCOA2	1	2.09291715494e+226
CCND3	2	9.07260189771e+224
CALCOCO2	15	3.67732043963e+224
PSMD12	142	2.37534473993e+223
MS4A2	83	8.74083358506e+223
FCER1A	544	8.1154835509e+222
GET4	185	3.16891734219e+223
ASNA1	9	4.44662165937e+224
ELOF1	11	3.80887572204e+224
CHMP6	257	0.0
RHOG	1	2.09291715494e+226
VAV2	663	8.09190704927e+222
SYNJ2BP	1	2.09291715494e+226
CYP2C8	1	2.09291715494e+226
APOE	1	2.09291715494e+226
NCKAP5	12	5.54907675057e+224
NCK1	102	3.16891734219e+223
CORT	1	2.09291715494e+226
MRGPRX2	1	2.09291715494e+226
PSMB3	662	0.0
RNF26	39	8.09539795519e+223
GEMIN4	6	5.24795631237e+224
NFKBIA	1	2.09291715494e+226
RPS6KA1	1	2.09291715494e+226
RPS10	3	8.34894449257e+224
VEGFA	1	2.09291715494e+226
SEMA3F	227	4.75248050214e+223
