AC009014.3	AC009014.3	DOID:4467	Renal clear cell carcinoma	4.283	2.1	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AC009014.3&type2=-26&id2=DOID:4467
AFG3L1P	AFG3L1P	DOID:8923	Skin melanoma	3.260	1.6	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=AFG3L1P&type2=-26&id2=DOID:8923
BCRP3	BCRP3	DOID:234	Colon adenocarcinoma	3.114	1.6	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BCRP3&type2=-26&id2=DOID:234
C16orf3	AF050080	DOID:3969	Papillary thyroid carcinoma	3.139	1.6	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=C16orf3&type2=-26&id2=DOID:3969
CCAT1	CCAT1	DOID:9256	Colorectal cancer	3.422	1.7	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CCAT1&type2=-26&id2=DOID:9256
CRNDE	CRNDE	DOID:6039	Uveal melanoma	3.242	1.6	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CRNDE&type2=-26&id2=DOID:6039
DIO3OS	DIO3OS	DOID:3594	Choriocarcinoma	3.391	1.7	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=DIO3OS&type2=-26&id2=DOID:3594
DLEU2	DLEU2	DOID:1040	Chronic lymphocytic leukemia	4.154	2.1	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=DLEU2&type2=-26&id2=DOID:1040
ENSP00000000442	ESRRA	DOID:162	Cancer	3.363	1.7	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000000442&type2=-26&id2=DOID:162
ENSP00000001008	FKBP4	DOID:162	Cancer	3.400	1.7	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000001008&type2=-26&id2=DOID:162
ENSP00000002829	SEMA3F	DOID:162	Cancer	3.025	1.5	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000002829&type2=-26&id2=DOID:162
ENSP00000003100	CYP51A1	DOID:162	Cancer	3.266	1.6	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000003100&type2=-26&id2=DOID:162
ENSP00000005257	RALA	DOID:162	Cancer	3.576	1.8	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000005257&type2=-26&id2=DOID:162
ENSP00000005905	KIAA0100	DOID:8864	Acute monocytic leukemia	3.231	1.6	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000005905&type2=-26&id2=DOID:8864
ENSP00000007516	NDUFAB1	DOID:162	Cancer	3.000	1.5	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000007516&type2=-26&id2=DOID:162
ENSP00000007722	ITGA3	DOID:162	Cancer	3.456	1.7	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000007722&type2=-26&id2=DOID:162
ENSP00000009180	CD9	DOID:162	Cancer	4.748	2.4	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000009180&type2=-26&id2=DOID:162
ENSP00000009530	CD74	DOID:162	Cancer	4.132	2.1	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000009530&type2=-26&id2=DOID:162
ENSP00000011653	CD4	DOID:162	Cancer	7.044	3.5	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000011653&type2=-26&id2=DOID:162
ENSP00000011691	SS18L2	DOID:5485	Synovial sarcoma	4.221	2.1	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000011691&type2=-26&id2=DOID:5485
ENSP00000011898	TSPAN9	DOID:1963	Fallopian tube carcinoma	3.936	2.0	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000011898&type2=-26&id2=DOID:1963
ENSP00000013034	NME1	DOID:162	Cancer	5.678	2.8	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000013034&type2=-26&id2=DOID:162
ENSP00000013807	ERCC1	DOID:162	Cancer	5.783	2.9	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000013807&type2=-26&id2=DOID:162
ENSP00000019317	RALBP1	DOID:162	Cancer	3.135	1.6	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000019317&type2=-26&id2=DOID:162
ENSP00000020945	SNAI2	DOID:162	Cancer	5.605	2.8	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000020945&type2=-26&id2=DOID:162
ENSP00000027335	CDH17	DOID:162	Cancer	3.522	1.8	http://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000027335&type2=-26&id2=DOID:162
