gene	z-value	credibility	disease
FBXL3	3.66	1.8	estrogen-receptor positive breast cancer
YPEL3	3.171	1.6	estrogen-receptor positive breast cancer
TRAM2	3.084	1.5	estrogen-receptor positive breast cancer
ZNF444	4.176	2.1	epithelial-myoepithelial carcinoma
NUP160	3.001	1.5	Vascular cancer
OCM2	4.353	2.2	Uveal melanoma
PREB	3.914	2.0	Testicular leukemia
TSKS	3.667	1.8	Teratocarcinoma
SSX3	4.138	2.1	Synovial sarcoma
KLHL34	3.121	1.6	Synovial sarcoma
CDH16	3.509	1.8	Spindle cell carcinoma
KRT35	5.231	2.6	Skin pilomatrix carcinoma
TMEM207	3.321	1.7	Signet ring cell adenocarcinoma
KIDINS220	3.243	1.6	Sarcoma
SAMD4B	3.291	1.6	Salivary gland adenoid cystic carcinoma
KIDINS220	5.076	2.5	Rhabdomyosarcoma
MYF5	4.388	2.2	Rhabdomyosarcoma
DUSP22	3.647	1.8	Reticulosarcoma
CDH16	4.284	2.1	Renal cell carcinoma
UBE2D1	3.239	1.6	Pseudosarcomatous fibromatosis
SSBP3	4.329	2.2	Prostate carcinoma in situ
ALDOC	3.689	1.8	Prostate carcinoma in situ
CHD1	3.201	1.6	Prostate cancer
PDZD11	3.655	1.8	Pleomorphic adenoma carcinoma
S100G	3.346	1.7	Pituitary cancer
SCHIP1	3.605	1.8	Papillary renal cell carcinoma
ZRANB2	3.292	1.6	Papillary carcinoma
REG3A	3.274	1.6	Pancreatic cancer
EVA1A	4.071	2.0	Pancreatic acinar cell adenocarcinoma
FXR1	3.33	1.7	Ovarian mucinous cystadenocarcinoma
HLX	3.718	1.9	Ovarian endodermal sinus tumor
ZC3H7B	4.809	2.4	Ossifying fibromyxoid tumor
ORAOV1	3.704	1.9	Oral squamous cell carcinoma
ATP6V1C1	3.644	1.8	Oral squamous cell carcinoma
ZNF510	3.361	1.7	Oral squamous cell carcinoma
ZNF639	3.165	1.6	Oral squamous cell carcinoma
RFC5	3.414	1.7	Ocular melanoma
KRT35	3.904	2.0	Nodular basal cell carcinoma
SAP18	3.05	1.5	Nevoid basal cell carcinoma syndrome
BRD7	4.703	2.4	Nasopharynx carcinoma
LINC00312	4.365	2.2	Nasopharynx carcinoma
ZNF444	5.375	2.7	Myoepithelial carcinoma
KIAA1468	3.207	1.6	Mucinous adenocarcinoma
RPS16	3.718	1.9	Mesenchymal chondrosarcoma
NUP107	3.675	1.8	Mesenchymal chondrosarcoma
PREX2	3.225	1.6	Melanoma
BRMS1	3.118	1.6	Melanoma
RRP8	4.548	2.3	Lymphosarcoma
ASB8	3.035	1.5	Lung adenocarcinoma
TCL1A	3.653	1.8	Leukemia
MACROD1	3.08	1.5	Leukemia
MIS18BP1	3.69	1.8	Laryngeal squamous cell carcinoma
DCUN1D5	3.434	1.7	Laryngeal squamous cell carcinoma
RPL39L	4.702	2.4	Lacrimal gland carcinoma
CXXC1	3.269	1.6	Klatskin's tumor
EMILIN1	3.882	1.9	Juxtacortical osteosarcoma
FAM50A	3.391	1.7	Invasive lobular carcinoma
RGPD4	4.707	2.4	Inflammatory myofibroblastic tumor
INSC	3.286	1.6	Hereditary breast ovarian cancer
PNMT	3.668	1.8	Hepatocellular carcinoma
URGCP	3.115	1.6	Hepatocellular carcinoma
NUDT14	3.634	1.8	Hard palate cancer
GOLT1B	4.199	2.1	Giant cell tumor
ZNF687	3.157	1.6	Giant cell tumor
CAMKV	3.124	1.6	Gastrointestinal carcinoma
ZNF444	3.593	1.8	Extraskeletal myxoid chondrosarcoma
POLR2D	3.054	1.5	Ewing sarcoma
RPL7	3.4	1.7	Esophagus squamous cell carcinoma
MAP7	3.413	1.7	Esophagus adenocarcinoma
ZNF444	3.315	1.7	Epithelioid sarcoma
