rank	cluster	candidates
1	1558	
2	1832	
3	1696	
4	878	
5	1931	
6	1155	FBXO4
7	1644	
8	993	
9	1246	
10	1081	
11	1279	PTP4A2
12	1007	
13	734	
14	709	
15	914	
16	1354	
17	599	POLL
18	1419	
19	173	CYP4A11,CYP4F2
20	1379	
21	1900	
22	1894	
23	1364	
24	1383	
25	1891	
26	598	H2AFY2
27	589	GSPT1
28	1242	
29	1245	PACSIN3
30	1482	TNRC6A
31	1175	CROCC
32	1463	
33	1509	PTPRU
34	1954	
35	1445	
36	482	CAMP
37	1548	
38	1305	
39	1394	ZNF155
40	1547	
41	1551	
42	1560	
43	1577	ONECUT1
44	1173	TMEM203
45	1199	IL17RB
46	1474	CASP5
47	1504	TDG
48	1672	
49	1986	
50	2044	
51	511	
52	1774	
53	454	DUSP22
54	1272	RHBDF1
55	1714	
56	1390	UHMK1
57	1307	
58	1434	UBQLN4
59	1559	PIP4K2B
60	1969	CDCA7L
61	640	
62	563	SIRT5
63	1179	EIF1
64	1243	
65	1260	
66	1276	DOCK3
67	1280	USP21
68	1299	
69	1323	TOM1
70	1386	HM13
71	1403	USP14
72	1425	
73	1444	
74	1450	
75	1464	
76	1489	
77	1494	
78	1517	ERP27
79	1561	NCDN
80	1564	
81	1575	
82	1595	
83	1717	VDAC3
84	1727	
85	1746	
86	1837	
87	1842	MND1
88	1925	GLRX
89	1980	
90	2009	UBLCP1
91	2034	CXADR
92	293	ANAPC11,AJAP1
93	731	
94	302	CKAP4,CHPF,AEN
95	333	SMARCC2,DDX51
96	880	LRRC32
97	362	
98	327	IK,SAP18
99	329	
100	836	
101	905	SOX1
102	1080	
103	707	LDB2,SSBP3
104	989	NAF1
105	933	SHB,SLC39A2
106	789	
107	764	
108	829	ITGB7
109	983	DVL1P1,POM121C
110	1106	
111	944	FNBP4
112	842	NRM
113	858	FGF22,FGFBP1
114	768	
115	782	ZHX2,ZHX1
116	817	
117	865	
118	1049	VASP
119	997	JTB
120	1112	ZNF398,C1orf109
121	235	PPFIA4,KLRC3,SLC30A9
122	271	
123	795	OARD1
124	860	
125	924	
126	1074	IL20RB
127	684	CEP68
128	706	
129	751	SIGIRR
130	772	FGR
131	790	
132	856	
133	888	SEC22B,MPST
134	940	
135	1000	YOD1
136	1015	PPME1,C14orf142
137	1022	NMRAL1
138	1025	NUDCD1,PLD3
139	1050	
140	1055	
141	1056	GALM,UEVLD
142	1061	VAMP4,VTI1B
143	1090	TRHDE,REG3A
144	1097	
145	1111	
146	1138	
147	395	TAS2R13
148	634	TAB3
149	674	
150	123	PDS5B,KIF13A
151	471	QPCTL,ZKSCAN2
152	465	URGCP
153	621	
154	596	ASB8,TIGD4
155	497	CWC27,NUDT21
156	435	ADPRH,HIST1H1A
157	463	CDC37L1,FAM129A,KIAA1468
158	492	
159	619	
160	590	GZMM
161	639	ZNF599,CMTM5
162	428	
163	441	
164	455	RASAL2,KATNAL2
165	488	
166	495	
167	513	
168	515	H2AFB1,ZNF382
169	517	MYT1
170	550	CCDC124,ANP32C,GZMK
171	554	
172	577	TPCN1,TPCN2
173	579	WBP2
174	587	
175	602	CLIP3,WASH2P
176	655	RABAC1,RAB17
177	658	
178	660	ATP6V1C1,ATP6AP1
179	299	MEX3D,BLID
180	324	
181	125	BTN1A1,KAT7,RGPD4
182	116	ZFYVE19,AHCYL1,UNK,UFC1,PPIL3,SRXN1,USP34
183	105	TMEM131,FAM192A,TCEAL9,CST4
184	377	
185	421	
186	94	PLPP2,SPERT,TPRG1L,SLC25A23,RRBP1,NDFIP2
187	306	CPNE7,USP53
188	336	NME5
189	366	
190	367	HDX
191	386	
192	416	PPP1R16A,METTL17,TFIP11
193	107	HNRNPD,PAIP2,ILF3
194	345	SMPD2,ERAS
195	406	IL17RE
196	304	CNTRL
197	317	CLIP1,CLIP4
198	326	GMIP
199	328	ATP6V0A1
200	354	
201	369	
202	371	EPS8L1,EPS8L2
203	378	WWC1,DDN
204	408	ATF7,MITD1,TAOK3
205	27	ARHGAP45,TRAT1,CFAP43,CBY1,SCPEP1,PDIA4,PAPOLA,PLEKHO2,ISOC1,PROSC
206	254	ORAOV1,RPA4,RAD1,YAE1D1
207	275	KCNJ3
208	284	MR1,MEX3A
209	238	SPSB2
210	262	BEX1,KIDINS220
211	219	UBASH3B,KRT79
212	223	ADAM2,LALBA,LBH
213	228	SLTM,ATRAID,PPP4R3A
214	246	UBA52
215	251	CUTA,CHRAC1
216	257	
217	267	UBE2J1,SARAF,SNED1,OST4
218	39	LMF2,FOXRED2,EMILIN2,P3H4,EDEM3,FUCA2,KIAA1161,PTGFRN
219	188	FBXO31,CXXC5,ATMIN,DCLRE1A
220	157	PCED1A,MYRIP,SH2D3C,HTR1F
221	208	TRIM10,TRIM38,UBE2D4,UBTD1,RNF26
222	171	NFX1,UBE2D2,RNFT1,UBE2D1,POLM,RNF151
223	176	RAD17,KIN
224	186	TSC22D2,SESN2,TMEM160,NEIL2
225	190	GRIK4
226	204	MRAP2
227	156	HP1BP3
228	28	TARSL2,PELI2,CTAGE5,MEDAG,PRPSAP1,DUPD1,GCN1,TMEM109,OR10J1,BPNT1,NAA50,NUDT11
229	140	HSD17B11,TTC27,MTFP1,BRF2,PDXDC2P
230	151	NDUFA6,ARL1,ARMC6,TUBGCP4,PHLDA3
231	152	DBNL,LGALSL,NSFL1C
232	14	ANKRD13B,KCTD9,TMCO3,SH3D21,PLCH1,ODF3L2,C11orf84,DNAJC4,GEMIN6,KIAA1524
233	86	BHLHE41,APOBEC3G,IL18BP
234	127	ZNF638,FAM208A,GTF2F2,TRAM2,MAN1A2
235	138	VAMP5,ATP4A,MAL2,LMAN2
236	114	ELOF1,SNRK,RNF187,CITED1
237	121	ZMYM4,LIMS1
238	137	AUP1,WLS,KCNF1,DOK4,DOK5
239	106	DZIP3,TRABD,TNRC18,GSE1,GLIPR2
240	112	LONP2,CNP,DHRS4,ATAD1,SLC27A2
241	87	RPS4Y1,HIST1H2BN,HIST1H2BH,RNF20,TUBE1,YBX2
242	81	CCDC89,C4BPA,FRS3,FOXL1
243	80	TIE1
244	82	NT5DC2,VPS37D,SH2D3A,MVB12A
245	89	ATP6V1C2,SFI1,C1orf35,GOLGA2,ITPKB,PTBP2,FBXO28,UBE2U
246	70	SUMO2,GUSBP1,EVA1A,PTPRS,PAFAH1B3
247	64	BCAN,MIS18BP1,SOWAHC,MAP7,FAM135A
248	77	SLC22A11,CAPN6,ARHGAP17
249	57	NUDT9,ZBTB1,CWC25,ZNF766,ZNF133,ERICH3,MGEA5,TMEM87A,PIM3
250	56	TSPAN13,ATP13A1,C18orf32,SYNGR3,MFSD5,CEND1
251	44	NCAPD3,NOL9,DHX37
252	38	TCF7,ERMN,AHCTF1,NEURL2,BCCIP,ZBTB33,RBM39,RPL41
253	10	HCN2,ASB16,PCDHA7,SNX12,KIFC2,NPVF,TULP4,WNK2,GPR45,OSBPL5,TMEM74B,NFASC,CHRD
254	23	INSC,EPHB3,AMMECR1L,ARHGAP6,GPR142,GAS2L2,CTSO,NKD2,RASL11B,ARHGEF16,LNX1,GJD4,MRPS24,ZADH2,CAMK2N2
255	43	FAM234A,DNAJB12,PDIA5,ATP12A,KEL,TM9SF1,POTEI,KBTBD3,FAM83F
256	22	MED21,MED20,MED26,ICE1,MED6,MED7,MED9,MED10,MED11,MED13,MED18,ELL2,POLR2F,POLR2L,POLR2I,POLR2K
257	54	ILDR2,KIAA0930,SHROOM1,PDZD11,REEP4,CDC42BPG,FAM117B
258	20	MAP4K5,ISG20L2,EPS15,APOL5,PHACTR2,EFS,GLTSCR1,LRRC3,DUSP15,CKAP5
259	37	ZNF721,LTBP1,TBRG1,IRGQ,FRAT1,TXNDC11,CNTNAP5,IGSF22,ING4,ZNF510,OMA1,DNAJC18
260	3	ISL2,ANP32D,GGPS1,CCDC94,CYP4F11,CGREF1,FOXF2,DMTF1,METTL7B,IFITM2,ABHD2,RAB40A,UBE4B,H2AFV,C22orf46,PID1,CD1E,MYADM,MIIP,EPHB1,MLLT11,KRTAP12-1,ITM2C,LINC01587,KDM3A,CLK4,ALKBH1,HTN3,CRYGA,CITED4,ASH1L,ART4,LPAR3,COLGALT2,CAMK1G,CDH16,CLPS,C1orf21,LRRC29,DYDC2,ANKRD7,CPNE6,C1GALT1,TTLL3,SLN,C1QTNF2
261	29	RBM6,WBSCR22,ANP32E,ATRNL1,ZMYM6,AMY2B,MARK3,TRO,EDF1,CABP1,RRP12,NPIPA1
