rank	cluster	candidates
1	1289	
2	1366	
3	880	
4	1521	
5	1089	FBXO4
6	1035	
7	1048	
8	858	BRD7
9	909	
10	1187	
11	628	POLL
12	1223	
13	1269	
14	213	CYP4A11,CYP4F2
15	1498	
16	1495	
17	1261	SOX1
18	1198	
19	1492	
20	614	GSPT1
21	558	
22	500	LDB2,SSBP3
23	673	DDX51
24	1099	CROCC
25	1245	
26	1535	
27	1235	
28	528	CAMP
29	1206	ZNF155
30	1285	
31	1098	TMEM203
32	1251	CASP5
33	1356	
34	1555	
35	1592	
36	1141	RHBDF1
37	1380	
38	1204	UHMK1
39	1230	UBQLN4
40	1542	CDCA7L
41	670	
42	299	RAB21,MACF1,SAP18
43	502	
44	1129	
45	1142	DOCK3
46	1154	
47	1189	
48	1200	HM13
49	1215	USP14
50	1234	
51	1246	
52	1262	HMG20B
53	1274	ERP27
54	1280	
55	1293	NCDN
56	1367	PPME1
57	1383	VDAC3
58	1457	
59	1462	MND1
60	1515	GLRX
61	1549	
62	760	
63	746	
64	215	CHPF,CKAP4,AEN
65	735	RBL1
66	882	LRRC32
67	393	MOB1A,RADIL
68	332	ASB8,TIGD4,ZNF490
69	474	SNAP91
70	435	
71	397	
72	848	
73	661	SEMG2
74	1034	
75	757	
76	921	SLC39A2,SHB
77	786	
78	874	PALD1
79	960	DVL1P1,POM121C
80	934	FNBP4
81	770	SREK1,DGKA
82	850	NRM
83	860	FGF22,FGFBP1
84	740	CDC37L1,KIAA1468
85	788	
86	795	ZHX2,ZHX1
87	831	
88	972	JTB
89	291	IL17RE
90	328	
91	794	
92	915	
93	1031	IL20RB
94	724	SUPT7L
95	726	EIF1
96	756	
97	773	SIGIRR
98	790	FGR
99	803	
100	859	
101	890	SEC22B,MPST
102	927	
103	940	ATP6V1D
104	944	
105	990	NUDCD1,PLD3
106	1000	UBLCP1,SRP19
107	1012	ATP6V1C1
108	1015	
109	1016	GALM,UEVLD
110	1021	VAMP4,VTI1B
111	1042	TRHDE,REG3A
112	1049	
113	1060	
114	1069	
115	1079	
116	582	EBF3
117	598	SCAMP2,SLC9A7
118	663	TAB3
119	517	ZKSCAN2,QPCTL
120	515	URGCP
121	651	
122	557	CYTH3,PTPRU
123	541	NUDT21,CWC27
124	593	CCL13
125	700	
126	107	VAMP5,ATP4A,LMAN2,MAL2
127	535	
128	600	HDX
129	622	GTF2H2,TDG
130	686	ARRB1
131	615	GZMM
132	704	ZNF398,C1orf109,KIFC3
133	177	PPFIA4,KLRC3,SLC30A9
134	669	ZNF599,CMTM5
135	487	SEC22A,CEP68
136	489	
137	516	CLIP4
138	524	GMIP
139	530	TSC22D2,SESN2,NEIL2
140	536	
141	550	H2AFB1,ZNF382
142	552	MYT1
143	572	
144	586	
