__mclCluster	name	MAA
-1	SUPT3H	-1
445.0	TRRAP	0.0
192.0	USO1	0.0
188.0	STXBP1	0.0
16.0	HDAC2	0.104247104247
16.0	PHF21A	0.104247104247
565.0	NFE2L2	0.0
565.0	MAFF	0.0
191.0	SRPK1	0.0
191.0	SRSF6	0.0
564.0	HMGN1	0.547297297297
564.0	RPS6KA3	0.547297297297
81.0	TGFBI	0.182432432432
81.0	COL1A1	0.182432432432
196.0	ERCC3	0.0
100.0	CCNH	0.356313344595
563.0	PTGES3	0.0
563.0	AIP	0.0
29.0	CCT3	0.0
29.0	CCT4	0.0
157.0	CYBB	0.0
157.0	CYBA	0.0
4.0	USP14	0.0
4.0	PSMC3	0.0
562.0	BBS7	0.0
562.0	BBS2	0.0
153.0	LYN	0.0
58.0	PLCG1	0.356313344595
441.0	QARS	0.0
35.0	MARS	0.0
94.0	BAD	0.410472972973
94.0	MCL1	0.410472972973
43.0	POLR2H	0.0
43.0	POLR3H	0.0
561.0	GNG13	0.0
561.0	GNB4	0.0
70.0	PSMD6	0.0
-1	PSMD2	-1
1.0	MYC	0.508083823188
1.0	GCN1	0.508083823188
61.0	RTF1	0.0
61.0	CTR9	0.0
155.0	PDGFRB	0.675675675676
155.0	PTPRJ	0.675675675676
71.0	PTPN6	0.0
549.0	LCP2	0.0
560.0	TBK1	0.0
560.0	OPTN	0.0
559.0	EFNB2	0.547297297297
559.0	EPHB4	0.547297297297
4.0	PSMD11	0.0
455.0	PSMC5	0.0
558.0	CCL1	0.547297297297
558.0	CCR1	0.547297297297
9.0	NCOR1	0.0900900900901
9.0	NCOR2	0.0900900900901
80.0	RUVBL1	0.467483108108
1.0	EP400	0.508083823188
557.0	CAMLG	0.0
557.0	TNFRSF13B	0.0
11.0	PSMA7	0.0
11.0	PSMB2	0.0
44.0	RNF103	0.0
44.0	UBE2N	0.0
97.0	GNAQ	0.0
97.0	PLCB1	0.0
49.0	DTX1	0.175135135135
49.0	NOTCH1	0.175135135135
-1	CDC25C	-1
418.0	YWHAE	0.0
23.0	EP300	0.263513513514
19.0	HDAC1	0.259857942074
197.0	ANXA11	0.0
197.0	ALG2	0.0
76.0	CCNY	0.0
76.0	YWHAG	0.0
4.0	PSMD12	0.0
4.0	PSMD7	0.0
556.0	RHOG	0.0
556.0	VAV2	0.0
30.0	PSMA3	0.0
11.0	PSMB3	0.0
337.0	NFKBIA	0.0
341.0	RPS6KA1	0.547297297297
178.0	VHL	0.324324324324
159.0	NEDD8	0.0
284.0	TELO2	0.0
279.0	ATM	0.364864864865
36.0	TOM1L1	0.0
36.0	CLTC	0.0
49.0	LFNG	0.175135135135
420.0	AFF4	0.0
282.0	CDK9	0.0
555.0	APLF	0.0
555.0	XRCC4	0.0
554.0	MTA1	0.364864864865
554.0	RBBP7	0.364864864865
17.0	CUL1	0.177840957516
17.0	FBXO7	0.177840957516
196.0	GTF2H1	0.0
12.0	POLR2A	0.0
4.0	PSMD8	0.0
553.0	OSMR	0.547297297297
553.0	OSM	0.547297297297
200.0	TUBB	0.0
200.0	HDAC6	0.0
169.0	PRPF19	0.0
169.0	CDC5L	0.0
552.0	BIRC2	0.0
552.0	RIPK1	0.0
18.0	RNF115	0.23228206696
18.0	UBE2D2	0.23228206696
10.0	EIF3B	0.152568358635
10.0	EIF3E	0.152568358635
120.0	BARD1	0.0
120.0	CSTF2	0.0
10.0	EIF3L	0.152568358635
10.0	EIF3F	0.152568358635
551.0	SKP1	0.0
551.0	KDM2B	0.0
550.0	CTSG	0.0
550.0	PPBP	0.0
363.0	PSEN1	0.0
290.0	APBA1	0.0
90.0	SMC4	0.0
262.0	NCAPH	0.0
102.0	ACTA1	0.0
102.0	CNN1	0.0
4.0	PSMC1	0.0
98.0	TCEB2	0.0
98.0	CUL5	0.0
83.0	EIF2S2	0.0
83.0	EIF2B4	0.0
10.0	EIF3C	0.152568358635
68.0	ZNF76	0.0
68.0	TBP	0.0
96.0	TAF7	0.0
96.0	TAF5	0.0
25.0	STK4	0.0
25.0	STK3	0.0
95.0	SIVA1	0.228040540541
95.0	BCL2L1	0.228040540541
19.0	DDX5	0.259857942074
100.0	MNAT1	0.356313344595
100.0	GTF2H3	0.356313344595
108.0	KEAP1	0.0
478.0	SQSTM1	0.0
280.0	BBS9	0.0
-1	XIAP	-1
85.0	HAT1	0.0
85.0	HIST1H3A	0.0
549.0	LAT	0.0
19.0	MXD1	0.259857942074
354.0	CSNK1A1	0.0
15.0	MDM2	0.0
2.0	RPS16	0.0
2.0	RPS3	0.0
34.0	H2AFX	0.0
34.0	SUPT16H	0.0
-1	PRKCD	-1
119.0	SHC1	0.243243243243
74.0	MAPK1	0.538745777027
548.0	MSX2	0.0
548.0	MAGED1	0.0
470.0	PSMD13	0.0
49.0	MFNG	0.175135135135
184.0	TCERG1	0.0
184.0	SF3B3	0.0
547.0	LIN9	0.0
547.0	E2F4	0.0
546.0	DEPTOR	0.0
546.0	MTOR	0.0
545.0	DYRK1A	0.0
545.0	DCAF7	0.0
135.0	VBP1	0.0
135.0	PFDN4	0.0
11.0	PSMB4	0.0
20.0	TRAF6	0.0
183.0	HDAC4	0.756756756757
147.0	UBE2I	0.324324324324
544.0	GRIP1	0.0
544.0	GRIA2	0.0
-1	APC	-1
177.0	CTNNA1	0.324324324324
14.0	CBL	0.23228206696
14.0	MST1R	0.23228206696
195.0	ERBB4	1.0
195.0	WWOX	1.0
6.0	MED14	0.0
6.0	CDK8	0.0
435.0	ARPC5L	0.0
-1	ARPC2	-1
11.0	PSMB6	0.0
11.0	PSMA4	0.0
543.0	MAD1L1	0.0
543.0	SIN3B	0.0
42.0	SERPINA5	0.0
42.0	F2	0.0
115.0	MCM4	0.432432432432
5.0	CDK2	0.357490777451
148.0	THBD	0.0
148.0	PROC	0.0
121.0	SH3GL2	0.0
121.0	AMPH	0.0
-1	COL1A2	-1
136.0	HSPA4	0.0
