__mclCluster	name	PRWP
204.0	GTF2H4	0.0
204.0	GTF2H2	0.0
205.0	COL17A1	0.0
205.0	ITGA6	0.0
102.0	TPM3	0.0
20.0	UBE2V1	0.0
206.0	NEURL4	0.0
206.0	CCP110	0.0
31.0	RAPGEF6	0.0
207.0	EIF4A3	0.0
207.0	SRSF1	0.0
103.0	MAP2K3	0.0
208.0	PTBP1	0.0
32.0	AGO3	0.0
104.0	KLHL3	0.0
209.0	MAD2L1BP	0.0
210.0	ANAPC11	0.0
210.0	UBE2C	0.0
32.0	AGO1	0.0
211.0	NFATC1	0.0
211.0	FOXP3	0.0
105.0	GGA3	0.0
106.0	RNF31	0.0
212.0	HNRNPH3	0.5
212.0	HNRNPA1	0.5
107.0	NAF1	0.0
213.0	ZNF207	0.0
213.0	BUB3	0.0
50.0	SDC4	0.25
214.0	SGTA	0.5
215.0	ASGR2	0.0
215.0	ASGR1	0.0
216.0	RBCK1	0.0
216.0	SHARPIN	0.0
51.0	RRP1B	0.0
108.0	NFE2L1	0.0
217.0	SPC25	0.0
217.0	SPC24	0.0
7.0	FAF1	0.0
109.0	UBXN7	0.0
52.0	SLC4A1	0.0
51.0	PPP1R9A	0.0
110.0	PUF60	0.333333333333
53.0	GTF3C1	0.0
103.0	DNM1L	0.0
103.0	LRRK2	0.0
218.0	ANK2	0.0
218.0	SLC8A1	0.0
219.0	OAZ1	0.0
219.0	ODC1	0.0
12.0	ACTB	0.0
54.0	CBX1	0.25
111.0	PCGF6	0.333333333333
220.0	C4BPA	0.0
221.0	EIF2AK3	0.0
221.0	EIF2S1	0.0
222.0	PTPN2	0.0
223.0	NEDD4L	0.5
224.0	LDHB	0.0
224.0	LDHA	0.0
14.0	EPHA2	0.142857142857
225.0	CNOT1	0.0
225.0	TNRC6C	0.0
226.0	NSMCE3	0.0
226.0	NSMCE1	0.0
227.0	TOR1AIP1	0.0
227.0	TOR1A	0.0
228.0	PEX19	0.0
228.0	PXMP2	0.0
51.0	SH3RF2	0.0
51.0	PPP1CA	0.0
229.0	MMS22L	0.0
55.0	ISG15	0.0
33.0	PARK7	0.4
20.0	UBA52	0.0
112.0	ARRDC3	0.0
113.0	FAM110A	0.0
56.0	ASXL1	0.25
21.0	PTTG1	0.166666666667
230.0	SRPK2	0.0
230.0	SNRNP70	0.0
15.0	RPL26	0.0
231.0	APITD1	0.0
231.0	STRA13	0.0
209.0	BUB1B	0.0
232.0	UBE4B	0.0
57.0	DCTN4	0.0
233.0	SAP18	0.0
114.0	RAD51	0.333333333333
16.0	CIITA	0.142857142857
234.0	JDP2	0.0
234.0	ATF2	0.0
58.0	EPOR	0.25
52.0	CD79B	0.0
12.0	RECQL5	0.0
235.0	ATXN7	0.0
14.0	RAPGEF1	0.142857142857
59.0	UPF1	0.0
53.0	GTF3C5	0.0
236.0	SREBF1	0.5
237.0	CAPN1	0.5
237.0	KNG1	0.5
238.0	LRP6	0.0
238.0	FZD8	0.0
22.0	RANBP1	0.166666666667
239.0	STK26	0.0
239.0	PDCD10	0.0
23.0	NFYB	0.333333333333
24.0	SLMAP	0.0
1.0	TP73	0.416666666667
240.0	TPRKB	0.0
240.0	OSGEP	0.0
115.0	MCM2	0.333333333333
241.0	PPP2R5D	0.0
241.0	SGO1	0.0
242.0	RXFP2	0.5
116.0	ITGA2	0.333333333333
24.0	STRN4	0.0
60.0	SNRPD1	0.0
34.0	PPM1D	0.0
20.0	NUMBL	0.0
243.0	SMC5	0.0
243.0	SMC6	0.0
61.0	LEO1	0.0
35.0	KARS	0.0
23.0	GATA2	0.333333333333
244.0	IL12RB1	0.0
244.0	IL12B	0.0
23.0	SP1	0.333333333333
117.0	KMT5A	0.0
32.0	AGO2	0.0
36.0	GGA2	0.0
245.0	SELE	0.0
245.0	SELPLG	0.0
118.0	COPS7B	0.0
118.0	COPS5	0.0
246.0	SOD1	0.5
246.0	RNF19A	0.5
247.0	EEF1G	0.0
119.0	PLSCR1	0.333333333333
62.0	IRAK1	0.0
248.0	HIP1	0.5
37.0	TIMP1	0.4
249.0	SOS1	0.0
249.0	HCK	0.0
63.0	ZPR1	0.5
50.0	ADCY5	0.25
64.0	GNAI2	0.0
250.0	RMI1	0.0
250.0	RMI2	0.0
38.0	SF3A3	0.0
251.0	KCNJ6	0.0
251.0	KCNJ3	0.0
120.0	CPSF6	0.0
252.0	SIX4	0.0
252.0	EYA3	0.0
21.0	ANAPC10	0.166666666667
65.0	RPL24	0.25
53.0	GTF3C4	0.0
53.0	GTF3C2	0.0
253.0	BUB1	0.0
253.0	KNL1	0.0
254.0	PPP2R1B	0.0
254.0	PPP2R5A	0.0
255.0	PHC2	0.0
256.0	EXOSC5	0.0
256.0	EXOSC4	0.0
257.0	DOT1L	0.0
257.0	MLLT1	0.0
25.0	RASSF4	0.0
121.0	AP2A2	0.0
39.0	TOP3A	0.0
122.0	RGS16	0.0
37.0	CD44	0.4
258.0	NID1	0.5
258.0	HSPG2	0.5
26.0	THOC3	0.0
220.0	C4B	0.0
259.0	C4A	0.0
259.0	CR1	0.0
260.0	PIK3R1	0.5
260.0	TRAT1	0.5
17.0	UBE2M	0.142857142857
123.0	GALNT1	0.333333333333
261.0	NF2	0.0
261.0	AMOT	0.0
66.0	PPP6R2	0.0
262.0	CAPG	0.0
124.0	PPP3CA	0.0
263.0	DAXX	0.0
3.0	DCAF8	0.0
40.0	PPARGC1A	0.4
264.0	MAP1B	0.0
264.0	MAP1A	0.0
265.0	BDKRB2	0.5
265.0	NOS3	0.5
125.0	JAM2	0.0
126.0	EME1	0.333333333333
27.0	CXCL9	0.5
1.0	GTF2I	0.416666666667
266.0	TRIM33	0.0
266.0	SMAD2	0.0
229.0	TONSL	0.0
267.0	MADCAM1	0.0
127.0	TERF2	0.0
128.0	RBSN	0.0
268.0	SPG20	0.0
268.0	ITCH	0.0
248.0	CLTB	0.5
269.0	STAG2	0.0
270.0	GRAP2	0.0
270.0	GAB3	0.0
16.0	SAP30	0.142857142857
271.0	VPS29	0.0
272.0	EIF4B	0.0
273.0	PKNOX1	0.0
273.0	HOXB6	0.0
129.0	SH2D2A	0.0
274.0	PSMG2	0.0
274.0	PSMG1	0.0
275.0	MYRIP	0.0
275.0	MYO7A	0.0
130.0	ARRB2	0.0
12.0	GTF2F2	0.0
8.0	PTK2	0.111111111111
67.0	CARM1	0.75
276.0	PFDN1	0.0
41.0	ARID4A	0.6
68.0	TCEA1	0.0
131.0	CUBN	0.0
119.0	FCGR2A	0.333333333333
69.0	BRIP1	0.25
277.0	ORAI1	0.0
277.0	STIM1	0.0
278.0	MARK2	0.0
278.0	YWHAH	0.0
279.0	WRN	0.5
280.0	BBS1	0.0
281.0	RPS6KB1	0.0
281.0	RPTOR	0.0
282.0	HEXIM2	0.0
283.0	PRKAB2	0.0
283.0	PRKAA2	0.0
8.0	ITK	0.111111111111
284.0	TTI1	0.0
132.0	ST8SIA4	0.0
63.0	LGALS3	0.5
123.0	GALNT2	0.333333333333
123.0	MUC1	0.333333333333
70.0	SHFM1	0.0
285.0	XCL1	0.0
285.0	XCR1	0.0
1.0	RELA	0.416666666667
286.0	PER1	0.0
71.0	CD300LF	0.0
287.0	RAD23B	0.0
287.0	CETN2	0.0
288.0	CHD1L	0.0
133.0	MYOD1	0.0
25.0	RASSF2	0.0
134.0	GATAD2B	0.0
289.0	CBS	0.0
289.0	HTT	0.0
290.0	KCNJ12	0.0
291.0	DLG2	0.0
291.0	CRIPT	0.0
255.0	CBX8	0.0
292.0	MMS19	0.0
292.0	CIAO1	0.0
135.0	PFDN6	0.0
136.0	BAG3	0.0
293.0	SNX2	0.0
31.0	PTPN13	0.0
31.0	TRIP6	0.0
294.0	EFTUD2	0.5
132.0	L1CAM	0.0
132.0	NCAM1	0.0
24.0	MOB4	0.0
72.0	MOB1A	0.0
295.0	VCAN	0.5
295.0	PLA2G2A	0.5
296.0	ELN	0.0
296.0	MFAP2	0.0
137.0	RFC2	0.0
34.0	UBB	0.0
138.0	PAXIP1	0.0
297.0	TSG101	0.0
297.0	MGRN1	0.0
298.0	AUP1	0.0
298.0	UBE2G2	0.0
299.0	CYB5A	0.0
299.0	CYB5R3	0.0
73.0	MAPK8	0.25
18.0	RCHY1	0.142857142857
74.0	SREBF2	0.5
300.0	MAP3K5	0.0
300.0	MAP2K4	0.0
75.0	NFRKB	0.0
14.0	UBASH3B	0.142857142857
42.0	FGB	0.0
15.0	RPS7	0.0
5.0	CDC6	0.3
301.0	HNF1A	0.5
76.0	MDM4	0.0
302.0	F12	0.0
302.0	CD93	0.0
15.0	RPL23	0.0
131.0	ALB	0.0
131.0	LRP2	0.0
303.0	RAB9A	0.0
303.0	BCL3	0.0
104.0	KLHL12	0.0
139.0	EED	0.333333333333
304.0	INPP5D	0.0
304.0	DOK3	0.0
305.0	PIGR	0.0
305.0	CD79A	0.0
14.0	SPRY1	0.142857142857
12.0	GTF2B	0.0
2.0	RPL12	0.0
306.0	FLT3	0.0
306.0	FLT3LG	0.0
140.0	POLE3	0.0
59.0	HNRNPK	0.0
141.0	UBE2D4	0.0
142.0	PIAS1	0.666666666667
64.0	GNGT2	0.0
307.0	GEMIN2	0.0
38.0	SNRPA1	0.0
67.0	PPARG	0.75
308.0	GCLM	0.0
308.0	GCLC	0.0
43.0	POLR1D	0.0
309.0	NOP56	0.0
309.0	NOP58	0.0
310.0	GLMN	0.0
310.0	FKBP4	0.0
311.0	GHSR	0.5
311.0	GHRL	0.5
312.0	PPIB	0.5
312.0	HSPA5	0.5
313.0	SNTB1	0.0
313.0	DTNA	0.0
314.0	HERPUD1	0.0
12.0	POLR2I	0.0
143.0	KMT2A	0.333333333333
144.0	FLT4	0.333333333333
145.0	ZAP70	0.0
77.0	SERPINA3	0.25
77.0	CELA1	0.25
7.0	UBXN1	0.0
315.0	RAPSN	0.0
315.0	MUSK	0.0
316.0	CKS2	0.5
316.0	CCNB1	0.5
235.0	KAT2A	0.0
36.0	CLTA	0.0
317.0	CNTN1	0.0
317.0	TNR	0.0
318.0	HYPK	0.0
318.0	NAA15	0.0
146.0	ECI2	0.0
319.0	ELP3	0.0
319.0	ELP2	0.0
147.0	SLC2A1	0.333333333333
320.0	RYR1	0.0
320.0	CACNA1S	0.0
148.0	F5	0.0
321.0	AKT2	0.5
322.0	MTA2	0.0
322.0	MBD2	0.0
149.0	SMURF2	0.0
323.0	STX12	0.0
323.0	EPB42	0.0
137.0	CHTF18	0.0
137.0	RFC3	0.0
150.0	STX1A	0.0
59.0	PABPC1	0.0
59.0	PAN2	0.0
151.0	HLA-G	0.0
152.0	RHAG	0.0
15.0	CSNK1D	0.0
5.0	NPAT	0.3
324.0	NME1	0.0
324.0	NME2	0.0
64.0	GNG11	0.0
3.0	DCAF6	0.0
325.0	C3	0.0
44.0	ZNRF1	0.0
6.0	MED24	0.0
326.0	ATP6V1B1	0.0
326.0	ATP6V0A1	0.0
75.0	TFPT	0.0
153.0	MS4A2	0.0
327.0	ASF1B	0.0
327.0	IPO4	0.0
328.0	MYH9	0.0
328.0	S100A4	0.0
17.0	GPS1	0.142857142857
329.0	TBL1XR1	0.0
134.0	GATAD2A	0.0
330.0	PLA2R1	0.0
330.0	PLA2G10	0.0
2.0	RPS23	0.0
331.0	GRIK4	0.0
331.0	GRIK2	0.0
332.0	SUMO3	0.0
332.0	UBA2	0.0
333.0	ZNF350	0.0
333.0	TRIM28	0.0
334.0	MED9	0.0
334.0	MED28	0.0
335.0	FANCC	0.0
