__mclCluster	name
142.0	GTF2H4
142.0	GTF2H2
143.0	COL17A1
143.0	ITGA6
-1	TPM3
14.0	UBE2V1
144.0	NEURL4
144.0	CCP110
62.0	RAPGEF6
145.0	EIF4A3
145.0	SRSF1
63.0	MAP2K3
146.0	PTBP1
23.0	AGO3
64.0	KLHL3
147.0	MAD2L1BP
148.0	ANAPC11
148.0	UBE2C
23.0	AGO1
149.0	NFATC1
149.0	FOXP3
150.0	GGA3
65.0	RNF31
151.0	HNRNPH3
151.0	HNRNPA1
66.0	NAF1
152.0	ZNF207
152.0	BUB3
34.0	SDC4
153.0	SGTA
154.0	ASGR2
154.0	ASGR1
155.0	RBCK1
155.0	SHARPIN
35.0	RRP1B
67.0	NFE2L1
156.0	SPC25
156.0	SPC24
4.0	FAF1
68.0	UBXN7
36.0	SLC4A1
35.0	PPP1R9A
69.0	PUF60
37.0	GTF3C1
63.0	DNM1L
63.0	LRRK2
157.0	ANK2
157.0	SLC8A1
158.0	OAZ1
158.0	ODC1
5.0	ACTB
159.0	CBX1
160.0	PCGF6
161.0	C4BPA
162.0	EIF2AK3
162.0	EIF2S1
-1	PTPN2
163.0	NEDD4L
164.0	LDHB
164.0	LDHA
10.0	EPHA2
165.0	CNOT1
165.0	TNRC6C
166.0	NSMCE3
166.0	NSMCE1
167.0	TOR1AIP1
167.0	TOR1A
168.0	PEX19
168.0	PXMP2
35.0	SH3RF2
35.0	PPP1CA
169.0	MMS22L
170.0	ISG15
15.0	PARK7
14.0	UBA52
-1	ARRDC3
70.0	FAM110A
71.0	ASXL1
16.0	PTTG1
171.0	SRPK2
171.0	SNRNP70
11.0	RPL26
172.0	APITD1
172.0	STRA13
147.0	BUB1B
173.0	UBE4B
72.0	DCTN4
174.0	SAP18
175.0	RAD51
38.0	CIITA
176.0	JDP2
176.0	ATF2
39.0	EPOR
36.0	CD79B
5.0	RECQL5
177.0	ATXN7
10.0	RAPGEF1
73.0	UPF1
37.0	GTF3C5
178.0	SREBF1
179.0	CAPN1
179.0	KNG1
180.0	LRP6
180.0	FZD8
17.0	RANBP1
181.0	STK26
181.0	PDCD10
18.0	NFYB
19.0	SLMAP
6.0	TP73
182.0	TPRKB
182.0	OSGEP
183.0	MCM2
184.0	PPP2R5D
184.0	SGO1
185.0	RXFP2
74.0	ITGA2
19.0	STRN4
40.0	SNRPD1
24.0	PPM1D
14.0	NUMBL
186.0	SMC5
186.0	SMC6
75.0	LEO1
25.0	KARS
18.0	GATA2
187.0	IL12RB1
187.0	IL12B
18.0	SP1
76.0	KMT5A
23.0	AGO2
26.0	GGA2
188.0	SELE
188.0	SELPLG
189.0	COPS7B
189.0	COPS5
190.0	SOD1
190.0	RNF19A
191.0	EEF1G
77.0	PLSCR1
41.0	IRAK1
192.0	HIP1
27.0	TIMP1
193.0	SOS1
193.0	HCK
42.0	ZPR1
34.0	ADCY5
12.0	GNAI2
194.0	RMI1
194.0	RMI2
28.0	SF3A3
195.0	KCNJ6
195.0	KCNJ3
196.0	CPSF6
197.0	SIX4
197.0	EYA3
16.0	ANAPC10
43.0	RPL24
37.0	GTF3C4
37.0	GTF3C2
198.0	BUB1
198.0	KNL1
199.0	PPP2R1B
199.0	PPP2R5A
-1	PHC2
200.0	EXOSC5
200.0	EXOSC4
201.0	DOT1L
201.0	MLLT1
202.0	RASSF4
78.0	AP2A2
-1	TOP3A
79.0	RGS16
27.0	CD44
203.0	NID1
203.0	HSPG2
44.0	THOC3
161.0	C4B
204.0	C4A
204.0	CR1
205.0	PIK3R1
205.0	TRAT1
8.0	UBE2M
80.0	GALNT1
206.0	NF2
206.0	AMOT
45.0	PPP6R2
207.0	CAPG
81.0	PPP3CA
-1	DAXX
1.0	DCAF8
46.0	PPARGC1A
208.0	MAP1B
208.0	MAP1A
209.0	BDKRB2
209.0	NOS3
82.0	JAM2
83.0	EME1
20.0	CXCL9
6.0	GTF2I
210.0	TRIM33
210.0	SMAD2
169.0	TONSL
211.0	MADCAM1
-1	TERF2
84.0	RBSN
212.0	SPG20
212.0	ITCH
192.0	CLTB
213.0	STAG2
214.0	GRAP2
214.0	GAB3
38.0	SAP30
215.0	VPS29
216.0	EIF4B
217.0	PKNOX1
217.0	HOXB6
85.0	SH2D2A
218.0	PSMG2
218.0	PSMG1
219.0	MYRIP
219.0	MYO7A
86.0	ARRB2
5.0	GTF2F2
2.0	PTK2
220.0	CARM1
221.0	PFDN1
47.0	ARID4A
48.0	TCEA1
87.0	CUBN
77.0	FCGR2A
49.0	BRIP1
222.0	ORAI1
222.0	STIM1
223.0	MARK2
223.0	YWHAH
224.0	WRN
225.0	BBS1
226.0	RPS6KB1
226.0	RPTOR
227.0	HEXIM2
228.0	PRKAB2
228.0	PRKAA2
2.0	ITK
229.0	TTI1
88.0	ST8SIA4
42.0	LGALS3
80.0	GALNT2
80.0	MUC1
230.0	SHFM1
231.0	XCL1
231.0	XCR1
6.0	RELA
232.0	PER1
50.0	CD300LF
233.0	RAD23B
233.0	CETN2
234.0	CHD1L
-1	MYOD1
51.0	RASSF2
89.0	GATAD2B
235.0	CBS
235.0	HTT
236.0	KCNJ12
237.0	DLG2
237.0	CRIPT
-1	CBX8
238.0	MMS19
238.0	CIAO1
90.0	PFDN6
239.0	BAG3
240.0	SNX2
62.0	PTPN13
62.0	TRIP6
241.0	EFTUD2
88.0	L1CAM
88.0	NCAM1
19.0	MOB4
52.0	MOB1A
242.0	VCAN
242.0	PLA2G2A
243.0	ELN
243.0	MFAP2
91.0	RFC2
24.0	UBB
92.0	PAXIP1
244.0	TSG101
244.0	MGRN1
245.0	AUP1
245.0	UBE2G2
246.0	CYB5A
246.0	CYB5R3
-1	MAPK8
13.0	RCHY1
93.0	SREBF2
247.0	MAP3K5
247.0	MAP2K4
53.0	NFRKB
10.0	UBASH3B
248.0	FGB
11.0	RPS7
7.0	CDC6
249.0	HNF1A
54.0	MDM4
250.0	F12
250.0	CD93
11.0	RPL23
87.0	ALB
