__mclCluster	name	PRWP
547.0	GTF2H4	0.0
547.0	GTF2H2	0.0
546.0	COL17A1	0.0
546.0	ITGA6	0.0
	TPM3	
15.0	UBE2V1	0.0
545.0	NEURL4	0.0
545.0	CCP110	0.0
139.0	RAPGEF6	0.0
544.0	EIF4A3	0.0
544.0	SRSF1	0.0
141.0	MAP2K3	0.0
342.0	PTBP1	0.0
33.0	AGO3	0.0
111.0	KLHL3	0.0
526.0	MAD2L1BP	2.44012052361e+12
543.0	ANAPC11	2.32407953773e+12
543.0	UBE2C	2.32407953773e+12
33.0	AGO1	0.0
542.0	NFATC1	0.0
542.0	FOXP3	0.0
432.0	GGA3	0.0
133.0	RNF31	2.32407953773e+12
541.0	HNRNPH3	0.0
541.0	HNRNPA1	0.0
126.0	NAF1	0.0
540.0	ZNF207	0.0
540.0	BUB3	0.0
48.0	SDC4	2.32407953773e+12
341.0	SGTA	0.0
539.0	ASGR2	0.0
539.0	ASGR1	0.0
538.0	RBCK1	0.0
538.0	SHARPIN	0.0
61.0	RRP1B	0.0
73.0	NFE2L1	0.0
537.0	SPC25	0.0
537.0	SPC24	0.0
7.0	FAF1	0.0
100.0	UBXN7	2.36992262595e+12
50.0	SLC4A1	2.75670085621e+12
61.0	PPP1R9A	0.0
94.0	PUF60	0.0
60.0	GTF3C1	0.0
141.0	DNM1L	0.0
141.0	LRRK2	0.0
536.0	ANK2	0.0
536.0	SLC8A1	0.0
535.0	OAZ1	0.0
535.0	ODC1	0.0
5.0	ACTB	0.0
307.0	CBX1	0.0
228.0	PCGF6	0.0
505.0	C4BPA	0.0
534.0	EIF2AK3	0.0
534.0	EIF2S1	0.0
	PTPN2	
232.0	NEDD4L	0.0
533.0	LDHB	2.3293366419e+12
533.0	LDHA	2.3293366419e+12
12.0	EPHA2	0.0
532.0	CNOT1	0.0
532.0	TNRC6C	0.0
531.0	NSMCE3	0.0
531.0	NSMCE1	0.0
530.0	TOR1AIP1	0.0
530.0	TOR1A	0.0
529.0	PEX19	0.0
529.0	PXMP2	0.0
61.0	SH3RF2	0.0
61.0	PPP1CA	0.0
498.0	MMS22L	0.0
406.0	ISG15	0.0
22.0	PARK7	0.0
15.0	UBA52	0.0
	ARRDC3	
102.0	FAM110A	0.0
87.0	ASXL1	0.0
21.0	PTTG1	2.32407953773e+12
528.0	SRPK2	0.0
528.0	SNRNP70	0.0
11.0	RPL26	0.0
527.0	APITD1	0.0
527.0	STRA13	0.0
526.0	BUB1B	2.44012052361e+12
206.0	UBE4B	0.0
86.0	DCTN4	0.0
286.0	SAP18	0.0
304.0	RAD51	4.18008406952e+12
34.0	CIITA	0.0
525.0	JDP2	0.0
525.0	ATF2	0.0
35.0	EPOR	2.33985085024e+12
50.0	CD79B	2.75670085621e+12
5.0	RECQL5	0.0
463.0	ATXN7	0.0
12.0	RAPGEF1	0.0
135.0	UPF1	0.0
60.0	GTF3C5	0.0
442.0	SREBF1	0.0
524.0	CAPN1	0.0
524.0	KNG1	0.0
523.0	LRP6	0.0
523.0	FZD8	0.0
18.0	RANBP1	0.0
522.0	STK26	0.0
522.0	PDCD10	0.0
14.0	NFYB	0.0
17.0	SLMAP	0.0
4.0	TP73	2.43486341944e+12
521.0	TPRKB	0.0
521.0	OSGEP	0.0
191.0	MCM2	7.02500200196e+12
520.0	PPP2R5D	0.0
520.0	SGO1	0.0
227.0	RXFP2	0.0
132.0	ITGA2	2.32407953773e+12
17.0	STRN4	0.0
52.0	SNRPD1	0.0
29.0	PPM1D	0.0
15.0	NUMBL	0.0
519.0	SMC5	0.0
519.0	SMC6	0.0
66.0	LEO1	0.0
23.0	KARS	0.0
14.0	GATA2	0.0
518.0	IL12RB1	0.0
518.0	IL12B	0.0
14.0	SP1	0.0
108.0	KMT5A	2.32407953773e+12
33.0	AGO2	0.0
26.0	GGA2	2.3293366419e+12
517.0	SELE	0.0
517.0	SELPLG	0.0
516.0	COPS7B	2.32407953773e+12
516.0	COPS5	2.32407953773e+12
515.0	SOD1	0.0
515.0	RNF19A	0.0
395.0	EEF1G	0.0
74.0	PLSCR1	0.0
49.0	IRAK1	2.64259058176e+12
496.0	HIP1	0.0
32.0	TIMP1	7.15136484913e+12
514.0	SOS1	0.0
514.0	HCK	0.0
43.0	ZPR1	0.0
48.0	ADCY5	2.32407953773e+12
13.0	GNAI2	0.0
513.0	RMI1	0.0
513.0	RMI2	0.0
31.0	SF3A3	0.0
512.0	KCNJ6	0.0
512.0	KCNJ3	0.0
170.0	CPSF6	0.0
511.0	SIX4	0.0
511.0	EYA3	0.0
21.0	ANAPC10	2.32407953773e+12
57.0	RPL24	0.0
60.0	GTF3C4	0.0
60.0	GTF3C2	0.0
510.0	BUB1	0.0
510.0	KNL1	0.0
509.0	PPP2R1B	0.0
509.0	PPP2R5A	0.0
	PHC2	
508.0	EXOSC5	0.0
508.0	EXOSC4	0.0
507.0	DOT1L	0.0
507.0	MLLT1	0.0
177.0	RASSF4	0.0
80.0	AP2A2	0.0
	TOP3A	
105.0	RGS16	0.0
32.0	CD44	7.15136484913e+12
506.0	NID1	0.0
506.0	HSPG2	0.0
56.0	THOC3	0.0
505.0	C4B	0.0
504.0	C4A	0.0
504.0	CR1	0.0
503.0	PIK3R1	0.0
503.0	TRAT1	0.0
8.0	UBE2M	0.0
140.0	GALNT1	2.32407953773e+12
502.0	NF2	0.0
502.0	AMOT	0.0
44.0	PPP6R2	0.0
175.0	CAPG	0.0
95.0	PPP3CA	0.0
	DAXX	
1.0	DCAF8	2.32407953773e+12
51.0	PPARGC1A	2.42415686404e+12
501.0	MAP1B	0.0
501.0	MAP1A	0.0
500.0	BDKRB2	0.0
500.0	NOS3	0.0
84.0	JAM2	0.0
124.0	EME1	0.0
20.0	CXCL9	2.32407953773e+12
4.0	GTF2I	2.43486341944e+12
499.0	TRIM33	2.32407953773e+12
499.0	SMAD2	2.32407953773e+12
498.0	TONSL	0.0
396.0	MADCAM1	0.0
	TERF2	
125.0	RBSN	0.0
497.0	SPG20	0.0
497.0	ITCH	0.0
496.0	CLTB	0.0
297.0	STAG2	0.0
495.0	GRAP2	0.0
495.0	GAB3	0.0
34.0	SAP30	0.0
355.0	VPS29	0.0
253.0	EIF4B	0.0
494.0	PKNOX1	0.0
494.0	HOXB6	0.0
114.0	SH2D2A	0.0
493.0	PSMG2	0.0
493.0	PSMG1	0.0
492.0	MYRIP	0.0
492.0	MYO7A	0.0
131.0	ARRB2	0.0
5.0	GTF2F2	0.0
2.0	PTK2	0.0
291.0	CARM1	0.0
348.0	PFDN1	0.0
46.0	ARID4A	0.0
41.0	TCEA1	0.0
137.0	CUBN	0.0
74.0	FCGR2A	0.0
59.0	BRIP1	0.0
491.0	ORAI1	0.0
491.0	STIM1	0.0
490.0	MARK2	0.0
490.0	YWHAH	0.0
164.0	WRN	0.0
179.0	BBS1	0.0
489.0	RPS6KB1	0.0
489.0	RPTOR	0.0
165.0	HEXIM2	0.0
488.0	PRKAB2	0.0
488.0	PRKAA2	0.0
2.0	ITK	0.0
163.0	TTI1	0.0
138.0	ST8SIA4	0.0
43.0	LGALS3	0.0
140.0	GALNT2	2.32407953773e+12
140.0	MUC1	2.32407953773e+12
151.0	SHFM1	0.0
487.0	XCL1	0.0
487.0	XCR1	0.0
4.0	RELA	2.43486341944e+12
323.0	PER1	0.0
37.0	CD300LF	0.0
486.0	RAD23B	0.0
486.0	CETN2	0.0
314.0	CHD1L	0.0
	MYOD1	
42.0	RASSF2	0.0
89.0	GATAD2B	0.0
485.0	CBS	0.0
485.0	HTT	0.0
174.0	KCNJ12	0.0
484.0	DLG2	0.0
484.0	CRIPT	0.0
	CBX8	
483.0	MMS19	0.0
483.0	CIAO1	0.0
76.0	PFDN6	0.0
192.0	BAG3	0.0
354.0	SNX2	0.0
139.0	PTPN13	0.0
139.0	TRIP6	0.0
298.0	EFTUD2	0.0
138.0	L1CAM	0.0
138.0	NCAM1	0.0
17.0	MOB4	0.0
58.0	MOB1A	0.0
482.0	VCAN	2.32407953773e+12
482.0	PLA2G2A	2.32407953773e+12
481.0	ELN	0.0
481.0	MFAP2	0.0
136.0	RFC2	0.0
29.0	UBB	0.0
127.0	PAXIP1	0.0
480.0	TSG101	0.0
480.0	MGRN1	0.0
479.0	AUP1	0.0
479.0	UBE2G2	0.0
478.0	CYB5A	2.32407953773e+12
478.0	CYB5R3	2.32407953773e+12
	MAPK8	
10.0	RCHY1	0.0
75.0	SREBF2	2.32407953773e+12
477.0	MAP3K5	2.33985085024e+12
477.0	MAP2K4	2.33985085024e+12
55.0	NFRKB	0.0
12.0	UBASH3B	0.0
190.0	FGB	0.0
11.0	RPS7	0.0
6.0	CDC6	0.0
