__mclCluster	name	PRWP
142.0	GTF2H4	0.0
142.0	GTF2H2	0.0
143.0	COL17A1	0.0
143.0	ITGA6	0.0
	TPM3	
14.0	UBE2V1	0.0
144.0	NEURL4	0.0
144.0	CCP110	0.0
62.0	RAPGEF6	0.0
145.0	EIF4A3	0.0
145.0	SRSF1	0.0
63.0	MAP2K3	0.0
146.0	PTBP1	0.0
23.0	AGO3	0.0
64.0	KLHL3	0.0
147.0	MAD2L1BP	242150215.723
148.0	ANAPC11	230634657.581
148.0	UBE2C	230634657.581
23.0	AGO1	0.0
149.0	NFATC1	0.0
149.0	FOXP3	0.0
150.0	GGA3	0.0
65.0	RNF31	230634657.581
151.0	HNRNPH3	0.0
151.0	HNRNPA1	0.0
66.0	NAF1	0.0
152.0	ZNF207	0.0
152.0	BUB3	0.0
34.0	SDC4	230634657.581
153.0	SGTA	0.0
154.0	ASGR2	0.0
154.0	ASGR1	0.0
155.0	RBCK1	0.0
155.0	SHARPIN	0.0
35.0	RRP1B	0.0
67.0	NFE2L1	0.0
156.0	SPC25	0.0
156.0	SPC24	0.0
4.0	FAF1	0.0
68.0	UBXN7	235183987.663
36.0	SLC4A1	273566694.988
35.0	PPP1R9A	0.0
69.0	PUF60	0.0
37.0	GTF3C1	0.0
63.0	DNM1L	0.0
63.0	LRRK2	0.0
157.0	ANK2	0.0
157.0	SLC8A1	0.0
158.0	OAZ1	0.0
158.0	ODC1	0.0
5.0	ACTB	0.0
159.0	CBX1	0.0
160.0	PCGF6	0.0
161.0	C4BPA	0.0
162.0	EIF2AK3	0.0
162.0	EIF2S1	0.0
	PTPN2	
163.0	NEDD4L	0.0
164.0	LDHB	231156356.774
164.0	LDHA	231156356.774
10.0	EPHA2	0.0
165.0	CNOT1	0.0
165.0	TNRC6C	0.0
166.0	NSMCE3	0.0
166.0	NSMCE1	0.0
167.0	TOR1AIP1	0.0
167.0	TOR1A	0.0
168.0	PEX19	0.0
168.0	PXMP2	0.0
35.0	SH3RF2	0.0
35.0	PPP1CA	0.0
169.0	MMS22L	0.0
170.0	ISG15	0.0
15.0	PARK7	0.0
14.0	UBA52	0.0
	ARRDC3	
70.0	FAM110A	0.0
71.0	ASXL1	0.0
16.0	PTTG1	230634657.581
171.0	SRPK2	0.0
171.0	SNRNP70	0.0
11.0	RPL26	0.0
172.0	APITD1	0.0
172.0	STRA13	0.0
147.0	BUB1B	242150215.723
173.0	UBE4B	0.0
72.0	DCTN4	0.0
174.0	SAP18	0.0
175.0	RAD51	414818960.532
38.0	CIITA	0.0
