gene	score
ASCL2	3e-33
NKX3-1	3e-30
TERT	3e-24
ITGA6	9e-23
CLDN11	7e-22
KLK3	2e-20
RGS17	4e-18
ZGPAT	4e-16
LILRA3	5e-16
VAMP8	3e-15
PDLIM5	4e-15
VPS53	5e-15
FERMT2	2e-14
TET2	3e-14
RAD23B	5e-14
ZNF652	3e-13
SIDT1	4e-13
AFM	5e-13
SHBG	1e-12
C19orf69	2e-12
RFX6	2e-12
TUBA1C	7e-12
MDM4	2e-11
MMP7	2e-11
PPP1R14A	2e-11
TBX3	2e-11
RBM19	7e-11
EBF2	8e-11
CLPTM1L	1e-10
POU5F1B	1e-10
SHROOM2	2e-10
EEFSEC	3e-10
RAD51B	3e-10
WDR11	3e-10
TRIM8	5e-10
SLC22A3	6e-10
ATP1B2	9e-10
HNF1B	1e-09
MYEOV	2e-09
SLC22A1	2e-09
KLF5	3e-09
MLPH	3e-09
FARP2	5e-09
NOTCH4	5e-09
ARMC2	8e-09
EHBP1	8e-09
AR	1e-08
REEP3	1e-08
FAM9A	2e-08
KCNN3	2e-08
LMTK2	2e-08
THADA	2e-08
VGLL3	2e-08
ZBTB38	2e-08
GRHL1	3e-08
FGF10	4e-08
RBBP8NL	4e-08
FP15737	7e-08
C2orf43	8e-08
FOXP4	8e-08
CEP152	1e-07
CHMP2B	1e-07
KLK15	1e-07
CTBP2	2e-07
KRT8	2e-07
IRX4	3e-07
OTX1	5e-07
PKIA	6e-07
KIAA1211	7e-07
UPF2	7e-07
RNASE9	1e-06
SYK	1e-06
AMIGO2	2e-06
ANK2	2e-06
CTNND2	2e-06
EVC	2e-06
JAZF1	2e-06
TSEN2	2e-06
CD200R1L	3e-06
CHL1	3e-06
CLVS2	3e-06
TNRC6B	3e-06
ABLIM1	4e-06
ACOXL	4e-06
ANXA13	4e-06
CCDC178	4e-06
CNTN6	4e-06
INSC	4e-06
LACC1	4e-06
PLCL1	4e-06
TMTC2	4e-06
TNC	4e-06
ZNF280B	4e-06
C16orf78	5e-06
EPHA10	5e-06
H0Y573_HUMAN	5e-06
KIF13A	5e-06
SETBP1	5e-06
SPATA16	5e-06
BIK	6e-06
FAM124A	6e-06
FYCO1	7e-06
