"SUID","__mclCluster","name","PRWP","PRWP_single","score","selected","shared name"
"9571","25","FAM160B1","0.0","0.0",,"false","FAM160B1"
"9570","6","APOPT1","0.0438951746703632","0.0",,"false","APOPT1"
"9569","6","FAM84A","0.0438951746703632","0.0",,"false","FAM84A"
"9568","626","FGFR3","0.0","0.0",,"false","FGFR3"
"9567","6","OR8H2","0.0438951746703632","0.0",,"false","OR8H2"
"9566","25","TPK1","0.0","0.0",,"false","TPK1"
"9565","397","BATF","0.0","0.0",,"false","BATF"
"9564","1027","TMED5","0.0","0.0",,"false","TMED5"
"9563","22","ARHGAP45","0.08881260469892026","0.0",,"false","ARHGAP45"
"9562","40","SIRT6","0.07710182441779899","0.0",,"false","SIRT6"
"9561","770","SAG","0.0","0.0",,"false","SAG"
"9560","72","SYNGR3","0.05643971675636194","0.0",,"false","SYNGR3"
"9559","249","CTU2","0.0","0.0",,"false","CTU2"
"9558","6","PCP2","0.0438951746703632","0.0",,"false","PCP2"
"9557","319","LPP","0.0","0.0",,"false","LPP"
"9556","1084","AGAP2","0.0","0.0",,"false","AGAP2"
"9555","357","LYVE1","0.0","0.0",,"false","LYVE1"
"9554","1","USP9Y","0.01739358257176837","0.0",,"false","USP9Y"
"9553","25","CDCA7","0.0","0.0",,"false","CDCA7"
"9552","106","RARS2","0.0","0.0",,"false","RARS2"
"9551","6","LYZL4","0.0438951746703632","0.0",,"false","LYZL4"
"9550","25","VPS37C","0.0","0.0",,"false","VPS37C"
"9549","41","ZNF793","0.0","0.0",,"false","ZNF793"
"9548","72","SLC15A4","0.05643971675636194","0.0",,"false","SLC15A4"
"9547","1","STOX2","0.01739358257176837","0.0",,"false","STOX2"
"9546","25","FAM168B","0.0","0.0",,"false","FAM168B"
"9545","819","CDS2","0.0","0.0",,"false","CDS2"
"9544","474","HEMGN","0.0","0.0",,"false","HEMGN"
"9543","86","MRC1","0.17675777411140667","0.0",,"false","MRC1"
"9542","6","S100G","0.0438951746703632","0.0",,"false","S100G"
"9541","1320","ANXA9","0.0","0.0",,"false","ANXA9"
"9540","72","HPN","0.05643971675636194","0.49321931117000106","0.13225461033","false","HPN"
"9539","1400","CLEC6A","0.0","0.0",,"false","CLEC6A"
"9538","1400","CLEC4D","0.0","0.0",,"false","CLEC4D"
"9537","72","ACSF3","0.05643971675636194","0.0",,"false","ACSF3"
"9536","6","ABAT","0.0438951746703632","0.0",,"false","ABAT"
"9535","360","GOLGA1","0.0","0.0",,"false","GOLGA1"
"9534","315","NME5","0.15711802143193476","0.0",,"false","NME5"
"9533","842","ERCC5","0.3142360428638695","0.0",,"false","ERCC5"
"9532","594","NPHS2","0.514940756883885","0.0",,"false","NPHS2"
"9531","1","FAM110B","0.01739358257176837","0.0",,"false","FAM110B"
"9530","6","NR2C2AP","0.0438951746703632","0.0",,"false","NR2C2AP"
"9529","942","ZNRF3","0.307260336431257","0.0",,"false","ZNRF3"
"9528","129","FICD","0.0","0.0",,"false","FICD"
"9527","6","NANP","0.0438951746703632","0.0",,"false","NANP"
"9526","336","SAMD9","0.0","0.0",,"false","SAMD9"
"9525","25","KDELR2","0.0","0.0",,"false","KDELR2"
"9524","399","RUNX2","0.0","0.0",,"false","RUNX2"
"9523","21","CDX1","0.0","0.0",,"false","CDX1"
"9522","1399","HILPDA","0.0","0.0",,"false","HILPDA"
"9521","1399","FZD10","0.0","0.0",,"false","FZD10"
"9520","6","MACROD1","0.0438951746703632","0.0",,"false","MACROD1"
"9519","6","PIGV","0.0438951746703632","0.0",,"false","PIGV"
"9518","1379","KCNH1","0.0","0.0",,"false","KCNH1"
"9517","193","MMP28","0.0","0.0",,"false","MMP28"
"9516","6","ST6GALNAC4","0.0438951746703632","0.0",,"false","ST6GALNAC4"
"9515","44","CCDC7","0.07457956551541517","0.0",,"false","CCDC7"
"9514","578","ERCC6L2","0.0","0.0",,"false","ERCC6L2"
"9513","1","ZNF570","0.01739358257176837","0.0",,"false","ZNF570"
"9512","1276","WNT11","0.0","0.0",,"false","WNT11"
"9511","964","ESYT2","0.0","0.0",,"false","ESYT2"
"9510","1","SNX22","0.01739358257176837","0.0",,"false","SNX22"
"9509","1398","GIMAP2","0.0","0.0",,"false","GIMAP2"
"9508","1398","GIMAP7","0.0","0.0",,"false","GIMAP7"
"9507","956","IAPP","0.0","0.0",,"false","IAPP"
"9506","1050","BBS10","0.0","0.0",,"false","BBS10"
"9505","21","QSER1","0.0","0.0",,"false","QSER1"
"9504","234","SNX18","0.0","0.0",,"false","SNX18"
"9503","25","CD58","0.0","0.0",,"false","CD58"
"9502","1151","DRD4","0.0","0.0",,"false","DRD4"
"9501","6","GPR119","0.0438951746703632","0.0",,"false","GPR119"
"9500","1397","C10orf95","0.0","0.0",,"false","C10orf95"
"9499","1397","NUS1","0.0","0.0",,"false","NUS1"
"9498","705","PDE5A","0.3142360428638695","0.0",,"false","PDE5A"
"9497","72","SVOP","0.05643971675636194","0.0",,"false","SVOP"
"9496","6","SNN","0.0438951746703632","0.0",,"false","SNN"
"9495","487","ADAMTSL2","0.0","0.0",,"false","ADAMTSL2"
"9494","337","ITGA6","0.1630688700791212","0.47501251716581033","0.127372537808","false","ITGA6"
"9493","10","C16orf87","0.021346588537593914","0.0",,"false","C16orf87"
"9492","145","ELOVL4","0.0","0.0",,"false","ELOVL4"
"9491","1","STK10","0.01739358257176837","0.0",,"false","STK10"
"9490","23","JRK","0.053476161639308246","0.0",,"false","JRK"
"9489","25","PPP4R4","0.0","0.0",,"false","PPP4R4"
"9488","622","CNTROB","0.0","0.0",,"false","CNTROB"
"9487","106","ZNF565","0.0","0.0",,"false","ZNF565"
"9486","1","FAM199X","0.01739358257176837","0.0",,"false","FAM199X"
"9485","6","SLC35E3","0.0438951746703632","0.0",,"false","SLC35E3"
"9484","60","CALB1","0.04958149833536076","0.0",,"false","CALB1"
"9483","505","ZNF581","0.0","0.0",,"false","ZNF581"
"9482","113","TANK","0.08204686393291374","0.0",,"false","TANK"
"9481","6","DPCD","0.0438951746703632","0.0",,"false","DPCD"
"9480","564","GRM2","0.0","0.0",,"false","GRM2"
"9479","41","MGA","0.0","0.0",,"false","MGA"
"9478","202","NOX1","0.11522262616172137","0.0",,"false","NOX1"
"9477","964","ESYT3","0.0","0.0",,"false","ESYT3"
"9476","964","ESYT1","0.0","0.0",,"false","ESYT1"
"9475","6","TMEM207","0.0438951746703632","0.0",,"false","TMEM207"
"9474","6","IL36B","0.0438951746703632","0.0",,"false","IL36B"
"9473","162","KCNF1","0.09217810092937709","0.0",,"false","KCNF1"
"9472","25","IFNA16","0.0","0.0",,"false","IFNA16"
"9471","225","SNTG2","0.0","0.0",,"false","SNTG2"
"9470","103","CCNJ","0.07251600989166218","0.0",,"false","CCNJ"
"9469","25","CHRDL1","0.0","0.0",,"false","CHRDL1"
"9468","525","DMKN","0.0","0.0",,"false","DMKN"
"9467","1251","CXCL14","0.0","0.0",,"false","CXCL14"
"9466","25","ANKS6","0.0","0.0",,"false","ANKS6"
"9465","6","NDP","0.0438951746703632","0.0",,"false","NDP"
"9464","32","NPIPA1","0.028059126525435865","0.0",,"false","NPIPA1"
"9463","6","CCDC88C","0.0438951746703632","0.0",,"false","CCDC88C"
"9462","25","PCCA","0.0","0.0",,"false","PCCA"
"9461","976","TARBP2","0.0","0.0",,"false","TARBP2"
"9460","25","FAM69A","0.0","0.0",,"false","FAM69A"
"9459","6","PBLD","0.0438951746703632","0.0",,"false","PBLD"
"9458","6","AAMDC","0.0438951746703632","0.0",,"false","AAMDC"
"9457","72","C18orf32","0.05643971675636194","0.0",,"false","C18orf32"
"9456","626","FGFR1OP","0.0","0.0",,"false","FGFR1OP"
"9455","614","DEFB103B","0.0","0.0",,"false","DEFB103B"
"9454","145","ELOVL2","0.0","0.0",,"false","ELOVL2"
"9453","130","NR5A2","0.1694990125350345","0.0",,"false","NR5A2"
"9452","1","RPS4Y1","0.01739358257176837","0.0",,"false","RPS4Y1"
"9451","428","OARD1","0.18560725167243797","0.0",,"false","OARD1"
"9450","842","GTF2H2","0.3142360428638695","0.0",,"false","GTF2H2"
"9449","145","ELOVL7","0.0","0.0",,"false","ELOVL7"
