"SUID","__mclCluster","MAA","name","score","selected","shared name"
"72",,,"SUPT3H",,"false","SUPT3H"
"73","445","0.0","TRRAP",,"false","TRRAP"
"75","192","0.0","USO1",,"false","USO1"
"76","188","0.0","STXBP1",,"false","STXBP1"
"79","16","0.10424710424710425","HDAC2","1","false","HDAC2"
"80","16","0.10424710424710425","PHF21A",,"false","PHF21A"
"82","565","0.0","NFE2L2",,"false","NFE2L2"
"83","565","0.0","MAFF",,"false","MAFF"
"85","191","0.0","SRPK1",,"false","SRPK1"
"86","191","0.0","SRSF6",,"false","SRSF6"
"88","564","0.5472972972972974","HMGN1",,"false","HMGN1"
"89","564","0.5472972972972974","RPS6KA3","1","false","RPS6KA3"
"91","81","0.18243243243243246","TGFBI","1","false","TGFBI"
"92","81","0.18243243243243246","COL1A1",,"false","COL1A1"
"94","196","0.0","ERCC3",,"false","ERCC3"
"95","100","0.3563133445945946","CCNH",,"false","CCNH"
"97","563","0.0","PTGES3",,"false","PTGES3"
"98","563","0.0","AIP",,"false","AIP"
"100","29","0.0","CCT3",,"false","CCT3"
"101","29","0.0","CCT4",,"false","CCT4"
"103","157","0.0","CYBB",,"false","CYBB"
"104","157","0.0","CYBA",,"false","CYBA"
"106","4","0.0","USP14",,"false","USP14"
"107","4","0.0","PSMC3",,"false","PSMC3"
"109","562","0.0","BBS7",,"false","BBS7"
"110","562","0.0","BBS2",,"false","BBS2"
"112","153","0.0","LYN",,"false","LYN"
"113","58","0.3563133445945946","PLCG1",,"false","PLCG1"
"115","441","0.0","QARS",,"false","QARS"
"116","35","0.0","MARS",,"false","MARS"
"118","94","0.410472972972973","BAD","1","false","BAD"
"119","94","0.410472972972973","MCL1","1","false","MCL1"
"121","43","0.0","POLR2H",,"false","POLR2H"
"122","43","0.0","POLR3H",,"false","POLR3H"
"124","561","0.0","GNG13",,"false","GNG13"
"125","561","0.0","GNB4",,"false","GNB4"
"127","70","0.0","PSMD6",,"false","PSMD6"
"128",,,"PSMD2",,"false","PSMD2"
"130","1","0.5080838231883259","MYC","1","false","MYC"
"131","1","0.5080838231883259","GCN1",,"false","GCN1"
"133","61","0.0","RTF1",,"false","RTF1"
"134","61","0.0","CTR9",,"false","CTR9"
"136","155","0.6756756756756757","PDGFRB","1","false","PDGFRB"
"137","155","0.6756756756756757","PTPRJ",,"false","PTPRJ"
"139","71","0.0","PTPN6",,"false","PTPN6"
"140","549","0.0","LCP2",,"false","LCP2"
"142","560","0.0","TBK1",,"false","TBK1"
"143","560","0.0","OPTN",,"false","OPTN"
"145","559","0.5472972972972974","EFNB2",,"false","EFNB2"
"146","559","0.5472972972972974","EPHB4","1","false","EPHB4"
"148","4","0.0","PSMD11",,"false","PSMD11"
"149","455","0.0","PSMC5",,"false","PSMC5"
"151","558","0.5472972972972974","CCL1",,"false","CCL1"
"152","558","0.5472972972972974","CCR1","1","false","CCR1"
"154","9","0.0900900900900901","NCOR1",,"false","NCOR1"
"155","9","0.0900900900900901","NCOR2","1","false","NCOR2"
"157","80","0.46748310810810817","RUVBL1","1","false","RUVBL1"
"158","1","0.5080838231883259","EP400",,"false","EP400"
"160","557","0.0","CAMLG",,"false","CAMLG"
"161","557","0.0","TNFRSF13B",,"false","TNFRSF13B"
"163","11","0.0","PSMA7",,"false","PSMA7"
