"SUID","__mclCluster","name","PRWP","score","selected","shared name"
"3221","204","GTF2H4","0.0",,"false","GTF2H4"
"3220","204","GTF2H2","0.0",,"false","GTF2H2"
"3218","205","COL17A1","0.0",,"false","COL17A1"
"3217","205","ITGA6","0.0",,"false","ITGA6"
"3215","102","TPM3","0.0",,"false","TPM3"
"3211","20","UBE2V1","0.0",,"false","UBE2V1"
"3208","206","NEURL4","0.0",,"false","NEURL4"
"3207","206","CCP110","0.0",,"false","CCP110"
"3205","31","RAPGEF6","0.0",,"false","RAPGEF6"
"3203","207","EIF4A3","0.0",,"false","EIF4A3"
"3202","207","SRSF1","0.0",,"false","SRSF1"
"3200","103","MAP2K3","0.0",,"false","MAP2K3"
"3198","208","PTBP1","0.0",,"false","PTBP1"
"3196","32","AGO3","0.0",,"false","AGO3"
"3192","104","KLHL3","0.0",,"false","KLHL3"
"3190","209","MAD2L1BP","0.0",,"false","MAD2L1BP"
"3187","210","ANAPC11","0.0",,"false","ANAPC11"
"3186","210","UBE2C","0.0",,"false","UBE2C"
"3184","32","AGO1","0.0",,"false","AGO1"
"3182","211","NFATC1","0.0",,"false","NFATC1"
"3181","211","FOXP3","0.0",,"false","FOXP3"
"3178","105","GGA3","0.0",,"false","GGA3"
"3176","106","RNF31","0.0",,"false","RNF31"
"3172","212","HNRNPH3","0.5",,"false","HNRNPH3"
"3171","212","HNRNPA1","0.5","1","false","HNRNPA1"
"3169","107","NAF1","0.0",,"false","NAF1"
"3167","213","ZNF207","0.0",,"false","ZNF207"
"3166","213","BUB3","0.0",,"false","BUB3"
"3163","50","SDC4","0.25",,"false","SDC4"
"3161","214","SGTA","0.5","1","false","SGTA"
"3159","215","ASGR2","0.0",,"false","ASGR2"
"3158","215","ASGR1","0.0",,"false","ASGR1"
"3156","216","RBCK1","0.0",,"false","RBCK1"
"3155","216","SHARPIN","0.0",,"false","SHARPIN"
"3152","51","RRP1B","0.0",,"false","RRP1B"
"3150","108","NFE2L1","0.0",,"false","NFE2L1"
"3146","217","SPC25","0.0",,"false","SPC25"
"3145","217","SPC24","0.0",,"false","SPC24"
"3141","7","FAF1","0.0",,"false","FAF1"
"3139","109","UBXN7","0.0",,"false","UBXN7"
"3136","52","SLC4A1","0.0",,"false","SLC4A1"
"3133","51","PPP1R9A","0.0",,"false","PPP1R9A"
"3130","110","PUF60","0.3333333333333333",,"false","PUF60"
"3128","53","GTF3C1","0.0",,"false","GTF3C1"
"3126","103","DNM1L","0.0",,"false","DNM1L"
"3125","103","LRRK2","0.0",,"false","LRRK2"
"3123","218","ANK2","0.0",,"false","ANK2"
"3122","218","SLC8A1","0.0",,"false","SLC8A1"
"3118","219","OAZ1","0.0",,"false","OAZ1"
"3117","219","ODC1","0.0",,"false","ODC1"
"3113","12","ACTB","0.0",,"false","ACTB"
"3111","54","CBX1","0.25",,"false","CBX1"
"3109","111","PCGF6","0.3333333333333333",,"false","PCGF6"
"3106","220","C4BPA","0.0",,"false","C4BPA"
"3104","221","EIF2AK3","0.0",,"false","EIF2AK3"
"3103","221","EIF2S1","0.0",,"false","EIF2S1"
"3096","222","PTPN2","0.0",,"false","PTPN2"
"3094","223","NEDD4L","0.5",,"false","NEDD4L"
"3091","224","LDHB","0.0",,"false","LDHB"
"3090","224","LDHA","0.0",,"false","LDHA"
"3088","14","EPHA2","0.14285714285714285","1","false","EPHA2"
"3085","225","CNOT1","0.0",,"false","CNOT1"
"3084","225","TNRC6C","0.0",,"false","TNRC6C"
"3082","226","NSMCE3","0.0",,"false","NSMCE3"
"3081","226","NSMCE1","0.0",,"false","NSMCE1"
"3078","227","TOR1AIP1","0.0",,"false","TOR1AIP1"
"3077","227","TOR1A","0.0",,"false","TOR1A"
"3074","228","PEX19","0.0",,"false","PEX19"
"3073","228","PXMP2","0.0",,"false","PXMP2"
"3071","51","SH3RF2","0.0",,"false","SH3RF2"
"3070","51","PPP1CA","0.0",,"false","PPP1CA"
"3068","229","MMS22L","0.0",,"false","MMS22L"
"3066","55","ISG15","0.0",,"false","ISG15"
"3064","33","PARK7","0.4",,"false","PARK7"
"3062","20","UBA52","0.0",,"false","UBA52"
"3058","112","ARRDC3","0.0",,"false","ARRDC3"
"3056","113","FAM110A","0.0",,"false","FAM110A"
"3054","56","ASXL1","0.25",,"false","ASXL1"
"3051","21","PTTG1","0.16666666666666666",,"false","PTTG1"
"3049","230","SRPK2","0.0",,"false","SRPK2"
"3048","230","SNRNP70","0.0",,"false","SNRNP70"
"3045","15","RPL26","0.0",,"false","RPL26"
"3040","231","APITD1","0.0",,"false","APITD1"
"3039","231","STRA13","0.0",,"false","STRA13"
"3037","209","BUB1B","0.0",,"false","BUB1B"
"3035","232","UBE4B","0.0",,"false","UBE4B"
"3033","57","DCTN4","0.0",,"false","DCTN4"
"3029","233","SAP18","0.0",,"false","SAP18"
"3023","114","RAD51","0.3333333333333333",,"false","RAD51"
"3021","16","CIITA","0.14285714285714285",,"false","CIITA"
"3019","234","JDP2","0.0",,"false","JDP2"
"3018","234","ATF2","0.0",,"false","ATF2"
"3015","58","EPOR","0.25","1","false","EPOR"
"3013","52","CD79B","0.0",,"false","CD79B"
"3009","12","RECQL5","0.0",,"false","RECQL5"
"3006","235","ATXN7","0.0",,"false","ATXN7"
"3003","14","RAPGEF1","0.14285714285714285",,"false","RAPGEF1"
"3001","59","UPF1","0.0",,"false","UPF1"
"2999","53","GTF3C5","0.0",,"false","GTF3C5"
"2997","236","SREBF1","0.5","1","false","SREBF1"
"2994","237","CAPN1","0.5","1","false","CAPN1"
"2993","237","KNG1","0.5",,"false","KNG1"
"2991","238","LRP6","0.0",,"false","LRP6"
"2990","238","FZD8","0.0",,"false","FZD8"
"2988","22","RANBP1","0.16666666666666666",,"false","RANBP1"
"2984","239","STK26","0.0",,"false","STK26"
"2983","239","PDCD10","0.0",,"false","PDCD10"
"2981","23","NFYB","0.3333333333333333",,"false","NFYB"
"2979","24","SLMAP","0.0",,"false","SLMAP"
"2974","1","TP73","0.41666666666666663","1","false","TP73"
"2972","240","TPRKB","0.0",,"false","TPRKB"
"2971","240","OSGEP","0.0",,"false","OSGEP"
"2968","115","MCM2","0.3333333333333333","1","false","MCM2"
"2966","241","PPP2R5D","0.0",,"false","PPP2R5D"
"2965","241","SGO1","0.0",,"false","SGO1"
"2962","242","RXFP2","0.5",,"false","RXFP2"
"2958","116","ITGA2","0.3333333333333333","1","false","ITGA2"
"2951","24","STRN4","0.0",,"false","STRN4"
"2949","60","SNRPD1","0.0",,"false","SNRPD1"
"2947","34","PPM1D","0.0",,"false","PPM1D"
"2945","20","NUMBL","0.0",,"false","NUMBL"
"2941","243","SMC5","0.0",,"false","SMC5"
"2940","243","SMC6","0.0",,"false","SMC6"
"2936","61","LEO1","0.0",,"false","LEO1"
"2931","35","KARS","0.0",,"false","KARS"
"2928","23","GATA2","0.3333333333333333",,"false","GATA2"
"2921","244","IL12RB1","0.0",,"false","IL12RB1"
"2920","244","IL12B","0.0",,"false","IL12B"
"2915","23","SP1","0.3333333333333333",,"false","SP1"
"2909","117","KMT5A","0.0",,"false","KMT5A"
"2906","32","AGO2","0.0",,"false","AGO2"
"2903","36","GGA2","0.0",,"false","GGA2"
"2901","245","SELE","0.0",,"false","SELE"
"2900","245","SELPLG","0.0",,"false","SELPLG"
"2897","118","COPS7B","0.0",,"false","COPS7B"
"2896","118","COPS5","0.0",,"false","COPS5"
"2893","246","SOD1","0.5","1","false","SOD1"
"2892","246","RNF19A","0.5",,"false","RNF19A"
"2890","247","EEF1G","0.0",,"false","EEF1G"
"2888","119","PLSCR1","0.3333333333333333",,"false","PLSCR1"
"2886","62","IRAK1","0.0",,"false","IRAK1"
"2884","248","HIP1","0.5","1","false","HIP1"
"2882","37","TIMP1","0.4",,"false","TIMP1"
"2878","249","SOS1","0.0",,"false","SOS1"
"2877","249","HCK","0.0",,"false","HCK"
"2873","63","ZPR1","0.5",,"false","ZPR1"
"2869","50","ADCY5","0.25",,"false","ADCY5"
"2867","64","GNAI2","0.0",,"false","GNAI2"
"2865","250","RMI1","0.0",,"false","RMI1"
"2864","250","RMI2","0.0",,"false","RMI2"
"2862","38","SF3A3","0.0",,"false","SF3A3"
"2859","251","KCNJ6","0.0",,"false","KCNJ6"
"2858","251","KCNJ3","0.0",,"false","KCNJ3"
"2856","120","CPSF6","0.0",,"false","CPSF6"
"2854","252","SIX4","0.0",,"false","SIX4"
"2853","252","EYA3","0.0",,"false","EYA3"
"2851","21","ANAPC10","0.16666666666666666",,"false","ANAPC10"
"2847","65","RPL24","0.25",,"false","RPL24"
"2845","53","GTF3C4","0.0",,"false","GTF3C4"
"2844","53","GTF3C2","0.0",,"false","GTF3C2"
"2841","253","BUB1","0.0",,"false","BUB1"
"2840","253","KNL1","0.0",,"false","KNL1"
"2838","254","PPP2R1B","0.0",,"false","PPP2R1B"
"2837","254","PPP2R5A","0.0",,"false","PPP2R5A"
"2834","255","PHC2","0.0",,"false","PHC2"
"2831","256","EXOSC5","0.0",,"false","EXOSC5"
"2830","256","EXOSC4","0.0",,"false","EXOSC4"
"2828","257","DOT1L","0.0",,"false","DOT1L"
"2827","257","MLLT1","0.0",,"false","MLLT1"
"2822","25","RASSF4","0.0",,"false","RASSF4"
"2819","121","AP2A2","0.0",,"false","AP2A2"
"2817","39","TOP3A","0.0",,"false","TOP3A"
"2813","122","RGS16","0.0",,"false","RGS16"
"2811","37","CD44","0.4","1","false","CD44"
"2808","258","NID1","0.5",,"false","NID1"
"2807","258","HSPG2","0.5","1","false","HSPG2"
"2805","26","THOC3","0.0",,"false","THOC3"
"2801","220","C4B","0.0",,"false","C4B"
"2799","259","C4A","0.0",,"false","C4A"
"2798","259","CR1","0.0",,"false","CR1"
"2792","260","PIK3R1","0.5","1","false","PIK3R1"
"2791","260","TRAT1","0.5",,"false","TRAT1"
"2789","17","UBE2M","0.14285714285714285",,"false","UBE2M"
"2787","123","GALNT1","0.3333333333333333",,"false","GALNT1"
"2785","261","NF2","0.0",,"false","NF2"
"2784","261","AMOT","0.0",,"false","AMOT"
"2780","66","PPP6R2","0.0",,"false","PPP6R2"
"2773","262","CAPG","0.0",,"false","CAPG"
"2770","124","PPP3CA","0.0",,"false","PPP3CA"
"2768","263","DAXX","0.0",,"false","DAXX"
"2765","3","DCAF8","0.0",,"false","DCAF8"
"2760","40","PPARGC1A","0.4",,"false","PPARGC1A"
"2758","264","MAP1B","0.0",,"false","MAP1B"
"2757","264","MAP1A","0.0",,"false","MAP1A"
"2755","265","BDKRB2","0.5",,"false","BDKRB2"
"2754","265","NOS3","0.5","1","false","NOS3"
"2752","125","JAM2","0.0",,"false","JAM2"
"2750","126","EME1","0.3333333333333333",,"false","EME1"
"2747","27","CXCL9","0.5",,"false","CXCL9"
"2744","1","GTF2I","0.41666666666666663",,"false","GTF2I"
"2740","266","TRIM33","0.0",,"false","TRIM33"
"2739","266","SMAD2","0.0",,"false","SMAD2"
"2736","229","TONSL","0.0",,"false","TONSL"
"2734","267","MADCAM1","0.0",,"false","MADCAM1"
"2732","127","TERF2","0.0",,"false","TERF2"
"2730","128","RBSN","0.0",,"false","RBSN"
"2728","268","SPG20","0.0",,"false","SPG20"
"2727","268","ITCH","0.0",,"false","ITCH"
"2725","248","CLTB","0.5",,"false","CLTB"
"2722","269","STAG2","0.0",,"false","STAG2"
"2720","270","GRAP2","0.0",,"false","GRAP2"
"2719","270","GAB3","0.0",,"false","GAB3"
"2716","16","SAP30","0.14285714285714285",,"false","SAP30"
"2714","271","VPS29","0.0",,"false","VPS29"
"2712","272","EIF4B","0.0",,"false","EIF4B"
"2708","273","PKNOX1","0.0",,"false","PKNOX1"
"2707","273","HOXB6","0.0",,"false","HOXB6"
"2705","129","SH2D2A","0.0",,"false","SH2D2A"
"2703","274","PSMG2","0.0",,"false","PSMG2"
"2702","274","PSMG1","0.0",,"false","PSMG1"
"2700","275","MYRIP","0.0",,"false","MYRIP"
"2699","275","MYO7A","0.0",,"false","MYO7A"
"2697","130","ARRB2","0.0",,"false","ARRB2"
"2694","12","GTF2F2","0.0",,"false","GTF2F2"
"2691","8","PTK2","0.11111111111111112",,"false","PTK2"
"2689","67","CARM1","0.75","1","false","CARM1"
