"SUID","__mclCluster","name","PRWP","score","selected","shared name"
"72",,"SUPT3H",,,"false","SUPT3H"
"73","445","TRRAP","0.0",,"false","TRRAP"
"75","192","USO1","0.0",,"false","USO1"
"76","188","STXBP1","0.0",,"false","STXBP1"
"79","16","HDAC2","0.14285714285714285","1","false","HDAC2"
"80","16","PHF21A","0.14285714285714285",,"false","PHF21A"
"82","565","NFE2L2","0.0",,"false","NFE2L2"
"83","565","MAFF","0.0",,"false","MAFF"
"85","191","SRPK1","0.0",,"false","SRPK1"
"86","191","SRSF6","0.0",,"false","SRSF6"
"88","564","HMGN1","0.5",,"false","HMGN1"
"89","564","RPS6KA3","0.5","1","false","RPS6KA3"
"91","81","TGFBI","0.25","1","false","TGFBI"
"92","81","COL1A1","0.25",,"false","COL1A1"
"94","196","ERCC3","0.0",,"false","ERCC3"
"95","100","CCNH","0.25",,"false","CCNH"
"97","563","PTGES3","0.0",,"false","PTGES3"
"98","563","AIP","0.0",,"false","AIP"
"100","29","CCT3","0.0",,"false","CCT3"
"101","29","CCT4","0.0",,"false","CCT4"
"103","157","CYBB","0.0",,"false","CYBB"
"104","157","CYBA","0.0",,"false","CYBA"
"106","4","USP14","0.0",,"false","USP14"
"107","4","PSMC3","0.0",,"false","PSMC3"
"109","562","BBS7","0.0",,"false","BBS7"
"110","562","BBS2","0.0",,"false","BBS2"
"112","153","LYN","0.0",,"false","LYN"
"113","58","PLCG1","0.25",,"false","PLCG1"
"115","441","QARS","0.0",,"false","QARS"
"116","35","MARS","0.0",,"false","MARS"
"118","94","BAD","0.5","1","false","BAD"
"119","94","MCL1","0.5","1","false","MCL1"
"121","43","POLR2H","0.0",,"false","POLR2H"
"122","43","POLR3H","0.0",,"false","POLR3H"
"124","561","GNG13","0.0",,"false","GNG13"
"125","561","GNB4","0.0",,"false","GNB4"
"127","70","PSMD6","0.0",,"false","PSMD6"
"128",,"PSMD2",,,"false","PSMD2"
"130","1","MYC","0.41666666666666663","1","false","MYC"
"131","1","GCN1","0.41666666666666663",,"false","GCN1"
"133","61","RTF1","0.0",,"false","RTF1"
"134","61","CTR9","0.0",,"false","CTR9"
"136","155","PDGFRB","0.6666666666666666","1","false","PDGFRB"
"137","155","PTPRJ","0.6666666666666666",,"false","PTPRJ"
"139","71","PTPN6","0.0",,"false","PTPN6"
"140","549","LCP2","0.0",,"false","LCP2"
"142","560","TBK1","0.0",,"false","TBK1"
"143","560","OPTN","0.0",,"false","OPTN"
"145","559","EFNB2","0.5",,"false","EFNB2"
"146","559","EPHB4","0.5","1","false","EPHB4"
"148","4","PSMD11","0.0",,"false","PSMD11"
"149","455","PSMC5","0.0",,"false","PSMC5"
"151","558","CCL1","0.5",,"false","CCL1"
"152","558","CCR1","0.5","1","false","CCR1"
"154","9","NCOR1","0.11111111111111112",,"false","NCOR1"
"155","9","NCOR2","0.11111111111111112","1","false","NCOR2"
"157","80","RUVBL1","0.5","1","false","RUVBL1"
"158","1","EP400","0.41666666666666663",,"false","EP400"
"160","557","CAMLG","0.0",,"false","CAMLG"
"161","557","TNFRSF13B","0.0",,"false","TNFRSF13B"
"163","11","PSMA7","0.0",,"false","PSMA7"
"164","11","PSMB2","0.0",,"false","PSMB2"
"166","44","RNF103","0.0",,"false","RNF103"
"167","44","UBE2N","0.0",,"false","UBE2N"
"169","97","GNAQ","0.0",,"false","GNAQ"
"170","97","PLCB1","0.0",,"false","PLCB1"
"172","49","DTX1","0.2",,"false","DTX1"
"173","49","NOTCH1","0.2","1","false","NOTCH1"
"175",,"CDC25C",,"1","false","CDC25C"
"176","418","YWHAE","0.0",,"false","YWHAE"
"178","23","EP300","0.3333333333333333","1","false","EP300"
"179","19","HDAC1","0.2857142857142857","1","false","HDAC1"
"181","197","ANXA11","0.0",,"false","ANXA11"
"182","197","ALG2","0.0",,"false","ALG2"
"184","76","CCNY","0.0",,"false","CCNY"
"185","76","YWHAG","0.0",,"false","YWHAG"
"187","4","PSMD12","0.0",,"false","PSMD12"
"188","4","PSMD7","0.0",,"false","PSMD7"
"190","556","RHOG","0.0",,"false","RHOG"
"191","556","VAV2","0.0",,"false","VAV2"
"193","30","PSMA3","0.0",,"false","PSMA3"
"194","11","PSMB3","0.0",,"false","PSMB3"
"196","337","NFKBIA","0.0",,"false","NFKBIA"
"197","341","RPS6KA1","0.5",,"false","RPS6KA1"
"199","178","VHL","0.3333333333333333",,"false","VHL"
"200","159","NEDD8","0.0",,"false","NEDD8"
"202","284","TELO2","0.0",,"false","TELO2"
"203","279","ATM","0.5","1","false","ATM"
"206","36","TOM1L1","0.0",,"false","TOM1L1"
"207","36","CLTC","0.0",,"false","CLTC"
"209","49","LFNG","0.2",,"false","LFNG"
"211","420","AFF4","0.0",,"false","AFF4"
"212","282","CDK9","0.0",,"false","CDK9"
"214","555","APLF","0.0",,"false","APLF"
"215","555","XRCC4","0.0",,"false","XRCC4"
"217","554","MTA1","0.5","1","false","MTA1"
"218","554","RBBP7","0.5",,"false","RBBP7"
"220","17","CUL1","0.14285714285714285",,"false","CUL1"
"221","17","FBXO7","0.14285714285714285",,"false","FBXO7"
"223","196","GTF2H1","0.0",,"false","GTF2H1"
"224","12","POLR2A","0.0",,"false","POLR2A"
"227","4","PSMD8","0.0",,"false","PSMD8"
