,SUID,__mclCluster,name,PRWP,score,selected,shared name
0,3221,142.0,GTF2H4,0.0,,False,GTF2H4
1,3220,142.0,GTF2H2,0.0,,False,GTF2H2
2,3218,143.0,COL17A1,0.0,,False,COL17A1
3,3217,143.0,ITGA6,0.0,,False,ITGA6
4,3215,,TPM3,,,False,TPM3
5,3211,14.0,UBE2V1,0.0,,False,UBE2V1
6,3208,144.0,NEURL4,0.0,,False,NEURL4
7,3207,144.0,CCP110,0.0,,False,CCP110
8,3205,62.0,RAPGEF6,0.0,,False,RAPGEF6
9,3203,145.0,EIF4A3,0.0,,False,EIF4A3
10,3202,145.0,SRSF1,0.0,,False,SRSF1
11,3200,63.0,MAP2K3,0.0,,False,MAP2K3
12,3198,146.0,PTBP1,0.0,,False,PTBP1
13,3196,23.0,AGO3,0.0,,False,AGO3
14,3192,64.0,KLHL3,0.0,,False,KLHL3
15,3190,147.0,MAD2L1BP,2.44012052361e+12,,False,MAD2L1BP
16,3187,148.0,ANAPC11,2.32407953773e+12,,False,ANAPC11
17,3186,148.0,UBE2C,2.32407953773e+12,0.12,False,UBE2C
18,3184,23.0,AGO1,0.0,,False,AGO1
19,3182,149.0,NFATC1,0.0,,False,NFATC1
20,3181,149.0,FOXP3,0.0,,False,FOXP3
21,3178,150.0,GGA3,0.0,,False,GGA3
22,3176,65.0,RNF31,2.32407953773e+12,0.12,False,RNF31
23,3172,151.0,HNRNPH3,0.0,,False,HNRNPH3
24,3171,151.0,HNRNPA1,0.0,,False,HNRNPA1
25,3169,66.0,NAF1,0.0,,False,NAF1
26,3167,152.0,ZNF207,0.0,,False,ZNF207
27,3166,152.0,BUB3,0.0,,False,BUB3
28,3163,34.0,SDC4,2.32407953773e+12,,False,SDC4
29,3161,153.0,SGTA,0.0,,False,SGTA
30,3159,154.0,ASGR2,0.0,,False,ASGR2
31,3158,154.0,ASGR1,0.0,,False,ASGR1
32,3156,155.0,RBCK1,0.0,,False,RBCK1
33,3155,155.0,SHARPIN,0.0,,False,SHARPIN
34,3152,35.0,RRP1B,0.0,,False,RRP1B
35,3150,67.0,NFE2L1,0.0,,False,NFE2L1
36,3146,156.0,SPC25,0.0,,False,SPC25
37,3145,156.0,SPC24,0.0,,False,SPC24
38,3141,4.0,FAF1,0.0,,False,FAF1
39,3139,68.0,UBXN7,2.36992262595e+12,,False,UBXN7
40,3136,36.0,SLC4A1,2.75670085621e+12,0.142337685684,False,SLC4A1
41,3133,35.0,PPP1R9A,0.0,,False,PPP1R9A
42,3130,69.0,PUF60,0.0,,False,PUF60
43,3128,37.0,GTF3C1,0.0,,False,GTF3C1
44,3126,63.0,DNM1L,0.0,,False,DNM1L
45,3125,63.0,LRRK2,0.0,,False,LRRK2
46,3123,157.0,ANK2,0.0,,False,ANK2
47,3122,157.0,SLC8A1,0.0,,False,SLC8A1
48,3118,158.0,OAZ1,0.0,,False,OAZ1
49,3117,158.0,ODC1,0.0,,False,ODC1
50,3113,5.0,ACTB,0.0,,False,ACTB
51,3111,159.0,CBX1,0.0,,False,CBX1
52,3109,160.0,PCGF6,0.0,,False,PCGF6
53,3106,161.0,C4BPA,0.0,,False,C4BPA
54,3104,162.0,EIF2AK3,0.0,,False,EIF2AK3
55,3103,162.0,EIF2S1,0.0,,False,EIF2S1
56,3096,,PTPN2,,,False,PTPN2
57,3094,163.0,NEDD4L,0.0,,False,NEDD4L
