__mclCluster	name	PRWP	score	Unnamed: 0
142.0	GTF2H4	0.0	-1	0
142.0	GTF2H2	0.0	-1	1
143.0	COL17A1	0.0	-1	2
143.0	ITGA6	0.0	-1	3
-1	TPM3	-1	-1	4
14.0	UBE2V1	0.0	-1	5
144.0	NEURL4	0.0	-1	6
144.0	CCP110	0.0	-1	7
62.0	RAPGEF6	0.0	-1	8
145.0	EIF4A3	0.0	-1	9
145.0	SRSF1	0.0	-1	10
63.0	MAP2K3	0.0	-1	11
146.0	PTBP1	0.0	-1	12
23.0	AGO3	0.0	-1	13
64.0	KLHL3	0.0	-1	14
147.0	MAD2L1BP	2.44012052361e+12	-1	15
148.0	ANAPC11	2.32407953773e+12	-1	16
148.0	UBE2C	2.32407953773e+12	0.12	17
23.0	AGO1	0.0	-1	18
149.0	NFATC1	0.0	-1	19
149.0	FOXP3	0.0	-1	20
150.0	GGA3	0.0	-1	21
65.0	RNF31	2.32407953773e+12	0.12	22
151.0	HNRNPH3	0.0	-1	23
151.0	HNRNPA1	0.0	-1	24
66.0	NAF1	0.0	-1	25
152.0	ZNF207	0.0	-1	26
152.0	BUB3	0.0	-1	27
34.0	SDC4	2.32407953773e+12	-1	28
153.0	SGTA	0.0	-1	29
154.0	ASGR2	0.0	-1	30
154.0	ASGR1	0.0	-1	31
155.0	RBCK1	0.0	-1	32
155.0	SHARPIN	0.0	-1	33
35.0	RRP1B	0.0	-1	34
67.0	NFE2L1	0.0	-1	35
156.0	SPC25	0.0	-1	36
156.0	SPC24	0.0	-1	37
4.0	FAF1	0.0	-1	38
68.0	UBXN7	2.36992262595e+12	-1	39
36.0	SLC4A1	2.75670085621e+12	0.142337685684	40
35.0	PPP1R9A	0.0	-1	41
69.0	PUF60	0.0	-1	42
37.0	GTF3C1	0.0	-1	43
63.0	DNM1L	0.0	-1	44
63.0	LRRK2	0.0	-1	45
157.0	ANK2	0.0	-1	46
157.0	SLC8A1	0.0	-1	47
158.0	OAZ1	0.0	-1	48
158.0	ODC1	0.0	-1	49
5.0	ACTB	0.0	-1	50
159.0	CBX1	0.0	-1	51
160.0	PCGF6	0.0	-1	52
161.0	C4BPA	0.0	-1	53
162.0	EIF2AK3	0.0	-1	54
162.0	EIF2S1	0.0	-1	55
-1	PTPN2	-1	-1	56
163.0	NEDD4L	0.0	-1	57
164.0	LDHB	2.3293366419e+12	0.120271441872	58
164.0	LDHA	2.3293366419e+12	-1	59
10.0	EPHA2	0.0	-1	60
165.0	CNOT1	0.0	-1	61
165.0	TNRC6C	0.0	-1	62
166.0	NSMCE3	0.0	-1	63
166.0	NSMCE1	0.0	-1	64
167.0	TOR1AIP1	0.0	-1	65
167.0	TOR1A	0.0	-1	66
168.0	PEX19	0.0	-1	67
168.0	PXMP2	0.0	-1	68
35.0	SH3RF2	0.0	-1	69
35.0	PPP1CA	0.0	-1	70
169.0	MMS22L	0.0	-1	71
170.0	ISG15	0.0	-1	72
15.0	PARK7	0.0	-1	73
14.0	UBA52	0.0	-1	74
-1	ARRDC3	-1	-1	75
70.0	FAM110A	0.0	-1	76
71.0	ASXL1	0.0	-1	77
16.0	PTTG1	2.32407953773e+12	0.12	78
171.0	SRPK2	0.0	-1	79
171.0	SNRNP70	0.0	-1	80
11.0	RPL26	0.0	-1	81
172.0	APITD1	0.0	-1	82
172.0	STRA13	0.0	-1	83
147.0	BUB1B	2.44012052361e+12	0.125991584229	84
173.0	UBE4B	0.0	-1	85
72.0	DCTN4	0.0	-1	86
174.0	SAP18	0.0	-1	87
175.0	RAD51	4.18008406952e+12	0.215831721849	88
38.0	CIITA	0.0	-1	89
176.0	JDP2	0.0	-1	90
176.0	ATF2	0.0	-1	91
39.0	EPOR	2.33985085024e+12	-1	92
36.0	CD79B	2.75670085621e+12	-1	93
5.0	RECQL5	0.0	-1	94
177.0	ATXN7	0.0	-1	95
10.0	RAPGEF1	0.0	-1	96
73.0	UPF1	0.0	-1	97
37.0	GTF3C5	0.0	-1	98
178.0	SREBF1	0.0	-1	99
179.0	CAPN1	0.0	-1	100
179.0	KNG1	0.0	-1	101
180.0	LRP6	0.0	-1	102
180.0	FZD8	0.0	-1	103
17.0	RANBP1	0.0	-1	104
181.0	STK26	0.0	-1	105
181.0	PDCD10	0.0	-1	106
18.0	NFYB	0.0	-1	107
19.0	SLMAP	0.0	-1	108
6.0	TP73	2.43486341944e+12	-1	109
182.0	TPRKB	0.0	-1	110
182.0	OSGEP	0.0	-1	111
183.0	MCM2	7.02500200196e+12	0.122724350242	112
184.0	PPP2R5D	0.0	-1	113
184.0	SGO1	0.0	-1	114
185.0	RXFP2	0.0	-1	115
74.0	ITGA2	2.32407953773e+12	-1	116
19.0	STRN4	0.0	-1	117
40.0	SNRPD1	0.0	-1	118
24.0	PPM1D	0.0	-1	119
14.0	NUMBL	0.0	-1	120
186.0	SMC5	0.0	-1	121
186.0	SMC6	0.0	-1	122
75.0	LEO1	0.0	-1	123
25.0	KARS	0.0	-1	124
18.0	GATA2	0.0	-1	125
187.0	IL12RB1	0.0	-1	126
187.0	IL12B	0.0	-1	127
18.0	SP1	0.0	-1	128
