"SUID","__mclCluster","name","PRWP","score","selected","shared name"
"3221","142","GTF2H4","0.0",,"false","GTF2H4"
"3220","142","GTF2H2","0.0",,"false","GTF2H2"
"3218","143","COL17A1","0.0",,"false","COL17A1"
"3217","143","ITGA6","0.0",,"false","ITGA6"
"3215",,"TPM3",,,"false","TPM3"
"3211","14","UBE2V1","0.0",,"false","UBE2V1"
"3208","144","NEURL4","0.0",,"false","NEURL4"
"3207","144","CCP110","0.0",,"false","CCP110"
"3205","62","RAPGEF6","0.0",,"false","RAPGEF6"
"3203","145","EIF4A3","0.0",,"false","EIF4A3"
"3202","145","SRSF1","0.0",,"false","SRSF1"
"3200","63","MAP2K3","0.0",,"false","MAP2K3"
"3198","146","PTBP1","0.0",,"false","PTBP1"
"3196","23","AGO3","0.0",,"false","AGO3"
"3192","64","KLHL3","0.0",,"false","KLHL3"
"3190","147","MAD2L1BP","2.4215021572296587E8",,"false","MAD2L1BP"
"3187","148","ANAPC11","2.306346575809274E8",,"false","ANAPC11"
"3186","148","UBE2C","2.306346575809274E8","0.12","false","UBE2C"
"3184","23","AGO1","0.0",,"false","AGO1"
"3182","149","NFATC1","0.0",,"false","NFATC1"
"3181","149","FOXP3","0.0",,"false","FOXP3"
"3178","150","GGA3","0.0",,"false","GGA3"
"3176","65","RNF31","2.306346575809274E8","0.12","false","RNF31"
"3172","151","HNRNPH3","0.0",,"false","HNRNPH3"
"3171","151","HNRNPA1","0.0",,"false","HNRNPA1"
"3169","66","NAF1","0.0",,"false","NAF1"
"3167","152","ZNF207","0.0",,"false","ZNF207"
"3166","152","BUB3","0.0",,"false","BUB3"
"3163","34","SDC4","2.306346575809274E8",,"false","SDC4"
"3161","153","SGTA","0.0",,"false","SGTA"
"3159","154","ASGR2","0.0",,"false","ASGR2"
"3158","154","ASGR1","0.0",,"false","ASGR1"
"3156","155","RBCK1","0.0",,"false","RBCK1"
"3155","155","SHARPIN","0.0",,"false","SHARPIN"
"3152","35","RRP1B","0.0",,"false","RRP1B"
"3150","67","NFE2L1","0.0",,"false","NFE2L1"
"3146","156","SPC25","0.0",,"false","SPC25"
"3145","156","SPC24","0.0",,"false","SPC24"
"3141","4","FAF1","0.0",,"false","FAF1"
"3139","68","UBXN7","2.3518398766316056E8",,"false","UBXN7"
"3136","36","SLC4A1","2.7356669498806244E8","0.142337685683898","false","SLC4A1"
"3133","35","PPP1R9A","0.0",,"false","PPP1R9A"
"3130","69","PUF60","0.0",,"false","PUF60"
"3128","37","GTF3C1","0.0",,"false","GTF3C1"
"3126","63","DNM1L","0.0",,"false","DNM1L"
"3125","63","LRRK2","0.0",,"false","LRRK2"
"3123","157","ANK2","0.0",,"false","ANK2"
"3122","157","SLC8A1","0.0",,"false","SLC8A1"
"3118","158","OAZ1","0.0",,"false","OAZ1"
"3117","158","ODC1","0.0",,"false","ODC1"
"3113","5","ACTB","0.0",,"false","ACTB"
"3111","159","CBX1","0.0",,"false","CBX1"
"3109","160","PCGF6","0.0",,"false","PCGF6"
"3106","161","C4BPA","0.0",,"false","C4BPA"
"3104","162","EIF2AK3","0.0",,"false","EIF2AK3"
"3103","162","EIF2S1","0.0",,"false","EIF2S1"
"3096",,"PTPN2",,,"false","PTPN2"
"3094","163","NEDD4L","0.0",,"false","NEDD4L"
"3091","164","LDHB","2.311563567744299E8","0.12027144187208","false","LDHB"
"3090","164","LDHA","2.311563567744299E8",,"false","LDHA"
"3088","10","EPHA2","0.0",,"false","EPHA2"
"3085","165","CNOT1","0.0",,"false","CNOT1"
"3084","165","TNRC6C","0.0",,"false","TNRC6C"
"3082","166","NSMCE3","0.0",,"false","NSMCE3"
"3081","166","NSMCE1","0.0",,"false","NSMCE1"
"3078","167","TOR1AIP1","0.0",,"false","TOR1AIP1"
"3077","167","TOR1A","0.0",,"false","TOR1A"
"3074","168","PEX19","0.0",,"false","PEX19"
"3073","168","PXMP2","0.0",,"false","PXMP2"
"3071","35","SH3RF2","0.0",,"false","SH3RF2"
"3070","35","PPP1CA","0.0",,"false","PPP1CA"
"3068","169","MMS22L","0.0",,"false","MMS22L"
"3066","170","ISG15","0.0",,"false","ISG15"
"3064","15","PARK7","0.0",,"false","PARK7"
"3062","14","UBA52","0.0",,"false","UBA52"
"3058",,"ARRDC3",,,"false","ARRDC3"
"3056","70","FAM110A","0.0",,"false","FAM110A"
"3054","71","ASXL1","0.0",,"false","ASXL1"
"3051","16","PTTG1","2.306346575809274E8","0.12","false","PTTG1"
"3049","171","SRPK2","0.0",,"false","SRPK2"
"3048","171","SNRNP70","0.0",,"false","SNRNP70"
"3045","11","RPL26","0.0",,"false","RPL26"
"3040","172","APITD1","0.0",,"false","APITD1"
"3039","172","STRA13","0.0",,"false","STRA13"
"3037","147","BUB1B","2.4215021572296587E8","0.125991584229095","false","BUB1B"
"3035","173","UBE4B","0.0",,"false","UBE4B"
"3033","72","DCTN4","0.0",,"false","DCTN4"
"3029","174","SAP18","0.0",,"false","SAP18"
"3023","175","RAD51","4.148189605316152E8","0.215831721849207","false","RAD51"
"3021","38","CIITA","0.0",,"false","CIITA"
"3019","176","JDP2","0.0",,"false","JDP2"
"3018","176","ATF2","0.0",,"false","ATF2"
"3015","39","EPOR","2.3219975516143677E8",,"false","EPOR"
"3013","36","CD79B","2.7356669498806244E8",,"false","CD79B"
"3009","5","RECQL5","0.0",,"false","RECQL5"
"3006","177","ATXN7","0.0",,"false","ATXN7"
"3003","10","RAPGEF1","0.0",,"false","RAPGEF1"
"3001","73","UPF1","0.0",,"false","UPF1"
"2999","37","GTF3C5","0.0",,"false","GTF3C5"
"2997","178","SREBF1","0.0",,"false","SREBF1"
"2994","179","CAPN1","0.0",,"false","CAPN1"
"2993","179","KNG1","0.0",,"false","KNG1"
"2991","180","LRP6","0.0",,"false","LRP6"
"2990","180","FZD8","0.0",,"false","FZD8"
"2988","17","RANBP1","0.0",,"false","RANBP1"
"2984","181","STK26","0.0",,"false","STK26"
"2983","181","PDCD10","0.0",,"false","PDCD10"
"2981","18","NFYB","0.0",,"false","NFYB"
"2979","19","SLMAP","0.0",,"false","SLMAP"
"2974","6","TP73","2.4162851652946338E8",,"false","TP73"
"2972","182","TPRKB","0.0",,"false","TPRKB"
"2971","182","OSGEP","0.0",,"false","OSGEP"
"2968","183","MCM2","6.97140052620298E8","0.122724350242467","false","MCM2"
"2966","184","PPP2R5D","0.0",,"false","PPP2R5D"
"2965","184","SGO1","0.0",,"false","SGO1"
"2962","185","RXFP2","0.0",,"false","RXFP2"
"2958","74","ITGA2","2.306346575809274E8",,"false","ITGA2"
"2951","19","STRN4","0.0",,"false","STRN4"
"2949","40","SNRPD1","0.0",,"false","SNRPD1"
"2947","24","PPM1D","0.0",,"false","PPM1D"
"2945","14","NUMBL","0.0",,"false","NUMBL"
"2941","186","SMC5","0.0",,"false","SMC5"
"2940","186","SMC6","0.0",,"false","SMC6"
