__mclCluster	name	PRWP	score
142.0	GTF2H4	0.0	-1
142.0	GTF2H2	0.0	-1
143.0	COL17A1	0.0	-1
143.0	ITGA6	0.0	-1
-1	TPM3	-1	-1
14.0	UBE2V1	0.0	-1
144.0	NEURL4	0.0	-1
144.0	CCP110	0.0	-1
62.0	RAPGEF6	0.0	-1
145.0	EIF4A3	0.0	-1
145.0	SRSF1	0.0	-1
63.0	MAP2K3	0.0	-1
146.0	PTBP1	0.0	-1
23.0	AGO3	0.0	-1
64.0	KLHL3	0.0	-1
147.0	MAD2L1BP	242150215.723	-1
148.0	ANAPC11	230634657.581	-1
148.0	UBE2C	230634657.581	0.12
23.0	AGO1	0.0	-1
149.0	NFATC1	0.0	-1
149.0	FOXP3	0.0	-1
150.0	GGA3	0.0	-1
65.0	RNF31	230634657.581	0.12
151.0	HNRNPH3	0.0	-1
151.0	HNRNPA1	0.0	-1
66.0	NAF1	0.0	-1
152.0	ZNF207	0.0	-1
152.0	BUB3	0.0	-1
34.0	SDC4	230634657.581	-1
153.0	SGTA	0.0	-1
154.0	ASGR2	0.0	-1
154.0	ASGR1	0.0	-1
155.0	RBCK1	0.0	-1
155.0	SHARPIN	0.0	-1
35.0	RRP1B	0.0	-1
67.0	NFE2L1	0.0	-1
156.0	SPC25	0.0	-1
156.0	SPC24	0.0	-1
4.0	FAF1	0.0	-1
68.0	UBXN7	235183987.663	-1
36.0	SLC4A1	273566694.988	0.142337685684
35.0	PPP1R9A	0.0	-1
69.0	PUF60	0.0	-1
37.0	GTF3C1	0.0	-1
63.0	DNM1L	0.0	-1
63.0	LRRK2	0.0	-1
157.0	ANK2	0.0	-1
157.0	SLC8A1	0.0	-1
158.0	OAZ1	0.0	-1
158.0	ODC1	0.0	-1
5.0	ACTB	0.0	-1
159.0	CBX1	0.0	-1
160.0	PCGF6	0.0	-1
161.0	C4BPA	0.0	-1
162.0	EIF2AK3	0.0	-1
162.0	EIF2S1	0.0	-1
-1	PTPN2	-1	-1
163.0	NEDD4L	0.0	-1
164.0	LDHB	231156356.774	0.120271441872
164.0	LDHA	231156356.774	-1
10.0	EPHA2	0.0	-1
165.0	CNOT1	0.0	-1
165.0	TNRC6C	0.0	-1
166.0	NSMCE3	0.0	-1
166.0	NSMCE1	0.0	-1
167.0	TOR1AIP1	0.0	-1
167.0	TOR1A	0.0	-1
168.0	PEX19	0.0	-1
168.0	PXMP2	0.0	-1
35.0	SH3RF2	0.0	-1
35.0	PPP1CA	0.0	-1
169.0	MMS22L	0.0	-1
170.0	ISG15	0.0	-1
15.0	PARK7	0.0	-1
14.0	UBA52	0.0	-1
-1	ARRDC3	-1	-1
70.0	FAM110A	0.0	-1
71.0	ASXL1	0.0	-1
16.0	PTTG1	230634657.581	0.12
171.0	SRPK2	0.0	-1
171.0	SNRNP70	0.0	-1
11.0	RPL26	0.0	-1
172.0	APITD1	0.0	-1
172.0	STRA13	0.0	-1
