"SUID","__mclCluster","name","PRWP","score","selected","shared name"
"9571","79","ARF6","0.0",,"false","ARF6"
"9570","684","USO1","0.30726033643125694","0.12","false","USO1"
"9569","29","FOS","0.040258746753886236",,"false","FOS"
"9568","426","EP400","0.0",,"false","EP400"
"9567","49","ACTA1","0.0",,"false","ACTA1"
"9566","427","MINPP1","0.0",,"false","MINPP1"
"9565","10","WNK2","0.06934352259451307",,"false","WNK2"
"9564","139","UBE2I","0.0",,"false","UBE2I"
"9563","685","CKMT1B","0.0",,"false","CKMT1B"
"9562","17","IKBKE","0.0",,"false","IKBKE"
"9561",,"USPL1",,,"false","USPL1"
"9560",,"PGD",,,"false","PGD"
"9559","428","JAK2","0.23044525232344273","0.12","false","JAK2"
"9558","80","PTPRJ","0.083798273572161",,"false","PTPRJ"
"9557","429","POLDIP3","0.0",,"false","POLDIP3"
"9556","429","NCBP1","0.0",,"false","NCBP1"
"9555",,"ECHS1",,,"false","ECHS1"
"9554","57","MDM2","0.07563408051905962","0.128001297944","false","MDM2"
"9553","57","DAAM2","0.07563408051905962",,"false","DAAM2"
"9552","430","MERTK","0.0",,"false","MERTK"
"9551","81","BMPR2","0.08398782657423429",,"false","BMPR2"
"9550",,"OTUB1",,,"false","OTUB1"
"9549",,"DDX23",,,"false","DDX23"
"9548","216","NOD2","0.0",,"false","NOD2"
"9547","686","NLRP1","0.0",,"false","NLRP1"
"9546",,"ANP32A",,,"false","ANP32A"
"9545","687","GZMA","0.0",,"false","GZMA"
"9544","80","PTPRK","0.083798273572161","0.12","false","PTPRK"
"9543","688","PXN","0.0",,"false","PXN"
"9542","1142","ZNF395","0.0",,"false","ZNF395"
"9541","31","HDAC1","0.0",,"false","HDAC1"
"9540",,"CDC6",,,"false","CDC6"
"9539",,"ATR",,,"false","ATR"
"9538","7","DARS2","0.0",,"false","DARS2"
"9537",,"AIMP2",,,"false","AIMP2"
"9536","689","HIST2H3D","0.0",,"false","HIST2H3D"
"9535","113","KMT2C","0.0",,"false","KMT2C"
"9534","690","MELK","0.0",,"false","MELK"
"9533","290","BABAM1","0.0",,"false","BABAM1"
"9532","140","BRF2","0.11522262616172137",,"false","BRF2"
"9531","140","KDELR1","0.11522262616172137","0.12","false","KDELR1"
"9530","44","MYC","0.07065694821604515","0.137974752687","false","MYC"
"9529","1143","AP2A1","0.0",,"false","AP2A1"
"9528","291","HSPA4","0.0",,"false","HSPA4"
"9527","1144","DNAJB11","0.0",,"false","DNAJB11"
"9526","691","RHOH","0.0",,"false","RHOH"
"9525",,"ARHGDIA",,,"false","ARHGDIA"
"9524","1145","NFKBIA","0.0",,"false","NFKBIA"
"9523","171","UBE2D2","0.13168300132768157",,"false","UBE2D2"
"9522","1146","PLD1","0.0",,"false","PLD1"
"9521",,"RPS6KA3",,,"false","RPS6KA3"
"9520","217","NEFM","0.0",,"false","NEFM"
"9519","1147","FNBP1","0.0",,"false","FNBP1"
"9518","35","MAP1LC3C","0.0",,"false","MAP1LC3C"
"9517","2","MS4A1","0.015703019360829188",,"false","MS4A1"
"9516","68","CSNK2A2","0.0",,"false","CSNK2A2"
"9515","38","CTNNB1","0.06958593139654572","0.172118889394","false","CTNNB1"
"9514",,"RBMX",,,"false","RBMX"
"9513","1148","SRRM1","0.0",,"false","SRRM1"
"9512","292","HIST1H3J","0.0",,"false","HIST1H3J"
"9511","431","GATAD2B","0.0",,"false","GATAD2B"
"9510",,"FER",,,"false","FER"
"9509","293","CDH1","0.4432058281164089","0.13743517945","false","CDH1"
"9508","1149","SIAH2","0.0",,"false","SIAH2"
"9507","1150","PIAS3","0.0",,"false","PIAS3"
"9506","432","USP8","0.0",,"false","USP8"
"9505","692","CHMP6","0.0",,"false","CHMP6"
"9504","218","GPRASP1","0.0",,"false","GPRASP1"
"9503","693","F2RL1","0.0",,"false","F2RL1"
"9502",,"RERE",,,"false","RERE"
"9501","433","LZTR1","0.0",,"false","LZTR1"
"9500","1151","CBX8","0.0",,"false","CBX8"
"9499","434","CENPA","0.0",,"false","CENPA"
"9498","435","HIST1H1A","0.23619830290552402",,"false","HIST1H1A"
"9497",,"SUZ12",,,"false","SUZ12"
"9496","219","UBASH3B","0.15363016821562847",,"false","UBASH3B"
"9495","17","ACTR6","0.0",,"false","ACTR6"
"9494",,"PCBP1",,,"false","PCBP1"
"9493","220","EIF1B","0.0",,"false","EIF1B"
"9492","694","COPZ1","0.0",,"false","COPZ1"
"9491","436","TRIM29","0.0",,"false","TRIM29"
"9490","437","SNAPC1","0.0",,"false","SNAPC1"
"9489","695","GOPC","0.0",,"false","GOPC"
"9488","114","JUN","0.10242011214375232",,"false","JUN"
"9487",,"PBK",,,"false","PBK"
"9486","221","MBP","0.0",,"false","MBP"
"9485",,"CKS1B",,,"false","CKS1B"
"9484",,"PSMD9",,,"false","PSMD9"
"9483","696","WDR77","0.0",,"false","WDR77"
"9482","697","LSM11","0.0",,"false","LSM11"
"9481","172","GABRA3","0.0",,"false","GABRA3"
"9480","172","PIK3R1","0.0",,"false","PIK3R1"
"9479","222","RPL3","0.0",,"false","RPL3"
"9478","294","SGK1","0.0",,"false","SGK1"
"9477","1152","DCTN1","0.0",,"false","DCTN1"
"9476","1153","TRAF3IP1","0.0",,"false","TRAF3IP1"
"9475","698","SNX6","0.0",,"false","SNX6"
"9474","141","SCHIP1","0.0",,"false","SCHIP1"
"9473","1154","SSB","0.0",,"false","SSB"
"9472","223","CRYAB","0.15363016821562847","0.12","false","CRYAB"
"9471","1155","CCND1","0.8316449103808623","0.216531666935","false","CCND1"
"9470","224","KRTAP9-3","0.0",,"false","KRTAP9-3"
"9469","224","CDK12","0.0",,"false","CDK12"
"9468","295","SNX8","0.0",,"false","SNX8"
"9467","173","CYP4F2","0.5564394156778109",,"false","CYP4F2"
"9466","20","NCK1","0.06357110408922557",,"false","NCK1"
"9465","296","TOB1","0.0",,"false","TOB1"
"9464","142","HNRNPA2B1","0.0",,"false","HNRNPA2B1"
"9463","438","STX6","0.0",,"false","STX6"
"9462","439","VAMP3","0.0",,"false","VAMP3"
"9461","1156","HMGB2","0.0",,"false","HMGB2"
"9460","1157","POU3F1","0.0",,"false","POU3F1"
"9459","1158","SMARCC1","0.0",,"false","SMARCC1"
"9458","1159","SMARCE1","0.0",,"false","SMARCE1"
"9457",,"FKBP5",,,"false","FKBP5"
"9456",,"PHLPP1",,,"false","PHLPP1"
"9455","143","NDUFA4","0.0",,"false","NDUFA4"
"9454","69","TSC22D1","0.0",,"false","TSC22D1"
"9453","699","ARHGEF7","0.0",,"false","ARHGEF7"
"9452","1160","NAA10","0.0",,"false","NAA10"
"9451","430","VAV1","0.0",,"false","VAV1"
"9450",,"SPI1",,,"false","SPI1"
"9449","2","EIF4G1","0.015703019360829188",,"false","EIF4G1"
"9448",,"EPB41",,,"false","EPB41"
"9447","700","KHSRP","0.0",,"false","KHSRP"
"9446",,"BCAR3",,,"false","BCAR3"
"9445","440","SLC34A1","0.0",,"false","SLC34A1"
"9444","2","HSP90AB1","0.015703019360829188","0.12","false","HSP90AB1"
"9443","701","CDC45","0.0",,"false","CDC45"
"9442","69","OR4C12","0.0",,"false","OR4C12"
"9441","441","RASD1","0.23044525232344273","0.12","false","RASD1"
"9440","441","GNAI2","0.23044525232344273",,"false","GNAI2"
"9439","1161","WIPF1","0.0",,"false","WIPF1"
"9438","1162","PACSIN2","0.0",,"false","PACSIN2"
"9437",,"EIF3I",,,"false","EIF3I"
"9436","225","TNFRSF14","0.0",,"false","TNFRSF14"
"9435","1163","STIP1","0.0",,"false","STIP1"
"9434","442","FKBP4","0.0",,"false","FKBP4"
"9433","20","MEPE","0.06357110408922557",,"false","MEPE"
"9432",,"JAK1",,,"false","JAK1"
"9431","1","AGO4","0.01544884373118052",,"false","AGO4"
"9430",,"TUBA4A",,,"false","TUBA4A"
"9429","1164","ARHGAP1","0.0",,"false","ARHGAP1"
"9428","702","MFN2","0.0",,"false","MFN2"
"9427","702","RGAG4","0.0",,"false","RGAG4"
"9426","297","ECM1","0.0",,"false","ECM1"
"9425","297","EFEMP1","0.0",,"false","EFEMP1"
"9424","298","FYN","0.0",,"false","FYN"
"9423","10","HCN2","0.06934352259451307",,"false","HCN2"
"9422","171","RNFT1","0.13168300132768157",,"false","RNFT1"
"9421","1","FN3KRP","0.01544884373118052",,"false","FN3KRP"
"9420","1","USP43","0.01544884373118052",,"false","USP43"
"9419",,"AFF1",,,"false","AFF1"
"9418",,"CCNT1",,,"false","CCNT1"
"9417",,"FSCN1",,,"false","FSCN1"
"9416","1165","VDAC1","0.0",,"false","VDAC1"
"9415","299","BCL2","0.22312887655678468","0.145237669885","false","BCL2"
"9414","69","ATP5L","0.0",,"false","ATP5L"
"9413","1166","JADE2","0.0",,"false","JADE2"
"9412","443","ING5","0.0",,"false","ING5"
"9411","38","HIC1","0.06958593139654572",,"false","HIC1"
"9410","703","DISC1","0.0",,"false","DISC1"
"9409","1167","HERC2","0.0",,"false","HERC2"
"9408","1168","FAF1","0.0",,"false","FAF1"
"9407",,"DDB2",,,"false","DDB2"
"9406",,"CDT1",,,"false","CDT1"
"9405","1169","E2F8","0.0",,"false","E2F8"
"9404","1169","E2F7","0.0",,"false","E2F7"
