__mclCluster	name	PRWP	score
79.0	ARF6	0.0	-1
684.0	USO1	0.307260336431	0.12
29.0	FOS	0.0402587467539	-1
426.0	EP400	0.0	-1
49.0	ACTA1	0.0	-1
427.0	MINPP1	0.0	-1
10.0	WNK2	0.0693435225945	-1
139.0	UBE2I	0.0	-1
685.0	CKMT1B	0.0	-1
17.0	IKBKE	0.0	-1
-1	USPL1	-1	-1
-1	PGD	-1	-1
428.0	JAK2	0.230445252323	0.12
80.0	PTPRJ	0.0837982735722	-1
429.0	POLDIP3	0.0	-1
429.0	NCBP1	0.0	-1
-1	ECHS1	-1	-1
57.0	MDM2	0.0756340805191	0.128001297944
57.0	DAAM2	0.0756340805191	-1
430.0	MERTK	0.0	-1
81.0	BMPR2	0.0839878265742	-1
-1	OTUB1	-1	-1
-1	DDX23	-1	-1
216.0	NOD2	0.0	-1
686.0	NLRP1	0.0	-1
-1	ANP32A	-1	-1
687.0	GZMA	0.0	-1
80.0	PTPRK	0.0837982735722	0.12
688.0	PXN	0.0	-1
1142.0	ZNF395	0.0	-1
31.0	HDAC1	0.0	-1
-1	CDC6	-1	-1
-1	ATR	-1	-1
7.0	DARS2	0.0	-1
-1	AIMP2	-1	-1
689.0	HIST2H3D	0.0	-1
113.0	KMT2C	0.0	-1
690.0	MELK	0.0	-1
290.0	BABAM1	0.0	-1
140.0	BRF2	0.115222626162	-1
140.0	KDELR1	0.115222626162	0.12
44.0	MYC	0.070656948216	0.137974752687
1143.0	AP2A1	0.0	-1
291.0	HSPA4	0.0	-1
1144.0	DNAJB11	0.0	-1
691.0	RHOH	0.0	-1
-1	ARHGDIA	-1	-1
1145.0	NFKBIA	0.0	-1
171.0	UBE2D2	0.131683001328	-1
1146.0	PLD1	0.0	-1
-1	RPS6KA3	-1	-1
217.0	NEFM	0.0	-1
1147.0	FNBP1	0.0	-1
35.0	MAP1LC3C	0.0	-1
2.0	MS4A1	0.0157030193608	-1
68.0	CSNK2A2	0.0	-1
38.0	CTNNB1	0.0695859313965	0.172118889394
-1	RBMX	-1	-1
1148.0	SRRM1	0.0	-1
292.0	HIST1H3J	0.0	-1
431.0	GATAD2B	0.0	-1
-1	FER	-1	-1
293.0	CDH1	0.443205828116	0.13743517945
1149.0	SIAH2	0.0	-1
1150.0	PIAS3	0.0	-1
432.0	USP8	0.0	-1
692.0	CHMP6	0.0	-1
218.0	GPRASP1	0.0	-1
693.0	F2RL1	0.0	-1
-1	RERE	-1	-1
433.0	LZTR1	0.0	-1
1151.0	CBX8	0.0	-1
434.0	CENPA	0.0	-1
435.0	HIST1H1A	0.236198302906	-1
-1	SUZ12	-1	-1
219.0	UBASH3B	0.153630168216	-1
17.0	ACTR6	0.0	-1
-1	PCBP1	-1	-1
220.0	EIF1B	0.0	-1
694.0	COPZ1	0.0	-1
436.0	TRIM29	0.0	-1
437.0	SNAPC1	0.0	-1
695.0	GOPC	0.0	-1
114.0	JUN	0.102420112144	-1
-1	PBK	-1	-1
221.0	MBP	0.0	-1
-1	CKS1B	-1	-1
-1	PSMD9	-1	-1
696.0	WDR77	0.0	-1
697.0	LSM11	0.0	-1
172.0	GABRA3	0.0	-1
172.0	PIK3R1	0.0	-1
222.0	RPL3	0.0	-1
294.0	SGK1	0.0	-1
1152.0	DCTN1	0.0	-1
1153.0	TRAF3IP1	0.0	-1
698.0	SNX6	0.0	-1
141.0	SCHIP1	0.0	-1
1154.0	SSB	0.0	-1
223.0	CRYAB	0.153630168216	0.12
1155.0	CCND1	0.831644910381	0.216531666935
224.0	KRTAP9-3	0.0	-1
224.0	CDK12	0.0	-1
295.0	SNX8	0.0	-1
173.0	CYP4F2	0.556439415678	-1
20.0	NCK1	0.0635711040892	-1
296.0	TOB1	0.0	-1
142.0	HNRNPA2B1	0.0	-1
438.0	STX6	0.0	-1
439.0	VAMP3	0.0	-1
1156.0	HMGB2	0.0	-1
1157.0	POU3F1	0.0	-1
1158.0	SMARCC1	0.0	-1
1159.0	SMARCE1	0.0	-1
-1	FKBP5	-1	-1
-1	PHLPP1	-1	-1
143.0	NDUFA4	0.0	-1
69.0	TSC22D1	0.0	-1
699.0	ARHGEF7	0.0	-1
1160.0	NAA10	0.0	-1
430.0	VAV1	0.0	-1
-1	SPI1	-1	-1
2.0	EIF4G1	0.0157030193608	-1
-1	EPB41	-1	-1
700.0	KHSRP	0.0	-1
-1	BCAR3	-1	-1
440.0	SLC34A1	0.0	-1
2.0	HSP90AB1	0.0157030193608	0.12
701.0	CDC45	0.0	-1
69.0	OR4C12	0.0	-1
441.0	RASD1	0.230445252323	0.12
441.0	GNAI2	0.230445252323	-1
1161.0	WIPF1	0.0	-1
1162.0	PACSIN2	0.0	-1
-1	EIF3I	-1	-1
225.0	TNFRSF14	0.0	-1
1163.0	STIP1	0.0	-1
442.0	FKBP4	0.0	-1
20.0	MEPE	0.0635711040892	-1
-1	JAK1	-1	-1
1.0	AGO4	0.0154488437312	-1
-1	TUBA4A	-1	-1
1164.0	ARHGAP1	0.0	-1
702.0	MFN2	0.0	-1
702.0	RGAG4	0.0	-1
297.0	ECM1	0.0	-1
297.0	EFEMP1	0.0	-1
298.0	FYN	0.0	-1
10.0	HCN2	0.0693435225945	-1
171.0	RNFT1	0.131683001328	-1
1.0	FN3KRP	0.0154488437312	-1
1.0	USP43	0.0154488437312	-1
-1	AFF1	-1	-1
-1	CCNT1	-1	-1
-1	FSCN1	-1	-1
1165.0	VDAC1	0.0	-1
299.0	BCL2	0.223128876557	0.145237669885
69.0	ATP5L	0.0	-1
1166.0	JADE2	0.0	-1
443.0	ING5	0.0	-1
38.0	HIC1	0.0695859313965	-1
703.0	DISC1	0.0	-1
1167.0	HERC2	0.0	-1
1168.0	FAF1	0.0	-1
-1	DDB2	-1	-1
-1	CDT1	-1	-1
1169.0	E2F8	0.0	-1
1169.0	E2F7	0.0	-1
1170.0	EIF6	0.0	-1
-1	PA2G4	-1	-1
226.0	GNG2	0.0	-1
300.0	GNB4	0.0	-1
-1	ERBB2	-1	0.153496597004
227.0	PTP4A3	0.0	-1
-1	GEMIN4	-1	-1
228.0	NEXN	0.153630168216	-1
1171.0	GTF2B	0.0	-1
-1	KLF5	-1	-1
444.0	TUBB	0.0	-1
229.0	GABARAP	0.0	-1
301.0	SYK	0.0	-1
50.0	VCP	0.0	-1
445.0	FBXO2	0.0	-1
704.0	SOX9	0.0	-1
704.0	SCX	0.0	-1
-1	CDK4	-1	-1
705.0	PPP1CC	0.0	-1
-1	LDHB	-1	0.12
217.0	RAC3	0.0	-1
90.0	ATG4D	0.0	-1
1172.0	CASP8	0.0	-1
446.0	TBK1	0.0	-1
27.0	YWHAE	0.159122583419	-1
1173.0	EIF3H	0.471354064296	0.122724350242
447.0	PRRC2B	0.0	-1
302.0	NKX3-1	0.412219450925	0.148319338391
706.0	KAT2B	0.307260336431	-1
-1	SNX9	-1	-1
303.0	ASAP1	0.0	-1
707.0	LDB2	0.340991352598	-1
1174.0	RILP	0.0	-1
-1	KPNA6	-1	-1
91.0	LYAR	0.0	-1
32.0	CAND1	0.0	-1
708.0	DDA1	0.0	-1
709.0	ALX4	0.614520672863	-1
709.0	FOXA3	0.614520672863	0.12
304.0	TNFRSF1A	0.184356201859	-1
1175.0	EZR	0.481817623949	0.125448700485
1176.0	MIS12	0.0	-1
448.0	SPC25	0.0	-1
305.0	ACLY	0.0	-1
-1	PPARGC1A	-1	-1
22.0	MED16	0.0667378322835	-1
449.0	FHL2	0.0	-1
144.0	TRIM63	0.0	-1
-1	HSPH1	-1	-1
70.0	PAFAH1B3	0.0820468639329	-1
306.0	USP53	0.188541625718	-1
230.0	CSTA	0.0	-1
-1	ATG101	-1	-1
-1	FOXO3	-1	-1
-1	HNRNPA0	-1	-1
174.0	MEPCE	0.0	-1
7.0	CEP72	0.0	-1
710.0	TUBG1	0.0	-1
450.0	PSMD4	0.0	-1
