"SUID","__mclCluster","name","PRWP","scores","selected","shared name"
"72","8","MGA","0.0",,"false","MGA"
"73","643","TEN1","0.0",,"false","TEN1"
"74","297","BANK1","0.25",,"false","BANK1"
"75","291","CCDC7","0.0",,"false","CCDC7"
"76","643","CTC1","0.0",,"false","CTC1"
"77","643","OBFC1","0.0",,"false","OBFC1"
"78","211","DACH1","0.0",,"false","DACH1"
"79","297","MRVI1","0.25",,"false","MRVI1"
"80","1552","CALCR","0.0",,"false","CALCR"
"81","1552","CALCA","0.0",,"false","CALCA"
"82","297","ITPR1","0.25","1","false","ITPR1"
"83","297","AHCYL1","0.25",,"false","AHCYL1"
"84","90","GTF2H2","0.16666666666666666",,"false","GTF2H2"
"85","1304","ITGA6","0.0",,"false","ITGA6"
"86","352","PRMT8","0.0",,"false","PRMT8"
"87","710","C4A","0.5",,"false","C4A"
"88","94","MYOM1","0.0",,"false","MYOM1"
"89","350","CEP152","0.0",,"false","CEP152"
"90","177","TMEM216","0.0",,"false","TMEM216"
"91","622","MAGI1","0.0",,"false","MAGI1"
"92","94","MYOM2","0.0",,"false","MYOM2"
"93","104","ANKHD1","0.0",,"false","ANKHD1"
"94","625","CDH23","0.0",,"false","CDH23"
"95","94","MYBPC3","0.0",,"false","MYBPC3"
"96","534","STARD9","0.0",,"false","STARD9"
"97","550","CDCA8","0.3333333333333333",,"false","CDCA8"
"98","491","PTGES3","0.0",,"false","PTGES3"
"99","1446","HIST1H2BD","0.0",,"false","HIST1H2BD"
"100","1142","LIPT1","0.0",,"false","LIPT1"
"101","1551","CFH","0.0",,"false","CFH"
"102","1551","SELL","0.0",,"false","SELL"
"103","175","AP5B1","0.25",,"false","AP5B1"
"104","94","ANKRD1","0.0",,"false","ANKRD1"
"105","94","TTN","0.0",,"false","TTN"
"106","94","NEB","0.0",,"false","NEB"
"107","636","SHARPIN","0.0",,"false","SHARPIN"
"108","350","UNC13A","0.0",,"false","UNC13A"
"109","550","BIRC5","0.3333333333333333","1","false","BIRC5"
"110","369","KIF13B","0.0",,"false","KIF13B"
"111","18","ANK3","0.15384615384615385",,"false","ANK3"
"112","145","STAG2","0.0",,"false","STAG2"
"113","517","TACC1","0.0",,"false","TACC1"
"114","1345","TAP2","0.0",,"false","TAP2"
"115","128","LINC00846","0.0",,"false","LINC00846"
"116","1203","ASXL1","0.0",,"false","ASXL1"
"117","11","FBXO3","0.0",,"false","FBXO3"
"118","1090","C1orf94","0.0",,"false","C1orf94"
"119","1550","FOXP2","0.0",,"false","FOXP2"
"120","1550","FOXP4","0.0",,"false","FOXP4"
"121","335","RAPGEF1","0.0",,"false","RAPGEF1"
"122","705","URI1","0.0",,"false","URI1"
"123","609","AP1G1","0.0",,"false","AP1G1"
"124","445","PTBP1","0.0",,"false","PTBP1"
"125","1457","BRE","0.0",,"false","BRE"
"126","238","STRBP","0.0",,"false","STRBP"
"127","21","TNFRSF18","0.0",,"false","TNFRSF18"
"128","764","DYNC1I2","0.0",,"false","DYNC1I2"
"129","629","AIFM1","0.3333333333333333","1","false","AIFM1"
"130","1263","MARCKS","0.0",,"false","MARCKS"
"131","527","TPRKB","0.0",,"false","TPRKB"
"132","323","CD19","0.3333333333333333",,"false","CD19"
"133","70","NIP7","0.0",,"false","NIP7"
"134","614","UVRAG","0.0",,"false","UVRAG"
"135","610","U2SURP","0.0",,"false","U2SURP"
"136","1549","CNGA1","0.0",,"false","CNGA1"
"137","1549","SLC24A1","0.0",,"false","SLC24A1"
"138","465","TERF2","0.0",,"false","TERF2"
"139","51","EGFL6","0.0",,"false","EGFL6"
"140","1548","S100A16","0.0",,"false","S100A16"
