Human Symbol,Relative Rank,Cancer Type,COSMIC,CGC
ERBIN,B,Liver Cancer,No,No
ERBIN,C,Nervous System Cancer,No,No
ERBIN,C,Nervous System Cancer,No,No
ERBIN,D,Pancreatic Cancer,No,No
ERBIN,A,Colorectal Cancer,No,No
ERBIN,B,Sarcoma,No,No
ERBIN,C,Pancreatic Cancer,No,No
ERBIN,B,Pancreatic Cancer,No,No
ERBIN,C,Skin Cancer,No,No
ERBIN,C,Nervous System Cancer,No,No
ERBIN,C,Nervous System Cancer,No,No
ERBIN,A,Colorectal Cancer,No,No
ERBIN,A,Colorectal Cancer,No,No
ERBIN,A,Colorectal Cancer,No,No
ERBIN,B,Gastric Cancer,No,No
ERBIN,Not Ranked,Nervous System Cancer,No,No
FBXO11,C,Liver Cancer,Yes,Yes
FBXO11,D,Pancreatic Cancer,Yes,Yes
FBXO11,C,Colorectal Cancer,Yes,Yes
FBXO11,B,Sarcoma,Yes,Yes
FBXO11,D,Pancreatic Cancer,Yes,Yes
FBXO11,D,Pancreatic Cancer,Yes,Yes
FBXO11,D,Nervous System Cancer,Yes,Yes
FBXO11,D,Nervous System Cancer,Yes,Yes
FBXO11,B,Colorectal Cancer,Yes,Yes
FBXO11,C,Colorectal Cancer,Yes,Yes
FBXO11,D,Gastric Cancer,Yes,Yes
ROCK1,B,Liver Cancer,No,No
ROCK1,B,Lung Cancer,No,No
ROCK1,B,Liver Cancer,No,No
ROCK1,B,Nervous System Cancer,No,No
ROCK1,D,Pancreatic Cancer,No,No
ROCK1,C,Pancreatic Cancer,No,No
ROCK1,D,Skin Cancer,No,No
ROCK1,C,Nervous System Cancer,No,No
ROCK1,B,Nervous System Cancer,No,No
ROCK1,D,Colorectal Cancer,No,No
ROCK1,A,Gastric Cancer,No,No
UBE2D2,A,Liver Cancer,Yes,No
UBE2D2,D,Sarcoma,Yes,No
UBE2D2,D,Sarcoma,Yes,No
UBE2D2,D,Pancreatic Cancer,Yes,No
UBE2D2,D,Nervous System Cancer,Yes,No
UBE2D2,D,Colorectal Cancer,Yes,No
UBE2D2,A,Colorectal Cancer,Yes,No
UBE2D2,A,Colorectal Cancer,Yes,No
SIN3A,B,Liver Cancer,Yes,No
SIN3A,B,Blood Cancer,Yes,No
SIN3A,D,Blood Cancer,Yes,No
SIN3A,B,Colorectal Cancer,Yes,No
SIN3A,C,Pancreatic Cancer,Yes,No
SIN3A,D,Pancreatic Cancer,Yes,No
SIN3A,B,Colorectal Cancer,Yes,No
EP400,C,Liver Cancer,Yes,No
EP400,C,Colorectal Cancer,Yes,No
EP400,D,Colorectal Cancer,Yes,No
EP400,D,Colorectal Cancer,Yes,No
EP400,D,Colorectal Cancer,Yes,No
EP400,C,Gastric Cancer,Yes,No
ARID4A,C,Liver Cancer,Yes,No
ARID4A,Not Ranked,Colorectal Cancer,Yes,No
ARID4A,D,Nervous System Cancer,Yes,No
ARID4A,C,Blood Cancer,Yes,No
ARID4A,Not Ranked,Nervous System Cancer,Yes,No
CBX5,D,Liver Cancer,Yes,No
CBX5,Not Ranked,Mixed,Yes,No
CBX5,Not Ranked,Colorectal Cancer,Yes,No
CBX5,C,Pancreatic Cancer,Yes,No
CBX5,D,Colorectal Cancer,Yes,No
MED15,C,Liver Cancer,Yes,No
MED15,D,Pancreatic Cancer,Yes,No
MED15,C,Colorectal Cancer,Yes,No
MED15,C,Colorectal Cancer,Yes,No
MED15,C,Gastric Cancer,Yes,No
LIN54,B,Colorectal Cancer,Yes,No
LIN54,D,Skin Cancer,Yes,No
LIN54,Not Ranked,Blood Cancer,Yes,No
LIN54,D,Colorectal Cancer,Yes,No
SIAH1,D,Liver Cancer,Yes,No
SIAH1,C,Pancreatic Cancer,Yes,No
