__mclCluster	name	PRWP	score
-1	SUPT3H	-1	-1
204.0	TRRAP	0.0	-1
102.0	USO1	0.0	-1
103.0	STXBP1	0.0	-1
14.0	HDAC2	0.0	-1
14.0	PHF21A	0.0	-1
205.0	NFE2L2	0.0	-1
205.0	MAFF	0.0	-1
104.0	SRPK1	0.0	-1
104.0	SRSF6	0.0	-1
206.0	HMGN1	0.0	-1
206.0	RPS6KA3	0.0	-1
50.0	TGFBI	0.0	-1
50.0	COL1A1	0.0	-1
105.0	ERCC3	0.0	-1
51.0	CCNH	0.0	-1
207.0	PTGES3	0.0	-1
207.0	AIP	0.0	-1
20.0	CCT3	0.0	-1
20.0	CCT4	0.0	-1
106.0	CYBB	0.0	-1
106.0	CYBA	0.0	-1
3.0	USP14	0.0	-1
3.0	PSMC3	0.0	-1
208.0	BBS7	0.0	-1
208.0	BBS2	0.0	-1
107.0	LYN	0.0	-1
52.0	PLCG1	0.0	-1
209.0	QARS	0.0	-1
31.0	MARS	0.0	-1
53.0	BAD	0.0	-1
53.0	MCL1	0.0	-1
32.0	POLR2H	0.0	-1
32.0	POLR3H	0.0	-1
210.0	GNG13	0.0	-1
210.0	GNB4	0.0	-1
54.0	PSMD6	0.0	-1
-1	PSMD2	-1	-1
1.0	MYC	0.0	-1
1.0	GCN1	0.0	-1
55.0	RTF1	0.0	-1
55.0	CTR9	0.0	-1
108.0	PDGFRB	0.0	-1
108.0	PTPRJ	0.0	-1
56.0	PTPN6	0.0	-1
211.0	LCP2	0.0	-1
212.0	TBK1	0.0	-1
212.0	OPTN	0.0	-1
213.0	EFNB2	0.0	-1
213.0	EPHB4	0.0	-1
3.0	PSMD11	0.0	-1
214.0	PSMC5	0.0	-1
215.0	CCL1	0.0	-1
215.0	CCR1	0.0	-1
7.0	NCOR1	0.0	-1
7.0	NCOR2	0.0	-1
57.0	RUVBL1	0.0	-1
1.0	EP400	0.0	-1
216.0	CAMLG	0.0	-1
216.0	TNFRSF13B	0.0	-1
8.0	PSMA7	0.0	-1
8.0	PSMB2	0.0	-1
33.0	RNF103	0.0	-1
33.0	UBE2N	0.0	-1
58.0	GNAQ	0.0	-1
58.0	PLCB1	0.0	-1
34.0	DTX1	0.0	-1
34.0	NOTCH1	0.0	-1
-1	CDC25C	-1	-1
217.0	YWHAE	0.0	-1
21.0	EP300	0.0	-1
15.0	HDAC1	0.0	-1
109.0	ANXA11	0.0	-1
109.0	ALG2	0.0	-1
59.0	CCNY	0.0	-1
59.0	YWHAG	0.0	-1
3.0	PSMD12	0.0	-1
3.0	PSMD7	0.0	-1
218.0	RHOG	0.0	-1
218.0	VAV2	0.0	-1
22.0	PSMA3	0.0	-1
8.0	PSMB3	0.0	-1
219.0	NFKBIA	0.0	-1
220.0	RPS6KA1	0.0	-1
110.0	VHL	0.0	-1
111.0	NEDD8	0.0	-1
221.0	TELO2	0.0	-1
222.0	ATM	0.0	-1
35.0	TOM1L1	0.0	-1
35.0	CLTC	0.0	-1
34.0	LFNG	0.0	-1
223.0	AFF4	0.0	-1
224.0	CDK9	0.0	-1
225.0	APLF	0.0	-1
225.0	XRCC4	0.0	-1
226.0	MTA1	0.0	-1
226.0	RBBP7	0.0	-1
16.0	CUL1	0.0	-1
16.0	FBXO7	0.0	-1
105.0	GTF2H1	0.0	-1
12.0	POLR2A	0.0	-1
3.0	PSMD8	0.0	-1
227.0	OSMR	0.0	-1
227.0	OSM	0.0	-1
112.0	TUBB	0.0	-1
112.0	HDAC6	0.0	-1
113.0	PRPF19	0.0	-1
113.0	CDC5L	0.0	-1
228.0	BIRC2	0.0	-1
228.0	RIPK1	0.0	-1
17.0	RNF115	0.0	-1
17.0	UBE2D2	0.0	-1
9.0	EIF3B	0.0	-1
9.0	EIF3E	0.0	-1
114.0	BARD1	0.0	-1
114.0	CSTF2	0.0	-1
9.0	EIF3L	0.0	-1
9.0	EIF3F	0.0	-1
229.0	SKP1	0.0	-1
229.0	KDM2B	0.0	-1
230.0	CTSG	0.0	-1
230.0	PPBP	0.0	-1
231.0	PSEN1	0.0	-1
232.0	APBA1	0.0	-1
60.0	SMC4	0.0	-1
233.0	NCAPH	0.0	-1
115.0	ACTA1	0.0	-1
115.0	CNN1	0.0	-1
3.0	PSMC1	0.0	-1
61.0	TCEB2	0.0	-1
61.0	CUL5	0.0	-1
62.0	EIF2S2	0.0	-1
62.0	EIF2B4	0.0	-1
9.0	EIF3C	0.0	-1
63.0	ZNF76	0.0	-1
63.0	TBP	0.0	-1
64.0	TAF7	0.0	-1
64.0	TAF5	0.0	-1
23.0	STK4	0.0	-1
23.0	STK3	0.0	-1
65.0	SIVA1	0.0	-1
65.0	BCL2L1	0.0	-1
15.0	DDX5	0.0	-1
51.0	MNAT1	0.0	-1
51.0	GTF2H3	0.0	-1
116.0	KEAP1	0.0	-1
234.0	SQSTM1	0.0	-1
235.0	BBS9	0.0	-1
-1	XIAP	-1	-1
66.0	HAT1	0.0	-1
66.0	HIST1H3A	0.0	-1
211.0	LAT	0.0	-1
15.0	MXD1	0.0	-1
236.0	CSNK1A1	0.0	-1
18.0	MDM2	0.0	-1
2.0	RPS16	0.0	-1
2.0	RPS3	0.0	-1
36.0	H2AFX	0.0	-1
36.0	SUPT16H	0.0	-1
-1	PRKCD	-1	-1
117.0	SHC1	0.0	-1
67.0	MAPK1	0.0	-1
237.0	MSX2	0.0	-1
237.0	MAGED1	0.0	-1
238.0	PSMD13	0.0	-1
34.0	MFNG	0.0	-1
118.0	TCERG1	0.0	-1
118.0	SF3B3	0.0	-1
239.0	LIN9	0.0	-1
239.0	E2F4	0.0	-1
240.0	DEPTOR	0.0	-1
240.0	MTOR	0.0	-1
241.0	DYRK1A	0.0	-1
241.0	DCAF7	0.0	-1
119.0	VBP1	0.0	-1
119.0	PFDN4	0.0	-1
8.0	PSMB4	0.0	-1
24.0	TRAF6	0.0	-1
120.0	HDAC4	0.0	-1
121.0	UBE2I	0.0	-1
242.0	GRIP1	0.0	-1
242.0	GRIA2	0.0	-1
-1	APC	-1	-1
122.0	CTNNA1	0.0	-1
19.0	CBL	0.0	-1
19.0	MST1R	0.0	-1
123.0	ERBB4	0.0	-1
123.0	WWOX	0.0	-1
5.0	MED14	0.0	-1
5.0	CDK8	0.0	-1
243.0	ARPC5L	0.0	-1
-1	ARPC2	-1	-1
8.0	PSMB6	0.0	-1
8.0	PSMA4	0.0	-1
244.0	MAD1L1	0.0	-1
244.0	SIN3B	0.0	-1
37.0	SERPINA5	0.0	-1
37.0	F2	0.0	-1
124.0	MCM4	0.0	-1
6.0	CDK2	0.0	-1
125.0	THBD	0.0	-1
125.0	PROC	0.0	-1
126.0	SH3GL2	0.0	-1
126.0	AMPH	0.0	-1
-1	COL1A2	-1	-1
127.0	HSPA4	0.0	-1
68.0	EGFR	0.0	-1
128.0	DMD	0.0	-1
128.0	PGM5	0.0	-1
129.0	PELP1	0.0	-1
129.0	SENP3	0.0	-1
245.0	SMARCB1	0.0	-1
130.0	SMARCD1	0.0	-1
