Gene	Count
FBXO4	14
BRD7	51
POLL	250
CYP4A11	15
CYP4F2	25
SOX1	71
GSPT1	17
LDB2	10
SSBP3	2
DDX51	2
CROCC	4
CAMP	8981
ZNF155	0
TMEM203	0
CASP5	42
RHBDF1	3
UHMK1	5
UBQLN4	2
CDCA7L	11
RAB21	17
MACF1	17
SAP18	6
DOCK3	13
HM13	2
USP14	45
HMG20B	10
ERP27	0
NCDN	0
PPME1	4
VDAC3	9
MND1	7
GLRX	10
CHPF	2
CKAP4	556
AEN	12
RBL1	202
LRRC32	14
MOB1A	17
RADIL	13
ASB8	2
TIGD4	0
ZNF490	1
SNAP91	1
SEMG2	1
SLC39A2	6
SHB	44
PALD1	1
DVL1P1	0
POM121C	0
FNBP4	2
SREK1	0
DGKA	3
NRM	454
FGF22	4
FGFBP1	47
CDC37L1	2
KIAA1468	2
ZHX2	20
ZHX1	6
JTB	26
IL17RE	0
IL20RB	2
SUPT7L	0
EIF1	6
SIGIRR	19
FGR	186
SEC22B	7
MPST	6
ATP6V1D	1
NUDCD1	8
PLD3	5
UBLCP1	0
SRP19	4
ATP6V1C1	9
GALM	50
UEVLD	0
VAMP4	7
VTI1B	2
TRHDE	2
REG3A	15
EBF3	21
SCAMP2	0
SLC9A7	2
TAB3	14
ZKSCAN2	0
QPCTL	1
URGCP	14
CYTH3	0
PTPRU	15
NUDT21	2
CWC27	1
CCL13	24
VAMP5	1
ATP4A	11
LMAN2	3
MAL2	26
HDX	24
GTF2H2	3
TDG	114
ARRB1	12
GZMM	11
ZNF398	0
C1orf109	2
KIFC3	4
PPFIA4	0
KLRC3	7
SLC30A9	4
ZNF599	0
CMTM5	13
SEC22A	2
CEP68	3
CLIP4	7
GMIP	4
TSC22D2	3
SESN2	40
NEIL2	31
H2AFB1	0
ZNF382	7
MYT1	46
WBP2	9
WASH2P	0
CLIP3	0
LPCAT1	12
YOD1	4
RABAC1	4
RAB17	7
LSM12	0
HPDL	3
CDC16	39
CDC23	19
ANAPC15	1
CDR2	205
ANAPC11	10
ANAPC10	9
AJAP1	24
CDC26	2
ANAPC1	18
ANAPC4	6
GABRR1	1
WDR83	1
CMTM3	15
DUSP22	28
TNRC6A	7
GTF2H3	4
GTF2H4	4
RPA4	3
ORAOV1	25
RAD1	112
PDS5B	22
KIF13A	5
CDCA5	31
NAF1	10
BLID	185
MEX3D	2
SPSB2	1
PARP10	2
OARD1	0
CNTRL	9
ATF7	7
TAOK3	2
MITD1	0
TMEM131	1
CST4	2
TCEAL9	0
FAM192A	0
RHOU	27
NOXA1	17
ATG9A	16
DUSP26	16
FBXO31	17
CXXC5	13
ATMIN	18
ITGB7	10
BARHL1	3
ONECUT1	23
HIPK2	143
NME5	6
TFIP11	0
PPP1R16A	2
METTL17	1
ERAS	445
SMPD2	2
ANAPC2	12
TAS2R13	2
NINL	2
TPPP	6
CCDC124	0
HOXB6	27
GZMK	11
ANP32C	5
DERL2	4
SVIP	1
SNED1	2
OST4	1
EPS8L1	1
EPS8L2	2
TIPRL	4
SNRPF	81
BEX1	26
NSMCE3	0
KIDINS220	17
ADAM2	11
LALBA	0
LBH	33
DNTTIP2	0
SLTM	3
ATRAID	0
