gene	rank
CYP4A11	4
CYP4F2	4
GSPT1	6
TNRC6A	8
CROCC	9
PTPRU	10
CAMP	11
ZNF155	12
ONECUT1	13
TMEM203	14
CASP5	16
RHBDF1	19
UHMK1	20
UBQLN4	21
PIP4K2B	22
CDCA7L	23
EIF1	25
DOCK3	26
TOM1	28
HM13	29
USP14	30
ERP27	31
NCDN	32
VDAC3	33
MND1	34
GLRX	35
UBLCP1	36
ANAPC11	38
AJAP1	38
CKAP4	39
CHPF	39
AEN	39
SMARCC2	40
DDX51	40
LRRC32	41
IK	42
LDB2	44
NAF1	45
SHB	46
SLC39A2	46
DVL1P1	48
POM121C	48
FNBP4	49
NRM	50
FGF22	51
FGFBP1	51
ZHX2	52
ZHX1	52
JTB	54
ZNF398	55
C1orf109	55
PPFIA4	56
KLRC3	56
SLC30A9	56
OARD1	57
IL20RB	58
CEP68	59
SIGIRR	60
SEC22B	62
MPST	62
YOD1	63
PPME1	64
PLD3	66
GALM	67
UEVLD	67
VAMP4	68
VTI1B	68
TAS2R13	70
TAB3	71
PDS5B	72
KIF13A	72
QPCTL	73
ZKSCAN2	73
TIGD4	75
CWC27	76
NUDT21	76
ADPRH	77
CDC37L1	78
GZMM	79
ZNF599	80
CMTM5	80
RASAL2	81
KATNAL2	81
H2AFB1	82
ZNF382	82
CCDC124	84
ANP32C	84
GZMK	84
WBP2	86
CLIP3	87
WASH2P	87
RAB17	88
ATP6AP1	89
MEX3D	90
BLID	90
BTN1A1	91
KAT7	91
ZFYVE19	92
AHCYL1	92
UNK	92
UFC1	92
PPIL3	92
SRXN1	92
USP34	92
TMEM131	93
FAM192A	93
TCEAL9	93
CST4	93
PLPP2	94
SPERT	94
TPRG1L	94
SLC25A23	94
RRBP1	94
NDFIP2	94
CPNE7	95
USP53	95
NME5	96
HDX	97
PPP1R16A	98
METTL17	98
TFIP11	98
HNRNPD	99
PAIP2	99
ILF3	99
SMPD2	100
IL17RE	101
CNTRL	102
CLIP1	103
CLIP4	103
GMIP	104
ATP6V0A1	105
EPS8L1	106
EPS8L2	106
ATF7	108
MITD1	108
TAOK3	108
ARHGAP45	109
CFAP43	109
CBY1	109
SCPEP1	109
PDIA4	109
PAPOLA	109
PLEKHO2	109
ISOC1	109
PROSC	109
RPA4	110
RAD1	110
YAE1D1	110
KCNJ3	111
MR1	112
MEX3A	112
SPSB2	113
BEX1	114
ADAM2	116
LBH	116
SLTM	117
ATRAID	117
PPP4R3A	117
UBA52	118
CUTA	119
CHRAC1	119
UBE2J1	120
SNED1	120
OST4	120
LMF2	121
FOXRED2	121
EMILIN2	121
P3H4	121
EDEM3	121
FUCA2	121
KIAA1161	121
PTGFRN	121
FBXO31	122
CXXC5	122
ATMIN	122
DCLRE1A	122
PCED1A	123
MYRIP	123
SH2D3C	123
HTR1F	123
TRIM10	124
TRIM38	124
UBE2D4	124
UBTD1	124
RNF26	124
NFX1	125
UBE2D2	125
RNFT1	125
RNF151	125
KIN	126
TSC22D2	127
SESN2	127
NEIL2	127
GRIK4	128
MRAP2	129
HP1BP3	130
TARSL2	131
PELI2	131
CTAGE5	131
MEDAG	131
PRPSAP1	131
DUPD1	131
GCN1	131
TMEM109	131
OR10J1	131
BPNT1	131
NAA50	131
NUDT11	131
TTC27	132
MTFP1	132
BRF2	132
PDXDC2P	132
NDUFA6	133
ARL1	133
ARMC6	133
TUBGCP4	133
PHLDA3	133
DBNL	134
LGALSL	134
NSFL1C	134
ANKRD13B	135
KCTD9	135
TMCO3	135
SH3D21	135
PLCH1	135
ODF3L2	135
C11orf84	135
DNAJC4	135
GEMIN6	135
BHLHE41	136
APOBEC3G	136
IL18BP	136
FAM208A	137
GTF2F2	137
MAN1A2	137
VAMP5	138
MAL2	138
LMAN2	138
ELOF1	139
SNRK	139
RNF187	139
CITED1	139
ZMYM4	140
LIMS1	140
AUP1	141
WLS	141
KCNF1	141
DOK4	141
DOK5	141
DZIP3	142
TRABD	142
TNRC18	142
GSE1	142
GLIPR2	142
LONP2	143
CNP	143
DHRS4	143
ATAD1	143
SLC27A2	143
RPS4Y1	144
HIST1H2BN	144
HIST1H2BH	144
RNF20	144
TUBE1	144
YBX2	144
CCDC89	145
C4BPA	145
FRS3	145
FOXL1	145
NT5DC2	147
VPS37D	147
SH2D3A	147
MVB12A	147
ATP6V1C2	148
SFI1	148
C1orf35	148
GOLGA2	148
ITPKB	148
PTBP2	148
FBXO28	148
UBE2U	148
GUSBP1	149
PTPRS	149
PAFAH1B3	149
BCAN	150
SOWAHC	150
FAM135A	150
SLC22A11	151
CAPN6	151
ARHGAP17	151
NUDT9	152
ZBTB1	152
CWC25	152
ZNF766	152
ZNF133	152
ERICH3	152
MGEA5	152
TMEM87A	152
TSPAN13	153
ATP13A1	153
C18orf32	153
MFSD5	153
CEND1	153
NCAPD3	154
NOL9	154
DHX37	154
TCF7	155
ERMN	155
AHCTF1	155
NEURL2	155
BCCIP	155
ZBTB33	155
RBM39	155
RPL41	155
HCN2	156
ASB16	156
PCDHA7	156
SNX12	156
KIFC2	156
NPVF	156
TULP4	156
GPR45	156
OSBPL5	156
TMEM74B	156
NFASC	156
CHRD	156
AMMECR1L	157
ARHGAP6	157
GPR142	157
GAS2L2	157
CTSO	157
NKD2	157
RASL11B	157
ARHGEF16	157
LNX1	157
GJD4	157
MRPS24	157
ZADH2	157
CAMK2N2	157
FAM234A	158
DNAJB12	158
PDIA5	158
KEL	158
TM9SF1	158
POTEI	158
KBTBD3	158
FAM83F	158
MED21	159
MED20	159
MED26	159
ICE1	159
MED6	159
MED7	159
MED9	159
MED10	159
MED11	159
MED13	159
MED18	159
ELL2	159
POLR2F	159
POLR2L	159
POLR2I	159
POLR2K	159
ILDR2	160
KIAA0930	160
SHROOM1	160
REEP4	160
CDC42BPG	160
FAM117B	160
MAP4K5	161
ISG20L2	161
EPS15	161
APOL5	161
PHACTR2	161
EFS	161
GLTSCR1	161
LRRC3	161
DUSP15	161
CKAP5	161
ZNF721	162
LTBP1	162
TBRG1	162
IRGQ	162
FRAT1	162
TXNDC11	162
CNTNAP5	162
IGSF22	162
OMA1	162
DNAJC18	162
ISL2	163
ANP32D	163
GGPS1	163
CCDC94	163
CYP4F11	163
CGREF1	163
FOXF2	163
DMTF1	163
METTL7B	163
ABHD2	163
RAB40A	163
UBE4B	163
C22orf46	163
PID1	163
CD1E	163
MYADM	163
MIIP	163
EPHB1	163
MLLT11	163
KRTAP12-1	163
ITM2C	163
LINC01587	163
KDM3A	163
CLK4	163
ALKBH1	163
HTN3	163
CRYGA	163
CITED4	163
ASH1L	163
ART4	163
COLGALT2	163
CAMK1G	163
CLPS	163
C1orf21	163
LRRC29	163
DYDC2	163
ANKRD7	163
CPNE6	163
C1GALT1	163
TTLL3	163
SLN	163
C1QTNF2	163
RBM6	164
WBSCR22	164
ANP32E	164
ATRNL1	164
ZMYM6	164
AMY2B	164
MARK3	164
TRO	164
EDF1	164
CABP1	164
RRP12	164
NPIPA1	164
KLHL20	165
CCDC106	165
RIF1	165
ANKRD24	165
PLEKHA4	165
PSG9	165
FRYL	166
QSOX2	166
SMCR8	166
RBMXL3	166
NOP14	166
MMS19	166
WDR41	166
ARF3	166
