gene	z-value	credibility
GSTA3	6.101	3.1
DDX53	5.543	2.8
CDX1	5.418	2.7
CDX2	5.365	2.7
FGR	4.991	2.5
TXK	4.901	2.5
ATP4A	4.736	2.4
ATP12A	4.735	2.4
RGPD4	4.707	2.4
BRD7	4.703	2.4
RPL39L	4.702	2.4
DNAJB7	4.684	2.3
RRP8	4.548	2.3
IL3RA	4.419	2.2
MYF5	4.388	2.2
LINC00312	4.365	2.2
HIST2H2AB	4.355	2.2
OCM2	4.353	2.2
SSBP3	4.329	2.2
RPL10A	4.321	2.2
ANXA8L1	4.304	2.2
GOLT1B	4.199	2.1
SSX3	4.138	2.1
EVA1A	4.071	2.0
SKP1	4.052	2.0
MAP2K4	4.041	2.0
KIAA1524	4.014	2.0
HSD17B11	4.008	2.0
BCL3	3.991	2.0
ERAS	3.989	2.0
MLLT1	3.975	2.0
PREB	3.914	2.0
KRT35	3.904	2.0
EMILIN1	3.882	1.9
CKS1B	3.87	1.9
MYT1	3.854	1.9
EIF5B	3.769	1.9
IBTK	3.724	1.9
HLX	3.718	1.9
TOP3B	3.718	1.9
RPS16	3.718	1.9
ORAOV1	3.704	1.9
MIS18BP1	3.69	1.8
ALDOC	3.689	1.8
HNRNPC	3.688	1.8
NUP107	3.675	1.8
PNMT	3.668	1.8
TSKS	3.667	1.8
SYNGR3	3.664	1.8
FBXL3	3.66	1.8
ZNF217	3.659	1.8
PDZD11	3.655	1.8
KAT5	3.653	1.8
TCL1A	3.653	1.8
DUSP22	3.647	1.8
ATP6V1C1	3.644	1.8
NUDT14	3.634	1.8
H2AFV	3.63	1.8
H2AFY2	3.621	1.8
RPS13	3.614	1.8
H2AFJ	3.603	1.8
HIST1H2AD	3.585	1.8
PSMC6	3.534	1.8
DDX10	3.528	1.8
LAP3	3.524	1.8
FMNL3	3.511	1.8
CDH16	3.509	1.8
DIRAS3	3.505	1.8
PCDHA4	3.469	1.7
HIPK2	3.467	1.7
MAP4K4	3.467	1.7
LRIG1	3.461	1.7
DCUN1D5	3.434	1.7
ING4	3.432	1.7
IFITM2	3.431	1.7
FHOD1	3.421	1.7
RFC5	3.414	1.7
NEDD8	3.414	1.7
IARS	3.413	1.7
MAP7	3.413	1.7
TRHDE	3.406	1.7
RPL7	3.4	1.7
SH3RF2	3.397	1.7
TIE1	3.394	1.7
FAM50A	3.391	1.7
LALBA	3.39	1.7
TP53BP2	3.388	1.7
RPS5	3.385	1.7
RAD17	3.369	1.7
ZNF510	3.361	1.7
POLL	3.356	1.7
S100G	3.346	1.7
CHMP2A	3.339	1.7
EPHA3	3.333	1.7
FXR1	3.33	1.7
PIM3	3.323	1.7
TMEM207	3.321	1.7
ZNF444	3.315	1.7
NUDCD1	3.311	1.7
CDK8	3.299	1.6
ITGB7	3.296	1.6
ZRANB2	3.292	1.6
SAMD4B	3.291	1.6
TDG	3.289	1.6
INSC	3.286	1.6
REG3A	3.274	1.6
TRAT1	3.273	1.6
CSE1L	3.271	1.6
CXXC1	3.269	1.6
CYP51A1	3.266	1.6
POLM	3.264	1.6
SIRT5	3.263	1.6
CRCT1	3.256	1.6
IL17RB	3.245	1.6
KIDINS220	3.243	1.6
UBE2D1	3.239	1.6
PREX2	3.225	1.6
LPAR3	3.212	1.6
ZC3H7B	3.21	1.6
KIAA1468	3.207	1.6
CHD1	3.201	1.6
PPP1R15A	3.184	1.6
YPEL3	3.171	1.6
ZNF639	3.165	1.6
SUMO2	3.164	1.6
DDX21	3.162	1.6
EPHB3	3.158	1.6
ZNF687	3.157	1.6
SOX1	3.155	1.6
LMTK3	3.144	1.6
KRT38	3.139	1.6
CAMKV	3.124	1.6
KLHL34	3.121	1.6
BRMS1	3.118	1.6
HGS	3.117	1.6
URGCP	3.115	1.6
ABL2	3.115	1.6
RAP1GDS1	3.104	1.6
RALB	3.099	1.5
TNFRSF17	3.096	1.5
SCHIP1	3.095	1.5
TRAM2	3.084	1.5
MACROD1	3.08	1.5
NOMO2	3.073	1.5
HOXC6	3.07	1.5
RABAC1	3.062	1.5
POLR2D	3.054	1.5
SAP18	3.05	1.5
ASB8	3.035	1.5
PTP4A2	3.033	1.5
TFDP3	3.028	1.5
YTHDC1	3.027	1.5
STARD7	3.024	1.5
BST2	3.02	1.5
NUP160	3.001	1.5
