COSMIC_ID	COSMIC_GENE_NAME	Entrez_id	HGNC_ID	mutated?	Cancer_census?
2	BRAF	673	1097	y	y
3	HRAS	3265	5173	y	y
4	KRAS	3845	6407	y	y
5	NRAS	4893	7989	y	y
6	CEBPA	1050	1833	y	y
8	CTNNB1	1499	2514	y	y
9	FGFR3	2261	3690	y	y
10	FLT3	2322	3765	y	y
11	KIT	3815	6342	y	y
13	PDGFRA	5156	8803	y	y
14	PIK3CA	5290	8975	y	y
15	PTEN	5728	9588	y	y
16	RB1	5925	9884	y	y
17	RET	5979	9967	y	y
18	SMARCB1	6598	11103	y	y
19	SUFU	51684	16466	y	y
33	ABL1	25	76	y	y
34	ABL2	27	77	y	y
37	ACVR1	90	171	y	y
47	AKT2	208	392	y	y
50	ALK	238	427	y	y
59	ATM	472	795	y	y
63	BCR	613	1014	y	y
66	BMPR1A	657	1076	y	y
71	BRD3	8019	1104	y	y
72	BRD4	23476	13575	y	y
76	BUB1B	701	1149	y	y
102	CDK4	1019	1773	y	y
104	CDK6	1021	1777	y	y
122	CDK12	51755	24224	y	y
150	EGFR	1956	3236	y	y
165	ERBB2	2064	3430	y	y
166	ERBB3	2065	3431	y	y
167	ERBB4	2066	3432	y	y
174	FGFR1	2260	3688	y	y
176	FGFR4	2264	3691	y	y
188	FLT4	2324	3767	y	y
189	MTOR	2475	3942	y	y
216	IKBKB	3551	5960	y	y
225	ITK	3702	6171	y	y
229	JAK3	3718	6193	y	y
231	KDR	3791	6307	y	y
242	LCK	3932	6524	y	y
253	MAP2K1	5604	6840	y	y
254	MAP2K2	5605	6842	y	y
256	MAP2K4	6416	6844	y	y
263	MAP3K13	9175	6852	y	y
265	MAP3K1	4214	6848	n	y
336	NTRK1	4914	8031	y	y
338	NTRK3	4916	8033	y	y
351	PDGFRB	5159	8804	y	y
371	PRKACA	5566	9380	y	y
402	PTK6	5753	9617	y	y
407	CHEK2	11200	16627	y	y
408	RAF1	5894	9829	y	y
418	ROS1	6098	10261	y	y
446	STK11	6794	11389	y	y
472	SYK	6850	11491	y	y
493	TGFBR2	7048	11773	y	y
501	TP53	7157	11998	y	y
504	TRIM33	51592	16290	y	y
508	TRRAP	8295	12347	y	y
573	CDKN2A	1029	1787	y	y
578	GATA1	2623	4170	y	y
579	SMO	6608	11119	y	y
580	NOTCH1	4851	7881	y	y
581	NPM1	4869	7910	y	y
582	PTPN11	5781	9644	y	y
621	ARID1A	8289	11110	y	y
626	BLM	641	1058	y	y
627	BRCA1	672	1100	y	y
628	BRCA2	675	1101	y	y
656	CHD4	1108	1919	y	y
665	CREBBP	1387	2348	y	y
673	DDB2	1643	2718	y	y
684	EP300	2033	3373	y	y
686	ERCC2	2068	3434	y	y
687	ERCC3	2071	3435	y	y
688	ERCC4	2072	3436	y	y
689	ERCC5	2073	3437	y	y
693	FANCA	2175	3582	y	y
694	FANCC	2176	3584	y	y
695	FANCD2	2177	3585	y	y
696	FANCE	2178	3586	y	y
697	FANCF	2188	3587	y	y
698	FANCG	2189	3588	y	y
706	GMPS	8833	4378	y	y
745	MLH1	4292	7127	y	y
749	MSH2	4436	7325	y	y
753	MSH6	2956	7329	y	y
756	MUTYH	4595	7527	y	y
