geneID	score
IFNA2	0.12
MTTP	0.490867606404876
DLL3	0.121085767488321
COL8A1	0.12
SLC31A1	0.12
ADRBK1	0.12
EYA1	0.120814325616241
FMR1	0.121085767488321
FOLR1	0.12027144187208
NOTCH1	0.121628651232482
SALL1	0.121357209360402
SIX1	0.120542883744161
KLF4	0.12
CRISP3	0.12
FST	0.12
CEACAM5	0.12
IFI44	0.12
SPAG5	0.12
CD226	0.12
DIAPH2-AS1	0.12
IL24	0.12
COL1A1	0.12
COL1A2	0.12
COL4A6	0.12
COL5A1	0.12
COL5A2	0.12
COL6A1	0.12
COL6A3	0.12
COL9A2	0.12
COL13A1	0.12
CSF3	0.12
CYP1A1	0.122367031978602
CYP24A1	0.12
DHFR	0.12
ECM2	0.12
AGTR1	0.122724350242467
ECM1	0.12
EMP1	0.12
FGF7	0.12
MAPRE3	0.12
FN1	0.12
SDF2L1	0.12
FLRT3	0.12
ALPPL2	0.12
IFI6	0.12
FETUB	0.12
CHIA	0.12
GLS	0.12
HABP2	0.12
HSD17B1	0.12
IFI35	0.12
IFNA10	0.12
IGF1	0.122367031978602
APOE	0.122367031978602
IGF2	0.122724350242467
IGFBP1	0.12
IGFBP3	0.122367031978602
IGFBP6	0.12
IL1B	0.122367031978602
IL5RA	0.12
IL6	0.124734063957204
IL9	0.12
IL11	0.12
IL12B	0.12
IL16	0.12
INHA	0.12
CXCL10	0.12
ITGB4	0.12
ITGB6	0.12
JAK2	0.12
CD82	0.12
LAMA4	0.12
LGALS3	0.12
LIF	0.122367031978602
ARNT	0.12
MAP2	0.12
MGAT2	0.12
MGP	0.12
MMP7	0.12
MMP11	0.12
MMP12	0.12
MMP15	0.12
MMP19	0.12
MUC4	0.12
CEACAM6	0.12
NCAM1	0.12
PAEP	0.12
ACKR4	0.12
PGF	0.12
IL20RA	0.12
PCDHA3	0.12
PRLR	0.12
MMP26	0.12
KLK10	0.12
LGALS14	0.12
PTGIS	0.12
PTHLH	0.12
ACE2	0.12
RBP4	0.12
SERPINB3	0.12
SERPINB4	0.12
CEACAM1	0.12
SST	0.12
TFRC	0.122367031978602
TGFB1	0.122367031978602
TGFBI	0.12
TGFBR1	0.12
