gene_names	scores
A2M	1
ABCC4	1
ABCE1	1
ABCG2	1
ABHD9	1
ACACA	1
ACAT1	1
ACAT2	1
ACE	1
ACOX3	1
ACPP	1
ACSL3	1
ACSL4	1
ACTN4	1
ACVR2A	1
ADAM10	1
ADAM15	1
ADAM17	1
ADAM9	1
ADAMTS1	1
ADAMTS15	1
ADAMTS5	1
ADAMTS9	1
ADCYAP1	1
ADCYAP1R1	1
ADI1	1
ADIPOQ	1
ADIPOR1	1
ADIPOR2	1
ADM	1
ADRA1A	1
AGER	1
AGR2	1
AHR	1
AIFM1	1
AKR1C3	1
AKT1	1
AKT2	1
ALCAM	1
ALKBH3	1
ALOX12	1
ALOX15B	1
ALOX5	1
ALPL	1
AMACR	1
AMH	1
ANG	1
ANO7	1
ANXA1	1
ANXA2	1
AOF2	1
APC	1
APOE	1
AQP3	1
AR	1
AREG	1
ARG2	1
ARL11	1
ASAH1	1
ATF3	1
ATM	1
ATP6V1F	1
AZGP1	1
BAD	1
BAG1	1
BAX	1
BCAR1	1
BCL2	1
BCL2L1	1
BIN1	1
BIRC3	1
BIRC5	1
BMI1	1
BMP2	1
BMP4	1
BMP6	1
BMP7	1
BMPR1B	1
BMPR2	1
BMX	1
BRAF	1
BRCA1	1
BRCA2	1
BSG	1
BTRC	1
C17orf93	1
C8orf17	1
CACNA1H	1
CADM1	1
CADM4	1
CAPN1	1
CARM1	1
CAV1	1
CCL2	1
CCL5	1
CCNA1	1
CCNB1	1
CCND1	1
CCND3	1
CCR1	1
CCR2	1
CCR5	1
CCR9	1
CD164	1
CD40	1
CD44	1
CD55	1
CD74	1
CD82	1
CD9	1
CDC2	1
CDC25A	1
CDC25B	1
CDC25C	1
CDC6	1
CDCP1	1
CDH1	1
CDH13	1
CDH2	1
CDK5	1
CDK5R1	1
CDK6	1
CDKN1A	1
CDKN1B	1
CDKN2A	1
CEACAM1	1
CEBPD	1
CFLAR	1
CHAF1A	1
CHEK1	1
CHEK2	1
CHGA	1
CHI3L1	1
CHIT1	1
CHUK	1
CLDN7	1
CLPTM1	1
CLU	1
CNR1	1
CNR2	1
COMT	1
COPE	1
COX6C	1
CPNE3	1
CREB1	1
CREB3L4	1
CREBBP	1
CRISP3	1
CRK	1
CSK	1
CSMD1	1
CSNK2A1	1
CST3	1
CTAG1B	1
CTNNB1	1
CTSB	1
CTSH	1
CTSK	1
CX3CR1	1
CXCL10	1
CXCL12	1
CXCR3	1
CXCR4	1
CYP17A1	1
CYP19A1	1
CYP1A1	1
CYP1B1	1
CYP24A1	1
CYP27B1	1
CYP2B6	1
CYP3A4	1
CYP3A43	1
CYP3A5	1
CYP7B1	1
CYSLTR1	1
DAB2	1
DAB2IP	1
DAG1	1
DCC	1
DCD	1
DCXR	1
DDIT4	1
DDR1	1
DEFB1	1
DKK3	1
DNMT1	1
DNMT3A	1
DNMT3B	1
DPP4	1
DPYD	1
DRG1	1
DSPP	1
DVL1	1
E2F1	1
E2F3	1
EAF2	1
EBAG9	1
EDN1	1
EDNRA	1
EGF	1
EGFR	1
EGR1	1
EHF	1
EIF3H	1
EIF4EBP1	1
ELK1	1
ENG	1
ENO1	1
ENTPD5	1
EP300	1
EPAS1	1
EPHA2	1
EPHB4	1
EPO	1
EPOR	1
ERBB2	1
ERBB3	1
ERBB4	1
ERCC1	1
ERCC2	1
ERG	1
ERGIC2	1
ESR1	1
ESR2	1
ESRRA	1
ESRRB	1
ETS1	1
ETV1	1
ETV4	1
ETV5	1
EZH2	1
F2R	1
F2RL1	1
F2RL3	1
F3	1
FAM48A	1
FAS	1
FASN	1
FDFT1	1
FGF2	1
FGF6	1
FGF8	1
FGFR2	1
