gene_names	score
RNF14	0.5
NPBWR1	0.5
FHIT	1.0
HSPA5	0.5
SUMO1	0.5
NIPA2	0.5
HIST1H4H	0.5
PRPF8	0.5
HIPK3	0.5
PURA	0.5
B2M	0.5
LIFR	0.5
TYK2	0.5
HPSE2	0.5
LGALS1	0.5
ADIPOQ	0.5
CYP3A43	1.0
SRY	0.5
PIK3CA	0.5
PIK3CD	0.5
PIK3CG	0.5
SLC43A1	0.5
PCBP2	0.5
IRAK4	0.5
IL18	1.0
IGF1R	0.5
NPR3	0.5
LHB	0.5
ALOXE3	0.5
MUC2	0.5
MUC1	0.5
SP5	0.5
SLC45A3	0.5
MUC4	1.0
EHF	1.0
GC	0.5
TGFB1I1	0.5
SULT1E1	0.5
CXCL10	0.5
CYP3A4	1.0
CYP3A5	1.0
BMX	0.5
ADRA1A	0.5
PTRH2	0.5
FOXA2	0.5
LMTK2	0.5
CCND1	1.0
FDFT1	0.5
CCND3	0.5
CCND2	0.5
AHR	1.0
PTEN	1.0
NPY	0.5
CSRP1	0.5
STARD3	0.5
CTBP2	0.5
CLDN7	1.0
MAL	0.5
RLN1	0.5
MMP14	0.5
GSTM3	1.0
RLN2	1.0
MMP12	0.5
MMP13	0.5
CDKN1B	1.0
CDKN1A	1.0
ANO7	0.5
WFDC1	0.5
ITGA5	0.5
HSP90B1	0.5
ITGA7	0.5
ATP6V1F	0.5
SLC30A4	0.5
BAZ2A	0.5
TST	0.5
SERPINE1	1.0
PLG	0.5
APOE	0.5
MST4	0.5
CAV2	0.5
CX3CR1	0.5
WWOX	0.5
JAK2	0.5
CYP27B1	0.5
CDC25B	0.5
SPP1	0.5
GDF15	1.0
TOPORS	0.5
NR1H3	0.5
HMMR	0.5
PDLIM5	0.5
FAF2	0.5
DNASE1L2	0.5
UCK2	0.5
CHUK	0.5
SENP1	0.5
SRD5A3	0.5
PPARG	0.5
TGFBI	0.5
VEGFA	1.0
VEGFC	0.5
PPARA	1.0
SLC39A1	1.0
SGTA	0.5
WDR19	0.5
BNIP3	0.5
IGFBP2	0.5
GSTO1	0.5
KCNH2	0.5
CTSH	0.5
SPDEF	0.5
PSAP	0.5
ITGAV	0.5
INS	1.0
GPX3	0.5
IGFBP1	0.5
RECK	0.5
GRHPR	0.5
SLC22A3	0.5
IL11RA	0.5
