geneID	score
COL8A1	0.12
EYA1	0.120814325616241
CRISP3	0.12
FST	0.12
SPAG5	0.12
COL1A1	0.12
DHFR	0.12
FGF7	0.12
IGFBP3	0.122367031978602
IGFBP6	0.12
IL6	0.124734063957204
MGP	0.12
MMP11	0.12
CEACAM1	0.12
F5	0.191725595885791
SLC4A1	0.142337685683898
SLC4A4	0.128173050727402
ANG	0.12
ESR1	0.133873330041088
APC	0.146022200936245
MKI67	0.129530260087803
PGR	0.122714418720803
AZGP1	0.125448700484934
PTEN	0.156115207811537
SMARCC1	0.12
CYP1B1	0.122367031978602
AMACR	0.128901499951858
CACNA1D	0.120814325616241
CGA	0.12
CYP17A1	0.122714418720803
EZH2	0.12027144187208
CP	0.12
GPC5	0.12
LEPR	0.122367031978602
CD38	0.12
GABRG2	0.134745075615773
SNCA	0.123810117730788
SRD5A2	0.12
APOC1	0.152300377865798
FUS	0.185991507612158
GSTP1	0.122724350242467
TYMS	0.120542883744161
GDF15	0.12
KIF11	0.12
STRA6	0.129444383696018
MAOA	0.126710101931887
CRP	0.12
MMP9	0.129248886694059
LAMC1	0.12
MMP2	0.12
FSTL1	0.12
TGFB2	0.12
GSTA4	0.12
DPP4	0.12
GATA3	0.240542883744161
GC	0.122909915722763
LCN2	0.12
RAB8A	0.12
TNFRSF11B	0.138878835870372
BGN	0.12
BMP6	0.12027144187208
ADRB2	0.268774108852958
IL4	0.354745830038725
ARG2	0.126634157061766
BGLAP	0.12
CCL2	0.214278136741733
PLA2G7	0.123181357594843
EGR3	0.12
CYP27A1	0.123810117730788
SERPINE1	0.144884232796193
CAV1	0.24
ABAT	0.122638473850682
EN2	0.222007992813484
HRAS	0.122909915722763
LASP1	0.122638473850682
XDH	0.12
KDM5C	0.120814325616241
CUL7	0.12
HMGCR	0.12
HSPA9	0.12
C1S	0.12
ENPP2	0.12
PSCA	0.128805692038409
ANPEP	0.12
MT1A	0.12
MYC	0.125720142357015
NAT1	0.13254979642074
JAG1	0.12
TRPS1	0.12027144187208
AKT1	0.150401489672994
RAD51	0.215831721849207
BRCA1	0.36
BRCA2	0.48
PRC1	0.120814325616241
POSTN	0.12
PBX1	0.120542883744161
LDHB	0.12027144187208
FOXM1	0.122171534976642
GSTM2	0.120814325616241
BIRC5	0.124885953697445
NOTCH3	0.121628651232482
SHMT2	0.12
ALDH1A1	0.120542883744161
PGK1	0.12
SFRP2	0.123538675858708
ITGA5	0.123810117730788
OCLN	0.12
KRT15	0.12
MUC1	0.12
YY1	0.12
RPE65	0.12
SULT1A1	0.12
CD151	0.12
SMAD4	0.12
MCM2	0.122724350242467
NOX4	0.12
S100A9	0.12
FLNC	0.12
ABCA5	0.12
GSTM3	0.12
RRM2	0.12
SFRP4	0.122724350242467
BUB1B	0.125991584229095
TK1	0.122724350242467
PRG4	0.12
IGSF1	0.12
VCAN	0.12
ASPM	0.12
GAS6	0.12
NFIB	0.124071628081205
DTL	0.12
SOX4	0.122724350242467
TOP2A	0.12
CDKN3	0.12
STAT6	0.12516732709119
CD44	0.12
C2	0.12
CPT1A	0.12027144187208
MAP3K5	0.120814325616241
THBS2	0.12
MFGE8	0.12
PRKCA	0.12
S1PR4	0.12
ERBB3	0.160315488506355
COL4A1	0.12027144187208
VDAC1	0.12
MME	0.12
THBS1	0.2
ARVCF	0.12
F3	0.123528744337044
ERG	0.12489588521911
TBXAS1	0.12
PENK	0.2
ATP8A2	0.12
HSD17B2	0.12
SEMA3F	0.12
STAR	0.122724350242467
SULT2B1	0.12
SMPDL3A	0.12
CYB5A	0.12
IL1R1	0.136445790543314
NTRK3	0.12
RGS4	0.12
SPARCL1	0.12
NRP1	0.12
MTA1	0.12
GREB1	0.240814325616241
PCDH7	0.12027144187208
MT1G	0.12
F12	0.568815623560073
F2R	0.12
FOXA1	0.12027144187208
MYLK	0.12
GMDS	0.12
CTSK	0.12027144187208
STMN1	0.120542883744161
PLK1	0.120814325616241
SMC4	0.12
KIF20A	0.12
CENPF	0.12
OIP5	0.12
TPX2	0.12
KPNA2	0.12
LMNB1	0.12
NUSAP1	0.12
CEP55	0.12
PBK	0.12
PROS1	0.12
RAB27A	0.12
DEGS1	0.12
IQGAP1	0.12
CCNB1	0.12
PTTG1	0.12
KIAA0101	0.12
DLGAP5	0.12
CDK1	0.12
CDC20	0.12
LPGAT1	0.12
PITX2	0.12
ITPR2	0.12
PLCG1	0.120814325616241
TFF3	0.12
SMAD2	0.12
CYP3A4	0.120542883744161
PPP3CB	0.12
PVRL1	0.12
SEMA3C	0.12027144187208
LTBP2	0.120542883744161
CES1	0.12
LIPH	0.131701795064445
HMGB1	0.130897400969869
CUL2	0.122367031978602
ASPN	0.12
INHBA	0.12
CRY1	0.12
SERPINA3	0.12
ASNS	0.12
YBX1	0.12
RNASE4	0.12
HSD17B6	0.12
HERC3	0.12
SQLE	0.12
DAB2IP	0.122724350242467
RAD54L	0.242367031978602
PTN	0.12
HOXB13	0.122995792114547
E2F1	0.132516120680686
TNFRSF19	0.122995792114547
SLC15A2	0.12
GSN	0.12
XRCC1	0.122367031978602
KCNN2	0.12027144187208
RNASEL	0.12
PTPRN2	0.12
PAGE4	0.12
KLK3	0.12
XRCC2	0.12
HSD17B12	0.124734063957204
MOXD1	0.12
SPINK1	0.125091382221069
KLF5	0.12
CDK7	0.12
SMC2	0.12
CYP4F12	0.12
ITGBL1	0.12
PAH	0.374728566641762
AGR2	0.125448700484934
ETV1	0.134978960572737
FOLH1	0.129258818215723
AOX1	0.12
HSD17B3	0.12
KLK2	0.138713133433405
NKX3-1	0.148319338391329
NUCB2	0.12
TPD52	0.127815732463536
BCAS1	0.12
GRIA3	0.12
EFNA5	0.12
UPP1	0.12
NEK2	0.12
MIB1	0.12
COPS5	0.12
DERL1	0.12
RARRES1	0.12
HDAC9	0.246905598933846
ZWILCH	0.12
CLTC	0.12027144187208
MEOX2	0.12
FEV	0.12
HMBS	0.63251821323529
IGSF6	0.12
IVD	0.12
MYBPC1	0.12
TPM2	0.480542883744161
SMYD3	0.12
EHHADH	0.12
COL10A1	0.12027144187208
EPPK1	0.12
WDR19	0.12027144187208
TMCC2	0.122367031978602
PIN1	0.12
ESRRG	0.12
CDON	0.12
MGST1	0.12
KIAA0196	0.240542883744161
PZP	0.12
SULF1	0.12027144187208
OPHN1	0.12571021083535
PLAG1	0.124071628081205
ITGA11	0.122367031978602
HIST1H1T	0.122367031978602
UBE2C	0.12
SFTPA2	0.48027144187208
CHRNA2	0.36
GRHL2	0.24
MCM4	0.24
GMNN	0.12
ATP5E	0.12
PGM5	0.12
ACPP	0.12
TFDP1	0.12
PDSS2	0.2
ACTN1	0.24
ENTPD1	0.12
RNF31	0.12
