geneName	score
AAAS	0.12
ABCC4	0.125448700485
ABCG5	0.12
ABO	0.12
ABR	0.120271441872
ACE	0.125091382221
ACHE	0.12
ACPP	0.12
ACRBP	0.12
ACSL4	0.12
ACSM3	0.12
ADAM9	0.128173050727
ADI1	0.122995792115
ADNP	0.12
ADRB2	0.122724350242
AFM	0.12
AGR2	0.125448700485
AHCYL2	0.12
AHR	0.12
AKR1C3	0.120135720936
AKT1	0.176658539826
ALAD	0.12
ALDH1A2	0.120271441872
ALOXE3	0.12
AMACR	0.153235086654
ANXA1	0.125448700485
ANXA3	0.12
ANXA4	0.12
AOX1	0.12
APC	0.125448700485
APEX1	0.12
APPL2	0.12
AR	0.241693517313
ARG2	0.122724350242
ARHGEF5	0.12
ARL6IP1	0.12
ARMC2	0.122367031979
ASZ1	0.12
ATAD3A	0.12
ATF3	0.122995792115
ATM	0.128087174336
ATP7B	0.12
AURKA	0.122367031979
AZGP1	0.122724350242
B2M	0.122724350242
B4GALT4	0.12
BAD	0.128715934472
BAIAP2L1	0.12
BAX	0.125448700485
BAZ2A	0.12
BCAS1	0.12
BCL2	0.145237669885
BGLAP	0.121085767488
BMP7	0.123267233987
BMPR1B	0.122724350242
BNIP3	0.120271441872
BRCA1	0.133173590796
BRCA2	0.173585928134
BRD4	0.12
C2orf43	0.122367031979
CALCA	0.126263026101
CALR	0.120271441872
CAPNS1	0.12
CASC17	0.12
CASC8	0.12
CASP9	0.122638473851
CAV1	0.140156219186
CAV2	0.12
CBR1	0.12
CBX1	0.12
CCAT2	0.12
CCHCR1	0.121183515989
CCND1	0.216531666935
CCND2	0.122995792115
CD82	0.131983168458
CD9	0.122724350242
CDH1	0.13743517945
CDH13	0.122724350242
CDK2AP2	0.120271441872
CDKN1A	0.144347399399
CDKN1B	0.138479663996
CDKN2B-AS1	0.120271441872
CEP152	0.12
CHEK2	0.174503829946
CIZ1	0.12
CLDN3	0.12
CLDN7	0.122724350242
CLDN9	0.12
CLIC4	0.12
CLPTM1L	0.12
CLU	0.216888985199
CNN3	0.12
COMT	0.12
CPNE3	0.122724350242
CREBBP	0.120271441872
CREG1	0.12
CRYAB	0.12
CRYL1	0.12
CSRP1	0.12
CST1	0.12
CST6	0.120271441872
CTBP2	0.138159902648
CTD-2194D22.4	0.12
CTNNB1	0.172118889394
CTSB	0.12
CTSD	0.12
CX3CL1	0.122724350242
CXCL12	0.147786386169
CXCL8	0.142880569428
CYP17A1	0.133535874821
CYP19A1	0.133264432948
CYP1A1	0.136617543327
CYP1B1	0.13089740097
CYP2A6	0.12
CYP2C18	0.12
CYP2C19	0.122724350242
CYP2E1	0.12
CYP3A4	0.122995792115
CYP3A43	0.122724350242
CYP3A5	0.130540082706
CYP7B1	0.122995792115
DAB2IP	0.128444492599
DAG1	0.122724350242
DCAF6	0.12
DCXR	0.122724350242
DDR1	0.122724350242
DEFB1	0.12
DEGS1	0.12
DHDH	0.12
DIABLO	0.12
DNAH12	0.12
DNAJC10	0.12
DNAJC3	0.12
DNASE1L2	0.12
DNMT1	0.121497896057
DNMT3B	0.122724350242
EAF2	0.122995792115
EBF2	0.12
EEFSEC	0.124734063957
EFEMP2	0.120271441872
EGF	0.143694895044
EGFR	0.143684963523
EGR1	0.130344585704
EHBP1	0.171136629858
EHF	0.123267233987
EI24	0.12
EIF2AK2	0.12
EIF3A	0.12
EIF3H	0.122724350242
ELAC2	0.169985973715
EMP1	0.12
EMP3	0.12
ENPP5	0.12
EPCAM	0.12
EPHB2	0.164046313124
EPHX1	0.12
EPS8L3	0.12
ERBB2	0.153496597004
ERBB3	0.133621751212
ERCC2	0.125091382221
ERG	0.161931158082
ERP29	0.12
ERP44	0.12
ESR1	0.169763729525
ESR2	0.174164634956
ETV1	0.134978960573
ETV4	0.125720142357
EZH2	0.145604919671
EZR	0.125448700485
FAF2	0.12
FARP2	0.12
FASLG	0.12
FBLN1	0.12
FBLN5	0.12
FBXO44	0.12
FERMT2	0.120271441872
FGF10	0.121319236925
FGF2	0.125991584229
FGF7	0.122995792115
FGFR4	0.128173050727
FHIT	0.128358616208
FOLH1	0.129258818216
FOXA1	0.122995792115
FOXA3	0.12
FOXC1	0.12
FOXP4	0.122774194787
GADD45A	0.122724350242
GALNT3	0.12
GCNT1	0.125448700485
GDF15	0.136888985199
GGT1	0.120271441872
GHR	0.122724350242
GJA1	0.122995792115
GNG5	0.12
GNMT	0.120271441872
GOLGA4	0.12
GOLPH3L	0.12
GPX3	0.12
GRB7	0.12
GREB1	0.122724350242
GRHL1	0.12
GRHPR	0.12
GRPR	0.123267233987
GSK3B	0.128444492599
GSTA1	0.122724350242
GSTCD	0.12
GSTK1	0.12
