diseaseId	geneId	score	geneName	description	diseaseName	sourceId	NofPmids	NofSnps
umls:C0005684	8000	0.128805692038409	PSCA	prostate stem cell antigen	Malignant neoplasm of urinary bladder	GWASCAT	16	6
umls:C0005695	8000	0.125276947701365	PSCA	prostate stem cell antigen	Bladder Neoplasm	CTD_human	5	1
umls:C0013295	8000	0.243452799466923	PSCA	prostate stem cell antigen	Duodenal Ulcer	CTD_human,GWASCAT	4	1
umls:C0023743	8000	0.12	PSCA	prostate stem cell antigen	Linitis Plastica	CTD_human	1	0
umls:C0027626	9506	0.12	PAGE4	P antigen family, member 4 (prostate associated)	Neoplasm Invasiveness	CTD_human	1	0
umls:C0027627	101669767	0.120814325616241	SCHLAP1	SWI/SNF complex antagonist associated with prostate cancer 1 (non-protein coding)	Neoplasm Metastasis	CTD_human	3	0
umls:C0031117	8712	0.12	PAGE1	P antigen family, member 1 (prostate associated)	Peripheral Neuropathy	CTD_human	1	0
umls:C0033575	5020	0.12	OXT	oxytocin/neurophysin I prepropeptide	Prostatic Diseases	CTD_human	1	0
umls:C0033578	10	0.130540082706004	NAT2	N-acetyltransferase 2 (arylamine N-acetyltransferase)	Prostatic Neoplasms	CTD_human	5	2
umls:C0033578	10013	0.12	HDAC6	histone deacetylase 6	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	100188789	0.12	HPC6	Prostate cancer, susceptibility to	Prostatic Neoplasms	CTD_human	0	0
umls:C0033578	10040	0.12	TOM1L1	target of myb1 (chicken)-like 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1012	0.122724350242467	CDH13	cadherin 13	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	10158	0.12	PDZK1IP1	PDZK1 interacting protein 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	101669767	0.12027144187208	SCHLAP1	SWI/SNF complex antagonist associated with prostate cancer 1 (non-protein coding)	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	10207	0.12	INADL	InaD-like (Drosophila)	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	10257	0.125448700484934	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	1026	0.144347399398635	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	Prostatic Neoplasms	CTD_human	12	0
umls:C0033578	10263	0.12027144187208	CDK2AP2	cyclin-dependent kinase 2 associated protein 2	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	1027	0.153692094006142	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	Prostatic Neoplasms	CTD_human	18	0
umls:C0033578	10333	0.125448700484934	TLR6	toll-like receptor 6	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	10397	0.122995792114547	NDRG1	N-myc downstream regulated 1	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	10417	0.12	SPON2	spondin 2, extracellular matrix protein	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	10439	0.12	OLFM1	olfactomedin 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	10451	0.125448700484934	VAV3	vav 3 guanine nucleotide exchange factor	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	10481	0.125448700484934	HOXB13	homeobox B13	Prostatic Neoplasms	CTD_human	6	0
umls:C0033578	10499	0.122724350242467	NCOA2	nuclear receptor coactivator 2	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	10516	0.12	FBLN5	fibulin 5	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	10551	0.125448700484934	AGR2	anterior gradient 2	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	10587	0.12	TXNRD2	thioredoxin reductase 2	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	10625	0.12	IVNS1ABP	influenza virus NS1A binding protein	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	10809	0.12	STARD10	StAR-related lipid transfer (START) domain containing 10	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	10857	0.12	PGRMC1	progesterone receptor membrane component 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	10928	0.12	RALBP1	ralA binding protein 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	10945	0.12	KDELR1	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	10948	0.12	STARD3	StAR-related lipid transfer (START) domain containing 3	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	10951	0.12	CBX1	chromobox homolog 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	10955	0.12	SERINC3	serine incorporator 3	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	10961	0.12	ERP29	endoplasmic reticulum protein 29	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	11005	0.12	SPINK5	serine peptidase inhibitor, Kazal type 5	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	11009	0.12027144187208	IL24	interleukin 24	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	11176	0.12	BAZ2A	bromodomain adjacent to zinc finger domain, 2A	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	11178	0.122995792114547	LZTS1	leucine zipper, putative tumor suppressor 1	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	11187	0.12	PKP3	plakophilin 3	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	11200	0.144347399398635	CHEK2	checkpoint kinase 2	Prostatic Neoplasms	CTD_human	9	1
umls:C0033578	114609	0.12	TIRAP	toll-interleukin 1 receptor (TIR) domain containing adaptor protein	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	116113	0.122367031978602	FOXP4	forkhead box P4	Prostatic Neoplasms	CTD_human	1	1
umls:C0033578	1191	0.216888985198964	CLU	clusterin	Prostatic Neoplasms	CTD_human	10	0
umls:C0033578	12	0.122367031978602	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1200	0.12	TPP1	tripeptidyl peptidase I	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1266	0.12	CNN3	calponin 3, acidic	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1312	0.12	COMT	catechol-O-methyltransferase	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1316	0.15105362015546	KLF6	Kruppel-like factor 6	Prostatic Neoplasms	CTD_human	13	0
umls:C0033578	1317	0.12	SLC31A1	solute carrier family 31 (copper transporter), member 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1365	0.12	CLDN3	claudin 3	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1366	0.122724350242467	CLDN7	claudin 7	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	136991	0.12	ASZ1	ankyrin repeat, SAM and basic leucine zipper domain containing 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1387	0.12027144187208	CREBBP	CREB binding protein	Prostatic Neoplasms	CTD_human	2	0
umls:C0033578	1410	0.12	CRYAB	crystallin, alpha B	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	142	0.120814325616241	PARP1	poly (ADP-ribose) polymerase 1	Prostatic Neoplasms	CTD_human	4	0
umls:C0033578	143686	0.12	SESN3	sestrin 3	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1465	0.12	CSRP1	cysteine and glycine-rich protein 1	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1469	0.12	CST1	cystatin SN	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1474	0.12027144187208	CST6	cystatin E/M	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1488	0.124734063957204	CTBP2	C-terminal binding protein 2	Prostatic Neoplasms	CTD_human	1	1
umls:C0033578	1499	0.142066243811818	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	Prostatic Neoplasms	CTD_human	9	0
umls:C0033578	150084	0.12	IGSF5	immunoglobulin superfamily, member 5	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1508	0.12	CTSB	cathepsin B	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	1509	0.12	CTSD	cathepsin D	Prostatic Neoplasms	CTD_human	1	0
umls:C0033578	153090	0.128444492599482	DAB2IP	DAB2 interacting protein	Prostatic Neoplasms	CTD_human	3	0
umls:C0033578	154	0.122724350242467	ADRB2	adrenoceptor beta 2, surface	Prostatic Neoplasms	CTD_human	1	0
