"Mouse Symbol","Mouse ID","Mouse Chr","Homologene ID","Human Symbol","Human ID","Rat Symbol","Rat ID","Drosophila Symbol","Drosophila ID","Zebrafish Symbol","Zebrafish ID","Yeast Symbol","Yeast ID",COSMIC,CGC,Study,"PubMed ID","Predicted Effect","CIS Address","Relative Rank","Cancer Type",Studies
Erbb2ip,59079,13,41282,ERBIN,55914,Erbin,365661,,,erbb2ip,566811,,,No,No,"Bard-Chapeau 2014-01",24316982,"Not Determined",13:103818785-103920514,B,"Liver Cancer",16
Erbb2ip,59079,13,41282,ERBIN,55914,Erbin,365661,,,erbb2ip,566811,,,No,No,"Koso 2012-01",23045694,"Not Determined",13:103818787-103920514,C,"Nervous System Cancer",16
Erbb2ip,59079,13,41282,ERBIN,55914,Erbin,365661,,,erbb2ip,566811,,,No,No,"Koso 2012-02",23045694,"Not Determined",13:103818787-103920514,C,"Nervous System Cancer",16
Erbb2ip,59079,13,41282,ERBIN,55914,Erbin,365661,,,erbb2ip,566811,,,No,No,"Mann 2012-01",22421440,Loss,13:103863456-103863456,D,"Pancreatic Cancer",16
Erbb2ip,59079,13,41282,ERBIN,55914,Erbin,365661,,,erbb2ip,566811,,,No,No,"March 2011-01",22057237,"Not Determined",13:103764279-103940012,A,"Colorectal Cancer",16
Erbb2ip,59079,13,41282,ERBIN,55914,Erbin,365661,,,erbb2ip,566811,,,No,No,"Moriarity 2015-03",25961939,Loss,13:103818791-103920514,B,Sarcoma,16
Erbb2ip,59079,13,41282,ERBIN,55914,Erbin,365661,,,erbb2ip,566811,,,No,No,"Perez Mancera 2012-01",22699621,"Not Determined",13:103833826-103889349,C,"Pancreatic Cancer",16
Erbb2ip,59079,13,41282,ERBIN,55914,Erbin,365661,,,erbb2ip,566811,,,No,No,"Perez Mancera 2012-02",22699621,"Not Determined",13:103886534-103886534,B,"Pancreatic Cancer",16
Erbb2ip,59079,13,41282,ERBIN,55914,Erbin,365661,,,erbb2ip,566811,,,No,No,"Perna 2015-01",25624498,"Not Determined",13:103870470-103870470,C,"Skin Cancer",16
Erbb2ip,59079,13,41282,ERBIN,55914,Erbin,365661,,,erbb2ip,566811,,,No,No,"Rahrmann 2013-01",23685747,"Not Determined",13:103818787-103920514,C,"Nervous System Cancer",16
Erbb2ip,59079,13,41282,ERBIN,55914,Erbin,365661,,,erbb2ip,566811,,,No,No,"Rahrmann 2013-02",23685747,"Not Determined",13:103818787-103920514,C,"Nervous System Cancer",16
Erbb2ip,59079,13,41282,ERBIN,55914,Erbin,365661,,,erbb2ip,566811,,,No,No,"Takeda 2015-01",25559195,"Not Determined",13:103829762-103879292,A,"Colorectal Cancer",16
Erbb2ip,59079,13,41282,ERBIN,55914,Erbin,365661,,,erbb2ip,566811,,,No,No,"Takeda 2015-02",25559195,"Not Determined",13:103816611-103897050,A,"Colorectal Cancer",16
Erbb2ip,59079,13,41282,ERBIN,55914,Erbin,365661,,,erbb2ip,566811,,,No,No,"Takeda 2015-03",25559195,"Not Determined",13:103819105-103914213,A,"Colorectal Cancer",16
Erbb2ip,59079,13,41282,ERBIN,55914,Erbin,365661,,,erbb2ip,566811,,,No,No,"Takeda 2016-01",27006499,Loss,13:103838127-103890675,B,"Gastric Cancer",16
Erbb2ip,59079,13,41282,ERBIN,55914,Erbin,365661,,,erbb2ip,566811,,,No,No,"Wu 2012-01",22343890,"Not Determined",13:103818787-103920514,"Not Ranked","Nervous System Cancer",16
Fbxo11,225055,17,11843,FBXO11,80204,Fbxo11,301674,FBXO11,41209,fbxo11b,567742,,,Yes,Yes,"Bard-Chapeau 2014-01",24316982,"Not Determined",17:87990858-88065285,C,"Liver Cancer",11
Fbxo11,225055,17,11843,FBXO11,80204,Fbxo11,301674,FBXO11,41209,fbxo11b,567742,,,Yes,Yes,"Mann 2012-01",22421440,Loss,17:88039282-88039282,D,"Pancreatic Cancer",11
Fbxo11,225055,17,11843,FBXO11,80204,Fbxo11,301674,FBXO11,41209,fbxo11b,567742,,,Yes,Yes,"March 2011-01",22057237,"Not Determined",17:87964571-88075174,C,"Colorectal Cancer",11
Fbxo11,225055,17,11843,FBXO11,80204,Fbxo11,301674,FBXO11,41209,fbxo11b,567742,,,Yes,Yes,"Moriarity 2015-01",25961939,Gain,17:87990858-88065285,B,Sarcoma,11
Fbxo11,225055,17,11843,FBXO11,80204,Fbxo11,301674,FBXO11,41209,fbxo11b,567742,,,Yes,Yes,"Perez Mancera 2012-01",22699621,"Not Determined",17:88043142-88043142,D,"Pancreatic Cancer",11
Fbxo11,225055,17,11843,FBXO11,80204,Fbxo11,301674,FBXO11,41209,fbxo11b,567742,,,Yes,Yes,"Perez Mancera 2012-02",22699621,"Not Determined",17:88041475-88041475,D,"Pancreatic Cancer",11
