clusters	score	genes
721	1.0	TAGLN:0.272714418721,RNF14:0.272714418721,TNFAIP3:0.272714418721
1110	1.0	ADAMTS5:0.272714418721,TIMP3:0.272714418721
1364	1.0	SSTR2:0.272714418721,SSTR3:0.272714418721
1305	0.768245431105	CDK5R1:0.272714418721,LMTK2:0.146308793637
1136	0.725502913802	LZTS1:0.122995792115,CDC25C:0.272714418721
1359	0.725005246913	GSTA1:0.122724350242,GSTA2:0.272714418721
1004	0.720010369387	MMP14:0.272714418721,MMP13:0.12
680	0.666666666667	PRTN3:0.0,F2R:0.272714418721,F2RL1:0.272714418721
690	0.666666666667	SOX9:0.272714418721,SCX:0.0,CREB3L4:0.272714418721
719	0.666666666667	AGER:0.272714418721,RHOA:0.272714418721,GMIP:0.0
911	0.666666666667	CADM1:0.272714418721,CRTAM:0.0,ITGB4:0.272714418721
711	0.54026508207	TNFRSF11B:0.272714418721,VEGFA:0.169299814715,THBS1:0.0
340	0.504452509523	AR:0.28,TSPY1:0.272714418721,MAK:0.272714418721,PKLR:0.0,KMT2A:0.0,HHAT:0.0
358	0.5	TMEM173:0.0,STAT6:0.272714418721,IFI16:0.272714418721,ACSL3:0.272714418721,SLC39A14:0.0,TRIM56:0.0
568	0.5	DAXX:0.0,TGFBR3:0.272714418721,ACVR2A:0.272714418721,TCTEX1D4:0.0
585	0.5	LRRC26:0.0,KCNMA1:0.272714418721,KCNMB2:0.0,TBXA2R:0.272714418721
987	0.5	BIRC2:0.0,BIRC3:0.272714418721
989	0.5	ZBTB17:0.0,MAGEA4:0.272714418721
995	0.5	PIAS1:0.272714418721,SUFU:0.0
1005	0.5	F12:0.0,MMP12:0.272714418721
1009	0.5	KL:0.0,IGF1R:0.272714418721
1012	0.5	PDP2:0.0,PRKCD:0.272714418721
1014	0.5	PSAT1:0.0,TIMP2:0.272714418721
1031	0.5	DCC:0.272714418721,EIF2B1:0.0
1032	0.5	SMAD4:0.272714418721,ZMIZ1:0.0
1046	0.5	SCYL3:0.0,CD44:0.272714418721
1051	0.5	PYDC1:0.0,PYCARD:0.272714418721
